Block,Time,LT-31,SH-06,LT-35,L_NR_2012_01,L_NR_2012_02,L_NR_2012_04,LT-36,L_NR_2019_11,LT_MEJA_Delhi,L_NR_2019_19,L_NR_2020_02,LT-59,L_NR_2012_07,SH-07,L_NR_2020_05,L_NR_2019_05,L_NR_2021_16,L_NR_2021_13,L_NR_2022_10,L_NR_2020_07,L_NR_2021_15,LT-05,L_NR_2019_07,L_NR_2018_61,L_NR_2021_17,L_NR_2020_06,L_NR_2021_14,L_NR_2022_08,L_NR_2022_09,L_NR_2019_06,L_NR_2021_12
1,00:00-00:15,0.000000,30.380000,0.000000,101.030000,130.500000,271.270000,0.000000,3.450000,11.490000,0.000000,3.620000,3.650000,76.120000,30.380000,93.59,0,0,0,46.13,31.19,0,115.800000,0,6.49,0,31.2,0,17.4,46.13,0,0

2,00:15-00:30,0.000000,30.380000,0.000000,101.030000,130.500000,271.270000,0.000000,3.450000,11.490000,0.000000,3.620000,3.650000,76.120000,30.380000,92.56,0,0,0,45.48,30.85,0,115.800000,0,6.53,0,30.85,0,17.48,45.48,0,0

3,00:30-00:45,0.000000,30.380000,0.000000,101.030000,130.500000,271.270000,0.000000,3.450000,11.440000,0.000000,3.620000,3.650000,76.120000,30.380000,86.32,0,0,0,45.36,28.77,0,115.800000,0,6.5,0,28.77,0,15.07,45.36,0,0

4,00:45-01:00,0.000000,30.380000,0.000000,101.030000,130.500000,271.270000,0.000000,3.450000,11.440000,0.000000,3.620000,3.650000,76.120000,30.380000,87.32,0,0,0,44.93,29.09,0,94.610000,0,6.52,0,29.11,0,15.11,44.93,0,0

5,01:00-01:15,0.000000,30.380000,0.000000,72.100000,130.500000,271.270000,0.000000,3.450000,11.440000,0.000000,3.620000,3.650000,52.010000,30.380000,88.32,0,0,0,44.59,29.43,0,66.220000,0,6.53,0,29.44,0,15.26,44.59,0,0

6,01:15-01:30,0.000000,30.380000,0.000000,50.150000,130.500000,271.270000,0.000000,3.450000,11.440000,0.000000,3.620000,3.650000,46.540000,30.380000,89.17,0,0,0,44.24,29.72,0,94.610000,0,6.56,0,29.72,0,15.48,44.24,0,0

7,01:30-01:45,0.000000,30.380000,0.000000,50.150000,130.500000,271.270000,0.000000,3.450000,11.440000,0.000000,3.620000,3.650000,46.540000,25.540000,90.36,0,0,0,43.85,30.13,0,94.610000,0,6.53,0,30.12,0,15.82,43.85,0,0

8,01:45-02:00,0.000000,30.380000,0.000000,50.150000,130.500000,271.270000,0.000000,3.450000,11.440000,0.000000,3.620000,3.650000,46.540000,25.540000,74.25,0,0,0,43.43,24.74,0,94.610000,0,6.52,0,24.75,0,16.11,43.43,0,0

9,02:00-02:15,0.000000,30.380000,0.000000,60.180000,130.500000,271.270000,0.000000,3.450000,11.440000,0.000000,3.520000,3.650000,66.460000,25.540000,74.06,0,0,0,53.47,24.68,0,94.610000,0,6.49,0,24.69,0,16.55,53.47,0,0

10,02:15-02:30,0.000000,30.380000,0.000000,80.250000,130.500000,271.270000,0.000000,3.450000,11.440000,0.000000,3.520000,3.650000,66.460000,25.540000,73.68,0,0,0,53.43,24.57,0,94.610000,0,6.53,0,24.56,0,16.67,53.43,0,0

11,02:30-02:45,0.000000,30.380000,0.000000,70.220000,130.500000,271.270000,0.000000,3.450000,11.440000,0.000000,3.520000,3.650000,46.540000,25.540000,73.6,0,0,0,53.31,24.53,0,94.610000,0,6.5,0,24.53,0,16.57,53.31,0,0

12,02:45-03:00,0.000000,30.380000,0.000000,70.220000,130.500000,271.270000,0.000000,3.450000,11.440000,0.000000,3.520000,3.650000,46.540000,25.540000,73.56,0,0,0,53.01,24.52,0,94.610000,0,6.52,0,24.52,0,16.36,53.01,0,0

13,03:00-03:15,0.000000,30.380000,0.000000,70.220000,90.850000,271.270000,0.000000,3.380000,11.440000,0.000000,3.520000,3.650000,46.540000,25.540000,71.74,0,0,0,52.66,23.91,0,94.610000,0,6.53,0,23.91,0,16.11,52.66,0,0

14,03:15-03:30,0.000000,30.380000,0.000000,70.220000,90.850000,271.270000,0.000000,3.380000,11.440000,0.000000,3.520000,3.650000,46.540000,25.540000,70.25,0,0,0,52.49,23.42,0,94.610000,0,6.56,0,23.42,0,12.11,52.49,0,0

15,03:30-03:45,0.000000,30.380000,0.000000,70.220000,90.850000,271.270000,0.000000,3.380000,11.440000,0.000000,3.520000,3.650000,46.540000,25.540000,69.3,0,0,0,52.03,23.1,0,94.610000,0,6.53,0,23.1,0,11.94,52.03,0,0

16,03:45-04:00,0.000000,30.380000,0.000000,70.220000,90.850000,271.270000,0.000000,3.380000,11.440000,0.000000,3.520000,3.650000,46.540000,25.540000,70.07,0,0,0,51.95,23.36,0,94.610000,0,6.52,0,23.36,0,11.81,51.95,0,0

17,04:00-04:15,0.000000,30.380000,0.000000,70.220000,90.850000,271.270000,0.000000,3.300000,11.440000,0.000000,3.430000,3.570000,46.540000,25.540000,70.61,0,0,0,52.73,23.54,0,94.610000,0,6.49,0,23.54,0,11.94,52.73,0,0

18,04:15-04:30,0.000000,30.380000,0.000000,80.250000,90.850000,271.270000,0.000000,3.300000,11.440000,0.000000,3.430000,3.570000,46.540000,25.540000,70.38,0,0,0,53.25,23.45,0,94.610000,0,6.53,0,23.46,0,11.99,53.25,0,0

19,04:30-04:45,0.000000,30.380000,0.000000,80.250000,90.850000,271.270000,0.000000,3.300000,11.440000,0.000000,3.430000,3.570000,46.540000,25.540000,76.61,0,0,0,42.27,25.54,0,94.610000,0,6.5,0,25.54,0,11.99,42.27,0,0

20,04:45-05:00,0.000000,30.380000,0.000000,80.250000,90.850000,271.270000,0.000000,3.300000,11.440000,0.000000,3.430000,3.570000,46.540000,25.540000,74.82,0,0,0,42.14,24.93,0,94.610000,0,6.52,0,24.94,0,11.97,42.14,0,0

21,05:00-05:15,0.000000,30.380000,0.000000,101.030000,90.850000,271.270000,0.000000,3.300000,11.440000,0.000000,3.430000,3.570000,56.190000,25.540000,72.83,0,0,0,42.1,24.27,0,94.610000,0,6.53,0,24.28,0,8.93,42.1,0,0

22,05:15-05:30,0.000000,30.380000,0.000000,101.030000,90.850000,271.270000,0.000000,3.300000,11.440000,0.000000,3.430000,3.570000,56.190000,25.540000,71.67,0,0,0,41.76,23.88,0,115.800000,0,6.56,0,23.89,0,8.65,41.76,0,0

23,05:30-05:45,0.000000,30.380000,0.000000,101.030000,90.850000,271.270000,0.000000,3.300000,11.440000,0.000000,3.430000,3.570000,56.190000,25.540000,69.82,0,0,0,28.55,23.27,0,115.800000,0,6.53,0,23.27,0,8.57,28.55,0,0

24,05:45-06:00,0.000000,30.380000,0.000000,101.030000,90.850000,271.270000,0.000000,3.300000,11.440000,0.780000,3.430000,3.570000,56.190000,25.540000,50.31,0,0,0,29.54,16.78,0,115.800000,0,6.52,0,16.77,0,8.38,29.54,0,0

25,06:00-06:15,0.000000,30.380000,0.000000,101.030000,90.850000,271.270000,0.000000,3.220000,11.440000,4.330000,3.430000,3.570000,46.880000,25.540000,49.82,2.58,0.33,0,29.91,16.61,0,94.610000,1.45,6.49,0.17,16.6,0.03,8.09,29.91,6.11,0

26,06:15-06:30,0.110000,30.380000,0.110000,101.030000,90.850000,271.270000,0.120000,3.220000,11.440000,9.020000,3.430000,3.570000,46.880000,25.540000,48.81,7.45,1.9,0.16,29.31,16.28,0.66,94.610000,4.02,6.53,0.95,16.27,0.03,8.05,29.31,12.96,0.81

27,06:30-06:45,0.390000,30.380000,0.390000,80.250000,90.850000,271.270000,0.400000,3.220000,11.440000,13.670000,3.430000,3.570000,46.880000,25.540000,47.81,14.45,4.83,0.65,28.96,15.94,1.69,94.610000,11.64,6.5,2.42,15.94,1.19,7.76,28.96,21.36,3.23

28,06:45-07:00,0.940000,30.380000,0.940000,80.250000,90.850000,271.270000,0.960000,3.220000,11.440000,18.670000,3.430000,3.570000,46.880000,25.540000,46.81,25.48,9.05,1.46,28.76,15.62,3.41,94.610000,18,6.52,4.52,15.6,3.5,7.45,28.76,33,7.27

29,07:00-07:15,1.650000,30.380000,1.650000,80.250000,90.850000,271.270000,1.690000,3.220000,11.440000,24.910000,3.340000,3.570000,46.540000,25.540000,46.31,33,20,2.59,29.03,15.44,5.59,94.610000,27,6.53,10,15.44,6.85,7.29,29.03,33,12.93

30,07:15-07:30,2.670000,30.380000,2.670000,80.250000,90.850000,271.270000,2.740000,3.220000,11.440000,32.170000,3.340000,3.570000,46.540000,25.540000,45.85,31,28,5.58,29.36,15.28,8.22,94.610000,31,6.56,14,15.28,11.41,6.96,29.36,31,27.88

31,07:30-07:45,3.810000,30.380000,3.810000,101.030000,90.850000,271.270000,3.910000,3.220000,11.440000,39.590000,3.340000,3.570000,46.540000,25.540000,44.88,31,36.67,8.13,29.73,14.95,11.01,94.610000,31,6.53,18.33,14.96,17.06,6.96,29.73,31,40.63

32,07:45:08:00,4.990000,30.380000,4.990000,72.320000,90.850000,271.270000,5.120000,3.220000,11.440000,47.150000,3.340000,3.570000,46.540000,25.540000,44.63,31,43.34,11.26,29.98,14.86,13.94,94.610000,31,6.52,21.66,14.88,23.48,6.32,29.98,31,56.29

33,08:00-08:15,6.160000,30.380000,6.160000,48.370000,63.020000,271.270000,6.310000,3.220000,11.440000,54.790000,3.340000,3.490000,30.890000,25.540000,42.74,31.33,51.34,14.49,27.91,14.25,19.41,70.390000,31.34,6.49,25.66,14.25,30.6,6.02,27.91,31.33,72.45

34,08:15-08:30,7.300000,30.380000,7.300000,48.370000,63.020000,271.270000,7.480000,3.220000,11.440000,63.070000,3.340000,3.490000,30.890000,25.540000,42.97,31.33,59.34,17.19,26.29,14.33,22.89,70.390000,31.34,6.53,29.66,14.32,38.37,5.96,26.29,31.33,85.94

35,08:30-08:45,8.400000,30.380000,8.400000,48.370000,130.500000,271.270000,8.600000,3.220000,11.440000,72.290000,3.340000,3.490000,46.540000,25.540000,40.32,31.33,64.67,19.81,25.92,13.43,26.15,66.220000,31.34,6.5,32.33,13.44,44.05,5.69,25.92,31.33,99.06

36,08:45:09:00,8.490000,30.380000,8.490000,48.370000,130.500000,271.270000,8.710000,3.220000,11.440000,81.780000,3.340000,3.490000,30.890000,25.540000,37.81,31.33,68.8,22.02,26.02,12.62,29.04,66.220000,31.34,6.52,34.4,12.6,50.86,5.66,26.02,31.33,110.11

37,09:00:09:15,9.390000,26.030000,9.390000,48.370000,102.680000,231.480000,9.630000,3.380000,11.440000,89.320000,3.340000,3.490000,30.890000,26.030000,36.31,31.33,75.31,24.15,26.32,12.12,31.43,66.220000,31.34,6.53,37.65,12.1,56.36,5.31,26.32,31.33,120.72

38,09:15-09:30,10.190000,26.030000,10.190000,48.370000,102.680000,192.900000,10.440000,3.380000,11.440000,97.110000,3.340000,3.490000,30.890000,26.030000,35.22,31.33,81.24,23.78,26.74,11.74,33.46,66.220000,31.34,6.56,40.61,11.74,62.2,5.24,26.74,31.33,118.92

39,09:30-09:45,10.870000,26.030000,10.870000,48.370000,102.680000,231.480000,11.140000,3.380000,11.440000,103.830000,3.340000,3.490000,30.890000,26.030000,46.17,31.33,86.48,26.31,27.37,15.4,31.76,66.220000,31.34,6.53,43.23,15.39,56.77,5.15,27.37,31.33,131.57

40,09:45-10:00,11.550000,26.030000,11.550000,48.370000,84.030000,271.270000,11.840000,3.380000,11.440000,109.690000,3.340000,3.490000,30.890000,26.030000,45.17,31.33,92,29.52,27.91,15.06,33.97,66.220000,31.34,6.52,46,15.06,63.41,5.05,27.91,31.33,147.58

41,10:00-10:15,12.210000,26.030000,12.210000,48.370000,84.030000,271.270000,12.520000,3.380000,11.440000,115.950000,3.250000,3.490000,30.890000,26.030000,44.25,31.33,93.34,32.75,44.11,14.75,35.74,66.220000,31.34,6.49,46.66,14.75,68.45,4.94,44.11,31.33,163.73

42,10:15-10:30,12.710000,26.030000,12.710000,48.370000,84.030000,271.270000,13.030000,3.380000,11.440000,122.280000,3.250000,3.490000,30.890000,26.030000,43.25,31.33,94,39.9,45.22,14.41,37.23,66.220000,31.34,6.53,47,14.42,75.11,4.8,45.22,31.33,199.51

