Block,Time,ANTA_LF,KUDGI,SINGRAULI,DADRT2,SEWA2,DULHASTI,AURY_CRF,SINGRAULI_HYDRO,AURY_RF,RAMPUR,JHAJJAR,KHSTPP-II,FSTPP I & II,TANDA2,RIHAND3,BRBCL,KHSTPP-I,UNCHAHAR2,KISHANGANGA,TEHRI,TALA,URI2,PARBATI3,UNCHAHAR3,DHAULIGNGA,AURY_GF,UNCHAHAR4,RAPPB,SASAN,URI,RIHAND2,CHAMERA1,ANTA_CRF,ANTA_GF,DADRI_CRF,DADRI_RF,KOTESHWR,ANTA_RF,RAPPC,CHAMERA3,NAPP,TANAKPUR,KOLDAM,DADRI_GF,AURY_LF,NJPC,RIHAND1,UNCHAHAR1,BSIUL,SALAL,DADRI_LF,CHAMERA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,29.00,134.643115,613.188290,15.274612,15.872250,0.000000,0.924457,0.000000,0.000000,506.117967,142.573852,12.090915,0.000000,119.522827,14.497500,32.266602,40.970032,0.000000,65.273544,25.005288,31.333273,0.000000,25.506032,35.365878,0.000000,0.000000,0.000000,404.741205,44.814672,114.167812,41.230890,0.000000,0.000000,0.000000,0.000000,35.259853,0.000000,49.427487,28.089204,37.263214,11.390396,0.000000,0.000000,0.000000,148.457686,43.492500,14.700852,6.334248,83.107402,0.000000,38.186531,0,0,0,0,0

2,00:15-00:30,0.000000,29.00,134.643115,613.188290,15.274612,15.872250,0.000000,0.924457,0.000000,0.000000,305.804321,142.573852,12.090915,0.000000,119.522827,14.497500,32.266602,40.970032,0.000000,65.273544,25.005288,31.333273,0.000000,25.506032,35.365878,0.000000,0.000000,0.000000,404.741205,44.814672,114.167812,41.230890,0.000000,0.000000,0.000000,0.000000,35.259853,0.000000,49.427487,28.089204,37.263214,11.390396,0.000000,0.000000,0.000000,148.457686,43.492500,14.700852,6.334248,83.107402,0.000000,38.186531,0,0,0,0,0

3,00:30-00:45,0.000000,29.00,134.643115,663.772828,15.274612,15.872250,0.000000,0.924457,0.000000,0.000000,213.596500,142.573852,12.090915,0.000000,119.522827,14.381072,32.266602,40.970032,0.000000,65.273544,25.005288,30.553191,0.000000,25.506032,35.365878,0.000000,0.000000,0.000000,404.741205,44.814672,114.167812,41.230890,0.000000,0.000000,0.000000,0.000000,35.259853,0.000000,49.427487,28.089204,37.263214,12.628482,0.000000,0.000000,0.000000,148.457686,43.492500,14.700852,6.334248,83.107402,0.000000,38.186531,0,0,0,0,0

4,00:45-01:00,0.000000,29.00,134.643115,663.772828,15.274612,15.872250,0.000000,0.924457,0.000000,0.000000,213.596500,142.573852,12.090915,0.000000,119.522827,13.541742,32.266602,40.970032,0.000000,65.273544,25.005288,30.553191,0.000000,25.506032,35.365878,0.000000,0.000000,0.000000,404.741205,44.814672,114.167812,41.230890,0.000000,0.000000,0.000000,0.000000,35.259853,0.000000,49.427487,28.089204,37.263214,12.628482,0.000000,0.000000,0.000000,148.457686,43.492500,14.700852,6.334248,83.107402,0.000000,38.186531,0,0,0,0,0

5,01:00-01:15,0.000000,19.33,134.643115,620.248282,15.274612,15.872250,0.000000,0.924457,0.000000,0.000000,199.099000,142.573852,12.090915,0.000000,119.522827,11.403115,32.266602,40.970032,0.000000,65.273544,25.005288,30.553191,0.000000,21.926986,35.365878,0.000000,0.000000,0.000000,404.741205,44.814672,114.167812,41.230890,0.000000,0.000000,0.000000,0.000000,35.259853,0.000000,49.427487,28.089204,37.263214,12.628482,0.000000,0.000000,0.000000,148.457686,43.492500,12.221088,12.668495,83.107402,0.000000,38.186531,0,0,0,0,0

