Column1,Block,NR/2025/26755/A/72671,NR/2025/26335/A/72821,GNARE/NR/2024/12/20/3668,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/16/9317,GNA/NR/2025/05/01/2474,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/26291/A/73181,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/4138,NR/2025/27001/C,NR/2025/26191/A/72721,NR/2025/27003/C,NR/2025/26336/A/72820,NR/2025/26004/A/72723,NR/2025/26996/C,NR/2025/26085/A/72650,NR/2025/26997/C,NR/2025/26785/A/72715,NR/2025/26999/C,NR/2025/26082/A/73230,NR/2025/25860/A/73158,NR/2025/26822/A/73167,NR/2025/25859/A/73159,NR/2025/26991/C,NR/2025/26825/A/73166,NR/2025/26153/A/72677,NR/2025/26101/A/72864,NR/2025/26993/C,NR/2025/26829/A/73161,NR/2025/26289/A/73183,NR/2025/26689/A/72799,NR/2025/26986/C,NR/2025/26232/A/73189,NR/2025/26994/C,NR/2025/26970/C,NR/2025/26379/A/73151,NR/2025/25967/A/73152,NR/2025/26928/C,NR/2025/26828/A/73163,NR/2025/26924/C,NR/2025/26930/C,NR/2025/26265/A/73185,NR/2025/26233/A/73187,NR/2025/26925/C,NR/2025/26932/C,NR/2025/27004/C,NR/2025/26827/A/73165,NR/2025/25861/A/73157,NR/2025/26879/A/72837,NR/2025/26926/C,NR/2025/26940/C,NR/2025/27006/C,NR/2025/26005/A/72752,NR/2025/26202/A/73229,NR/2025/26927/C,Total
,,IEXL,BRPL,SECI_Trader,IEXL,PXIL,PXIL,PXIL,HPXL,PXIL,PowerPulse,IEXL,PXIL,PXIL,HPXL,SIMHAPURI,HPXL,JPL,NDMC,PUNJAB,DELHI,HPXL,BAWANA_GAS,PowerPulse,NVVNL,PXIL,NVVNL,BRPL,PXIL,APPCPL,ITCLH,APPCPL,IEXL,NVVNL,NVVNL,PowerPulse,APPCPL,PowerPulse,GEPL_Trader,APPCPL,IEXL,GMRETL,GEPL_Trader,APPCPL,HPXL,DIAPL,TPDDL,HPXL,APPCPL,PowerPulse,PowerPulse,PowerPulse,HPXL,APPCPL,HPXL,IEXL,HPXL,HPXL,HPXL,IEXL,APPCPL,APPCPL,PowerPulse,BRPL,HPXL,PXIL,APPCPL,PXIL,NVVNL,HPXL,
,,NA,NA,NA,ODISHA_STATE,UTTARPRADESH_STATE,NA,CSEB_State,MSEB_State,ODISHA_STATE,NA,JK_and_LADAKH_UT,Meghalaya_State,ODISHA_STATE,NA,NA,HIMACHAL_STATE,NA,NA,DELHI_UT,HIMACHAL_STATE,MP_State,DELHI_UT,NA,NA,NA,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TAMILNADU_State,HIMACHAL_STATE,NA,NA,NA,HIMACHAL_STATE,NA,GEB_State,NA,NA,NA,NA,GEB_State,NA,NA,TAMILNADU_State,NA,GEB_State,NA,NA,NA,NA,NA,NA,MP_State,NA,NA,NA,NA,GEB_State,
,,TPSL_BKN2,TS1PL_BKN,APSEPL_FTG,VSL,LAPL_UP,SINGOLI,SKSIPL,GRETAENERGY,FACORPOWER,APL_Raipur_TPP,O2ZTPL,Meghalaya_Ben,FACORPOWER,JPL,SIMHAPURI,KGEPL_HP,JPL2,JIPL,BAWANA_GAS,CHANJUII,Ultratech_Sidhi_MP,BAWANA_GAS,COASTGEN,Kameng,JPNIGRIE_JNSTPP,SORANG_HEP,DADRT2,ILFS,RKM_POWER,ITCWIND,JPL2,MBMP,JPNIGRIE_JNSTPP,SKS_Raigarh,APL_Raipur_TPP,SKS_Raigarh,APL_Raipur_TPP,DIKCHU,RKM_POWER,SURYADEV_ALLOYSTN,GBHHPL,SORANG_HEP,RKM_POWER,SIMHAPURI,GBHHPL,JHAJJAR,PCBL_PALEJ,SKS_Raigarh,COASTGEN,COASTGEN,MAHAN_ENERGEN,PCBL_MUNDRA,TRN_ENERGY,JPL,SURYADEV_ALLOYSTN,JPL,PCBL_MUNDRA,SIMHAPURI,MBMP,TRN_ENERGY,JPL2,APL_Raipur_TPP,RIHAND3,Ultratech_Sidhi_MP,JPNIGRIE_JNSTPP,RKM_POWER,SKS_Raigarh,JPNIGRIE_JNSTPP,PCBL_PALEJ,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,MES_Delhi,BRPL,TPDDL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,PUNJAB,TPDDL,BRPL,HARYANA,BRPL,TPDDL,BRPL,TPDDL,BRPL,BYPL,NDMC,ITCLH,NDMC,NDMC,TPDDL,BYPL,TPDDL,NDMC,TPDDL,BYPL,NDMC,BRPL,TPDDL,BYPL,NDMC,BRPL,DIAPL,TPDDL,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,NDMC,NDMC,TPDDL,BRPL,BRPL,BRPL,NDMC,BYPL,TPDDL,BRPL,
,,North-North,North-North,North-North,East-North,North-North,North-North,West-North,West-North,East-North,West-North,North-North,North East-East-North,East-North,West-North,South-West-North,North-North,West-North,East-North,North-North,North-North,West-North,North-North,South-East-North,North East-East-North,West-North,North-North,North-North,South-West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,East-North,West-North,South-West-North,North-North,North-North,West-North,South-West-North,North-North,North-North,West-North,West-North,South-West-North,South-West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,
1,00:00-00:15,0,0,0,0,28.89,28.89,10.59,5.78,14.44,192.6,0,67.41,14.44,0,24.08,13.48,96.3,17.51,30,11.33,24.08,30,0,54.1,48.15,0,221.49,48.15,0,0.77,0,0,0,47.19,144.45,8.75,96.3,88.33,26.26,62.6,0,57.78,26.26,48.15,6.74,194.53,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,0,33.7,0,0,0,48.15,96.3,0,2494.1200000000003

2,00:15-00:30,0,0,0,0,28.89,28.89,10.59,5.78,14.44,192.6,0,67.41,14.44,0,24.08,13.48,96.3,17.51,30,11.33,24.08,30,0,54.1,48.15,0,221.49,48.15,0,0.77,0,0,0,47.19,144.45,8.75,96.3,88.33,26.26,62.6,0,57.78,26.26,48.15,6.74,194.53,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,0,33.7,0,0,0,48.15,96.3,0,2494.1200000000003

