Column1,Time,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,GNARE/NR/2024/12/20/3668,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,GNARE/SR/2025/01/13/4532,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/01/7459,GNA/SR/2025/04/01/2597,GNA/WR/2025/04/01/4420,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/04/01/7960,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/01/8456,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/04/01/1831,NR/30092023/31122025/SH-07,GNA/NR/2025/04/16/2341,GNA/NR/2025/04/01/1333,NR/01102023/31102037/L_NR_2019_11,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/5285,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/04/01/8964,GNA/NR/2025/04/01/6216,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/01/8510,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/16/2139,NR/01102023/31052040/LT-31,GNA/NR/2025/04/16/4327,GNA/NR/2025/04/01/6490,NR/01102023/06022042/L_NR_2012_02
1,00:00-00:15,32.17,96.49,0,0,0,0,0,0,0,0,0,0,35,80,80,32.17,6,0,0,0,2.89,48.12,28.87,9.62,52.5,0,5.32,43.74,115.06,100.25,14.58,10.42,0,1.92,30,19.25,2.89,6.52,11.42,5.27,30,2.89,272.09,4.04,9.62,86.8,0,72.17,7.74,29.26,96.23,0,72.17,9.62,260.4

2,00:15-00:30,32.33,97.01,0,0,0,0,0,0,0,0,0,0,35,80,80,32.33,6,0,0,0,2.89,48.12,28.87,9.62,52.5,0,5.32,43.74,115.06,100.25,14.58,10.42,0,1.92,30,19.25,2.89,6.52,11.42,5.27,30,2.89,272.09,4.04,9.62,86.8,0,72.17,7.74,29.77,96.23,0,72.17,9.62,260.4

3,00:30-00:45,32.17,96.49,0,0,0,0,0,0,0,0,0,0,34.33,80,80,32.17,5.8,0,0,0,2.89,48.12,28.87,9.62,52.5,0,5.32,43.74,115.06,100.25,14.58,10.42,0,1.92,30,19.25,2.89,6.52,11.42,5.27,30,2.89,272.09,4.04,9.62,86.8,0,72.17,7.74,30.27,96.23,0,72.17,9.62,260.4

4,00:45-01:00,31.67,94.99,0,0,0,0,0,0,0,0,0,0,34.33,79.33,79.34,31.67,5.4,0,0,0,2.89,48.12,28.87,9.62,52.5,0,5.32,43.74,115.06,100.25,14.58,10.42,0,1.92,30,19.25,2.89,6.52,11.42,5.27,30,2.89,272.09,4.04,9.62,86.8,0,72.17,7.74,30.27,96.23,0,72.17,9.62,260.4

5,01:00-01:15,31.5,94.5,0,0,0,0,0,0,0,0,0,0,34.33,78.33,78.34,31.5,5,0,0,0,2.89,48.12,28.87,9.62,52.5,0,5.18,43.74,115.06,100.25,14.58,10.42,0,1.92,30,19.25,2.89,6.52,11.24,5.27,23.51,2.89,272.09,4.04,9.62,86.8,0,72.17,7.74,30.27,96.23,0,72.17,9.62,260.4

6,01:15-01:30,31.5,94.5,0,0,0,0,0,0,0,0,0,0,34,77.33,77.34,31.5,4.6,0,0,0,2.89,48.12,28.87,9.62,52.5,0,5.18,43.74,115.06,100.25,14.58,10.42,0,1.92,30,19.25,2.89,6.52,11.24,5.27,23.51,2.89,272.09,4.04,9.62,86.8,0,72.17,7.74,30.27,96.23,0,72.17,9.62,260.4

7,01:30-01:45,31.67,94.99,0,0,0,0,0,0,0,0,0,0,35,80,80,31.67,4.2,0,0,0,2.89,48.12,28.87,9.62,52.5,0,5.18,43.74,115.06,100.25,14.58,10.42,0,1.92,30,19.25,2.89,6.52,11.24,5.27,23.51,2.89,272.09,4.04,9.62,86.8,0,72.17,7.74,29.77,96.23,0,72.17,9.62,260.4

8,01:45-02:00,31.67,94.99,0,0,0,0,0,0,0,0,0,0,34,80,80,31.67,4,0,0,0,2.89,48.12,28.87,9.62,52.5,0,5.18,43.74,115.06,100.25,14.58,10.42,0,1.92,30,19.25,2.89,6.52,11.24,5.27,23.51,2.89,272.09,4.04,9.62,86.8,0,72.17,7.74,29.26,96.23,0,72.17,9.62,260.4

