Block,Time,TANDA2,UNCHAHAR2,UNCHAHAR1,UNCHAHAR4,TEHRI,URI2,UNCHAHAR3,DADRT2,DULHASTI,KOLDAM,NJPC,RAPPC,DHAULIGNGA,NAPP,CHAMERA3,KISHANGANGA,JHAJJAR,KOTESHWR,RIHAND2,CHAMERA2,PARBATI3,RAMPUR,RIHAND1,SINGRAULI,SEWA2,RIHAND3,SINGRAULI_HYDRO,URI,CHAMERA1,RAPPB,BSIUL,SALAL,TANAKPUR,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,RSTPSU1TO6,RSTPSU7,KKNPPU2,KKNP,NNTPP,MAPS,KGSU1AND2,KGSU3AND4,TALST2,SIMHST1,SIMHST2,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,NLCTS2EXP,NTPL,KHSTPP-I,KHSTPP-II,TALA,BRBCL,FSTPP I & II,SASAN
1,00:00-00:15,0,25.1775,11.991,0,0,24.75168,14.5005,683.129127,32.957704,0,19.887,26.0145,1.321,40.2636,0,0,653.1525,8.874,58.59,13.0634,0,0,92,103.5,0,123.665625,0.78433,48.576,0,0,0,40.67,8.967,0,36.75,0,0,0,81.104,0,0,0,10.86,0,54.3,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,43.704,98.34375,8.82,20.0018,20.73185,342

2,00:15-00:30,0,25.1775,11.991,0,0,24.75168,14.5005,683.129127,32.957704,0,19.887,26.0145,1.321,40.2636,0,0,653.1525,8.874,58.59,13.0634,0,0,92,103.5,0,123.665625,0.78433,48.576,0,0,0,66.815,8.967,0,36.75,0,0,0,81.104,0,0,0,10.86,0,54.3,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,43.704,98.34375,8.82,20.0018,20.73185,342

3,00:30-00:45,0,25.1775,11.991,0,0,24.75168,14.5005,683.129127,32.957704,0,19.887,26.0145,1.321,40.2636,0,0,653.1525,8.874,58.59,13.0634,0,0,92,103.5,0,123.665625,0.78433,8.832,0,0,0,66.815,12.1695,0,36.75,0,0,0,81.104,0,0,0,10.86,0,54.3,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,43.704,98.34375,8.82,20.0018,20.73185,342

4,00:45-01:00,0,25.1775,11.991,0,0,24.75168,14.5005,683.129127,32.957704,0,19.887,26.0145,1.321,40.2636,0,0,653.1525,8.874,58.59,13.0634,0,0,92,103.5,0,123.665625,0.78433,8.832,0,0,0,66.815,12.1695,0,36.75,0,0,0,81.104,0,0,0,10.86,0,54.3,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,43.704,98.34375,8.82,20.0018,20.73185,342

5,01:00-01:15,0,25.1775,11.991,0,0,10.7616,14.5005,683.129127,32.957704,0,19.887,26.0145,1.321,40.2636,0,0,653.1525,8.874,58.59,13.0634,0,0,92,103.5,0,123.665625,0.78433,8.832,0,0,0,66.815,12.1695,0,36.75,0,0,0,81.104,0,0,0,10.86,0,54.3,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,43.704,98.34375,8.82,20.0018,20.73185,342

6,01:15-01:30,0,25.1775,11.991,0,0,9.4164,14.5005,683.129127,32.957704,0,19.887,26.0145,1.321,40.2636,0,0,653.1525,8.874,58.59,13.0634,0,0,92,103.5,0,123.665625,0.78433,8.832,0,0,0,40.67,8.3265,0,36.75,0,0,0,81.104,0,0,0,10.86,0,54.3,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,43.704,98.34375,8.82,20.0018,20.73185,342

7,01:30-01:45,0,25.1775,11.991,0,0,9.4164,14.5005,683.129127,32.957704,0,19.887,26.0145,1.321,40.2636,0,0,653.1525,8.874,58.59,0,0,0,92,103.5,0,123.665625,0.78433,8.832,0,0,6.5208,26.726,8.3265,0,36.75,0,0,0,81.104,0,0,0,10.86,0,54.3,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,43.704,98.34375,8.82,20.0018,20.73185,342

8,01:45-02:00,0,25.1775,11.991,0,0,9.4164,14.5005,683.129127,32.957704,0,19.887,26.0145,1.321,40.2636,0,0,653.1525,8.874,58.59,0,0,0,92,103.5,0,123.665625,0.78433,8.832,0,0,6.5208,26.726,12.1695,0,36.75,0,0,0,81.104,0,0,0,10.86,0,54.3,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,43.704,98.34375,8.82,20.0018,20.73185,342

9,02:00-02:15,0,25.1775,11.991,0,0,9.4164,14.5005,683.129127,32.957704,0,19.887,26.0145,1.321,40.2636,0,0,653.1525,8.874,58.59,0,0,0,92,103.5,0,123.665625,0.78433,8.832,0,0,6.5208,26.726,12.1695,0,37.8,0,0,0,81.104,0,0,0,10.86,0,54.3,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,43.704,98.34375,8.82,20.0018,20.73185,342

