Block,Time Block,RAPPB,NLCEXP,NLCIIST1,NJPC,NLCIIST2,RAMPUR,NLCTS2EXP,RAPPC,NNTPP,NAPP,NTPL,PARBATI3,TelanganaSTPP,TEHRI,CHAMERA3,BSIUL,CHAMERA2,DHAULIGNGA,BRBCL,DADRT2,FSTPP I & II,DULHASTI,CHAMERA1,KOTESHWR,MAPS,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,KUDGI,KHSTPP-II,KHSTPP-I,KGSU3AND4,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_GF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_CRF,URI,URI2,UNCHAHAR2,UNCHAHAR3,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,KGSU1AND2,JHAJJAR,TALA,RIHAND2,SASAN,RIHAND1,TANDA2,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,SIMHST2,RSTPSU7,TALST2,SALAL,SEWA2,SINGRAULI,TANAKPUR,RIHAND3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,161.84,0,3.43,0,58.48,0,44.26,0,20.42,0,74.48,20.7,6.31,27.45,38.93,15.54,365.45,15.17,52.1,40.82,37.42,0,0,0,3.88,1.39,0,76.83,34.9,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,35.2,23.28,0,11.85,0,0,0,182.46,9.68,90.08,223.36,29.8,0,0,0,0,0,0,0,81.03,16.82,115.99,12.59,85.63,0,0,0,0,0

2,00:15-00:30,0,0,0,161.84,0,3.43,0,58.48,0,44.26,0,20.42,0,74.48,20.7,6.31,27.45,38.93,14.84,365.45,15.17,52.1,40.82,37.42,0,0,0,3.88,1.39,0,76.83,34.9,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,35.2,23.28,0,11.85,0,0,0,182.46,9.68,90.08,223.36,29.8,0,0,0,0,0,0,0,81.03,16.82,115.99,12.59,85.63,0,0,0,0,0

3,00:30-00:45,0,0,0,161.84,0,3.43,0,58.48,0,44.26,0,20.42,0,74.48,20.7,6.31,27.45,38.93,13.64,365.45,12.39,52.1,27.21,37.42,0,0,0,3.88,1.39,0,76.83,34.9,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,35.2,23.28,0,11.85,0,0,0,182.46,9.68,90.08,223.36,29.81,0,0,0,0,0,0,0,81.03,16.82,116.03,12.59,85.63,0,0,0,0,0

4,00:45-01:00,0,0,0,161.84,0,3.43,0,58.48,0,44.26,0,20.42,0,74.48,20.7,6.31,27.45,38.93,12.55,365.45,12.39,52.1,27.21,37.42,0,0,0,3.88,1.39,0,76.83,34.9,0,0,0,0,0,0,0,0,0,0,0,0,0,48.65,35.2,23.28,0,11.85,0,0,0,182.46,9.68,90.08,223.36,29.81,0,0,0,0,0,0,0,81.03,16.82,116.03,12.59,85.63,0,0,0,0,0

5,01:00-01:15,0,0,0,161.84,0,3.43,0,58.48,0,44.26,0,20.42,0,74.48,20.7,6.31,27.45,38.93,10.97,365.45,12.39,52.1,27.21,37.42,0,0,0,3.88,1.39,0,76.83,34.9,0,0,0,0,0,0,0,0,0,0,0,0,0,48.65,35.2,23.28,0,11.85,0,0,0,182.46,9.68,90.08,223.36,29.81,0,0,0,0,0,0,0,81.03,11.22,116.03,12.59,85.63,0,0,0,0,0

