Time,Block,NR/2023/12252/D,NR/2023/11960/F,NR/2023/11958/F,NR/2023/11941/F,NR/2023/11955/F,NR/2023/10487/A,NR/2023/11476/A,NR/2023/11957/F,NR/2023/11643/A,NR/2023/12267/C,NR/2023/11956/F,NR/2023/11862/F,NR/2023/10236/A,NR/2023/10613/A,NR/2023/10944/A,NR/2023/11947/F,NR/2023/12289/C,NR/2023/11959/F,NR/2023/12261/C,NR/2023/11952/F,NR/2023/10229/A,NR/2023/11962/F,NR/2023/10434/A,NR/2023/11961/F,NR/2023/12266/C,NR/2023/11642/A,NR/2023/10344/A,NR/2023/11963/F,NR/2023/11330/A,NR/2023/11342/A,NR/2023/12258/D,NR/2023/12257/D,NR/2023/12253/D,Total
,,NVVNL,SHPPBPL,SHPPBPL,NVVNL,SHPPBPL,TPTCL,IEXL,SHPPBPL,MANIKARAN,HPXL,SHPPBPL,APPCPL,NVVNL,APPCPL,APPCPL,HPXL,PXIL,SHPPBPL,GBHHPL,KEIPL,NVVNL,SHPPBPL,NVVNL,SHPPBPL,TPDDL,MANIKARAN,BYPL,SHPPBPL,APPCPL,IEXL,TS1PL_BKN,TS1PL_BKN,NVVNL,Total

,,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MANIPUR,NA,NAGALAND,HIMACHAL PRADESH,MAHARASHTRA,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,TELANGANA,NA,NA,NA,
,,KAMENG,SHPPBPL,SHPPBPL,SKS Raigarh,SHPPBPL,APNRL,JSPL_DCPP,SHPPBPL,HP,Teesta_III,SHPPBPL,Manipur_Ben,ILFS,Nagaland_Ben,HP,B_S_ISPAT_MH,BYPL,SHPPBPL,GBHHPL,Meghalaya_Ben,JPNIGRIE_JNSTPP,SHPPBPL,SEIL,SHPPBPL,CHANJUII,HP,Meghalaya_Ben,SHPPBPL,HP,NAVABHARAT,TS1PL_BKN,TS1PL_BKN,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,RAJASTHAN,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,TPDDL,MAX-HPTL,AISHER,NDMC,BAL184,TPDDL,BRPL,BAL234,BRPL,BRPL,BAL224,STT,BRPL,BYPL,BYPL,NDMC,RUVNL,BMDRC,DIAPL,BYPL,BRPL,MHIL,TPDDL,JHPL-DL,TPDDL,BRPL,BYPL,UHL,BRPL,BRPL,BYPL,BRPL,MES (Delhi),
,,North East-East-North,North-North,North-North,West-North,North-North,East-North,West-North,North-North,North-North,East-North,North-North,North East-East-North,South-West-North,North East-East-North,North-North,West-North,North-North,North-North,North-North,North East-East-North,West-North,North-North,South-West-North,North-North,North-North,North-North,North East-East-North,North-North,North-North,South-West-North,North-North,North-North,West-North,
1,00:00-00:15,66.870000,0.640000,0.560000,62.630000,0.360000,41.430000,48.180000,0.710000,13.010000,0.000000,0.370000,2.890000,213.720000,12.620000,23.120000,6.740000,0.000000,0.640000,27.430000,36.350000,42.740000,0.410000,24.090000,0.690000,13.610000,14.450000,12.210000,0.410000,53.960000,115.620000,0,0,0,836.46

2,00:15-00:30,66.870000,0.640000,0.560000,62.630000,0.360000,41.430000,48.180000,0.710000,13.010000,0.000000,0.370000,2.890000,213.720000,12.620000,23.120000,6.740000,0.000000,0.640000,27.430000,36.350000,42.740000,0.410000,24.090000,0.690000,13.610000,14.450000,12.210000,0.410000,53.960000,115.620000,0,0,0,836.46

3,00:30-00:45,66.870000,0.640000,0.560000,62.630000,0.360000,41.430000,48.180000,0.710000,13.010000,0.000000,0.370000,2.890000,213.720000,12.620000,23.120000,6.740000,0.000000,0.640000,27.430000,36.350000,42.740000,0.410000,24.090000,0.690000,13.610000,14.450000,12.210000,0.410000,53.960000,115.620000,0,0,0,836.46

4,00:45-01:00,66.870000,0.640000,0.560000,62.630000,0.360000,41.430000,48.180000,0.710000,13.010000,0.000000,0.370000,2.890000,213.720000,12.620000,23.120000,6.740000,0.000000,0.640000,27.430000,36.350000,42.740000,0.410000,24.090000,0.690000,13.610000,14.450000,12.210000,0.410000,53.960000,115.620000,0,0,0,836.46

5,01:00-01:15,66.870000,0.640000,0.560000,62.630000,0.360000,41.430000,48.180000,0.710000,13.010000,0.000000,0.370000,2.890000,213.720000,12.620000,23.120000,6.740000,0.000000,0.640000,27.430000,36.350000,42.740000,0.410000,24.090000,0.690000,13.610000,14.450000,12.210000,0.410000,53.960000,115.620000,0,0,0,836.46

6,01:15-01:30,66.870000,0.640000,0.560000,62.630000,0.360000,41.430000,48.180000,0.710000,13.010000,0.000000,0.370000,2.890000,213.720000,12.620000,23.120000,6.740000,0.000000,0.640000,27.430000,36.350000,42.740000,0.410000,24.090000,0.690000,13.610000,14.450000,12.210000,0.410000,53.960000,115.620000,0,0,0,836.46

7,01:30-01:45,66.870000,0.640000,0.560000,62.630000,0.360000,41.430000,48.180000,0.710000,13.010000,0.000000,0.370000,2.890000,213.720000,12.620000,23.120000,6.740000,0.000000,0.640000,27.430000,36.350000,42.740000,0.410000,24.090000,0.690000,13.610000,14.450000,12.210000,0.410000,53.960000,115.620000,0,0,0,836.46

8,01:45-02:00,66.870000,0.640000,0.560000,62.630000,0.360000,41.430000,48.180000,0.710000,13.010000,0.000000,0.370000,2.890000,213.720000,12.620000,23.120000,6.740000,0.000000,0.640000,27.430000,36.350000,42.740000,0.410000,24.090000,0.690000,13.610000,14.450000,12.210000,0.410000,53.960000,115.620000,0,0,0,836.46

9,02:00-02:15,66.870000,0.640000,0.560000,62.630000,0.360000,41.430000,48.180000,0.710000,13.010000,0.000000,0.370000,2.890000,213.720000,12.620000,23.120000,6.740000,0.000000,0.640000,27.430000,36.350000,42.740000,0.410000,24.090000,0.690000,13.520000,14.450000,12.210000,0.410000,53.960000,115.620000,0,0,0,836.37

10,02:15-02:30,66.870000,0.640000,0.560000,62.630000,0.360000,41.430000,48.180000,0.710000,13.010000,0.000000,0.370000,2.890000,213.720000,12.620000,23.120000,6.740000,0.000000,0.640000,27.430000,36.350000,42.740000,0.410000,24.090000,0.690000,13.520000,14.450000,12.210000,0.410000,53.960000,115.620000,0,0,0,836.37

