Block,Time,L_NR_2012_02,LT-36,L_NR_2012_04,LT-59,L_NR_2019_19,L_NR_2023_04,LT_MEJA_Delhi,SH-07,LT-31,L_NR_2012_07,L_NR_2020_02,SH-06,L_NR_2019_11,L_NR_2012_01,LT-05,LT-35,L_NR_2021_15,L_NR_2020_06,L_NR_2022_08,L_NR_2021_13,L_NR_2020_05,L_NR_2019_07,L_NR_2021_14,L_NR_2021_17,L_NR_2019_05,L_NR_2018_61,L_NR_2022_09,L_NR_2021_12,L_NR_2022_10,L_NR_2019_06,L_NR_2020_07,L_NR_2021_16
1,00:00-00:15,261.810000,0.000000,272.110000,5.910000,0.000000,0.000000,0.420000,0.000000,0.000000,87.270000,7.070000,0.000000,6.770000,101.350000,115.760000,0.000000,0,39.98,23.25,0,119.93,0,0,0,0,32.71,73.19,0,73.19,0,39.97,0

2,00:15-00:30,261.810000,0.000000,272.110000,5.910000,0.000000,0.000000,0.420000,0.000000,0.000000,87.270000,7.070000,0.000000,6.770000,101.350000,115.760000,0.000000,0,39.51,22.43,0,118.54,0,0,0,0,31.86,72.93,0,72.93,0,39.51,0

3,00:30-00:45,261.810000,0.000000,272.110000,5.910000,0.000000,0.000000,0.580000,0.000000,0.000000,87.270000,7.070000,0.000000,6.770000,101.350000,115.760000,0.000000,0,39.53,21.43,0,118.59,0,0,0,0,36.48,72.55,0,72.55,0,39.53,0

4,00:45-01:00,261.810000,0.000000,272.110000,5.910000,0.000000,0.000000,0.740000,0.000000,0.000000,87.270000,7.070000,0.000000,6.770000,101.350000,115.760000,0.000000,0,38.94,20.28,0,116.81,0,0,0,0,36.11,72.84,0,72.84,0,38.93,0

5,01:00-01:15,261.810000,0.000000,272.110000,5.760000,0.000000,0.000000,0.740000,0.000000,0.000000,87.270000,6.890000,0.000000,6.770000,101.350000,115.760000,0.000000,0,38.84,19.32,0,116.51,0,0,0,0,35.34,72.6,0,72.6,0,38.83,0

6,01:15-01:30,261.810000,0.000000,272.110000,5.760000,0.000000,0.000000,0.900000,0.000000,0.000000,87.270000,6.890000,0.000000,6.770000,101.350000,115.760000,0.000000,0,38.69,18.52,0,116.08,0,0,0,0,34.55,73.19,0,73.19,0,38.7,0

7,01:30-01:45,261.810000,0.000000,272.110000,5.760000,0.000000,0.000000,1.050000,0.000000,0.000000,87.270000,6.890000,0.000000,6.770000,101.350000,115.760000,0.000000,0,29.58,17.34,0,88.75,0,0,0,0,33.39,73.81,0,73.81,0,29.6,0

8,01:45-02:00,261.810000,0.000000,272.110000,5.760000,0.000000,0.000000,1.220000,0.000000,0.000000,87.270000,6.890000,0.000000,6.770000,101.350000,115.760000,0.000000,0,28.43,16.3,0,85.29,0,0,0,0,32.17,74.48,0,74.48,0,28.43,0
