Block,Time,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_35,NR/01102023/22052037/LT-59,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31102037/L_NR_2019_11,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01072024/04072024/1000011434-JITPL-BRPL(DISCOM),NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,NR/01102023/25122043/GNA_MEJA_DELHI,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_02,WR/01102023/29112042/RUMS(L_NR_2019_06),SR/01102023/07102043/L_NR_2018_61,NR/01102023/19072037/LT-05,NR/01102023/05012040/L_NR_2020_02,NR/22102023/11042047/L_NR_2021_16,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/R2,NR/22102023/11042047/L_NR_2021_17,NR/01102023/08032047/L_NR_2021_14,NR/01072024/15072024/NR/01072024/15072024/717759,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/13082046/L_NR_2021_12,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/01102023/L_NR_2022_09,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,WR/01102023/16072048/L_NR_2022_08,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/01102023/02012046/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13
1,00:00-00:15,30.840000,0.000000,10.390000,100.420000,10.580000,272.540000,96.390000,86.940000,0.000000,0.000000,0,0,0.000000,34.17,102.5,0.000000,24.770000,0,34.16,65,30.840000,261.700000,0,20.2,115.220000,8.900000,0,96.390000,0.000000,38.560000,24.100000,0,0,192.780000,12.760000,0,31.290000,65,12.420000,29.34,72.290000,18.680000,0,0,0,0,0,0

2,00:15-00:30,30.840000,0.000000,10.390000,100.420000,10.580000,272.540000,96.390000,86.940000,0.000000,0.000000,0,0,0.000000,33.33,100,0.000000,24.770000,0,33.34,64.33,30.840000,261.700000,0,21.41,115.220000,8.900000,0,96.390000,0.000000,38.560000,24.100000,0,0,192.780000,12.760000,0,31.290000,64.33,12.420000,29,72.290000,18.680000,0,0,0,0,0,0

3,00:30-00:45,30.840000,0.000000,10.390000,100.420000,10.580000,272.540000,96.390000,86.940000,0.000000,0.000000,0,0,0.000000,33.33,100,0.000000,24.770000,0,33.34,63.67,30.840000,261.700000,0,21.21,115.220000,8.900000,0,96.390000,0.000000,38.560000,24.100000,0,0,192.780000,12.760000,0,30.280000,63.67,12.420000,28.34,72.290000,18.680000,0,0,0,0,0,0

4,00:45-01:00,30.840000,0.000000,10.390000,100.420000,10.580000,272.540000,96.390000,86.940000,0.000000,0.000000,0,0,0.000000,32.33,97,0.000000,24.770000,0,32.34,63.67,30.840000,261.700000,0,19.4,115.220000,8.900000,0,96.390000,0.000000,38.560000,24.100000,0,0,192.780000,12.760000,0,30.280000,63.67,12.420000,27.66,72.290000,18.680000,0,0,0,0,0,0

5,01:00-01:15,30.840000,0.000000,10.390000,100.420000,10.580000,272.540000,96.390000,86.940000,0.000000,0.000000,0,0,0.000000,32,96,0.000000,24.770000,0,32,63.67,30.840000,261.700000,0,18.6,115.220000,8.620000,0,96.390000,0.000000,38.560000,24.100000,0,0,192.780000,12.760000,0,30.280000,63.67,12.420000,27.34,72.290000,18.680000,0,0,0,0,0,0

6,01:15-01:30,30.840000,0.000000,10.390000,100.420000,10.580000,272.540000,96.390000,86.940000,0.000000,0.000000,0,0,0.000000,32,96,0.000000,24.770000,0,32,63.67,30.840000,261.700000,0,23.01,115.220000,8.620000,0,96.390000,0.000000,38.560000,24.100000,0,0,192.780000,12.760000,0,30.280000,63.67,12.420000,27.34,72.290000,18.680000,0,0,0,0,0,0

7,01:30-01:45,30.840000,0.000000,10.390000,100.420000,10.580000,272.540000,96.390000,86.940000,0.000000,0.000000,0,0,0.000000,32.33,97,0.000000,24.770000,0,32.34,70,30.840000,261.700000,0,23.01,115.220000,8.620000,0,96.390000,0.000000,38.560000,24.100000,0,0,192.780000,12.760000,0,30.280000,70,12.420000,34.34,72.290000,18.680000,0,0,0,0,0,0

8,01:45-02:00,30.840000,0.000000,10.390000,100.420000,10.580000,272.540000,96.390000,86.940000,0.000000,0.000000,0,0,0.000000,32.5,97.5,0.000000,24.770000,0,32.5,69.67,30.840000,261.700000,0,23.01,115.220000,8.620000,0,96.390000,0.000000,38.560000,24.100000,0,0,192.780000,12.760000,0,30.280000,69.67,12.420000,33,72.290000,18.680000,0,0,0,0,0,0

9,02:00-02:15,30.840000,0.000000,10.390000,53.010000,10.580000,272.540000,96.390000,76.430000,0.000000,0.000000,0,0,0.000000,34.83,104.5,0.000000,24.770000,0,34.84,71.67,30.840000,228.040000,0,22.61,115.220000,8.340000,0,96.390000,0.000000,38.560000,24.100000,0,0,192.780000,12.760000,0,30.280000,71.67,12.420000,33,72.290000,18.500000,0,0,0,0,0,0

10,02:15-02:30,30.840000,0.000000,10.390000,53.010000,10.580000,272.540000,96.390000,76.430000,0.000000,0.000000,0,0,0.000000,34.33,103,0.000000,24.770000,0,34.34,71,30.840000,228.040000,0,22.21,115.220000,8.340000,0,96.390000,0.000000,38.560000,24.100000,0,0,192.780000,12.760000,0,30.280000,71,12.420000,32.66,72.290000,18.500000,0,0,0,0,0,0

11,02:30-02:45,23.490000,0.000000,10.390000,53.010000,10.580000,272.540000,96.390000,76.430000,0.000000,0.000000,0,0,0.000000,34.33,103,0.000000,24.770000,0,34.34,71,23.490000,228.040000,0,15,85.000000,8.340000,0,96.390000,0.000000,38.560000,24.100000,0,0,192.780000,12.760000,0,30.280000,71,12.420000,36,72.290000,18.500000,0,0,0,0,0,0

12,02:45-03:00,23.490000,0.000000,10.390000,53.010000,10.580000,272.540000,96.390000,76.430000,0.000000,0.000000,0,0,0.000000,34.17,102.5,0.000000,24.770000,0,34.16,70.67,23.490000,228.040000,0,15,70.270000,8.340000,0,96.390000,0.000000,38.560000,24.100000,0,0,192.780000,12.760000,0,30.280000,70.67,12.420000,35.34,72.290000,18.500000,0,0,0,0,0,0

13,03:00-03:15,23.490000,0.000000,10.390000,53.010000,10.580000,272.540000,96.390000,57.540000,0.000000,0.000000,0,0,0.000000,34.17,102.5,0.000000,24.770000,0,34.16,70.67,23.490000,228.040000,0,14.6,70.270000,8.070000,0,96.390000,0.000000,0.000000,24.100000,0,0,192.780000,12.760000,0,30.280000,70.67,12.420000,35,72.290000,18.310000,0,0,0,0,0,0

14,03:15-03:30,25.940000,0.000000,10.390000,53.010000,10.580000,272.540000,96.390000,57.540000,0.000000,0.000000,0,0,0.000000,33.83,101.5,0.000000,24.770000,0,33.84,70.33,25.940000,228.040000,0,14.2,70.270000,8.070000,0,96.390000,0.000000,0.000000,24.100000,0,0,192.780000,12.760000,0,30.280000,70.33,12.420000,35,72.290000,18.310000,0,0,0,0,0,0

15,03:30-03:45,25.940000,0.000000,10.390000,53.010000,10.580000,272.540000,96.390000,57.540000,0.000000,0.000000,0,0,0.000000,37.33,112,0.000000,24.770000,0,37.34,73.33,25.940000,191.470000,0,13.8,70.270000,8.070000,0,96.390000,0.000000,0.000000,24.100000,0,0,192.780000,12.760000,0,30.280000,73.33,12.420000,37,72.290000,18.310000,0,0,0,0,0,0

