Column1,Block,NR/2024/23639/A/41595,NR/2024/23640/A/41594,GNA/NR/2024/10/16/2350,NR/2024/23384/A/41563,GNA/NR/2024/10/01/3642,NR/2024/23382/A/41730,NR/2024/23743/C,NR/2024/23694/A/41593,GNA/NR/2024/10/01/6101,NR/2024/23383/A/41557,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/23745/C,GNA/WR/2024/10/15/7089,GNA/NR/2024/10/01/8106,NR/30092023/26122029/SH-06,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/01/9072,NR/30092023/31122025/SH-07,GNA/NR/2024/10/16/4393,Total
,,SJVNL,SJVNL,PTC,IEXL,NDMC,NVVNL,TPDDL,DIAPL,NDMC,ITCLH,DELHI,NVVNL,APPCPL,NDMC,PUNJAB,NDMC,NDMC,BAWANA_GAS,PTC,
,,NA,NA,DELHI_UT,KARNATAKA_STATE,NA,NA,NA,HIMACHAL_STATE,NA,ANDHRA_PRADESH_STATE,HIMACHAL_STATE,NA,DELHI_UT,NA,DELHI_UT,NA,NA,DELHI_UT,DELHI_UT,
,,RSRPL_BKN,TPSL_BKN2,BYPL,NSLSUGAR,RKM_POWER,JITPL,JHAJJAR,GBHHPL,JPL2,ITCWIND,CHANJUII,SOLAPUR_SOLAR,BYPL,TRN_ENERGY,BAWANA_GAS,SKS_Raigarh,RKM_POWER,BAWANA_GAS,BRPL,
,,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,HARYANA_STATE,HIMACHAL_STATE,
,,NDMC,NDMC,HP,MES_Delhi,NDMC,NDMC,TPDDL,DIAPL,NDMC,ITCLH,TPDDL,MES_Delhi,AEML,NDMC,PUNJAB,NDMC,NDMC,HARYANA,HP,
,,North-North,North-North,North-North,South-West-North,West-North,East-North,North-North,North-North,West-North,South-West-North,North-North,West-North,North-West,West-North,North-North,West-North,West-North,North-North,North-North,
1,00:00-00:15,0,0,47.56,6.75,26.28,24.83,0,2.89,26.28,0.58,4.33,0,200,8.76,32,8.76,26.28,0,142.69,557.99

2,00:15-00:30,0,0,47.56,6.75,26.28,24.83,0,2.89,26.28,0.58,4.33,0,200,8.76,32,8.76,26.28,0,142.69,557.99

3,00:30-00:45,0,0,47.56,6.75,26.28,24.83,0,2.89,26.28,0.58,4.33,0,200,8.76,32,8.76,26.28,0,142.69,557.99

4,00:45-01:00,0,0,47.56,6.75,26.28,24.83,0,2.89,26.28,0.58,4.33,0,200,8.76,32,8.76,26.28,0,142.69,557.99

5,01:00-01:15,0,0,47.56,6.75,26.28,24.83,0,2.89,26.28,0.53,4.33,0,200,8.76,0,8.76,26.28,0,142.69,525.94

6,01:15-01:30,0,0,47.56,6.75,26.28,24.83,0,2.89,26.28,0.53,4.33,0,200,8.76,0,8.76,26.28,0,142.69,525.94

7,01:30-01:45,0,0,47.56,6.75,26.28,24.83,0,2.89,26.28,0.53,4.33,0,200,8.76,0,8.76,26.28,0,142.69,525.94

8,01:45-02:00,0,0,47.56,6.75,26.28,24.83,0,2.89,26.28,0.53,4.33,0,200,8.76,0,8.76,26.28,0,142.69,525.94

9,02:00-02:15,0,0,47.56,6.75,26.28,24.83,0,2.89,26.28,0.48,4.33,0,0,8.76,23.76,8.76,26.28,23.76,142.69,373.40999999999997

10,02:15-02:30,0,0,47.56,6.75,26.28,24.83,0,2.89,26.28,0.48,4.33,0,0,8.76,23.76,8.76,26.28,23.76,142.69,373.40999999999997

11,02:30-02:45,0,0,47.56,6.75,26.28,24.83,0,2.89,26.28,0.48,4.33,0,0,8.76,23.76,8.76,26.28,23.76,142.69,373.40999999999997

12,02:45-03:00,0,0,47.56,6.75,26.28,24.83,0,2.89,26.28,0.48,4.33,0,0,8.76,23.76,8.76,26.28,23.76,142.69,373.40999999999997

13,03:00-03:15,0,0,47.56,6.75,26.28,24.83,0,2.89,26.28,0.43,4.33,0,0,8.76,26.91,8.76,26.28,26.91,142.69,379.65999999999997

14,03:15-03:30,0,0,47.56,6.75,26.28,24.83,0,2.89,26.28,0.43,4.33,0,0,8.76,26.91,8.76,26.28,26.91,142.69,379.65999999999997

15,03:30-03:45,0,0,47.56,6.75,26.28,24.83,0,2.89,26.28,0.43,4.33,0,0,8.76,26.91,8.76,26.28,26.91,142.69,379.65999999999997

16,03:45-04:00,0,0,47.56,6.75,26.28,24.83,0,2.89,26.28,0.43,4.33,0,0,8.76,26.91,8.76,26.28,26.91,142.69,379.65999999999997

17,04:00-04:15,0,0,47.56,6.75,26.28,24.83,0,2.89,26.28,0.43,4.33,0,0,8.76,26.91,8.76,26.28,26.91,142.69,379.65999999999997

18,04:15-04:30,0,0,47.56,6.75,26.28,24.83,0,2.89,26.28,0.43,4.33,0,0,8.76,26.91,8.76,26.28,26.91,142.69,379.65999999999997

19,04:30-04:45,0,0,47.56,6.75,26.28,24.83,0,2.89,26.28,0.43,4.33,0,0,8.76,26.91,8.76,26.28,26.91,142.69,379.65999999999997

20,04:45-05:00,0,0,47.56,6.75,26.28,24.83,0,2.89,26.28,0.43,4.33,0,0,8.76,26.91,8.76,26.28,26.91,142.69,379.65999999999997

21,05:00-05:15,0,0,47.56,6.75,26.28,24.83,0,2.89,26.28,0.48,4.23,0,0,8.76,26.91,8.76,26.28,26.91,142.69,379.60999999999996

22,05:15-05:30,0,0,47.56,6.75,26.28,24.83,0,2.89,26.28,0.48,4.23,0,0,8.76,26.91,8.76,26.28,26.91,142.69,379.60999999999996

23,05:30-05:45,0,0,47.56,6.75,26.28,24.83,0,2.89,26.28,0.48,4.23,0,0,8.76,26.91,8.76,26.28,26.91,142.69,379.60999999999996

24,05:45-06:00,0,0,47.56,6.75,26.28,24.83,0,2.89,26.28,0.48,4.23,0,0,8.76,26.91,8.76,26.28,26.91,142.69,379.60999999999996

