Column1,Block,NR/2024/24071/A/44826,NR/2024/24060/A/45017,NR/2024/23952/A/44812,NR/2024/24097/A/44822,NR/2024/24186/C,NR/2024/24088/A/44829,NR/2024/24187/C,NR/2024/24052/A/44825,NR/2024/24051/A/44824,WR/2024/25054/A/44993,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/1599,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1475,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/1766,NR/30092023/31122025/SH-07,GNA/WR/2024/10/15/7089,GNA/NR/2024/12/01/3428,NR/30092023/26122029/SH-06,GNA/WR/2024/11/01/4200,GNA/NR/2024/12/01/2197,Total
,,IEXL,NVVNL,ITCLH,IEXL,SJVNL,IEXL,SJVNL,IEXL,IEXL,APPCPL,DELHI,NDMC,PTC,KSEB,NDMC,PTC,NDMC,BAWANA_GAS,APPCPL,NDMC,PUNJAB,MANIKARAN,NDMC,
,,NA,NA,ANDHRA_PRADESH_STATE,KARNATAKA_STATE,NA,KARNATAKA_STATE,NA,TELANGANA_State,TELANGANA_State,DELHI_UT,HIMACHAL_STATE,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,DELHI_UT,NA,
,,TESPL_BKN2,JITPL,ITCWIND,NSLSUGARALAND,RSRPL_BKN,NSLSTUNGBHDRA,TPSL_BKN2,NSLKSLWPRTY,NSLKSLWPRTY,BRPL,CHANJUII,TRN_ENERGY,BRPL,BYPL,JPL2,BYPL,RKM_POWER,BAWANA_GAS,BYPL,SKS_Raigarh,BAWANA_GAS,BRPL,RKM_POWER,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,HIMACHAL_STATE,KERALA_State,DELHI_UT,HIMACHAL_STATE,DELHI_UT,HARYANA_STATE,MSEB_State,DELHI_UT,PUNJAB_STATE,MSEB_State,DELHI_UT,
,,MES_Delhi,NDMC,ITCLH,MES_Delhi,NDMC,MES_Delhi,NDMC,MES_Delhi,MES_Delhi,GOA_Beneficiary,TPDDL,NDMC,HP,KSEB,NDMC,HP,NDMC,HARYANA,AEML,NDMC,PUNJAB,AEML,NDMC,
,,North-North,East-North,South-West-North,South-West-North,North-North,South-West-North,North-North,South-West-North,South-West-North,North-West,North-North,West-North,North-North,North-West-South,West-North,North-North,West-North,North-North,North-West,West-North,North-North,North-West,West-North,
1,00:00-00:15,0,17.31,0.43,7.69,0,0.96,0,2.89,0,0,1.92,8.66,95.13,150,25.97,31.71,25.97,0,0,8.66,0,0,25.97,403.27

2,00:15-00:30,0,17.31,0.43,7.69,0,0.96,0,2.89,0,0,1.92,8.66,95.13,150,25.97,31.71,25.97,0,0,8.66,0,0,25.97,403.27

3,00:30-00:45,0,17.31,0.43,7.69,0,0.96,0,2.89,0,0,1.92,8.66,95.13,150,25.97,31.71,25.97,0,0,8.66,0,0,25.97,403.27

4,00:45-01:00,0,17.31,0.43,7.69,0,0.96,0,2.89,0,0,1.92,8.66,95.13,150,25.97,31.71,25.97,0,0,8.66,0,0,25.97,403.27

5,01:00-01:15,0,17.31,0.38,7.69,0,0.96,0,2.89,0,0,1.92,8.66,95.13,150,25.97,31.71,25.97,0,0,8.66,0,0,25.97,403.2199999999999

6,01:15-01:30,0,17.31,0.38,7.69,0,0.96,0,2.89,0,0,1.92,8.66,95.13,150,25.97,31.71,25.97,0,0,8.66,0,0,25.97,403.2199999999999

7,01:30-01:45,0,17.31,0.38,7.69,0,0.96,0,2.89,0,0,1.92,8.66,95.13,150,25.97,31.71,25.97,0,0,8.66,0,0,25.97,403.2199999999999

8,01:45-02:00,0,17.31,0.38,7.69,0,0.96,0,2.89,0,0,1.92,8.66,95.13,150,25.97,31.71,25.97,0,0,8.66,0,0,25.97,403.2199999999999

9,02:00-02:15,0,17.31,0.38,7.69,0,0.96,0,2.89,0,0,1.92,8.66,95.13,150,25.97,31.71,25.97,0,0,8.66,0,0,25.97,403.2199999999999

10,02:15-02:30,0,17.31,0.38,7.69,0,0.96,0,2.89,0,0,1.92,8.66,95.13,150,25.97,31.71,25.97,0,0,8.66,0,0,25.97,403.2199999999999

11,02:30-02:45,0,17.31,0.38,7.69,0,0.96,0,2.89,0,0,1.92,8.66,95.13,150,25.97,31.71,25.97,0,0,8.66,0,0,25.97,403.2199999999999

12,02:45-03:00,0,17.31,0.38,7.69,0,0.96,0,2.89,0,0,1.92,8.66,95.13,150,25.97,31.71,25.97,0,0,8.66,0,0,25.97,403.2199999999999

13,03:00-03:15,0,17.31,0.34,7.69,0,0.96,0,2.89,0,0,1.92,8.66,95.13,150,25.97,31.71,25.97,0,0,8.66,0,0,25.97,403.17999999999995

14,03:15-03:30,0,17.31,0.34,7.69,0,0.96,0,2.89,0,0,1.92,8.66,95.13,150,25.97,31.71,25.97,0,0,8.66,0,0,25.97,403.17999999999995

15,03:30-03:45,0,17.31,0.34,7.69,0,0.96,0,2.89,0,0,1.92,8.66,95.13,150,25.97,31.71,25.97,0,0,8.66,0,0,25.97,403.17999999999995

16,03:45-04:00,0,17.31,0.34,7.69,0,0.96,0,2.89,0,0,1.92,8.66,95.13,150,25.97,31.71,25.97,0,0,8.66,0,0,25.97,403.17999999999995

17,04:00-04:15,0,17.31,0.43,7.69,0,0.96,0,2.89,0,0,1.92,8.66,95.13,150,25.97,31.71,25.97,0,0,8.66,0,0,25.97,403.27

18,04:15-04:30,0,17.31,0.43,7.69,0,0.96,0,2.89,0,0,1.92,8.66,95.13,150,25.97,31.71,25.97,0,0,8.66,0,0,25.97,403.27

19,04:30-04:45,0,17.31,0.43,7.69,0,0.96,0,2.89,0,0,1.92,8.66,95.13,150,25.97,31.71,25.97,0,0,8.66,0,0,25.97,403.27

20,04:45-05:00,0,17.31,0.43,7.69,0,0.96,0,2.89,0,0,1.92,8.66,95.13,150,25.97,31.71,25.97,0,0,8.66,0,0,25.97,403.27

21,05:00-05:15,0,17.31,0.43,7.69,0,4.81,0,2.89,0,0,1.92,8.66,95.13,150,25.97,31.71,25.97,0,0,8.66,0,0,25.97,407.1199999999999

22,05:15-05:30,0,17.31,0.43,7.69,0,4.81,0,2.89,0,0,1.92,8.66,95.13,150,25.97,31.71,25.97,0,0,8.66,0,0,25.97,407.1199999999999

23,05:30-05:45,0,17.31,0.43,14.43,0,4.81,0,2.89,2.89,0,1.92,8.66,95.13,150,25.97,31.71,25.97,0,0,8.66,0,0,25.97,416.75

24,05:45-06:00,0,17.31,0.43,14.43,0,4.81,0,2.89,2.89,0,1.92,8.66,95.13,150,25.97,31.71,25.97,0,0,8.66,0,0,25.97,416.75

25,06:00-06:15,0,17.31,0.43,14.43,0,4.81,0,2.89,2.89,0,1.92,8.66,0,150,28.85,0,28.85,0,0,8.66,0,0,28.85,298.55000000000007

26,06:15-06:30,0,17.31,0.43,14.43,0,4.81,0,2.89,2.89,0,1.92,8.66,0,150,28.85,0,28.85,0,0,8.66,0,0,28.85,298.55000000000007

27,06:30-06:45,0,17.31,0.43,14.43,0,4.81,0,2.89,2.89,0,1.92,8.66,0,150,31.74,0,31.74,0,0,8.66,0,0,31.74,307.22

28,06:45-07:00,0,17.31,0.43,14.43,0,4.81,0,2.89,2.89,0,1.92,8.66,0,150,31.74,0,31.74,0,0,8.66,0,0,31.74,307.22

29,07:00-07:15,0,28.85,0.53,14.43,0,4.81,0,2.89,2.89,0,1.92,8.66,0,150,31.74,0,31.74,0,0,8.66,0,0,31.74,318.86000000000007

30,07:15-07:30,0,28.85,0.53,14.43,0,4.81,0,2.89,2.89,0,1.92,8.66,0,150,31.74,0,31.74,0,0,8.66,0,0,31.74,318.86000000000007

31,07:30-07:45,0,28.85,0.53,14.43,0,4.81,0,2.89,2.89,0,1.92,8.66,0,150,34.62,0,34.62,0,0,8.66,0,0,34.62,327.50000000000006

32,07:45-08:00,0,28.85,0.53,14.43,0,4.81,0,2.89,2.89,0,1.92,8.66,0,150,34.62,0,34.62,0,0,8.66,0,0,34.62,327.50000000000006

33,08:00-08:15,0,28.85,0.82,14.43,0,4.81,0,2.89,2.89,0,1.84,11.54,0,150,36.54,0,36.54,0,0,11.54,0,0,36.54,339.23

34,08:15-08:30,0,28.85,0.82,14.43,0,4.81,0,2.89,2.89,0,1.84,11.54,0,150,36.54,0,36.54,0,0,11.54,0,0,36.54,339.23

35,08:30-08:45,0,28.85,0.82,7.69,0,4.81,0,2.89,0,0,1.84,11.54,0,150,36.54,0,36.54,0,0,11.54,0,0,36.54,329.6

36,08:45-09:00,0,28.85,0.82,7.69,0,4.81,0,2.89,0,0,1.84,11.54,0,150,36.54,0,36.54,0,0,11.54,0,0,36.54,329.6

37,09:00-09:15,3.85,28.85,0.82,7.69,14.91,4.81,25.49,2.89,0,0,1.92,8.66,0,150,28.85,0,28.85,0,0,8.66,0,0,28.85,345.1000000000001

38,09:15-09:30,3.85,28.85,0.82,7.69,22.79,4.81,30.1,2.89,0,0,1.92,8.66,0,150,28.85,0,28.85,0,0,8.66,0,0,28.85,357.5900000000001

39,09:30-09:45,3.85,28.85,0.82,7.69,22.12,4.81,30.77,2.89,0,0,1.92,8.66,0,150,28.85,0,28.85,0,0,8.66,0,0,28.85,357.5900000000001

40,09:45-10:00,3.85,28.85,0.82,7.69,22.12,4.81,30.77,2.89,0,0,1.92,8.66,0,150,28.85,0,28.85,0,0,8.66,0,0,28.85,357.5900000000001

41,10:00-10:15,4.81,28.85,0.82,7.69,22.12,4.81,26.35,2.89,0,0,1.92,8.66,0,150,28.85,0,28.85,0,0,8.66,0,0,28.85,354.1300000000001

42,10:15-10:30,4.81,28.85,0.82,7.69,22.12,4.81,26.35,2.89,0,0,1.92,8.66,0,150,28.85,0,28.85,0,0,8.66,0,0,28.85,354.1300000000001

43,10:30-10:45,4.81,28.85,0.82,7.69,21.93,4.81,26.35,2.89,0,0,1.92,8.66,0,150,28.85,0,28.85,0,0,8.66,0,0,28.85,353.9400000000001

44,10:45-11:00,4.81,28.85,0.82,7.69,22.12,4.81,26.16,2.89,0,0,1.92,8.66,0,150,28.85,0,28.85,0,0,8.66,0,0,28.85,353.9400000000001

45,11:00-11:15,6.73,28.85,0.82,7.69,18.18,0,29.72,3.85,0,0,1.92,8.66,0,150,25.97,0,25.97,0,0,8.66,0,0,25.97,342.99

46,11:15-11:30,6.73,28.85,0.82,7.69,13.08,0,34.33,3.85,0,0,1.92,8.66,0,150,25.97,0,25.97,0,0,8.66,0,0,25.97,342.5

47,11:30-11:45,6.73,28.85,0.82,7.69,9.62,0,37.41,3.85,0,0,1.92,8.66,0,150,25.97,0,25.97,0,0,8.66,0,0,25.97,342.12

48,11:45-12:00,6.73,28.85,0.82,7.69,22.12,0,26.06,3.85,0,0,1.92,8.66,0,150,25.97,0,25.97,0,0,8.66,0,0,25.97,343.27

49,12:00-12:15,6.73,28.85,0.82,7.69,14.43,0,32.99,3.85,0,0,1.92,8.66,0,150,25.97,0,25.97,0,0,8.66,0,0,25.97,342.51
