Time,Block,NR/2023/13254/A,NR/2023/16077/A,NR/2023/17440/C,NR/2023/13148/A,NR/2023/17441/C,NR/2023/17450/C,NR/2023/17456/C,NR/2023/16291/F,NR/2023/17427/D,NR/2023/13150/A,NR/2023/17457/C,NR/2023/13165/A,NR/2023/13387/A,NR/2023/16191/A,NR/2023/17460/C,NR/2023/16185/A,NR/2023/15770/A,NR/2023/16073/A,NR/2023/17429/D,NR/2023/17444/C,NR/2023/13253/A,NR/2023/13383/A,NR/2023/17442/C,NR/2023/17449/C,NR/2023/17445/C,NR/2023/13385/A,NR/2023/13168/A,NR/2023/17447/C,Total
,,APPCPL,APPCPL,SJVNL,KEIPL,SJVNL,PXIL,IEXL,ITCLH,NVVNL,KEIPL,PXIL,GMRETL,NVVNL,MANIKARAN,IEXL,MANIKARAN,NVVNL,APPCPL,NVVNL,TPDDL,APPCPL,APPCPL,GBHHPL,PXIL,PXIL,NVVNL,GMRETL,SJVNL,Total

,,MEGHALAYA,HIMACHAL PRADESH,ARUNACHAL PRADESH,MEGHALAYA,UTTAR PRADESH,DELHI,NA,ANDHRA PRADESH,NA,MEGHALAYA,NA,MEGHALAYA,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,GOA,NA,HIMACHAL PRADESH,UTTARAKHAND,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,MP,MEGHALAYA,NA,
,,Meghalaya_Ben,HP,Arunachal_Ben,Meghalaya_Ben,BCMLB001,BYPL,RKM_POWER,ITCWIND,SOLAPUR_SOLAR,Meghalaya_Ben,RKM_POWER,Meghalaya_Ben,JPNIGRIE_JNSTPP,HP,Teesta_III,HP,SKS Raigarh,GOA_Beneficiary,KAMENG,CHANJUII,UTTARAKHAND,HP,GBHHPL,BYPL,HP-GOVT,JP BINA,Meghalaya_Ben,RSRPL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,
,,BYPL,BRPL,NDMC,BYPL,NDMC,ASIL_UP,BRPL,ITCLH,MES (Delhi),BYPL,BRPL,BYPL,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,TPDDL,TPDDL,BYPL,BYPL,DIAPL,AMBASTL,BRPL,BRPL,BYPL,NDMC,
,,North East-East-North,North-North,North East-East-North,North East-East-North,North-North,North-North,West-East-North,South-West-North,West-North,North East-East-North,West-North,North East-East-North,West-North,North-North,East-North,North-North,West-North,West-North,North East-East-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,North East-East-North,North-North,
1,00:00-00:15,19.610000,85.930000,0.000000,36.470000,0.000000,0.000000,193.320000,0.870000,0,63.020000,0.000000,22.230000,100.040000,42.050000,430.140000,38.660000,62.830000,24.160000,112.610000,7.750000,48.330000,36.830000,6.050000,0.000000,0.000000,50.020000,34.800000,0,1415.72

2,00:15-00:30,19.610000,85.930000,0.000000,36.470000,0.000000,0.000000,193.320000,0.870000,0,63.020000,0.000000,22.230000,100.040000,42.050000,404.040000,38.660000,62.830000,24.160000,112.610000,7.750000,48.330000,36.830000,6.050000,0.000000,0.000000,50.020000,34.800000,0,1389.62

3,00:30-00:45,19.610000,85.930000,0.000000,36.470000,0.000000,0.000000,193.320000,0.870000,0,63.020000,0.000000,22.230000,100.040000,42.050000,394.370000,38.660000,62.830000,24.160000,112.610000,7.750000,48.330000,36.830000,6.050000,0.000000,0.000000,50.020000,34.800000,0,1379.95

4,00:45-01:00,19.610000,85.930000,0.000000,36.470000,0.000000,0.000000,193.320000,0.870000,0,63.020000,0.000000,22.230000,100.040000,42.050000,369.240000,38.660000,62.830000,24.160000,112.610000,7.750000,48.330000,36.830000,6.050000,0.000000,0.000000,50.020000,34.800000,0,1354.82

5,01:00-01:15,19.610000,85.930000,0.000000,36.470000,0.000000,0.000000,144.990000,0.630000,0,63.020000,0.000000,22.230000,100.040000,42.050000,327.680000,38.660000,62.830000,24.160000,112.610000,7.750000,48.330000,36.830000,6.050000,0.000000,0.000000,50.020000,34.800000,0,1264.69

6,01:15-01:30,19.610000,85.930000,0.000000,36.470000,0.000000,0.000000,144.990000,0.630000,0,63.020000,0.000000,22.230000,100.040000,42.050000,178.820000,38.660000,62.830000,24.160000,112.610000,7.750000,48.330000,36.830000,6.050000,0.000000,12.570000,50.020000,34.800000,0,1128.4

7,01:30-01:45,19.610000,85.930000,0.000000,36.470000,0.000000,0.000000,144.990000,0.630000,0,63.020000,0.000000,22.230000,100.040000,42.050000,178.820000,38.660000,62.830000,24.160000,112.610000,7.750000,48.330000,36.830000,6.050000,0.000000,12.570000,50.020000,34.800000,0,1128.4

8,01:45-02:00,19.610000,85.930000,0.000000,36.470000,0.000000,0.000000,144.990000,0.630000,0,63.020000,0.000000,22.230000,100.040000,42.050000,178.820000,38.660000,62.830000,24.160000,112.610000,7.750000,48.330000,36.830000,6.050000,0.000000,0.000000,50.020000,34.800000,0,1115.83

9,02:00-02:15,19.610000,85.930000,0.000000,36.470000,0.000000,0.000000,0.000000,0.630000,0,63.020000,0.000000,22.230000,100.040000,42.050000,178.820000,38.660000,62.830000,24.160000,112.610000,7.660000,48.330000,36.830000,5.050000,0.000000,17.400000,50.020000,34.800000,0,987.15

10,02:15-02:30,19.610000,85.930000,0.000000,36.470000,0.000000,0.000000,0.000000,0.630000,0,63.020000,0.000000,22.230000,100.040000,42.050000,178.820000,38.660000,62.830000,24.160000,112.610000,7.660000,48.330000,36.830000,5.050000,0.000000,17.400000,50.020000,34.800000,0,987.15

11,02:30-02:45,19.610000,85.930000,0.000000,36.470000,0.000000,0.000000,0.000000,0.630000,0,63.020000,0.000000,22.230000,100.040000,42.050000,178.820000,38.660000,62.830000,24.160000,112.610000,7.660000,48.330000,36.830000,5.050000,0.000000,18.370000,50.020000,34.800000,0,988.12

12,02:45-03:00,19.610000,85.930000,0.000000,36.470000,0.000000,0.000000,0.000000,0.630000,0,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.660000,48.330000,36.830000,5.050000,0.000000,28.030000,50.020000,34.800000,0,818.96

13,03:00-03:15,19.610000,85.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.630000,0,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.570000,48.330000,36.830000,5.050000,0.000000,37.700000,50.020000,34.800000,0,792.07

14,03:15-03:30,19.610000,85.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.630000,0,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.570000,48.330000,36.830000,5.050000,0.000000,37.700000,50.020000,34.800000,0,792.07

15,03:30-03:45,19.610000,85.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.630000,0,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.570000,48.330000,36.830000,5.050000,0.000000,37.700000,50.020000,34.800000,0,792.07

16,03:45-04:00,19.610000,85.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.630000,0,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.570000,48.330000,36.830000,5.050000,0.000000,21.270000,50.020000,34.800000,0,775.64

17,04:00-04:15,19.610000,85.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.580000,0,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.470000,48.330000,36.830000,5.050000,0.000000,37.700000,50.020000,34.800000,0,791.92

18,04:15-04:30,19.610000,85.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.580000,0,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.470000,48.330000,36.830000,5.050000,0.000000,0.000000,50.020000,34.800000,0,754.22

19,04:30-04:45,19.610000,85.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.580000,0,63.020000,0.000000,22.230000,100.040000,42.050000,0.000000,38.660000,62.830000,24.160000,112.610000,7.470000,48.330000,36.830000,5.050000,0.000000,0.000000,50.020000,34.800000,0,754.22

