Block,Time,RAMPUR,AURY_CRF,AURY_RF,CHAMERA2,URI2,TEHRI,DADRI_LF,CHAMERA1,PARBATI3,ANTA_RF,SALAL,RAPPB,ANTA_LF,AURY_GF,SEWA2,UNCHAHAR1,TANAKPUR,UNCHAHAR3,AURY_LF,DADRT2,RIHAND3,NJPC,ANTA_CRF,DHAULIGNGA,RIHAND1,KOTESHWR,ANTA_GF,DULHASTI,NAPP,TANDA2,UNCHAHAR2,KOLDAM,URI,UNCHAHAR4,KISHANGANGA,DADRI_GF,DADRI_CRF,KHSTPP-II,BSIUL,JHAJJAR,BRBCL,CHAMERA3,RAPPC,FSTPP I & II,SASAN,RIHAND2,TALA,SINGRAULI_HYDRO,DADRI_RF,SINGRAULI,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,0.000000,23.863095,0.000000,0.000000,0.000000,0.000000,0.000000,14.563695,0.000000,0.000000,0.000000,0.000000,7.712800,2.470024,5.784600,0.000000,207.441866,119.226029,0.000000,0.000000,0.000000,88.697200,8.555423,0.000000,15.887261,0.000000,0.000000,15.425600,0.000000,38.317190,0.000000,0.000000,0.000000,0.000000,69.599247,0.000000,222.707100,16.100444,0.000000,52.241012,4.820500,403.736157,113.884312,0.000000,0.571740,0.000000,118.945838,28.077870,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,0.000000,23.863095,0.000000,0.000000,0.000000,0.000000,0.000000,68.337336,0.000000,0.000000,0.000000,0.000000,7.712800,2.470024,5.784600,0.000000,217.960739,119.226029,0.000000,0.000000,0.000000,88.697200,8.555423,0.000000,15.887261,0.000000,0.000000,15.425600,0.000000,38.317190,0.000000,0.000000,0.000000,0.000000,69.599247,0.000000,222.707100,16.100444,0.000000,52.241012,4.820500,403.736157,113.884312,0.000000,0.571740,0.000000,118.945838,28.077870,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,0.000000,23.863095,0.000000,0.000000,0.000000,0.000000,0.000000,68.337336,0.000000,0.000000,0.000000,0.000000,7.712800,2.470024,5.784600,0.000000,217.960739,119.226029,0.000000,0.000000,0.000000,88.697200,8.555423,0.000000,0.000000,0.000000,0.000000,15.425600,0.000000,8.514931,0.000000,0.000000,0.000000,0.000000,69.599247,0.000000,222.707100,14.461477,0.000000,52.241012,4.820500,403.736157,113.884312,0.000000,0.571740,0.000000,118.945838,28.077870,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,0.000000,23.863095,0.000000,0.000000,0.000000,0.000000,0.000000,68.337336,0.000000,0.000000,0.000000,0.000000,7.712800,2.470024,5.784600,0.000000,217.960739,119.226029,0.000000,0.000000,0.000000,88.697200,8.555423,0.000000,0.000000,0.000000,0.000000,15.425600,0.000000,5.321832,0.000000,0.000000,0.000000,0.000000,69.599247,0.000000,222.707100,14.461477,0.000000,52.241012,4.820500,403.736157,113.884312,0.000000,0.571740,0.000000,118.945838,28.077870,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,0.000000,23.863095,0.000000,0.000000,0.000000,0.000000,0.000000,68.337336,0.000000,0.000000,0.000000,0.000000,7.712800,2.470024,5.784600,0.000000,213.043829,119.226029,0.000000,0.000000,0.000000,88.697200,8.555423,0.000000,0.000000,0.000000,0.000000,15.425600,0.000000,5.321832,0.000000,0.000000,0.000000,0.000000,47.240900,0.000000,222.707100,14.461477,0.000000,52.241012,4.820500,403.736157,113.884312,0.000000,0.571740,0.000000,118.945838,28.077870,0,0,0,0,0

