Block,Time,DADRI_CRF,SINGRAULI_HYDRO,AURY_LF,UNCHAHAR4,PARBATI3,RAPPB,BSIUL,AURY_GF,AURY_RF,ANTA_CRF,NJPC,CHAMERA2,RIHAND3,DADRI_RF,SEWA2,ANTA_LF,SALAL,KOLDAM,UNCHAHAR2,RAPPC,DULHASTI,URI2,TEHRI,KOTESHWR,DADRT2,ANTA_GF,URI,CHAMERA1,UNCHAHAR1,DHAULIGNGA,JHAJJAR,RIHAND1,DADRI_LF,UNCHAHAR3,RIHAND2,CHAMERA3,ANTA_RF,TANAKPUR,DADRI_GF,TANDA2,SINGRAULI,AURY_CRF,RAMPUR,KISHANGANGA,NAPP,BRBCL,TALA,SASAN,FSTPP I & II,KHSTPP-II,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,1.149113,0.000000,2.980923,16.190769,0.000000,6.290616,0.000000,0.000000,0.000000,173.609779,46.787784,125.391706,0.000000,0.000000,0.000000,73.984772,9.873775,41.380999,65.590803,57.086511,36.552985,0.000000,0.000000,602.641681,0.000000,35.145950,40.660253,21.348811,0.000000,347.317565,93.629867,0.000000,25.988034,119.892916,33.601710,0.000000,11.739917,0.000000,5.168948,142.469127,0.000000,6.507398,8.046226,47.378694,14.471802,4.254327,401.556375,19.872820,141.328550,31.427997,0,0,0,0,0

2,00:15-00:30,0.000000,1.149113,0.000000,2.980923,16.190769,0.000000,6.290616,0.000000,0.000000,0.000000,173.609779,46.787784,125.391706,0.000000,0.000000,0.000000,73.984772,9.873775,41.380999,65.590803,57.086511,36.552985,0.000000,0.000000,587.840234,0.000000,35.145950,40.660253,21.348811,0.000000,347.317565,93.629867,0.000000,25.988034,119.892916,33.601710,0.000000,11.739917,0.000000,5.168948,142.469127,0.000000,6.507398,8.046226,47.378694,14.471802,4.254327,401.556375,19.872820,141.328550,31.427997,0,0,0,0,0

3,00:30-00:45,0.000000,1.149113,0.000000,2.980923,4.121287,0.000000,6.290616,0.000000,0.000000,0.000000,173.609779,46.787784,125.391706,0.000000,0.000000,0.000000,73.984772,9.873775,41.380999,65.590803,57.086511,36.552985,0.000000,0.000000,587.840234,0.000000,35.145950,40.660253,21.348811,0.000000,278.008693,93.629867,0.000000,25.988034,119.892916,33.601710,0.000000,11.739917,0.000000,5.168948,142.469127,0.000000,6.507398,8.046226,47.378694,14.471802,3.970705,401.556375,19.872820,141.328550,31.427997,0,0,0,0,0

4,00:45-01:00,0.000000,1.149113,0.000000,2.980923,4.121287,0.000000,6.290616,0.000000,0.000000,0.000000,173.609779,46.787784,125.391706,0.000000,0.000000,0.000000,73.984772,9.873775,41.380999,65.590803,57.086511,36.552985,0.000000,0.000000,587.840234,0.000000,35.145950,40.660253,21.348811,0.000000,181.538693,93.629867,0.000000,25.988034,119.892916,33.601710,0.000000,11.739917,0.000000,5.168948,142.469127,0.000000,6.507398,8.046226,47.378694,14.471802,3.970705,401.556375,19.872820,141.328550,31.427997,0,0,0,0,0

5,01:00-01:15,0.000000,1.149113,0.000000,2.980923,16.190769,0.000000,12.581232,0.000000,0.000000,0.000000,173.609779,46.787784,125.391706,0.000000,0.000000,0.000000,73.984772,9.873775,37.698803,65.590803,57.086511,36.552985,0.000000,0.000000,532.647722,0.000000,35.145950,40.660253,19.629160,0.000000,123.656693,93.629867,0.000000,23.542828,119.892916,33.601710,0.000000,11.739917,0.000000,5.168948,142.469127,0.000000,6.507398,8.046226,47.378694,14.471802,3.970705,401.556375,17.719224,141.328550,31.427997,0,0,0,0,0

