Block,Time,KOLDAM,DADRI_LF,UNCHAHAR2,RAPPC,URI,DADRT2,DADRI_CRF,CHAMERA3,TANAKPUR,SEWA2,KOTESHWR,ANTA_GF,URI2,RAMPUR,UNCHAHAR1,JHAJJAR,TEHRI,DHAULIGNGA,AURY_CRF,SINGRAULI_HYDRO,RAPPB,ANTA_CRF,AURY_GF,ANTA_LF,RIHAND1,DADRI_GF,BSIUL,NAPP,CHAMERA1,AURY_RF,DULHASTI,NJPC,RIHAND3,UNCHAHAR4,ANTA_RF,PARBATI3,SINGRAULI,TANDA2,RIHAND2,CHAMERA2,DADRI_RF,SALAL,UNCHAHAR3,AURY_LF,KISHANGANGA,SASAN,KHSTPP-II,TALA,KHSTPP-I,BRBCL,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,23.893039,52.162397,38.170138,347.664800,0.000000,0.000000,7.996771,0.000000,8.522590,0.000000,16.019933,0.000000,0.000000,224.733600,0.000000,0.000000,0.000000,0.569546,0.000000,0.000000,0.000000,0.000000,88.356800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,118.768466,0.000000,0.000000,0.000000,120.614235,0.000000,113.447250,0.000000,0.000000,6.695909,11.399948,0.000000,0.000000,402.186708,92.957884,0.000000,13.445600,11.715824,2.881200,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,18.155405,52.162397,38.170138,347.664800,0.000000,0.000000,7.996771,0.000000,8.522590,0.000000,16.019933,0.000000,0.000000,224.733600,0.000000,0.000000,0.000000,0.569546,0.000000,0.000000,0.000000,0.000000,88.356800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,118.768466,0.000000,0.000000,0.000000,120.614235,0.000000,113.447250,0.000000,0.000000,1.339182,11.399948,0.000000,0.000000,402.186708,92.957884,0.000000,13.445600,13.803924,2.881200,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,18.155405,52.162397,4.241126,347.664800,0.000000,0.000000,7.996771,0.000000,8.522590,0.000000,16.019933,0.000000,0.000000,224.733600,0.000000,0.000000,0.000000,0.569546,0.000000,0.000000,0.000000,0.000000,88.356800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,118.768466,0.000000,0.000000,0.000000,120.614235,0.000000,113.447250,0.000000,0.000000,1.339182,11.399948,0.000000,0.000000,402.186708,92.957884,0.000000,13.445600,14.407297,2.881200,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,21.128800,52.162397,2.650704,347.664800,0.000000,0.000000,7.996771,0.000000,8.522590,0.000000,16.019933,0.000000,0.000000,224.733600,0.000000,0.000000,0.000000,0.569546,0.000000,0.000000,0.000000,0.000000,88.356800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,118.768466,0.000000,0.000000,0.000000,120.614235,0.000000,113.447250,0.000000,0.000000,1.339182,11.399948,0.000000,0.000000,402.186708,92.957884,0.000000,13.445600,14.407297,2.881200,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,21.128800,52.162397,2.650704,347.664800,0.000000,0.000000,7.996771,0.000000,8.522590,0.000000,16.019933,0.000000,0.000000,224.733600,0.000000,0.000000,0.000000,0.569546,0.000000,0.000000,0.000000,0.000000,88.356800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,118.768466,0.000000,0.000000,0.000000,120.614235,0.000000,113.447250,0.000000,0.000000,1.339182,11.399948,0.000000,0.000000,402.186708,45.138800,0.000000,13.445600,14.407297,2.881200,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,21.128800,52.162397,2.650704,347.664800,0.000000,0.000000,7.996771,0.000000,8.522590,0.000000,16.019933,0.000000,0.000000,224.733600,0.000000,0.000000,0.000000,0.569546,0.000000,0.000000,0.000000,0.000000,88.356800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,118.768466,0.000000,0.000000,0.000000,120.614235,0.000000,113.447250,0.000000,0.000000,1.339182,11.399948,0.000000,0.000000,402.186708,45.138800,0.000000,13.445600,14.407297,2.881200,0,0,0,0,0

7,01:30-01:45,0.000000,0.000000,21.128800,52.162397,2.650704,347.664800,0.000000,0.000000,2.460545,0.000000,8.522590,0.000000,5.167720,0.000000,0.000000,224.733600,0.000000,0.000000,0.000000,0.569546,0.000000,0.000000,0.000000,0.000000,66.049313,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,118.768466,0.000000,0.000000,0.000000,120.614235,0.000000,113.447250,0.000000,0.000000,1.339182,11.399948,0.000000,0.000000,402.186708,45.138800,0.000000,13.445600,14.407297,2.881200,0,0,0,0,0

8,01:45-02:00,0.000000,0.000000,21.128800,52.162397,2.650704,347.664800,0.000000,0.000000,2.460545,0.000000,8.522590,0.000000,4.521755,0.000000,0.000000,224.733600,0.000000,0.000000,0.000000,0.569546,0.000000,0.000000,0.000000,0.000000,60.721866,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,118.768466,0.000000,0.000000,0.000000,120.614235,0.000000,113.447250,0.000000,0.000000,1.339182,11.399948,0.000000,0.000000,402.186708,45.138800,0.000000,13.445600,14.407297,2.881200,0,0,0,0,0

