Time,Block,NR/2023/17525/A,NR/2023/18062/A/2171,NR/2023/18105/A/2170,NR/2023/18192/C,NR/2023/17270/A,NR/2023/18074/A/2145,WR/2023/20256/A/2264,WR/2023/19446/A,NER/2023/1784/C,WR/2023/20577/A/2271,NR/2023/18193/C,Total
,,APPCPL,IEXL,IEXL,TPDDL,GMRETL,ITCLH,MANIKARAN,MANIKARAN,PXIL,APPCPL,NVVNL,Total

,,DELHI,ANDHRA PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,ANDHRA PRADESH,DELHI,DELHI,DELHI,DELHI,NA,
,,BYPL,SNJSUGARLTDAP,BSHP,CHANJUII,BYPL,ITCWIND,BRPL,BYPL,BYPL,BRPL,SOLAPUR_SOLAR,
,,HIMACHAL PRADESH,DELHI,DELHI,DELHI,RAJASTHAN,DELHI,GOA,MAHARASHTRA,ARUNACHAL PRADESH,GOA,DELHI,
,,HP,MES (Delhi),MES (Delhi),TPDDL,RUVNL,ITCLH,GOA_Beneficiary,AEML,Arunachal_Ben,GOA_Beneficiary,MES (Delhi),
,,North-North,South-East-North,North-North,North-North,North-North,South-West-North,North-West,North-West,North-East-North East,North-West,West-North,
1,00:00-00:15,51.110000,4.820000,0.960000,1.830000,0.000000,0.430000,0.000000,75.000000,40.000000,0.000000,0,174.15

2,00:15-00:30,51.110000,4.820000,0.960000,1.830000,0.000000,0.430000,0.000000,75.000000,40.000000,0.000000,0,174.15

3,00:30-00:45,51.110000,4.820000,0.960000,1.830000,0.000000,0.430000,0.000000,75.000000,40.000000,0.000000,0,174.15

4,00:45-01:00,51.110000,4.820000,0.960000,1.830000,0.000000,0.430000,0.000000,75.000000,40.000000,0.000000,0,174.15

5,01:00-01:15,51.110000,4.820000,0.960000,1.830000,0.000000,0.390000,0.000000,75.000000,40.000000,0.000000,0,174.11

6,01:15-01:30,51.110000,4.820000,0.960000,1.830000,0.000000,0.390000,0.000000,75.000000,40.000000,0.000000,0,174.11

7,01:30-01:45,51.110000,4.820000,0.960000,1.830000,0.000000,0.390000,0.000000,75.000000,40.000000,0.000000,0,174.11

8,01:45-02:00,51.110000,4.820000,0.960000,1.830000,0.000000,0.390000,0.000000,75.000000,40.000000,0.000000,0,174.11

9,02:00-02:15,51.110000,4.820000,0.960000,1.830000,0.000000,0.340000,0.000000,75.000000,40.000000,0.000000,0,174.06

10,02:15-02:30,51.110000,4.820000,0.960000,1.830000,0.000000,0.340000,0.000000,75.000000,40.000000,0.000000,0,174.06

11,02:30-02:45,51.110000,4.820000,0.960000,1.830000,0.000000,0.340000,0.000000,75.000000,40.000000,0.000000,0,174.06

12,02:45-03:00,51.110000,4.820000,0.960000,1.830000,0.000000,0.340000,0.000000,75.000000,40.000000,0.000000,0,174.06

13,03:00-03:15,51.110000,4.820000,0.960000,1.830000,0.000000,0.340000,0.000000,75.000000,40.000000,0.000000,0,174.06

14,03:15-03:30,51.110000,4.820000,0.960000,1.830000,0.000000,0.340000,0.000000,75.000000,40.000000,0.000000,0,174.06

15,03:30-03:45,51.110000,4.820000,0.960000,1.830000,0.000000,0.340000,0.000000,75.000000,40.000000,0.000000,0,174.06

16,03:45-04:00,51.110000,4.820000,0.960000,1.830000,0.000000,0.340000,0.000000,75.000000,40.000000,0.000000,0,174.06

17,04:00-04:15,51.110000,4.820000,0.960000,1.830000,0.000000,0.390000,0.000000,75.000000,40.000000,0.000000,0,174.11

18,04:15-04:30,51.110000,4.820000,0.960000,1.830000,0.000000,0.390000,0.000000,75.000000,40.000000,0.000000,0,174.11

19,04:30-04:45,51.110000,4.820000,0.960000,1.830000,0.000000,0.390000,0.000000,75.000000,40.000000,0.000000,0,174.11

20,04:45-05:00,51.110000,4.820000,0.960000,1.830000,0.000000,0.390000,0.000000,75.000000,40.000000,0.000000,0,174.11

21,05:00-05:15,51.110000,4.820000,0.960000,1.830000,0.000000,0.390000,0.000000,75.000000,0.000000,0.000000,0,134.11

22,05:15-05:30,51.110000,4.820000,0.960000,1.830000,0.000000,0.390000,0.000000,75.000000,0.000000,0.000000,0,134.11

23,05:30-05:45,51.110000,4.820000,0.960000,1.830000,0.000000,0.390000,0.000000,75.000000,0.000000,0.000000,0,134.11

24,05:45-06:00,51.110000,4.820000,0.960000,1.830000,0.000000,0.390000,0.000000,75.000000,0.000000,0.000000,0,134.11

25,06:00-06:15,0.000000,4.820000,0.960000,1.830000,100.000000,0.390000,0.000000,75.000000,0.000000,0.000000,0,183

26,06:15-06:30,0.000000,4.820000,0.960000,1.830000,100.000000,0.390000,0.000000,75.000000,0.000000,0.000000,0,183

27,06:30-06:45,0.000000,4.820000,0.960000,1.830000,100.000000,0.390000,0.000000,75.000000,0.000000,0.000000,0,183

28,06:45-07:00,0.000000,4.820000,0.960000,1.830000,100.000000,0.390000,0.000000,75.000000,0.000000,0.000000,0,183

29,07:00-07:15,0.000000,4.820000,0.960000,1.830000,100.000000,0.530000,0.000000,75.000000,0.000000,0.000000,0,183.14

30,07:15-07:30,0.000000,4.820000,0.960000,1.830000,100.000000,0.530000,0.000000,75.000000,0.000000,0.000000,0.27,183.41

31,07:30-07:45,0.000000,4.820000,0.960000,1.830000,100.000000,0.530000,0.000000,75.000000,0.000000,0.000000,0.54,183.68

32,07:45:08:00,0.000000,4.820000,0.960000,1.830000,100.000000,0.530000,0.000000,75.000000,0.000000,0.000000,0.89,184.03

33,08:00-08:15,0.000000,4.820000,0.960000,1.830000,50.000000,0.770000,0.000000,75.000000,0.000000,0.000000,1.28,134.66

34,08:15-08:30,0.000000,4.820000,0.960000,1.830000,50.000000,0.770000,0.000000,75.000000,0.000000,0.000000,1.65,135.03

35,08:30-08:45,0.000000,4.820000,0.960000,1.830000,50.000000,0.770000,0.000000,75.000000,0.000000,0.000000,2.07,135.45

36,08:45:09:00,0.000000,4.820000,0.960000,1.830000,50.000000,0.770000,0.000000,75.000000,0.000000,0.000000,2.49,135.87

37,09:00:09:15,0.000000,4.820000,0.960000,1.830000,50.000000,0.770000,0.000000,75.000000,0.000000,0.000000,2.94,136.32

38,09:15-09:30,0.000000,4.820000,0.960000,1.830000,50.000000,0.770000,0.000000,75.000000,0.000000,0.000000,3.36,136.74

39,09:30-09:45,0.000000,4.820000,0.960000,1.830000,50.000000,0.770000,0.000000,75.000000,0.000000,0.000000,3.8,137.18

40,09:45-10:00,0.000000,4.820000,0.960000,1.830000,50.000000,0.770000,0.000000,75.000000,0.000000,0.000000,4.21,137.59

41,10:00-10:15,0.000000,4.820000,0.960000,1.830000,50.000000,0.770000,0.000000,75.000000,0.000000,0.000000,4.65,138.03

42,10:15-10:30,0.000000,4.820000,0.960000,1.830000,50.000000,0.770000,0.000000,75.000000,0.000000,0.000000,5.01,138.39

43,10:30-10:45,0.000000,4.820000,0.960000,1.830000,50.000000,0.770000,0.000000,75.000000,0.000000,0.000000,5.34,138.72

44,10:45-11:00,0.000000,4.820000,0.960000,1.830000,50.000000,0.770000,0.000000,75.000000,0.000000,0.000000,5.71,139.09

45,11:00-11:15,0.000000,4.820000,0.960000,1.830000,100.000000,0.770000,0.000000,75.000000,0.000000,0.000000,5.89,189.27

46,11:15-11:30,0.000000,4.820000,0.960000,1.830000,100.000000,0.770000,0.000000,75.000000,0.000000,0.000000,5.93,189.31

47,11:30-11:45,0.000000,4.820000,0.960000,1.830000,100.000000,0.770000,0.000000,75.000000,0.000000,0.000000,6.13,189.51

48,11:45-12:00,0.000000,4.820000,0.960000,1.830000,100.000000,0.770000,0.000000,75.000000,0.000000,0.000000,6.24,189.62

49,12:00-12:15,0.000000,4.820000,0.960000,1.830000,100.000000,0.770000,0.000000,75.000000,0.000000,0.000000,6.5,189.88

50,12:15-12:30,0.000000,4.820000,0.960000,1.830000,100.000000,0.770000,0.000000,75.000000,0.000000,0.000000,6.58,189.96

51,12:30-12:45,0.000000,4.820000,0.960000,1.830000,100.000000,0.770000,0.000000,75.000000,0.000000,0.000000,6.48,189.86

52,12:45-13:00,0.000000,4.820000,0.960000,1.830000,100.000000,0.770000,0.000000,75.000000,0.000000,0.000000,6.52,189.9

53,13:00-13:15,0.000000,4.820000,0.960000,1.830000,100.000000,0.770000,0.000000,75.000000,0.000000,0.000000,5.56,188.94

54,13:15-13:30,0.000000,4.820000,0.960000,1.830000,100.000000,0.770000,0.000000,75.000000,0.000000,0.000000,4.15,187.53

55,13:30-13:45,0.000000,4.820000,0.960000,1.830000,100.000000,0.770000,0.000000,75.000000,0.000000,0.000000,4.22,187.6

56,13:45-14:00,0.000000,4.820000,0.960000,1.830000,100.000000,0.770000,0.000000,75.000000,0.000000,0.000000,5.95,189.33

57,14:00-14:15,0.000000,4.820000,0.960000,1.830000,100.000000,0.770000,0.000000,75.000000,0.000000,0.000000,5.6,188.98

58,14:15-14:30,0.000000,4.820000,0.960000,1.830000,100.000000,0.770000,0.000000,75.000000,0.000000,0.000000,5.51,188.89

59,14:30-14:45,0.000000,4.820000,0.960000,1.830000,100.000000,0.770000,0.000000,75.000000,0.000000,0.000000,4.46,187.84

60,14:45-15:00,0.000000,4.820000,0.960000,1.830000,100.000000,0.770000,0.000000,75.000000,0.000000,0.000000,4.66,188.04

61,15:00-15:15,0.000000,4.820000,0.960000,1.830000,100.000000,0.630000,0.000000,75.000000,0.000000,0.000000,3.65,186.89

62,15:15-15:30,0.000000,4.820000,0.960000,1.830000,100.000000,0.630000,0.000000,75.000000,0.000000,0.000000,4.18,187.42

63,15:30-15:45,0.000000,4.820000,0.960000,1.830000,100.000000,0.630000,0.000000,75.000000,0.000000,0.000000,3.51,186.75

64,15:45-16:00,0.000000,4.820000,0.960000,1.830000,100.000000,0.630000,0.000000,75.000000,0.000000,0.000000,3.01,186.25

65,16:00-16:15,0.000000,4.820000,0.960000,1.830000,100.000000,0.480000,0.000000,75.000000,0.000000,0.000000,2.61,185.7

66,16:15-16:30,0.000000,4.820000,0.960000,1.830000,100.000000,0.480000,0.000000,75.000000,0.000000,0.000000,2.11,185.2

67,16:30-16:45,0.000000,4.820000,0.960000,1.830000,100.000000,0.480000,0.000000,75.000000,0.000000,0.000000,1.75,184.84

68,16:45-17:00,0.000000,4.820000,0.960000,1.830000,100.000000,0.480000,0.000000,75.000000,0.000000,0.000000,1.17,184.26

69,17:00-17:15,0.000000,4.820000,0.960000,1.830000,100.000000,0.480000,0.000000,75.000000,0.000000,0.000000,0.67,183.76

70,17:15-17:30,0.000000,4.820000,0.960000,1.830000,100.000000,0.480000,0.000000,75.000000,0.000000,0.000000,0.4,183.49

71,17:30-17:45,0.000000,4.820000,0.960000,1.830000,100.000000,0.480000,0.000000,75.000000,0.000000,0.000000,0.23,183.32

72,17:45-18:00,0.000000,4.820000,0.960000,1.830000,100.000000,0.480000,0.000000,75.000000,0.000000,0.000000,0,183.09

