Block,Time,KOTESHWR,PARBATI3,CHAMERA3,UNCHAHAR3,AURY_RF,NJPC,KOLDAM,DADRI_RF,ANTA_CRF,RAMPUR,RAPPB,AURY_LF,KHSTPP-I,RIHAND2,KUDGI,ANTA_GF,UNCHAHAR1,RAPPC,DADRI_LF,UNCHAHAR2,URI,CHAMERA1,JHAJJAR,TANAKPUR,SALAL,RIHAND3,DADRI_CRF,ANTA_LF,UNCHAHAR4,SINGRAULI_HYDRO,SEWA2,BSIUL,DHAULIGNGA,DULHASTI,DADRT2,CHAMERA2,ANTA_RF,RIHAND1,DADRI_GF,NAPP,AURY_CRF,AURY_GF,URI2,TEHRI,SINGRAULI,KISHANGANGA,TANDA2,KHSTPP-II,FSTPP I & II,BRBCL,TALA,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,34.257190,0.000000,28.048516,25.469086,0.000000,147.602877,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.655275,114.002438,79.09,0.000000,19.287524,49.233418,0.000000,40.910686,40.487875,41.171166,630.355162,10.879379,82.987019,119.349695,42.309984,0.000000,0.000000,0.923118,15.252487,6.293224,35.314650,47.711220,662.811337,38.131217,0.000000,88.789200,0.000000,37.415383,45.739370,0.000000,31.937012,58.369248,121.204496,0.000000,0.000000,142.367330,13.704420,14.476493,26.955243,402.808612,0,0,0,0,0

2,00:15-00:30,34.257190,0.000000,28.048516,25.469086,0.000000,147.602877,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.905514,114.002438,90.43,0.000000,19.287524,49.233418,0.000000,40.910686,40.487875,41.171166,630.355162,10.879379,82.987019,119.349695,38.078986,0.000000,0.000000,0.923118,15.252487,6.293224,35.314650,47.711220,662.811337,38.131217,0.000000,88.789200,0.000000,37.415383,45.739370,0.000000,31.937012,58.369248,121.204496,0.000000,0.000000,142.367330,13.752675,14.476493,26.955243,402.808612,0,0,0,0,0

3,00:30-00:45,34.257190,0.000000,28.048516,25.469086,0.000000,147.602877,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.290888,114.002438,90.43,0.000000,19.287524,49.233418,0.000000,40.910686,40.487875,41.171166,630.355162,10.879379,82.987019,119.349695,38.078986,0.000000,0.000000,0.923118,15.252487,6.293224,35.314650,47.711220,662.811337,38.131217,0.000000,88.789200,0.000000,37.415383,29.870810,0.000000,31.937012,58.369248,121.204496,0.000000,0.000000,142.367330,13.752675,14.476493,26.955243,402.808612,0,0,0,0,0

4,00:45-01:00,34.257190,0.000000,28.048516,25.469086,0.000000,147.602877,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.290888,114.002438,90.43,0.000000,19.287524,49.233418,0.000000,40.910686,40.487875,41.171166,630.355162,10.879379,82.987019,119.349695,66.066886,0.000000,0.000000,0.923118,15.252487,6.293224,35.314650,47.711220,662.811337,38.131217,0.000000,88.789200,0.000000,37.415383,29.870810,0.000000,31.937012,58.369248,121.204496,0.000000,0.000000,142.367330,13.752675,14.476493,26.955243,402.808612,0,0,0,0,0

5,01:00-01:15,34.257190,0.000000,28.048516,25.469086,0.000000,147.602877,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.290888,114.002438,90.43,0.000000,19.287524,49.233418,0.000000,40.910686,40.487875,41.171166,630.355162,10.879379,82.987019,119.349695,38.078986,0.000000,0.000000,0.923118,15.252487,6.293224,35.314650,47.711220,662.811337,38.131217,0.000000,88.789200,0.000000,37.415383,29.870810,0.000000,31.937012,58.369248,121.204496,0.000000,0.000000,142.367330,13.752675,14.086663,26.955243,402.808612,0,0,0,0,0

6,01:15-01:30,34.257190,0.000000,28.048516,25.469086,0.000000,147.602877,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.290888,114.002438,90.43,0.000000,19.287524,49.233418,0.000000,40.910686,40.487875,41.171166,630.355162,10.879379,82.987019,119.349695,38.078986,0.000000,0.000000,0.923118,15.252487,6.293224,35.314650,47.711220,662.811337,38.131217,0.000000,88.789200,0.000000,37.415383,29.870810,0.000000,31.937012,58.369248,121.204496,0.000000,0.000000,142.367330,13.752675,14.476493,26.955243,402.808612,0,0,0,0,0

7,01:30-01:45,34.257190,0.000000,28.048516,25.469086,0.000000,147.602877,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.947625,114.002438,90.43,0.000000,19.287524,49.233418,0.000000,40.910686,40.487875,41.171166,630.355162,11.373897,82.987019,119.349695,38.078986,0.000000,0.000000,0.923118,10.188908,6.293224,35.314650,47.711220,662.811337,38.131217,0.000000,88.789200,0.000000,37.415383,29.870810,0.000000,31.158060,58.369248,121.204496,0.000000,0.000000,142.367330,13.752675,13.420803,26.955243,402.808612,0,0,0,0,0

