Block,Time,SEWA2,SINGRAULI,TANAKPUR,TANDA2,UNCHAHAR1,UNCHAHAR2,UNCHAHAR4,URI2,UNCHAHAR3,TEHRI,SINGRAULI_HYDRO,URI,SALAL,RAPPB,RAPPC,RIHAND2,RIHAND3,BSIUL,CHAMERA1,CHAMERA3,DADRT2,DULHASTI,JHAJJAR,KOLDAM,KOTESHWR,NJPC,CHAMERA2,NAPP,RIHAND1,KISHANGANGA,PARBATI3,RAMPUR,DHAULIGNGA,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,NNTPP,NTPL,RSTPSU1TO6,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,RSTPSU7,VALLURNTECL,SIMHST1,SIMHST2,TALST2,BRBCL,FSTPP I & II,TALA,KHSTPP-II,KHSTPP-I,SASAN
1,00:00-00:15,0,137.25,11.1447,0,19.985,42.392196,0,32.41932,26.39091,38.493,1.01389,47.472,82.502,0,50.76,118.125,123.665624,0,42.66,0,686.779958,16.4224,653.1525,0,8.381,152.9405,0,39.7296,92,0,0,0,36.5917,0,0,0,37.8,0,33.123,0,30.951,0,3.288,0,77.816,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,13.188,18.765,27.93,147.515625,32.171,417.375

2,00:15-00:30,0,138.75,11.1447,0,19.985,42.392196,0,32.41932,26.39091,25.2,1.01389,47.472,82.502,0,50.76,118.125,123.665624,0,42.66,0,686.779958,16.4224,653.1525,0,8.381,152.9405,0,39.7296,92,0,0,0,36.5917,0,0,0,37.8,0,33.123,0,30.951,0,3.288,0,77.816,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,13.188,18.765,27.93,147.515625,32.171,417.375

3,00:30-00:45,0,138.75,11.1447,0,19.985,42.392196,0,32.41932,26.39091,18.9,1.01389,47.472,82.502,0,50.76,118.125,123.665624,0,42.66,0,686.779958,16.4224,653.1525,0,8.381,152.9405,0,39.7296,92,0,0,0,36.5917,0,0,0,37.8,0,33.123,0,30.951,0,3.288,0,77.816,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,13.188,18.765,27.93,147.515625,32.171,417.375

4,00:45-01:00,0,138.75,11.1447,0,19.985,42.392196,0,32.41932,26.39091,12.915,1.01389,47.472,82.502,0,50.76,118.125,123.665624,0,42.66,0,686.779958,16.4224,653.1525,0,8.381,152.9405,0,39.7296,92,0,0,0,36.5917,0,0,0,37.8,0,33.123,0,30.951,0,3.288,0,77.816,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,13.188,18.765,27.93,147.515625,32.171,417.375

5,01:00-01:15,0,138.75,11.7852,0,19.985,42.392196,0,31.897383,26.39091,12.915,1.01389,47.472,82.502,0,50.76,118.125,123.665624,0,42.66,0,686.779958,16.4224,653.1525,0,8.381,152.9405,0,39.7296,92,0,0,0,36.5917,0,0,0,38.85,0,33.123,0,30.951,0,3.288,0,77.816,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,13.188,18.765,27.93,147.515625,32.171,417.375

6,01:15-01:30,0,138.75,11.7852,0,19.985,42.392196,0,31.897383,26.39091,12.915,1.01389,47.472,82.502,0,50.76,118.125,123.665624,0,42.66,0,686.779958,16.4224,653.1525,0,8.381,152.9405,0,39.7296,92,0,0,0,36.5917,0,0,0,38.85,0,33.123,0,30.951,0,3.288,0,77.816,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,13.188,18.765,27.93,147.515625,32.171,417.375

7,01:30-01:45,0,138.75,11.7852,0,19.985,42.392196,0,31.897383,26.39091,12.915,1.01389,47.472,82.502,0,50.76,118.125,123.665624,0,42.66,0,686.779958,16.4224,653.1525,0,8.381,152.9405,0,39.7296,92,0,0,0,36.5917,0,0,0,38.85,0,33.123,0,30.951,0,3.288,0,77.816,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,13.188,19.46,27.93,147.515625,32.171,417.375

8,01:45-02:00,0,138.75,11.7852,0,19.985,42.392196,0,31.897383,26.39091,12.915,1.01389,51.888,82.502,0,50.76,118.125,123.665624,0,42.66,0,686.779958,16.4224,653.1525,0,8.381,152.9405,0,39.7296,92,0,0,0,36.5917,0,0,0,38.85,0,33.123,0,30.951,0,3.288,0,77.816,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,13.188,19.46,27.93,147.515625,32.171,417.375

9,02:00-02:15,0,138.75,12.4257,0,19.985,42.392196,0,31.897383,26.39091,12.915,1.01389,51.888,82.502,0,50.76,118.125,123.665624,0,42.66,0,686.779958,16.4224,653.1525,0,8.381,152.9405,0,39.7296,92,0,0,0,36.5917,0,0,0,39.9,0,33.123,0,30.951,0,3.288,0,77.816,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,13.188,19.46,27.93,147.515625,32.171,417.375

10,02:15-02:30,0,138.75,12.4257,0,19.985,42.392196,0,31.897383,26.39091,12.915,1.01389,47.472,82.502,0,50.76,118.125,123.665624,0,42.66,0,686.779958,16.4224,653.1525,0,8.381,152.9405,0,39.7296,92,0,0,0,36.5917,0,0,0,39.9,0,33.123,0,30.951,0,3.288,0,77.816,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,13.188,19.46,27.93,147.515625,32.171,417.375

11,02:30-02:45,0,138.75,12.4257,0,19.985,42.392196,0,31.897383,26.39091,12.915,1.01389,47.472,82.502,0,50.76,118.125,123.665624,0,42.66,0,686.779958,16.4224,653.1525,0,8.381,152.9405,0,39.7296,92,0,0,0,36.5917,0,0,0,39.9,0,33.123,0,30.951,0,3.288,0,77.816,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,13.188,19.46,27.93,147.515625,32.171,417.375

12,02:45-03:00,0,138.75,12.4257,0,19.985,42.392196,0,31.897383,26.39091,12.915,1.01389,47.472,82.502,0,50.76,118.125,123.665624,0,42.66,0,686.779958,16.4224,653.1525,0,8.381,152.9405,0,39.7296,92,0,0,0,36.5917,0,0,0,39.9,0,33.123,0,30.951,0,3.288,0,77.816,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,13.188,19.46,27.93,147.515625,32.171,417.375

13,03:00-03:15,0,138.75,11.7852,0,19.985,42.392196,0,32.41932,26.39091,12.915,1.01389,47.472,82.502,0,50.76,118.125,123.665624,0,42.66,0,686.779958,16.4224,653.1525,0,8.381,152.9405,0,39.7296,92,0,0,0,36.5917,0,0,0,40.95,0,33.123,0,30.951,0,3.288,0,77.816,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,13.188,19.46,27.93,147.515625,32.171,417.375

14,03:15-03:30,0,138.75,11.7852,0,19.985,42.392196,0,32.41932,26.39091,12.915,1.01389,47.472,82.502,0,50.76,118.125,123.665624,0,42.66,0,686.779958,16.4224,653.1525,0,8.381,152.9405,0,39.7296,92,0,0,0,36.5917,0,0,0,40.95,0,33.123,0,30.951,0,3.288,0,77.816,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,13.188,19.46,27.93,147.515625,32.171,417.375

15,03:30-03:45,0,138.75,11.7852,0,19.985,42.392196,0,32.41932,26.39091,12.915,1.01389,51.888,82.502,0,50.76,118.125,123.665624,0,42.66,0,686.779958,16.4224,653.1525,0,8.381,152.9405,0,39.7296,92,0,0,0,36.5917,0,0,0,40.95,0,33.123,0,30.951,0,3.288,0,77.816,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,13.188,19.46,27.93,147.515625,32.171,417.375

16,03:45-04:00,0,138.75,11.7852,0,19.985,42.392196,0,32.41932,26.39091,12.915,1.01389,51.888,82.502,0,50.76,118.125,123.665624,0,42.66,0,686.779958,16.4224,653.1525,0,8.381,152.9405,0,39.7296,92,0,0,0,36.5917,0,0,0,40.95,0,33.123,0,30.951,0,3.288,0,77.816,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,13.188,19.46,27.93,147.515625,32.171,417.375

