Block,Time,URI,URI2,RIHAND2,RIHAND3,SEWA2,SINGRAULI,TANAKPUR,TEHRI,UNCHAHAR1,UNCHAHAR3,SALAL,SINGRAULI_HYDRO,UNCHAHAR2,UNCHAHAR4,TANDA2,NAPP,PARBATI3,RAMPUR,RAPPB,RIHAND1,CHAMERA1,CHAMERA2,DADRT2,DULHASTI,JHAJJAR,KISHANGANGA,KOTESHWR,KOLDAM,NJPC,RAPPC,CHAMERA3,DHAULIGNGA,BSIUL,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,NLCTS2EXP,NNTPP,SIMHST2,NTPL,RSTPSU1TO6,RSTPSU7,TALST2,SIMHST1,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,MAPS,FSTPP I & II,KHSTPP-I,KHSTPP-II,TALA,BRBCL,SASAN
27,06:30-06:45,39.744,37.89052,124.384996,130.580717,0,136.902666,12.0414,63.745048,20.131611,27.63898,79.37622,1.212818,44.306625,0,5.534085,49.243676,78.386778,6.745515,0,97.055943,28.44,48.499829,688.715948,59.175403,422.443785,8.340651,31.125953,9.274803,179.962454,67.990882,34.831253,43.536137,13.0416,0,0,0,51.87616,0,81.47076,0,0,0,62.196893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,125.88,8.673,15.00135,348.975

28,06:45-07:00,39.744,37.89052,124.384996,130.580717,0,132.070807,12.0414,63.745048,20.131611,27.63898,79.37622,1.212818,44.306625,0,5.534085,49.243676,78.386778,6.745515,0,97.055943,28.44,48.499829,688.715948,59.175403,422.443785,8.340651,31.125953,9.274803,179.962454,67.990882,34.831253,43.536137,13.0416,0,0,0,51.87616,0,81.47076,0,0,0,62.196893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,125.88,8.673,15.00135,348.975

29,07:00-07:15,39.744,37.89052,124.384996,130.580717,0,127.238948,12.0414,63.745048,20.131611,27.63898,79.37622,1.212818,44.306625,0,5.534085,49.243676,78.386778,6.745515,0,97.055943,28.44,48.499829,688.715948,59.175403,422.443785,8.340651,31.125953,9.274803,179.962454,67.990882,34.831253,43.536137,13.0416,0,0,0,51.485133,0,81.47076,0,0,0,62.196893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,125.88,9.261,15.00135,348.975

30,07:15-07:30,39.744,37.89052,124.384996,130.580717,0,123.615054,12.0414,63.745048,20.131611,27.63898,79.37622,1.212818,44.306625,0,5.534085,49.243676,9.154482,6.745515,0,97.055943,28.44,48.499829,688.715948,59.175403,422.443785,8.340651,31.125953,9.274803,179.962454,67.990882,34.831253,43.536137,13.0416,0,0,0,51.485133,0,81.47076,0,0,0,62.196893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,125.88,9.261,15.00135,348.975

31,07:30-07:45,39.744,37.89052,124.384996,130.580717,0,123.615054,5.7645,63.745048,20.131611,27.63898,79.37622,1.212818,44.306625,0,5.534085,49.243676,4.272092,6.745515,0,97.055943,28.44,48.499829,688.715948,59.175403,422.443785,8.340651,31.125953,9.274803,179.962454,67.990882,34.831253,43.536137,13.0416,0,0,0,51.485133,0,81.47076,0,0,0,62.196893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,125.88,9.261,15.00135,348.975

32,07:45:08:00,39.744,37.89052,124.384996,130.580717,0,123.615054,5.7645,63.745048,20.131611,27.63898,79.37622,1.212818,44.906625,0,5.534085,49.243676,4.272092,6.745515,0,97.055943,28.44,48.499829,688.715948,59.175403,422.443785,8.340651,31.125953,9.274803,179.962454,67.990882,34.831253,43.536137,13.0416,0,0,0,51.485133,0,81.47076,0,0,0,62.196893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,125.88,9.261,15.00135,348.975

33,08:00-08:15,39.744,37.89052,124.384996,130.580717,0,123.615054,7.686,63.745048,20.131611,27.63898,79.37622,1.212818,44.906625,0,5.534085,49.243676,4.272092,6.745515,0,97.055943,28.44,48.499829,688.715948,59.175403,422.443785,8.340651,31.125953,9.274803,179.962454,67.990882,34.831253,43.536137,13.0416,0,0,0,50.833423,0,81.47076,0,0,0,61.92938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,125.88,9.261,15.00135,348.975

34,08:15-08:30,39.744,37.89052,124.384996,130.580717,0,123.615054,12.0414,63.745048,20.131611,27.63898,79.37622,1.212818,44.906625,0,5.534085,49.243676,4.272092,6.745515,0,97.055943,28.44,48.499829,688.715948,59.175403,422.443785,8.340651,31.125953,9.274803,179.962454,67.990882,34.831253,43.536137,13.0416,0,0,0,50.833423,0,81.47076,0,0,0,61.92938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,125.88,9.261,15.00135,348.975

35,08:30-08:45,39.744,37.89052,124.384996,130.580717,0,123.615054,12.0414,63.745048,20.131611,27.63898,79.37622,1.212818,44.906625,0,5.534085,49.243676,16.783217,6.745515,0,97.055943,28.44,48.499829,688.715948,59.175403,422.443785,8.340651,31.125953,9.274803,179.962454,67.990882,34.831253,43.536137,13.0416,0,0,0,50.833423,0,81.47076,0,0,0,61.92938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,32.171,125.88,9.261,15.00135,348.975

