Block,Time Block,SIMHST1,SINGRAULI,SIMHST2,SINGRAULI_HYDRO,SALAL,SEWA2,SASAN,RIHAND3,RIHAND2,DHAULIGNGA,DADRT2,BSIUL,CHAMERA3,BRBCL,CHAMERA2,CHAMERA1,NLCTS2EXP,PARBATI2,NNTPP,RAPPC,RAMPUR,RAPPB,RAPPD,NTPL,PARBATI3,RIHAND1,NLCIIST1,NLCEXP,NLCIIST2,NAPP,NJPC,KOTESHWR,KUDGI,MAPS,KOLDAM,AURY_CRF,DADRI_RF,DADRI_CRF,DADRI_GF,DADRI_LF,AURY_GF,ANTA_GF,AURY_LF,ANTA_LF,AURY_RF,ANTA_RF,TelanganaSTPP,URI2,VALLURNTECL,UNCHAHAR3,UNCHAHAR4,URI,ANTA_CRF,TEHRIPSP,UNCHAHAR1,TEHRI,UNCHAHAR2,TANAKPUR,TALA,TALST2,TANDA2,DULHASTI,KGSU1AND2,KISHANGANGA,KHSTPP-I,KKNPPU2,KHSTPP-II,KGSU3AND4,KKNP,JHAJJAR,FSTPP I & II,RSTPSU1TO6,RSTPSU7,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,108.68,0,0,80.62,8.94,397.81,126.06,120.7,40.91,607.68,18.85,32.7,17.66,45.4,40.61,0,47.46,0,63.03,5.46,0,23.63,0,55.15,45.55,0,0,0,23.35,169.37,39.09,0,0,8.31,0,0,0,0,0,0,0,0,0,0,0,0,36.05,0,26.01,1.11,29.78,0,0,20.46,73.4,34.34,9.5,24.56,0,2.51,36.91,0,6.71,43.87,0,93.98,0,0,406.86,18.41,0,0,0,0,0,0,0

2,00:15-00:30,0,108.68,0,0,80.62,8.94,397.81,126.06,120.7,40.91,528.14,18.85,32.7,14.09,45.4,40.61,0,47.46,0,63.03,5.46,0,23.63,0,55.15,45.55,0,0,0,23.35,169.37,39.09,0,0,8.31,0,0,0,0,0,0,0,0,0,0,0,0,36.05,0,26.01,1.12,29.78,0,0,20.46,73.4,34.34,9.5,24.56,0,2.51,36.91,0,6.71,43.87,0,93.98,0,0,353.66,18.41,0,0,0,0,0,0,0

3,00:30-00:45,0,108.68,0,0,80.62,8.94,402.67,126.06,120.7,40.91,508.87,18.85,32.7,13.33,45.4,40.61,0,47.46,0,63.03,5.46,0,23.63,0,55.15,45.55,0,0,0,23.35,169.37,39.09,0,0,8.31,0,0,0,0,0,0,0,0,0,0,0,0,36.05,0,26.01,1.12,29.78,0,0,20.46,73.4,33.28,9.5,24.56,0,2.51,36.91,0,6.71,43.87,0,93.98,0,0,331.37,18.41,0,0,0,0,0,0,0

4,00:45-01:00,0,108.68,0,0,80.62,8.94,403.48,126.06,120.7,40.91,440.46,18.85,32.7,13.28,45.4,40.61,0,47.46,0,63.03,5.46,0,23.63,0,55.15,45.55,0,0,0,23.35,169.37,39.09,0,0,8.31,0,0,0,0,0,0,0,0,0,0,0,0,36.05,0,26.01,1.12,29.78,0,0,20.46,73.4,33.28,9.5,24.56,0,2.51,36.91,0,6.71,43.87,0,93.98,0,0,304.36,18.41,0,0,0,0,0,0,0

5,01:00-01:15,0,108.68,0,0,80.62,8.94,403.48,126.06,120.7,40.91,377.84,18.85,32.7,13.33,45.4,40.61,0,47.46,0,63.03,5.46,0,23.63,0,55.15,45.55,0,0,0,23.35,169.37,39.09,0,0,8.31,0,0,0,0,0,0,0,0,0,0,0,0,22.53,0,26.01,1.25,29.78,0,0,20.46,73.4,33.28,9.5,24.56,0,2.51,36.91,0,6.71,43.87,0,93.98,0,0,283.5,18.41,0,0,0,0,0,0,0

6,01:15-01:30,0,108.68,0,0,80.62,8.94,403.48,126.06,120.7,40.91,356.64,12.56,32.7,13.62,45.4,40.61,0,47.46,0,63.03,5.46,0,23.63,0,55.15,45.55,0,0,0,23.35,169.37,39.09,0,0,8.31,0,0,0,0,0,0,0,0,0,0,0,0,22.53,0,26.01,1.25,29.78,0,0,17.68,73.4,33.28,9.5,24.56,0,2.51,36.91,0,6.71,43.87,0,93.98,0,0,263.62,18.41,0,0,0,0,0,0,0

7,01:30-01:45,0,108.68,0,0,80.62,8.94,403.48,126.06,120.7,40.91,294.01,12.56,32.7,13.49,45.4,40.61,0,47.46,0,63.03,5.46,0,23.63,0,55.15,45.55,0,0,0,23.35,169.37,39.09,0,0,8.31,0,0,0,0,0,0,0,0,0,0,0,0,22.53,0,22.51,1.25,29.78,0,0,17.68,73.4,30.25,9.5,24.42,0,2.51,36.91,0,6.71,43.87,0,93.98,0,0,258.81,18.41,0,0,0,0,0,0,0

8,01:45-02:00,0,108.68,0,0,80.62,8.94,403.48,126.06,120.7,40.91,294.01,12.56,32.7,13.33,45.4,40.61,0,47.46,0,63.03,5.46,0,23.63,0,55.15,45.55,0,0,0,23.35,169.37,39.09,0,0,8.31,0,0,0,0,0,0,0,0,0,0,0,0,22.53,0,22.51,1.25,29.78,0,0,17.68,73.4,30.25,9.5,24.42,0,2.51,36.91,0,6.71,43.87,0,93.98,0,0,240.5,16.15,0,0,0,0,0,0,0

9,02:00-02:15,0,108.68,0,0,80.62,8.94,403.48,126.06,120.7,40.91,245.84,12.56,32.7,13.29,45.4,40.61,0,47.46,0,63.03,5.46,0,23.63,0,55.15,45.55,0,0,0,23.35,169.37,39.09,0,0,8.31,0,0,0,0,0,0,0,0,0,0,0,0,22.53,0,18.94,1.25,29.78,0,0,14.5,73.4,26.86,9.5,24.56,0,2.51,36.91,0,4.47,43.87,0,93.98,0,0,240.5,16.15,0,0,0,0,0,0,0

10,02:15-02:30,0,108.68,0,0,80.62,8.94,403.48,126.06,120.7,40.91,197.66,12.56,32.7,13.24,45.4,40.61,0,47.46,0,63.03,5.46,0,23.63,0,55.15,45.55,0,0,0,23.35,169.37,39.09,0,0,8.31,0,0,0,0,0,0,0,0,0,0,0,0,22.53,0,18.94,1.25,29.78,0,0,14.5,73.4,26.86,9.5,24.56,0,2.51,36.91,0,4.47,43.87,0,93.98,0,0,240.5,13.39,0,0,0,0,0,0,0

11,02:30-02:45,0,108.68,0,0,80.62,8.94,403.48,126.06,120.7,40.91,197.66,12.56,32.7,13.31,45.4,40.61,0,47.46,0,63.03,5.46,0,23.63,0,55.15,45.55,0,0,0,23.35,169.37,39.09,0,0,8.31,0,0,0,0,0,0,0,0,0,0,0,0,22.53,0,18.94,1.25,29.78,0,0,14.5,73.4,26.86,9.5,24.56,0,2.51,36.91,0,4.47,43.87,0,93.98,0,0,240.5,13.39,0,0,0,0,0,0,0

12,02:45-03:00,0,108.68,0,0,80.62,8.94,403.48,126.06,120.7,40.91,149.49,12.56,32.7,13.34,45.4,40.61,0,47.46,0,63.03,5.46,0,23.63,0,55.15,45.55,0,0,0,23.35,169.37,39.09,0,0,8.31,0,0,0,0,0,0,0,0,0,0,0,0,22.53,0,18.94,1.25,29.78,0,0,14.5,73.4,26.86,9.5,24.56,0,2.51,36.91,0,4.47,43.87,0,93.98,0,0,240.5,13.39,0,0,0,0,0,0,0

13,03:00-03:15,0,108.68,0,0,77.81,8.94,403.48,126.06,120.7,40.91,101.31,12.56,32.7,14.85,45.4,40.61,0,47.46,0,63.03,5.46,0,23.63,0,55.15,45.55,0,0,0,23.35,169.37,39.09,0,0,8.31,0,0,0,0,0,0,0,0,0,0,0,0,22.53,0,18.94,1.25,29.78,0,0,14.5,73.4,26.86,9.5,24.56,0,2.51,36.91,0,4.47,43.87,0,93.98,0,0,240.5,13.39,0,0,0,0,0,0,0

14,03:15-03:30,0,108.68,0,0,77.81,8.94,403.48,126.06,120.7,40.91,53.14,12.56,32.7,16.3,45.4,40.61,0,47.46,0,63.03,5.46,0,23.63,0,55.15,45.55,0,0,0,23.35,169.37,39.09,0,0,8.31,0,0,0,0,0,0,0,0,0,0,0,0,22.53,0,21.46,1.25,29.78,0,0,14.5,73.4,27.14,9.5,24.56,0,2.51,36.91,0,4.47,43.87,0,93.98,0,0,240.5,15.67,0,0,0,0,0,0,0

15,03:30-03:45,0,108.68,0,0,77.81,8.94,403.48,126.06,120.7,40.91,4.96,12.56,32.7,14.24,45.4,40.61,0,47.46,0,63.03,5.46,0,23.63,0,55.15,45.55,0,0,0,23.35,169.37,39.09,0,0,8.31,0,0,0,0,0,0,0,0,0,0,0,0,22.53,0,21.77,1.25,29.78,0,0,14.5,73.4,27.13,9.5,24.56,0,2.51,36.91,0,4.47,43.87,0,93.98,0,0,240.5,15.67,0,0,0,0,0,0,0

16,03:45-04:00,0,108.68,0,0,77.81,8.94,403.48,126.06,120.7,40.91,4.96,12.56,32.7,14.52,45.4,40.61,0,47.46,0,63.03,5.46,0,23.63,0,55.15,45.55,0,0,0,23.35,169.37,39.09,0,0,8.31,0,0,0,0,0,0,0,0,0,0,0,0,22.53,0,21.77,1.25,29.78,0,0,14.5,73.4,27.13,9.5,24.56,0,2.51,36.91,0,4.47,43.87,0,93.98,0,0,240.5,15.67,0,0,0,0,0,0,0

17,04:00-04:15,0,108.68,0,0,77.81,8.94,403.48,126.06,120.7,40.91,4.96,12.56,32.7,13.5,45.4,40.61,0,47.46,0,63.03,5.46,0,23.63,0,55.15,45.55,0,0,0,23.35,169.37,39.09,0,0,8.31,0,0,0,0,0,0,0,0,0,0,0,0,22.53,0,18.94,1.25,29.78,0,0,14.5,73.4,26.86,9.5,24.42,0,2.51,36.91,0,4.47,43.87,0,93.98,0,0,240.5,15.67,0,0,0,0,0,0,0

18,04:15-04:30,0,108.68,0,0,77.81,8.94,403.48,126.06,120.7,40.91,4.96,12.56,32.7,15.45,45.4,40.61,0,47.46,0,63.03,5.46,0,23.63,0,55.15,45.55,0,0,0,23.35,169.37,39.09,0,0,8.31,0,0,0,0,0,0,0,0,0,0,0,0,22.53,0,18.94,1.25,29.78,0,0,14.5,73.4,26.86,9.5,24.42,0,2.51,36.91,0,4.47,43.87,0,93.98,0,0,240.5,13.39,0,0,0,0,0,0,0

19,04:30-04:45,0,108.68,0,0,77.81,8.94,403.48,126.06,120.7,40.91,4.96,12.56,32.7,16.73,45.4,40.61,0,47.46,0,63.03,5.46,0,23.63,0,55.15,45.55,0,0,0,23.35,169.37,39.09,0,0,8.31,0,0,0,0,0,0,0,0,0,0,0,0,22.53,0,18.94,1.25,29.78,0,0,14.5,73.4,26.86,9.5,24.42,0,2.51,36.91,0,4.47,43.87,0,93.98,0,0,240.5,13.39,0,0,0,0,0,0,0

20,04:45-05:00,0,108.68,0,0,77.81,8.94,403.48,126.06,120.7,40.91,4.96,12.56,32.7,18.61,45.4,40.61,0,47.46,0,63.03,5.46,0,23.63,0,55.15,45.55,0,0,0,23.35,169.37,39.09,0,0,8.31,0,0,0,0,0,0,0,0,0,0,0,0,22.53,0,18.94,1.25,29.78,0,0,14.5,73.4,26.86,9.5,24.27,0,2.51,36.91,0,4.47,43.87,0,93.98,0,0,240.5,13.39,0,0,0,0,0,0,0

21,05:00-05:15,0,108.68,0,0,77.81,8.94,403.48,126.06,120.7,40.91,4.96,12.56,32.7,24.08,45.4,40.61,0,47.46,0,63.03,5.46,0,23.63,0,55.15,45.55,0,0,0,23.35,169.37,29.32,0,0,8.31,0,0,0,0,0,0,0,0,0,0,0,0,22.53,0,18.94,1.25,50.45,0,0,11.88,73.4,26.86,9.5,23.99,0,2.51,36.91,0,4.47,43.87,0,93.98,0,0,233.17,13.39,0,0,0,0,0,0,0

