Column1,Time,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,SR/01102023/07102043/L_NR_2018_61,NR/01082024/31082024/jitpl,NR/01082024/30092024/LT_MEJA_DELHI,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/31082024/SKS-Raigarh,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01102023/06022042/L_NR_2012_07,NR/01082024/15082024/APL-Raigarh,NR/01102023/06022042/L_NR_2012_02,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug'24,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,GNA/NR/2024/08/09/3684,GNA/NR/2024/08/09/6800,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/26122029/SH-06,NR/22102023/11042047/L_NR_2021_17,WR/01102023/31032046/L_NR_2020_05,L_NR_2019_19,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/L_NR_2019_05,NR/01102023/14082046/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,NR/01102023/02012046/L_NR_2021_17,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_35,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36
1,00:00-00:15,16.66,20,46,46,0,0,0,32,9.01,12.06,0,15.44,12.4,38.52,48.14,76.35,192.58,225.88,48.14,6.48,33.01,0,33.7,27.76,32,0,60,0,0,0,0,0,0,0,0,0,0,0,0,20,0,84.74,272.26,0,0,0

2,00:15-00:30,16.66,20,46.33,46.33,0,0,0,32,9.01,12.06,0,15.44,12.4,38.52,48.14,76.35,192.58,225.88,48.14,6.48,33.01,0,33.7,27.76,32,0,60,0,0,0,0,0,0,0,0,0,0,0,0,20,0,77.03,272.26,0,0,0

3,00:30-00:45,16.66,20,46.67,46.67,0,0,0,32,8.61,12.06,0,15.44,12.4,38.52,48.14,76.35,192.58,225.88,48.14,6.48,33.01,0,33.7,27.76,32,0,60,0,0,0,0,0,0,0,0,0,0,0,0,20,0,52.96,272.26,0,0,0

4,00:45-01:00,16.66,20,47,47,0,0,0,32,8.21,12.06,0,15.44,12.4,38.52,48.14,76.35,192.58,225.88,48.14,6.48,33.01,0,33.7,27.76,32,0,60,0,0,0,0,0,0,0,0,0,0,0,0,20,0,52.96,272.26,0,0,0

5,01:00-01:15,16.66,20,47,47,0,0,0,24.0835,7.81,12.06,0,15.44,12.4,38.52,48.14,76.35,192.58,225.88,48.14,6.3,33.01,0,0,27.76,24.0835,0,60,0,0,0,0,0,0,0,0,0,0,0,0,20,0,52.96,272.26,0,0,0

6,01:15-01:30,16.66,20,47.33,47.33,0,0,0,24.0835,7.41,12.06,0,15.44,12.4,38.52,48.14,76.35,192.58,225.88,48.14,6.3,35.09,0,0,27.76,24.0835,0,60,0,0,0,0,0,0,0,0,0,0,0,0,20,0,52.96,272.26,0,0,0

7,01:30-01:45,16.66,16.66,39,39,0,0,0,24.0835,7.01,12.06,0,15.44,12.4,38.52,48.14,76.35,192.58,225.88,48.14,6.3,35.09,0,0,27.76,24.0835,0,50,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,52.96,272.26,0,0,0

