Column1,Time,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),SR/01102023/07102043/L_NR_2018_61,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31052040/LT-31,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/1475,NR/01102023/05012040/L_NR_2020_02,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_36,NR/01102023/22052037/LT-59,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/1599,GNA/WR/2024/10/15/7089,GNA/NR/2024/12/01/2197,NR/01102023/19072037/LT-05,GNA/NR/2024/12/01/3428,GNA/WR/2024/11/01/4200,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_07,NR/22102023/11042047/L_NR_2021_16,GNA/NR/2024/12/01/7739,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02,NR/30092023/26122029/SH-06
1,00:00-00:15,0,0,0,0,0,0,0,0,7.33,7.33,15,0,13.61,22.01,15,0,6.67,0,0,0,1.92,115.12,0,25.9,25.9,1.61,0,0,0.93,150,8.63,95.13,0,25.9,34.98,8.63,0,1.3,76.29,0,31.71,0,114.9,0

2,00:15-00:30,0,0,0,0,0,0,0,0,7.33,7.33,15,0,13.01,22.01,15,0,6.67,0,0,0,1.92,95.93,0,25.9,25.9,1.61,0,0,0.93,150,8.63,95.13,0,25.9,34.98,8.63,0,1.3,76.29,0,31.71,0,114.9,0

3,00:30-00:45,0,0,0,0,0,0,0,0,7.33,7.33,15,0,10,22.01,15,0,6.67,0,0,0,1.92,74.6,0,25.9,25.9,1.61,0,0,0.93,150,8.63,95.13,0,25.9,34.98,8.63,0,1.3,76.29,0,31.71,0,114.9,0

4,00:45-01:00,0,0,0,0,0,0,0,0,7.33,7.33,15,0,9.6,22.01,15,0,6.67,0,0,0,1.92,74.6,0,25.9,25.9,1.61,0,0,0.93,150,8.63,95.13,0,25.9,34.98,8.63,0,1.3,76.29,0,31.71,0,114.9,0

5,01:00-01:15,0,0,0,0,0,0,0,0,7.33,7.33,14.67,0,9,22.01,14.66,0,6.67,0,0,0,1.92,74.6,0,25.9,25.9,1.61,0,0,0.93,150,8.63,95.13,0,25.9,34.98,8.63,0,1.3,76.29,0,31.71,0,114.9,0

6,01:15-01:30,0,0,0,0,0,0,0,0,7.33,7.33,14.67,0,8.4,22.01,14.66,0,6.67,0,0,0,1.92,74.6,0,25.9,25.9,1.61,0,0,0.93,150,8.63,95.13,0,25.9,34.98,8.63,0,1.3,62.27,0,31.71,0,114.9,0

7,01:30-01:45,0,0,0,0,0,0,0,0,7.33,7.33,14.67,0,8,22.01,14.66,0,6.67,0,0,0,1.92,74.6,0,25.9,25.9,1.61,0,0,0.93,150,8.63,95.13,0,25.9,34.98,8.63,0,1.3,76.29,0,31.71,0,114.9,0

8,01:45-02:00,0,0,0,0,0,0,0,0,7.33,7.33,14.67,0,7,22.01,14.66,0,6.67,0,0,0,1.92,74.6,0,25.9,25.9,1.61,0,0,0.93,150,8.63,95.13,0,25.9,34.98,8.63,0,1.3,76.29,0,31.71,0,114.9,0

9,02:00-02:15,0,0,0,0,0,0,0,0,7.33,7.33,14.67,0,7,22.01,14.66,0,6.67,0,0,0,2.01,74.6,0,25.9,25.9,1.61,0,0,0.93,150,8.63,95.13,0,25.9,34.98,8.63,0,1.22,76.29,0,31.71,0,114.9,0

10,02:15-02:30,0,0,0,0,0,0,0,0,7.33,7.33,14.67,0,7,22.01,14.66,0,6.67,0,0,0,2.01,74.6,0,25.9,25.9,1.61,0,0,0.93,150,8.63,95.13,0,25.9,34.98,8.63,0,1.22,76.29,0,31.71,0,114.9,0

11,02:30-02:45,0,0,0,0,0,0,0,0,7.33,7.33,14.67,0,7,22.01,14.66,0,6.67,0,0,0,2.01,74.6,0,25.9,25.9,1.61,0,0,0.93,150,8.63,95.13,0,25.9,34.98,8.63,0,1.22,76.29,0,31.71,0,114.9,0

12,02:45-03:00,0,0,0,0,0,0,0,0,7.33,7.33,14.67,0,7,22.01,14.66,0,6.67,0,0,0,2.01,74.6,0,25.9,25.9,1.61,0,0,0.93,150,8.63,95.13,0,25.9,34.98,8.63,0,1.22,76.29,0,31.71,0,114.9,0

13,03:00-03:15,0,0,0,0,0,0,0,0,7.33,7.33,14.33,0,7,22.01,14.34,0,6.67,0,0,0,2.01,74.6,0,25.9,25.9,1.61,0,0,0.93,150,8.63,95.13,0,25.9,34.98,8.63,0,1.22,74.83,0,31.71,0,114.9,0

14,03:15-03:30,0,0,0,0,0,0,0,0,7.33,7.33,14.33,0,7,22.01,14.34,0,6.67,0,0,0,2.01,74.6,0,25.9,25.9,1.61,0,0,0.93,150,8.63,95.13,0,25.9,34.98,8.63,0,1.22,74.83,0,31.71,0,114.9,0

15,03:30-03:45,0,0,0,0,0,0,0,0,7.33,7.33,13.33,0,6.8,22.01,13.34,0,6.67,0,0,0,2.01,74.6,0,25.9,25.9,1.61,0,0,0.93,150,8.63,95.13,0,25.9,34.98,8.63,0,1.22,74.83,0,31.71,0,114.9,0

16,03:45-04:00,0,0,0,0,0,0,0,0,7.33,7.33,13.33,0,6.8,22.01,13.34,0,6.67,0,0,0,2.01,74.6,0,25.9,25.9,1.61,0,0,0.93,150,8.63,95.13,0,25.9,34.98,8.63,0,1.22,74.83,0,31.71,0,114.9,0

17,04:00-04:15,0,0,0,0,0,0,0,0,7.33,7.33,13.33,0,6.8,22.01,13.34,0,6.67,0,0,0,2.01,74.6,0,25.9,25.9,1.61,0,0,0.93,150,8.63,95.13,0,25.9,34.98,8.63,0,1.14,74.83,0,31.71,0,114.9,0

18,04:15-04:30,0,0,0,0,0,0,0,0,7.33,7.33,13.33,0,6.8,22.01,13.34,0,6.67,0,0,0,2.01,74.6,0,25.9,25.9,1.61,0,0,0.93,150,8.63,95.13,0,25.9,34.98,8.63,0,1.14,74.83,0,31.71,0,114.9,0

19,04:30-04:45,0,0,0,0,0,0,0,0,7.33,7.33,13.33,0,6.8,22.01,13.34,0,6.67,0,0,0,2.01,74.6,0,25.9,25.9,1.61,0,0,0.93,150,8.63,95.13,0,25.9,34.98,8.63,0,1.14,74.83,0,31.71,0,114.9,0

20,04:45-05:00,0,0,0,0,0,0,0,0,7.33,7.33,13.33,0,6.8,22.01,13.34,0,6.67,0,0,0,2.01,95.93,0,25.9,25.9,1.61,0,0,0.93,150,8.63,95.13,0,25.9,34.98,8.63,0,1.14,74.83,0,31.71,0,114.9,0

21,05:00-05:15,0,0,0,0,0,0,0,0,7.33,7.33,13.33,0,6.8,22.01,13.34,0,6.67,0,0,0,2.01,115.12,0,25.9,25.9,1.61,0,0,0.93,150,8.63,95.13,0,25.9,34.98,8.63,0,1.14,74.83,0,31.71,0,114.9,0

22,05:15-05:30,0,0,0,0,0,0,0,0,7.33,7.33,13.33,0,6.8,22.01,13.34,0,6.67,0,0,0,2.01,134.49,0,25.9,25.9,1.61,0,0,0.93,150,8.63,95.13,0,25.9,34.98,8.63,0,1.14,74.83,0,31.71,0,130.22,0

23,05:30-05:45,0,0,0,0,0,0,0,0,7.33,7.33,13.33,0,6.8,22.01,13.34,0,6.67,0,0,0,2.01,134.49,0,25.9,25.9,1.61,0,0,0.93,150,8.63,95.13,0,25.9,34.98,8.63,0,1.14,74.83,0,31.71,0,130.22,0

24,05:45-06:00,0,0,0,0,0,0,0,0,7.33,7.33,13.33,0,6.8,22.01,13.34,0,6.67,0,0,0,2.01,134.49,0,25.9,25.9,1.61,0,0,0.93,150,8.63,95.13,0,25.9,34.98,8.63,0,1.14,74.83,0,31.71,0,130.22,0

25,06:00-06:15,0,0,0,0,0,0,0,0,7.33,7.33,13.33,0.01,6.8,22.01,13.34,0,6.67,0.86,0,0,2.01,134.49,0,25.9,25.9,1.61,0,0,0.93,150,8.63,0,0,25.9,32.9,8.63,0,1.14,74.83,0,0,0,130.22,0

26,06:15-06:30,0,0,0,0,0,0,0,0,7.33,7.33,13.33,3.81,6.8,22.01,13.34,0,6.67,1.39,0,0,2.01,134.49,0,25.9,25.9,1.61,0,0,0.93,150,8.63,0,0,25.9,32.9,8.63,0,1.14,74.83,0,0,0,130.22,0

27,06:30-06:45,0,0,0,0,0,0,0,0,7.33,7.33,13.33,9.95,6.8,22.01,13.34,1,6.67,2.86,0,0.15,2.01,134.49,0.15,25.9,25.9,1.61,0,0.15,0.93,150,8.63,0,0,25.9,37.13,8.63,0,1.14,74.83,0,0,0,130.22,0

28,06:45-07:00,0,0,0,0,0,0,0,0.43,7.33,7.33,13.33,16.56,6.8,22.01,13.34,5,6.67,9.15,0,0.35,2.01,134.49,0.35,25.9,25.9,1.61,0,0.36,0.93,150,8.63,0,0,25.9,41.37,8.63,0,1.14,74.83,0,0,0,130.22,0

29,07:00-07:15,0,0,2,1,0,0,0.2,5.53,7.33,7.33,13.33,25.83,6.8,22.01,13.34,10,6.67,18.46,0,0.66,2.01,134.49,0.66,31.66,31.66,1.61,0,0.68,0.93,150,8.63,0,0,31.66,45.6,8.63,0,1.14,74.83,1,0,0,130.22,0

30,07:15-07:30,1,1,3,4.6,2,1,0.92,14.67,7.33,7.33,13.33,31.69,6.8,22.01,13.34,16,6.67,30.46,0,1.11,2.01,134.49,1.11,31.66,31.66,1.61,0,1.14,0.93,150,8.63,0,0,31.66,57.54,8.63,0,1.14,74.83,2,0,0,130.22,0

31,07:30-07:45,3,3,6,11.71,7,2,2.34,23.31,7.33,7.33,13.33,32.35,6.8,22.01,13.34,22,6.67,32.35,0,1.7,2.01,134.49,1.7,31.66,31.66,1.61,0,1.75,0.93,150,8.63,0,0,31.66,57.54,8.63,0,1.14,74.83,5,0,0,130.22,0

32,07:45-08:00,4,6,8,20.87,14,4,4.17,32.42,7.33,7.33,13.33,30.35,6.8,22.01,13.34,27.33,6.67,30.35,0,2.44,2.01,134.49,2.44,31.66,31.66,1.61,0,2.5,0.93,150,8.63,0,0,31.66,57.54,8.63,0,1.14,74.83,8,0,0,130.22,0

33,08:00-08:15,8,14,12,32.6,33,5,6.52,43.45,7.33,7.33,13.33,31.06,6.8,22.01,13.34,28.33,6.67,31.07,0,3.24,2.01,134.49,3.24,31.66,31.66,1.56,0,3.31,0.69,150,8.63,0,0,31.66,57.54,8.63,0,1.14,86.53,17,0,0,130.22,0

34,08:15-08:30,12,21,19,54.62,49,10,10.92,55.65,7.33,7.33,13.33,31.4,6.8,22.01,13.34,29.23,6.67,31.4,0,4.03,2.01,134.49,4.03,31.66,31.66,1.56,0,4.14,0.69,150,8.63,0,0,31.66,57.54,8.63,0,1.14,86.53,23,0,0,130.22,0

35,08:30-08:45,18,28,28,75.98,67,15,15.19,67.75,7.33,7.33,13.33,31.4,6.8,22.01,13.34,30.07,6.67,31.4,0,4.8,2.01,134.49,4.8,31.66,31.66,1.56,0,4.93,0.69,150,8.63,0,0,31.66,57.54,8.63,0,1.14,86.53,37,0,0,130.22,0

