Block,Time Block,DULHASTI,RAMPUR,RIHAND3,RAPPC,PARBATI3,RIHAND2,RIHAND1,RAPPB,RAPPD,NLCEXP,NLCIIST1,NJPC,NLCIIST2,MAPS,NLCTS2EXP,NNTPP,NAPP,NTPL,PARBATI2,BSIUL,CHAMERA3,DHAULIGNGA,CHAMERA2,DADRT2,CHAMERA1,BRBCL,KUDGI,KOTESHWR,KGSU1AND2,KHSTPP-II,KKNP,KGSU3AND4,KKNPPU2,KOLDAM,KISHANGANGA,KHSTPP-I,JHAJJAR,FSTPP I & II,DADRI_RF,ANTA_LF,AURY_CRF,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,ANTA_RF,AURY_GF,DADRI_CRF,SINGRAULI_HYDRO,UNCHAHAR3,TALST2,TANAKPUR,TelanganaSTPP,SINGRAULI,UNCHAHAR2,TALA,URI,URI2,TEHRI,UNCHAHAR1,UNCHAHAR4,TANDA2,ANTA_GF,VALLURNTECL,ANTA_CRF,SIMHST2,SASAN,SIMHST1,SALAL,SEWA2,RSTPSU1TO6,RSTPSU7,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,57.21,4.16,125.75,65.92,18.88,119.78,93.49,0,28.84,0,0,106.41,0,0,0,0,24.53,0,15.89,0,33.68,10.53,46.93,662.04,40.53,17.94,0,10.03,0,142.59,0,0,0,6.91,8.3,43.78,402.42,17.5,24.04,0,0,0,0,0,0,12.5,0,0,0.96,26.61,0,6.03,0,144.55,42.32,0,47.77,37.08,12.11,20.81,1.63,5.31,0,0,0,0,331.51,0,0,18.17,0,0,0,0,0,0,0

2,00:15-00:30,57.21,4.16,125.75,65.92,18.88,119.78,93.49,0,28.84,0,0,106.41,0,0,0,0,24.53,0,15.89,0,33.68,10.53,46.93,662.04,40.53,18.84,0,10.03,0,142.59,0,0,0,6.91,8.3,43.78,402.55,17.5,24.04,0,0,0,0,0,0,12.5,0,0,0.96,26.61,0,6.03,0,144.55,42.32,0,47.77,37.08,11.87,20.81,1.63,5.31,0,0,0,0,332.08,0,0,18.17,0,0,0,0,0,0,0

3,00:30-00:45,57.21,4.16,125.75,65.92,18.88,119.78,93.49,0,28.84,0,0,106.41,0,0,0,0,24.53,0,15.89,0,33.68,10.53,46.93,662.04,40.53,14.26,0,10.03,0,142.59,0,0,0,6.91,8.3,43.78,402.55,17.5,24.04,0,0,0,0,0,0,12.5,0,0,0.96,26.61,0,6.03,0,144.55,42.32,0,50.34,37.08,11.65,20.81,1.63,5.31,0,0,0,0,342.39,0,0,18.17,0,0,0,0,0,0,0

4,00:45-01:00,57.21,4.16,125.75,65.92,18.88,119.78,93.49,0,28.84,0,0,106.41,0,0,0,0,24.53,0,15.89,0,33.68,10.53,46.93,662.04,40.53,12,0,10.03,0,142.59,0,0,0,6.91,8.3,43.78,402.55,17.5,24.04,0,0,0,0,0,0,12.5,0,0,0.96,26.61,0,6.03,0,144.55,42.32,0,50.34,37.08,0,20.81,1.63,5.31,0,0,0,0,361.86,0,0,18.17,0,0,0,0,0,0,0

5,01:00-01:15,57.21,4.16,125.75,65.92,18.88,119.78,93.49,0,28.84,0,0,106.41,0,0,0,0,24.53,0,15.89,0,33.68,10.53,46.93,662.04,40.53,11.11,0,10.03,0,142.59,0,0,0,6.91,8.3,43.78,402.55,17.5,24.04,0,0,0,0,0,0,12.5,0,0,0.96,26.61,0,6.03,0,144.55,42.32,0,50.34,33.21,0,20.81,1.63,5.31,0,0,0,0,377.12,0,0,18.17,0,0,0,0,0,0,0

6,01:15-01:30,57.21,4.16,125.75,65.92,18.88,119.78,93.49,0,28.84,0,0,106.41,0,0,0,0,24.53,0,15.89,0,33.68,10.53,46.93,662.04,40.53,11.46,0,10.03,0,142.59,0,0,0,6.91,8.3,43.78,402.55,17.5,24.04,0,0,0,0,0,0,12.5,0,0,0.96,26.61,0,6.03,0,144.55,42.32,0,50.34,33.21,0,20.81,1.63,5.31,0,0,0,0,384.69,0,0,18.17,0,0,0,0,0,0,0

7,01:30-01:45,57.21,4.16,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,106.41,0,0,0,0,24.53,0,15.89,0,33.68,10.53,46.93,662.04,40.53,10.64,0,10.03,0,142.59,0,0,0,4.61,8.3,43.78,402.55,17.5,24.04,0,0,0,0,0,0,12.5,0,0,0.96,26.61,0,6.03,0,144.55,42.32,0,50.34,33.21,0,20.81,1.63,5.31,0,0,0,0,392.26,0,0,18.17,0,0,0,0,0,0,0

8,01:45-02:00,57.21,4.16,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,106.41,0,0,0,0,24.53,0,15.89,0,33.68,10.53,46.93,662.04,40.53,10.7,0,10.03,0,142.59,0,0,0,2.19,8.3,43.78,402.55,17.5,24.04,0,0,0,0,0,0,12.5,0,0,0.96,26.61,0,6.03,0,144.55,42.32,0,50.34,33.21,0,20.81,1.63,5.31,0,0,0,0,397.16,0,0,18.17,0,0,0,0,0,0,0

9,02:00-02:15,57.21,4.16,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,106.41,0,0,0,0,24.53,0,15.89,0,33.68,10.53,46.93,662.04,40.53,10.62,0,10.03,0,142.59,0,0,0,1.86,8.3,43.78,402.55,17.5,1.81,0,0,0,0,0,0,1.31,0,0,0.96,26.61,0,0.74,0,144.55,42.32,0,48.3,33.21,0,20.81,1.63,5.31,0,0,0,0,351.54,0,0,18.17,0,0,0,0,0,0,0

10,02:15-02:30,57.21,4.16,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,106.41,0,0,0,0,24.53,0,15.89,0,33.68,10.53,46.93,662.04,40.53,10.67,0,10.03,0,142.59,0,0,0,1.86,8.3,43.78,402.55,17.5,0,0,0,0,0,0,0,0,0,0,0.96,26.61,0,0,0,144.55,42.32,0,48.3,33.21,0,20.81,1.63,5.31,0,0,0,0,351.54,0,0,18.17,0,0,0,0,0,0,0

11,02:30-02:45,57.21,4.16,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,106.41,0,0,0,0,24.53,0,15.89,0,33.68,10.53,46.93,662.04,40.53,10.6,0,10.03,0,142.59,0,0,0,1.86,8.3,43.78,402.55,17.5,0,0,0,0,0,0,0,0,0,0,0.96,26.61,0,0,0,144.55,42.32,0,48.3,33.21,0,20.81,1.63,5.31,0,0,0,0,365.06,0,0,18.17,0,0,0,0,0,0,0

12,02:45-03:00,57.21,4.16,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,106.41,0,0,0,0,24.53,0,15.89,0,33.68,10.53,46.93,662.04,40.53,11.11,0,10.03,0,142.59,0,0,0,1.86,8.3,43.78,402.55,17.5,0,0,0,0,0,0,0,0,0,0,0.96,26.61,0,0,0,144.55,42.32,0,48.3,33.21,0,20.81,1.63,5.31,0,0,0,0,381.47,0,0,18.17,0,0,0,0,0,0,0

13,03:00-03:15,57.21,4.16,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,106.41,0,0,0,0,24.53,0,15.89,0,33.68,21.04,46.93,657.99,40.53,12.35,0,10.03,0,142.59,0,0,0,1.86,8.3,43.78,401.54,17.5,0,0,0,0,0,0,0,0,0,0,0.96,26.61,0,0,0,144.55,42.32,0,48.3,33.21,0,20.81,1.63,5.31,0,0,0,0,395.82,0,0,18.17,0,0,0,0,0,0,0

14,03:15-03:30,57.21,4.16,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,106.41,0,0,0,0,24.53,0,15.89,0,33.68,21.04,46.93,657.99,40.53,11.87,0,10.03,0,142.59,0,0,0,1.86,8.3,43.78,401.54,17.5,0,0,0,0,0,0,0,0,0,0,0.96,26.61,0,0,0,144.55,42.32,0,48.3,33.21,0,20.81,1.63,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

15,03:30-03:45,57.21,4.16,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,106.41,0,0,0,0,24.53,0,15.89,0,22.43,21.04,46.93,657.99,40.53,13.87,0,10.03,0,142.59,0,0,0,1.86,8.3,43.78,402.45,17.5,0,0,0,0,0,0,0,0,0,0,0.96,26.61,0,0,0,144.55,42.32,0,48.3,33.21,0,20.81,1.63,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

16,03:45-04:00,57.21,4.16,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,106.41,0,0,0,0,24.53,0,15.89,0,22.43,21.04,46.93,657.99,40.53,15.22,0,10.03,0,142.59,0,0,0,1.86,8.3,43.78,402.45,17.5,0,0,0,0,0,0,0,0,0,0,0.96,26.61,0,0,0,144.55,42.32,0,48.3,33.21,0,20.81,1.63,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

17,04:00-04:15,57.21,4.16,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,106.41,0,0,0,0,24.53,0,15.89,0,22.43,21.04,46.93,657.99,40.53,16.35,0,10.03,0,142.59,0,0,0,1.86,8.3,43.78,402.55,17.5,0,0,0,0,0,0,0,0,0,0,0.96,26.61,0,0,0,144.55,42.32,0,48.3,33.21,11.65,20.81,1.63,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

18,04:15-04:30,57.21,4.16,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,106.41,0,0,0,0,24.53,0,15.89,0,22.43,21.04,46.93,607.39,40.53,17.25,0,10.03,0,142.59,0,0,0,1.86,8.3,43.78,402.55,17.5,0,0,0,0,0,0,0,0,0,0,0.96,26.61,0,0,0,144.55,42.32,0,48.3,33.21,11.65,20.81,1.63,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

19,04:30-04:45,57.21,2.87,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,72.15,0,0,0,0,24.53,0,15.89,0,22.43,21.04,46.93,540.08,40.53,19.18,0,10.03,0,142.59,0,0,0,1.86,8.3,43.78,402.55,17.5,0,0,0,0,0,0,0,0,0,0,0.96,26.61,0,6.03,0,144.55,42.32,0,48.3,33.21,23.3,20.81,1.63,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

20,04:45-05:00,57.21,2.87,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,72.15,0,0,0,0,24.53,0,15.89,0,22.43,21.04,46.93,523.74,40.53,19.23,0,10.03,0,142.59,0,0,0,1.86,8.3,43.78,402.55,17.5,0,0,0,0,0,0,0,0,0,0,0.96,26.61,0,6.03,0,144.55,42.32,0,48.3,33.21,23.3,20.81,1.63,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

21,05:00-05:15,57.21,2.87,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,72.15,0,0,0,0,24.53,0,15.89,0,22.43,10.53,46.93,517.97,40.53,19.23,0,10.03,0,142.59,0,0,0,1.86,8.3,43.78,442.93,17.5,0,0,0,0,0,0,0,0,0,0,0.96,26.61,0,6.03,0,144.55,42.32,0,48.3,33.98,24.08,20.81,1.63,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

22,05:15-05:30,57.21,2.87,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,72.15,0,0,0,0,24.53,0,15.89,0,22.43,10.53,46.93,507.39,40.53,19.23,0,10.03,0,142.59,0,0,0,1.86,8.3,43.78,443.35,17.5,0,0,0,0,0,0,0,0,0,0,0.96,26.61,0,6.03,0,144.55,42.32,0,48.3,33.98,24.22,20.81,1.63,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

23,05:30-05:45,57.21,2.87,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,72.15,0,0,0,0,24.53,0,15.89,0,22.43,10.53,46.93,503.55,40.53,19.23,0,10.03,0,142.59,0,0,0,4.61,8.3,43.78,443.35,17.5,0,0,0,0,0,0,0,0,0,0,0.96,26.61,0,0.49,0,144.55,42.32,0,48.3,33.98,24.22,20.81,1.63,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

24,05:45-06:00,57.21,2.87,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,72.15,0,0,0,0,24.53,0,15.89,0,22.43,10.53,46.93,492.97,40.53,19.23,0,10.03,0,142.59,0,0,0,4.61,8.3,43.78,443.35,17.5,0,0,0,0,0,0,0,0,0,0,0.96,26.61,0,0.49,0,144.55,42.32,0,48.3,33.98,24.22,20.81,1.63,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

25,06:00-06:15,57.21,2.87,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,72.15,0,0,0,0,24.53,0,15.89,0,17.71,10.53,46.93,551.72,40.53,19.23,0,10.03,0,142.59,0,0,0,4.61,8.3,43.78,401.44,17.5,0,0,0,0,0,0,0,0,0,0,0.96,26.61,0,0.49,0,144.55,42.32,0,48.3,33.98,24.22,20.81,1.63,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

26,06:15-06:30,57.21,2.87,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,72.15,0,0,0,0,24.53,0,15.89,0,17.71,10.53,46.93,595.09,40.53,19.23,0,10.03,0,142.59,0,0,0,4.61,8.3,43.78,401.44,17.5,0,0,0,0,0,0,0,0,0,0,0.96,26.61,0,0.49,0,144.55,42.32,0,48.3,33.98,24.22,20.81,1.63,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

27,06:30-06:45,57.21,2.87,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,72.15,0,0,0,0,24.53,0,15.89,0,17.71,10.53,46.93,576.82,40.53,19.23,0,10.03,0,142.59,0,0,0,4.61,8.3,43.78,401.44,17.5,0,0,0,0,0,0,0,0,0,0,0.96,26.61,0,1.72,0,144.55,42.32,0,48.3,33.98,24.22,20.81,1.63,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

28,06:45-07:00,57.21,2.87,125.75,65.92,16.23,119.78,93.49,0,28.84,0,0,72.15,0,0,0,0,24.53,0,15.89,0,17.71,10.53,46.93,541.73,40.53,19.23,0,10.03,0,142.59,0,0,0,4.61,8.3,43.78,562.63,17.5,0,0,0,0,0,0,0,0,0,0,0.96,26.61,0,1.72,0,144.55,42.32,0,48.3,33.98,24.22,20.81,1.63,5.31,0,0,0,0,397.52,0,0,18.17,0,0,0,0,0,0,0

