Time,Block,NR/2023/17905/A/808,NR/2023/16187/A,NR/2023/17901/A/842,NR/2023/17949/C,NR/2023/17064/A,WR/2023/20256/A/852,NR/2023/17950/C,WR/2023/20254/A/848,WR/2023/18560/A,NR/2023/17953/C,WR/2023/18560/A/II,Total
,,IEXL,APPCPL,ITCLH,TPDDL,GMRETL,MANIKARAN,NVVNL,APPCPL,MANIKARAN,SJVNL,MANIKARAN,Total

,,HIMACHAL PRADESH,DELHI,ANDHRA PRADESH,HIMACHAL PRADESH,DELHI,DELHI,NA,DELHI,DELHI,NA,DELHI,
,,BSHP,BYPL,ITCWIND,CHANJUII,BYPL,BRPL,SOLAPUR_SOLAR,BRPL,BYPL,RSRPL_BKN,BYPL,
,,DELHI,HIMACHAL PRADESH,DELHI,DELHI,RAJASTHAN,GOA,DELHI,GOA,MAHARASHTRA,DELHI,MAHARASHTRA,
,,MES (Delhi),HP,ITCLH,TPDDL,RUVNL,GOA_Beneficiary,MES (Delhi),GOA_Beneficiary,AEML,NDMC,AEML,
,,North-North,North-North,South-West-North,North-North,North-North,North-West,West-North,North-West,North-West,North-North,North-East-West,
1,00:00-00:15,1.930000,34.170000,0.480000,3.690000,0.000000,0.000000,0,0.000000,100.000000,0,0.000000,140.27

2,00:15-00:30,1.930000,34.170000,0.480000,3.690000,0.000000,0.000000,0,0.000000,100.000000,0,0.000000,140.27

3,00:30-00:45,1.930000,34.170000,0.480000,3.690000,0.000000,0.000000,0,0.000000,100.000000,0,0.000000,140.27

4,00:45-01:00,1.930000,34.170000,0.480000,3.690000,0.000000,0.000000,0,0.000000,100.000000,0,0.000000,140.27

5,01:00-01:15,1.930000,34.170000,0.480000,3.690000,0.000000,0.000000,0,0.000000,100.000000,0,0.000000,140.27

6,01:15-01:30,1.930000,34.170000,0.480000,3.690000,0.000000,0.000000,0,0.000000,100.000000,0,0.000000,140.27

7,01:30-01:45,1.930000,34.170000,0.480000,3.690000,0.000000,0.000000,0,0.000000,100.000000,0,0.000000,140.27

8,01:45-02:00,1.930000,34.170000,0.480000,3.690000,0.000000,0.000000,0,0.000000,100.000000,0,0.000000,140.27

9,02:00-02:15,1.930000,34.170000,0.440000,3.690000,0.000000,0.000000,0,0.000000,100.000000,0,0.000000,140.23

10,02:15-02:30,1.930000,34.170000,0.440000,3.690000,0.000000,0.000000,0,0.000000,100.000000,0,0.000000,140.23

11,02:30-02:45,1.930000,34.170000,0.440000,3.690000,0.000000,0.000000,0,0.000000,100.000000,0,0.000000,140.23

12,02:45-03:00,1.930000,34.170000,0.440000,3.690000,0.000000,0.000000,0,0.000000,100.000000,0,0.000000,140.23

13,03:00-03:15,1.930000,34.170000,0.440000,3.600000,0.000000,0.000000,0,0.000000,100.000000,0,0.000000,140.14

14,03:15-03:30,1.930000,34.170000,0.440000,3.600000,0.000000,0.000000,0,0.000000,100.000000,0,0.000000,140.14

15,03:30-03:45,1.930000,34.170000,0.440000,3.600000,0.000000,0.000000,0,0.000000,100.000000,0,0.000000,140.14

16,03:45-04:00,1.930000,34.170000,0.440000,3.600000,0.000000,0.000000,0,0.000000,100.000000,0,0.000000,140.14

17,04:00-04:15,1.930000,34.170000,0.440000,3.600000,0.000000,0.000000,0,0.000000,100.000000,0,0.000000,140.14

18,04:15-04:30,1.930000,34.170000,0.440000,3.600000,0.000000,0.000000,0,0.000000,100.000000,0,0.000000,140.14

19,04:30-04:45,1.930000,34.170000,0.440000,3.600000,0.000000,0.000000,0,0.000000,100.000000,0,0.000000,140.14

20,04:45-05:00,1.930000,34.170000,0.440000,3.600000,0.000000,0.000000,0,0.000000,100.000000,0,0.000000,140.14

21,05:00-05:15,1.930000,34.170000,0.440000,3.600000,0.000000,0.000000,0,0.000000,100.000000,0,0.000000,140.14

22,05:15-05:30,1.930000,34.170000,0.440000,3.600000,0.000000,0.000000,0,0.000000,100.000000,0,0.000000,140.14

