Block,Time,CHAMERA2,URI2,UNCHAHAR2,UNCHAHAR1,SINGRAULI_HYDRO,TEHRI,SINGRAULI,UNCHAHAR4,TANDA2,UNCHAHAR3,DADRT2,JHAJJAR,KOTESHWR,SEWA2,DULHASTI,RIHAND3,CHAMERA3,PARBATI3,KOLDAM,DHAULIGNGA,RAMPUR,RIHAND2,NJPC,RIHAND1,KISHANGANGA,NAPP,RAPPC,CHAMERA1,BSIUL,TANAKPUR,URI,RAPPB,SALAL,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,TALST2,VALLURNTECL,NTPL,NLCIIST2,NLCTS2EXP,NNTPP,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,SIMHST2,RSTPSU1TO6,RSTPSU7,SIMHST1,KUDGI,MAPS,NLCEXP,NLCIIST1,BRBCL,FSTPP I & II,TALA,KHSTPP-II,KHSTPP-I,VSTPS I,VSTPS II,VSTPS III,VSTPS IV,VSTPS V,LARA-I,MOUDA,SIPAT I,SIPAT II,SOLAPUR,MOUDA_II,TAPS-II,SASAN,GADARWARA-I,KHARGONE-I,KSTPS I&II,KSTPS7,KAPS,GANDHAR-APM,GANDHAR-NAPM,GANDHAR-RLNG,GANDHAR-ComGas,KAWAS-APM,KAWAS-NAPM,KAWAS-RLNG,KAWAS-zLIQ,KAWAS-ComGas
1,00:00-00:15,43.635161,35.360464,43.545976,21.485342,1.095648,27.555228,144.026761,1.427606,2.525983,26.963602,689.353782,503.902592,8.712864,17.179061,53.905351,126.520838,31.709733,3.47244,4.25586,29.745407,1.950442,120.694688,101.149098,94.319982,2.551476,43.088137,58.864255,42.66,0,1.1529,48.576,0,84.826,0,68.481795,0,0,0,39.070565,0,0,0,87.562894,0,0,3.03,2.38,1.04,0.42,1.21,0.2,2,1.1,1.62,0,1.85,6.05,1.94,0,9.33,0.25,0,0.84,20.0018,14.253199,0,147.515625,39.455,2.352264,1.942962,0.979842,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,1.771234,3.511691,2.793398,418.77,4.2939,3.542468,2.969334,1.341844,0.819241,0,0,0.023225,0,0,0,0.020614,0,0

2,00:15-00:30,43.635161,35.360464,43.545976,21.485342,1.095648,27.555228,144.026761,1.427606,2.525983,26.963602,689.353782,503.902592,8.712864,17.179061,53.905351,126.520838,31.709733,3.47244,4.25586,29.745407,1.950442,120.694688,101.149098,94.319982,2.551476,43.088137,58.864255,42.66,0,1.1529,48.576,0,84.826,0,68.481795,0,0,0,39.070565,0,0,0,87.562894,0,0,3.03,2.38,1.04,0.42,1.21,0.2,2,1.1,1.62,0,1.85,6.05,1.94,0,9.33,0.25,0,0.84,20.0018,14.253199,0,147.515625,39.455,2.352264,1.942962,0.979842,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,1.771234,3.511691,2.793398,418.77,4.2939,3.542468,2.969334,1.341844,0.819241,0,0,0.023225,0,0,0,0.020614,0,0

3,00:30-00:45,43.635161,34.33764,43.545976,22.193777,1.095648,27.555228,144.026761,1.427606,2.525983,26.963602,689.353782,503.902592,8.712864,17.179061,53.905351,126.520838,31.709733,3.47244,4.25586,29.745407,1.950442,120.694688,101.149098,94.319982,2.551476,43.088137,58.864255,42.66,0,1.1529,48.576,0,84.826,0,68.481795,0,0,0,39.653707,0,0,0,87.562894,0,0,3.03,2.38,1.04,0.42,1.21,0.19,2,1.1,1.62,0,1.85,6.05,1.94,0,9.33,0.25,0,0.84,20.0018,14.253199,0,147.515625,39.455,2.352264,1.942962,0.979842,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,1.771234,3.511691,2.793398,418.77,4.2939,3.542468,2.969334,1.341844,0.819241,0,0,0.023225,0,0,0,0.020614,0,0

4,00:45-01:00,43.635161,34.33764,43.545976,22.193777,1.095648,27.555228,144.026761,1.427606,2.525983,26.963602,689.353782,503.902592,8.712864,17.179061,53.905351,126.520838,31.709733,3.47244,4.25586,29.745407,1.950442,120.694688,101.149098,94.319982,2.551476,43.088137,58.864255,42.66,0,1.1529,48.576,0,84.826,0,68.481795,0,0,0,39.653707,0,0,0,87.562894,0,0,3.03,2.38,1.04,0.42,1.21,0.19,2,1.1,1.62,0,1.85,6.05,1.94,0,9.33,0.25,0.08,0.84,20.0018,14.253199,0,147.515625,39.455,2.352264,1.942962,0.979842,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,1.771234,3.511691,2.793398,418.77,4.2939,3.542468,2.969334,1.341844,0.819241,0,0,0.023225,0,0,0,0.020614,0,0

5,01:00-01:15,43.635161,34.33764,43.545976,22.193777,1.095648,27.555228,144.026761,1.427606,2.525983,26.963602,689.353782,503.902592,8.712864,17.179061,53.905351,126.520838,31.709733,3.47244,4.25586,29.745407,1.950442,120.694688,101.149098,94.319982,2.551476,43.088137,58.864255,42.66,0,8.8389,48.576,0,84.826,0,68.481795,0,0,0,40.23685,0,0,0,87.562894,0,0,3.03,2.38,1.04,0.42,1.21,0.19,2,1.1,1.62,0,1.85,6.05,1.94,0,9.33,0.25,0.08,0.84,20.0018,14.253199,0,147.515625,39.455,2.352264,1.942962,0.979842,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,1.771234,3.511691,2.793398,418.77,4.2939,3.542468,2.969334,1.341844,0.819241,0,0,0.023411,0,0,0,0.020614,0,0

6,01:15-01:30,43.635161,34.33764,43.545976,22.193777,1.095648,27.555228,144.026761,1.427606,2.525983,26.963602,689.353782,503.902592,8.712864,17.179061,53.905351,126.520838,31.709733,3.47244,4.25586,29.745407,1.950442,120.694688,101.149098,94.319982,2.551476,43.088137,58.864255,42.66,0,8.8389,48.576,0,84.826,0,68.481795,0,0,0,40.23685,0,0,0,87.562894,0,0,3.03,2.38,1.04,0.42,1.21,0.19,2,1.1,1.62,0,1.85,6.05,1.94,0,9.33,0.25,0.13,0.84,20.0018,14.253199,0,147.515625,39.455,2.352264,1.942962,0.979842,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,1.771234,3.511691,2.793398,418.77,4.2939,3.542468,2.969334,1.341844,0.819241,0,0,0.023411,0,0,0,0.020614,0,0

