Block,Time Block,BSIUL,BRBCL,CHAMERA3,CHAMERA2,CHAMERA1,KUDGI,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,DHAULIGNGA,DADRT2,DULHASTI,RIHAND2,RIHAND3,AURY_RF,DADRI_CRF,DADRI_GF,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,DADRI_LF,DADRI_RF,KKNPPU2,KOLDAM,KOTESHWR,FSTPP I & II,KKNP,KGSU1AND2,KGSU3AND4,KHSTPP-II,KHSTPP-I,KISHANGANGA,JHAJJAR,UNCHAHAR2,UNCHAHAR3,UNCHAHAR4,URI2,URI,VALLURNTECL,TANDA2,TEHRI,TelanganaSTPP,UNCHAHAR1,TANAKPUR,TALST2,NAPP,NLCEXP,NJPC,NLCIIST1,MAPS,RIHAND1,RAMPUR,PARBATI3,RAPPC,RAPPB,RSTPSU1TO6,RSTPSU7,SIMHST2,SEWA2,SIMHST1,SASAN,SINGRAULI_HYDRO,SINGRAULI,SALAL,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,6.32,14.54,20.71,42.86,27.23,0,0,0,0,0,29.3,662.08,52.13,117.96,123.67,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,37.45,19.79,0,0,0,95.82,43.54,0,423.21,41.1,0,0.86,35.23,26.75,0,2.71,68.69,0,17.16,12.6,0,44.76,0,123.84,0,0,45.87,2.66,3.4,58.67,0,0,0,0,0,0,149.37,0,113.25,61.95,1.14,0,0,0,0,0

2,00:15-00:30,6.32,14.54,20.71,27.47,27.23,0,0,0,0,0,29.3,662.08,52.13,117.96,123.67,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,37.45,19.79,0,0,0,95.82,43.54,0,423.21,41.1,0,0.86,35.23,26.75,0,2.71,68.69,0,17.16,12.6,0,44.76,0,123.84,0,0,45.87,2.66,3.4,58.67,0,0,0,0,0,0,149.37,0,113.25,61.95,1.14,0,0,0,0,0

3,00:30-00:45,6.32,14.54,20.71,27.47,27.23,0,0,0,0,0,29.3,662.08,52.13,117.96,123.67,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,37.45,19.79,0,0,0,95.82,43.54,0,423.21,41.1,0,0.86,35.23,26.75,0,2.71,68.69,0,17.16,12.6,0,44.76,0,123.84,0,0,45.87,2.66,3.4,58.67,0,0,0,0,0,0,149.37,0,113.25,76.94,1.42,0,0,0,0,0

4,00:45-01:00,6.32,13.38,20.71,27.47,27.23,0,0,0,0,0,29.3,662.08,52.13,117.96,123.67,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,37.45,19.79,0,0,0,95.82,43.54,0,423.21,41.1,0,0.86,35.23,26.75,0,2.71,68.69,0,17.16,12.6,0,44.76,0,123.84,0,0,45.87,2.66,3.4,58.67,0,0,0,0,0,0,149.37,0,113.25,76.94,1.42,0,0,0,0,0

5,01:00-01:15,6.32,11.47,20.71,27.47,27.23,0,0,0,0,0,29.3,332.46,52.13,117.96,123.67,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,28.09,19.79,0,0,0,95.82,43.54,0,423.21,41.1,0,0.86,20.04,26.75,0,2.71,68.69,0,17.16,12.6,0,44.76,0,123.84,0,0,45.87,2.66,3.4,58.67,0,0,0,0,0,0,149.37,0,105.7,76.94,1.42,0,0,0,0,0

