Block,Time,NR/01102023/23072042/L_NR_2012_04,NR/01012024/31032024/ ChanjuII,WR/01102023/29112042/L_NR_2019_05,SR/01032024/15032024/SWAP ARRANGEMENT LOA.NO.365 DT.31-08-2023,SR/01102023/07102043/L_NR_2018_61,SR/01032024/31032024/SJVN010324NR1590,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,WR/01102023/24112044/L_NR_2020_07,WR/01032024/15032024/TPDDL/PMG/MSEDCL/Banking/12112023,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),SR/01032024/31032024/SWAP ARRANGEMENT LOA D.NO.366 DT.31-08-2023,SR/01032024/15032024/BYPL-APPCPL-KSEB,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01032024/31032024/SJVN010324NR1589,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,NR/01032024/31032024/SJVN010324NR1588,NR/26072023/25122043/L_NR_2023_10,NR/01102023/05012040/L_NR_2020_02,NR/01032024/15032024/HP-62,NR/01102023/19072037/LT-05,NR/01032024/31032024/NVVN/OA/16997,NR/01102023/31102037/L_NR_2019_11,NR/01102023/25122043/GNA_MEJA_DELHI,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_02,NR/01032024/22032024/HP-59,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,NR/03032024/03032024/IEX_240302_06517_GNA,NR/01102023/30042040/GNA_LT_35,NR/01102023/22052037/LT-59,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01032024/22032024/HP-56,NR/01102023/30042040/GNA_LT_36
1,00:00-00:15,149.200000,6.540000,0,96.46,9.01,0,18.34,62.5,0,20.84,20.83,144.690000,63.33,63.33,0,0,48.23,96.46,0,0,0,0,0,0,0,0,0,0,0.000000,98.400000,35.170000,48.230000,1.070000,0.000000,25.690000,25.690000,107.070000,32.830000,54.980000,40.510000,0.000000,0.000000,0.000000,1.710000,24.120000,76.680000,0.000000

2,00:15-00:30,149.200000,6.540000,0,96.46,8.81,0,18.34,62,0,20.66,20.67,144.690000,62.67,62.67,0,0,48.23,96.46,0,0,0,0,0,0,0,0,0,0,0.000000,98.400000,35.170000,48.230000,1.070000,0.000000,25.690000,25.690000,107.070000,32.830000,54.980000,40.510000,0.000000,0.000000,0.000000,1.710000,24.120000,76.680000,0.000000

3,00:30-00:45,149.200000,6.540000,0,96.46,8.61,0,18,61,0,20.34,20.33,144.690000,62,62,0,0,48.23,96.46,0,0,0,0,0,0,0,0,0,0,0.000000,98.400000,35.170000,48.230000,1.070000,0.000000,25.690000,25.690000,107.070000,32.830000,54.980000,40.510000,0.000000,0.000000,0.000000,1.710000,26.040000,76.680000,0.000000

4,00:45-01:00,149.200000,6.540000,0,96.46,8.21,0,18,60,0,20,20,144.690000,61.33,61.33,0,0,48.23,96.46,0,0,0,0,0,0,0,0,0,0,0.000000,98.400000,35.170000,48.230000,1.070000,0.000000,25.690000,25.690000,107.070000,32.830000,54.980000,40.510000,0.000000,0.000000,0.000000,1.710000,26.040000,76.680000,0.000000

5,01:00-01:15,149.200000,6.540000,0,96.46,7.81,0,20.66,65,0,21.66,21.67,144.690000,53.67,53.67,0,0,48.23,96.46,0,0,0,0,0,0,0,0,0,0,0.000000,98.400000,35.170000,48.230000,1.070000,0.000000,25.690000,25.690000,107.070000,32.830000,54.980000,40.510000,0.000000,0.000000,0.000000,1.710000,26.040000,76.680000,0.000000

6,01:15-01:30,149.200000,6.540000,0,96.46,7.41,0,20.34,65,0,21.66,21.67,144.690000,53.33,53.33,0,0,48.23,96.46,0,0,0,0,0,0,0,0,0,0,0.000000,98.400000,35.170000,48.230000,1.070000,0.000000,25.690000,25.690000,107.070000,32.830000,54.980000,40.510000,0.000000,0.000000,0.000000,1.710000,26.040000,76.680000,0.000000

7,01:30-01:45,149.200000,6.540000,0,96.46,7.01,0,20,65,0,21.66,21.67,144.690000,53,53,0,0,48.23,96.46,0,0,0,0,0,0,0,0,0,0,0.000000,98.400000,35.170000,48.230000,1.070000,0.000000,25.690000,25.690000,107.070000,32.830000,54.980000,40.510000,0.000000,0.000000,0.000000,1.710000,26.040000,76.680000,0.000000

8,01:45-02:00,149.200000,6.540000,0,96.46,6.81,0,20,65,0,21.66,21.67,144.690000,52.67,52.67,0,0,48.23,96.46,0,0,0,0,0,0,0,0,0,0,0.000000,98.400000,35.170000,48.230000,1.070000,0.000000,25.690000,25.690000,107.070000,32.830000,54.980000,40.510000,0.000000,0.000000,0.000000,1.710000,26.040000,76.680000,0.000000

9,02:00-02:15,149.200000,6.540000,0,96.46,6.81,0,19.66,65,0,21.66,21.67,144.690000,52,52,0,0,48.23,96.46,0,0,0,0,0,0,0,0,0,0,0.000000,98.400000,35.170000,48.230000,1.030000,0.000000,25.690000,25.690000,107.070000,32.830000,54.980000,40.510000,0.000000,0.000000,0.000000,1.710000,26.040000,76.680000,0.000000

10,02:15-02:30,149.200000,6.540000,0,96.46,6.81,0,19.34,65,0,21.66,21.67,144.690000,51.33,51.33,0,0,48.23,96.46,0,0,0,0,0,0,0,0,0,0,0.000000,98.400000,35.170000,48.230000,1.030000,0.000000,25.690000,25.690000,107.070000,32.830000,54.980000,40.510000,0.000000,0.000000,0.000000,1.710000,26.040000,76.680000,0.000000

11,02:30-02:45,149.200000,6.540000,0,96.46,6.81,0,22.66,72.5,0,24.16,24.17,144.690000,60.67,60.67,0,0,48.23,96.46,0,0,0,0,0,0,0,0,0,0,0.000000,98.400000,35.170000,48.230000,0.950000,0.000000,25.690000,25.690000,107.070000,32.830000,54.980000,40.510000,0.000000,0.000000,0.000000,1.710000,26.040000,76.680000,0.000000

12,02:45-03:00,149.200000,6.540000,0,96.46,6.81,0,22.34,72,0,24,24,144.690000,60,60,0,0,48.23,96.46,0,0,0,0,0,0,0,0,0,0,0.000000,98.400000,35.170000,48.230000,0.950000,0.000000,25.690000,25.690000,107.070000,32.830000,54.980000,40.510000,0.000000,0.000000,0.000000,1.710000,26.040000,76.680000,0.000000

13,03:00-03:15,149.200000,6.540000,0,96.46,6.81,0,22.34,71.5,0,23.84,23.83,144.690000,58.33,58.33,0,0,48.23,96.46,0,0,0,0,0,0,0,0,0,0,0.000000,98.400000,35.170000,48.230000,0.950000,0.000000,25.690000,25.690000,107.070000,32.830000,54.980000,40.510000,0.000000,0.000000,0.000000,1.710000,26.040000,76.680000,0.000000

14,03:15-03:30,149.200000,6.540000,0,96.46,6.81,0,22,70.5,0,23.5,23.5,144.690000,56.67,56.67,0,0,48.23,96.46,0,0,0,0,0,0,0,0,0,0,0.000000,98.400000,35.170000,48.230000,0.950000,0.000000,25.690000,25.690000,107.070000,32.830000,54.980000,40.510000,0.000000,0.000000,0.000000,1.710000,26.040000,76.680000,0.000000

15,03:30-03:45,149.200000,6.540000,0,96.46,6.81,0,19,69.5,0,23.16,23.17,144.690000,63.33,63.33,0,0,48.23,96.46,0,0,0,0,0,0,0,0,0,0,0.000000,98.400000,35.170000,48.230000,0.950000,0.000000,25.690000,25.690000,107.070000,32.830000,54.980000,40.510000,0.000000,0.000000,0.000000,1.710000,26.040000,76.680000,0.000000

16,03:45-04:00,149.200000,6.540000,0,96.46,6.81,0,18.66,68,0,22.66,22.67,144.690000,62.33,62.33,0,0,48.23,96.46,0,0,0,0,0,0,0,0,0,0,0.000000,98.400000,35.170000,48.230000,0.950000,0.000000,25.690000,25.690000,107.070000,32.830000,54.980000,40.510000,0.000000,0.000000,0.000000,1.710000,26.040000,76.680000,0.000000

17,04:00-04:15,149.200000,6.360000,0,96.46,6.81,0,18,66,0,22,22,144.690000,61,61,0,0,48.23,96.46,0,0,0,0,0,0,0,0,0,0,0.000000,98.400000,35.170000,48.230000,0.950000,0.000000,25.690000,25.690000,107.070000,32.830000,54.980000,40.510000,0.000000,0.000000,0.000000,1.710000,26.040000,76.680000,0.000000

