Block,Time,KHSTPP-II,SASAN,KHSTPP-I,KUDGI,TALA,BRBCL,FSTPP I & II,BSIUL,NAPP,ANTA_CRF,UNCHAHAR1,AURY_CRF,AURY_LF,RIHAND3,AURY_RF,UNCHAHAR4,RAPPC,PARBATI3,TANAKPUR,JHAJJAR,CHAMERA3,URI,RAMPUR,SINGRAULI,NJPC,DHAULIGNGA,KOTESHWR,DADRI_CRF,DULHASTI,UNCHAHAR2,TANDA2,DADRT2,AURY_GF,KISHANGANGA,DADRI_LF,RAPPB,TEHRI,ANTA_RF,RIHAND1,RIHAND2,SEWA2,SALAL,CHAMERA2,DADRI_RF,CHAMERA1,SINGRAULI_HYDRO,KOLDAM,ANTA_GF,DADRI_GF,URI2,ANTA_LF,UNCHAHAR3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,94.937436,325.822500,41.019846,90.51,24.125346,11.140233,12.077154,0.000000,27.735170,0.000000,10.528749,0.000000,0.000000,119.386794,0.000000,0.000000,49.003704,0.000000,6.801726,216.834776,0.000000,45.829469,0.000000,134.488947,147.648759,35.325627,7.615075,0.000000,31.708370,36.060489,0.000000,231.696000,0.000000,0.000000,0.000000,0.000000,40.871174,0.000000,88.816800,114.037875,15.257228,82.003200,0.000000,0.000000,41.183964,0.960341,0.000000,0.000000,0.000000,31.167746,0.000000,16.016469,0,0,0,0,0

2,00:15-00:30,94.937436,325.822500,41.019846,90.51,24.125346,13.792670,12.077154,0.000000,27.735170,0.000000,7.276413,0.000000,0.000000,119.386794,0.000000,0.000000,49.003704,0.000000,6.801726,138.052200,0.000000,45.829469,0.000000,134.489874,147.648759,35.325627,7.615075,0.000000,31.708370,35.355844,0.000000,173.772000,0.000000,0.000000,0.000000,0.000000,40.871174,0.000000,88.816800,114.037875,15.257228,82.003200,0.000000,0.000000,41.183964,0.960341,0.000000,0.000000,0.000000,31.167746,0.000000,12.246639,0,0,0,0,0

3,00:30-00:45,94.937436,325.822500,41.019846,90.51,24.125346,13.792670,11.406201,0.000000,27.735170,0.000000,6.063677,0.000000,0.000000,119.386794,0.000000,0.000000,49.003704,0.000000,7.420064,118.744200,0.000000,45.829469,0.000000,134.489874,147.648759,35.325627,7.615075,0.000000,15.854185,35.355844,0.000000,173.772000,0.000000,0.000000,0.000000,0.000000,30.653381,0.000000,88.816800,114.037875,15.257228,82.003200,0.000000,0.000000,41.183964,0.960341,0.000000,0.000000,0.000000,31.167746,0.000000,12.246639,0,0,0,0,0

4,00:45-01:00,94.937436,325.822500,41.019846,90.51,24.125346,13.792670,11.406201,0.000000,27.735170,0.000000,0.000000,0.000000,0.000000,119.386794,0.000000,0.000000,49.003704,0.000000,7.420064,114.079744,0.000000,45.829469,0.000000,134.489874,147.648759,35.325627,7.615075,0.000000,15.854185,23.174717,0.000000,173.772000,0.000000,0.000000,0.000000,0.000000,20.435587,0.000000,88.816800,114.037875,15.257228,82.003200,0.000000,0.000000,41.183964,0.960341,0.000000,0.000000,0.000000,31.167746,0.000000,12.246639,0,0,0,0,0

5,01:00-01:15,94.937436,325.822500,38.243742,90.51,24.125346,13.792670,9.009596,0.000000,27.735170,0.000000,0.000000,0.000000,0.000000,119.386794,0.000000,0.000000,49.003704,0.000000,7.420064,114.079744,0.000000,45.829469,0.000000,134.489874,147.648759,35.325627,7.615075,0.000000,15.854185,23.174717,0.000000,173.772000,0.000000,0.000000,0.000000,0.000000,20.435587,0.000000,88.816800,114.037875,15.257228,82.003200,0.000000,0.000000,41.183964,0.960341,0.000000,0.000000,0.000000,31.167746,0.000000,12.246639,0,0,0,0,0

