Time,Block,NR/2024/18978/A/14272,NR/2024/19366/C,NR/2024/19143/A/14238,NR/2024/19043/A/14255,NR/2024/19030/A/14261,NR/2024/18936/A/14247,NR/2024/18977/A/14271,NR/2024/18935/A/14245,NR/2024/18986/A/14225,NR/2024/19337/A/14701,NR/2024/18855/A/14342,NR/2024/19115/A/14240,NR/2024/18976/A/14270,NR/2024/19290/A/14891,NR/2024/19172/A/14892,NR/2024/18996/A/14824,NR/2024/19075/A/14246,NR/2024/19024/A/14511,NR/2024/19245/A/14513,NR/2024/19121/A/14340,NR/2024/18934/A/14243,NR/2024/18919/A/14766,NR/2024/19365/C,Total
,,PXIL,NVVNL,IEXL,IEXL,IEXL,PXIL,PXIL,PXIL,ITCLH,DIAPL,GMRETL,IEXL,PXIL,TPDDL,TPDDL,PTC,IEXL,DIAPL,DIAPL,GMRETL,PXIL,APPCPL,NVVNL,Total

,,TAMIL NADU,NA,DELHI,NA,NA,TAMIL NADU,NA,TAMIL NADU,ANDHRA PRADESH,HIMACHAL PRADESH,RAJASTHAN,MAHARASHTRA,ODISHA,NA,NA,MAHARASHTRA,ODISHA,HIMACHAL PRADESH,HIMACHAL PRADESH,RAJASTHAN,TAMIL NADU,NAGALAND,NA,
,,BIRLACARBONTN,KAMENG,EDWPCL12,MBMP,JHABUA_IPP,SAKTHISUGARSLTD,MEENAKSHI,SAKTHISUGARS_ELMTN,ITCWIND,GBHHPL,RUVNL,SWPL,FACORPOWER,JHAJJAR,JHAJJAR,JPL_DHULE,VSL,GBHHPL,GBHHPL,RUVNL,SAKTHISUGRAR_TN,Nagaland_Ben,SOLAPUR_SOLAR,
,,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,TPDDL,UPPCL,BRPL,BRPL,BRPL,BRPL,BRPL,ITCLH,DIAPL,BYPL,BRPL,BRPL,TPDDL,TPDDL,BRPL,BRPL,DIAPL,DIAPL,BYPL,BRPL,BYPL,MES (Delhi),
,,South-West-North,North East-East-North,North-North,West-East-North,West-East-North,South-West-North,South-West-North,South-West-North,South-West-North,North-North,North-North,West-East-North,East-West-North,North-North,North-North,West-North,East-North,North-North,North-North,North-North,South-West-North,North East-East-North,West-North,
1,00:00-00:15,0.000000,52.590000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530000,1.930000,66.890000,0.000000,0.000000,67.670000,116.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,9.670000,0,322.11

2,00:15-00:30,0.000000,52.590000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530000,1.930000,66.890000,0.000000,0.000000,67.670000,116.000000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,9.670000,0,322.11
