Block,Time,KOLDAM,NJPC,RIHAND2,URI2,DHAULIGNGA,JHAJJAR,NNTPP,SIMHST1,ANTA_LF,AURY_RF,DADRI_GF,DADRI_RF,CHAMERA1,CHAMERA3,DADRT2,FSTPP I & II,KHSTPP-II,RAPPB,RIHAND1,RSTPSU1TO6,TANDA2,TEHRI,VALLURNTECL,ANTA_CRF,KKNP,NTPL,SEWA2,TelanganaSTPP,UNCHAHAR3,BSIUL,KKNPPU2,KUDGI,NAPP,NLCEXP,NLCIIST2,RIHAND3,SIMHST2,TALA,URI,AURY_LF,DADRI_CRF,BRBCL,CHAMERA2,KGSU1AND2,KGSU3AND4,KHSTPP-I,KOTESHWR,NLCTS2EXP,PARBATI3,RAMPUR,SINGRAULI,SINGRAULI_HYDRO,TALST2,AURY_GF,SALAL,UNCHAHAR1,UNCHAHAR2,ANTA_RF,DADRI_LF,DULHASTI,KISHANGANGA,MAPS,NLCIIST1,RAPPC,RSTPSU7,SASAN,TANAKPUR,UNCHAHAR4,ANTA_GF,AURY_CRF
1,00:00-00:15,0,0,118.76,4.31,0,434.65,0,0,0,0,0,0,0,0,683.14,20.8,148.3,0,92,0,0,0,0,44.1,0,0,0,0,26.4,0,0,0,44,0,0,60.68,0,0,1.11,0,92.62,20,0,0,0,33.69,8.87,0,0,0,139.69,0.56,0,0,1.4,10.28,42.39,0,0,0,0,0,0,53.93,0,418.77,0,0,0,70.59

2,00:15-00:30,0,0,118.76,4.31,0,434.65,0,0,0,0,0,0,0,0,683.14,20.8,148.3,0,92,0,0,0,0,44.1,0,0,0,0,26.4,0,0,0,44,0,0,60.68,0,0,1.11,0,92.62,20,0,0,0,33.69,8.87,0,0,0,139.69,0.56,0,0,1.4,10.28,42.39,0,0,0,0,0,0,53.93,0,418.77,0,0,0,70.59

3,00:30-00:45,0,0,118.76,4.31,0,434.65,0,0,0,0,0,0,0,0,683.14,20.8,148.3,0,92,0,0,0,0,44.1,0,0,0,0,26.4,0,0,0,44,0,0,60.68,0,0,1.11,0,92.62,20,0,0,0,33.69,8.87,0,0,0,139.69,0.56,0,0,1.4,10.28,42.39,0,0,0,0,0,0,53.93,0,418.77,0,0,0,70.59

4,00:45-01:00,0,0,118.76,4.31,0,434.65,0,0,0,0,0,0,0,0,683.14,20.8,148.3,0,92,0,0,0,0,44.1,0,0,0,0,26.4,0,0,0,44,0,0,60.68,0,0,1.11,0,92.62,20,0,0,0,33.69,8.87,0,0,0,139.69,0.56,0,0,1.4,10.28,42.39,0,0,0,0,0,0,53.93,0,418.77,0,0,0,70.59

5,01:00-01:15,0,0,118.76,4.31,0,434.65,0,0,0,0,0,0,0,0,683.14,20.8,148.3,0,92,0,0,0,0,44.1,0,0,0,0,26.4,0,0,0,44,0,0,60.68,0,0,1.11,0,92.62,20,0,0,0,33.69,8.87,0,0,0,139.69,0.56,0,0,1.4,10.28,42.39,0,0,0,0,0,0,53.93,0,418.77,5.76,0,0,70.59

