Column1,Block,GNA/NR/2025/05/01/4138,NR/30092023/31122025/SH-07,NR/2025/26804/C,NR/2025/26799/C,NR/2025/26849/C,NR/2025/26801/C,NR/2025/26855/C,NR/2025/26800/C,NR/2025/26856/C,NR/30092023/26122029/SH-06,NR/2025/26802/C,NR/2025/26853/C,NR/2025/26803/C,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/9154,GNA/ER/2025/05/15/7367,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/7902,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/2069,NR/2025/26236/A/71862,GNARE/NR/2024/12/20/3668,NR/2025/26335/A/71995,NR/2025/26202/A/72378,NR/2025/26153/A/71864,NR/2025/25858/A/72271,NR/2025/26336/A/71994,NR/2025/26291/A/72342,NR/2025/25855/A/72270,NR/2025/26197/A/72328,NR/2025/26191/A/71921,NR/2025/26233/A/72345,NR/2025/26689/A/71968,NR/2025/26198/A/72327,NR/2025/26200/A/72325,NR/2025/26085/A/71884,NR/2025/26201/A/72324,NR/2025/26101/A/72019,NR/2025/26002/A/72272,NR/2025/26199/A/72326,NR/2025/26265/A/72344,NR/2025/26289/A/72343,NR/2025/26312/A/71860,NR/2025/26232/A/72346,Total
,,PowerPulse,BAWANA_GAS,HPXL,IEXL,TPDDL,HPXL,NVVNL,HPXL,NVVNL,PUNJAB,HPXL,NVVNL,HPXL,IEXL,IEXL,HPXL,PXIL,PowerPulse,PowerPulse,IEXL,PXIL,HPXL,PXIL,DELHI,PXIL,PXIL,PowerPulse,NDMC,PXIL,HPXL,IEXL,SECI_Trader,BRPL,NVVNL,IEXL,PowerPulse,BRPL,HPXL,PowerPulse,APPCPL,PXIL,HPXL,DIAPL,APPCPL,APPCPL,ITCLH,APPCPL,GMRETL,PowerPulse,APPCPL,HPXL,HPXL,IEXL,HPXL,
,,NA,DELHI_UT,GEB_State,NA,NA,NA,NA,NA,NA,DELHI_UT,MP_State,NA,GEB_State,JK_and_LADAKH_UT,ODISHA_STATE,MSEB_State,Meghalaya_State,NA,NA,DELHI_UT,UTTARPRADESH_STATE,HIMACHAL_STATE,NA,HIMACHAL_STATE,ODISHA_STATE,ODISHA_STATE,NA,NA,CSEB_State,NA,NA,NA,NA,NA,TAMILNADU_State,NA,NA,MP_State,NA,NA,NA,GEB_State,HIMACHAL_STATE,NA,NA,ANDHRA_PRADESH_STATE,NA,HIMACHAL_STATE,NA,NA,NA,NA,NA,GEB_State,
,,COASTGEN,BAWANA_GAS,PCBL_MUNDRA,MBMP,JHAJJAR,SIMHAPURI,SORANG_HEP,JPL,Kameng,BAWANA_GAS,Ultratech_Sidhi_MP,JPNIGRIE_JNSTPP,PCBL_PALEJ,O2ZTPL,VSL,GRETAENERGY,Meghalaya_Ben,COASTGEN,MAHAN_ENERGEN,BRPL,LAPL_UP,KGEPL_HP,SINGOLI,CHANJUII,FACORPOWER,FACORPOWER,APL_Raipur_TPP,JIPL,SKSIPL,JPL,TPSL_BKN2,APSEPL_FTG,TS1PL_BKN,JPNIGRIE_JNSTPP,SURYADEV_ALLOYSTN,APL_Raipur_TPP,DADRT2,Ultratech_Sidhi_MP,APL_Raipur_TPP,SKS_Raigarh,JPNIGRIE_JNSTPP,PCBL_MUNDRA,GBHHPL,RKM_POWER,TRN_ENERGY,ITCWIND,RKM_POWER,GBHHPL,COASTGEN,JPL2,JPL,SIMHAPURI,MBMP,PCBL_PALEJ,
,,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,BIHAR_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,HARYANA,BRPL,NDMC,TPDDL,BRPL,TPDDL,BRPL,TPDDL,PUNJAB,BRPL,TPDDL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BSPHCL,BRPL,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,MES_Delhi,TPDDL,BRPL,TPDDL,BRPL,TPDDL,BRPL,BRPL,TPDDL,NDMC,BRPL,BRPL,DIAPL,NDMC,NDMC,ITCLH,NDMC,TPDDL,BRPL,NDMC,BRPL,BRPL,NDMC,BRPL,
,,South-East-North,North-North,West-North,West-North,North-North,South-West-North,North-North,West-North,North East-East-North,North-North,West-North,West-North,West-North,North-North,East-North,West-North,North East-East-North,South-East-North,West-North,North-East,North-North,North-North,North-North,North-North,East-North,East-North,West-North,East-North,West-North,West-North,North-North,North-North,North-North,West-North,South-West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,South-West-North,West-North,North-North,South-West-North,West-North,West-North,South-West-North,West-North,West-North,
1,00:00-00:15,0,30,0,0,165.64,0,14.44,0,54.1,30,0,0,0,0,0,5.78,67.41,192.6,144.45,117,28.89,13.48,28.89,10.87,14.44,14.44,192.6,28.94,10.59,0,0,0,0,96.3,62.6,0,134.82,24.08,144.45,14.59,48.15,4.82,6.74,43.77,14.59,0.77,37.21,0,0,43.77,96.3,48.15,0,4.82,1990.4899999999998

2,00:15-00:30,0,30,0,0,165.64,0,14.44,0,54.1,30,0,0,0,0,0,5.78,67.41,192.6,144.45,149,28.89,13.48,28.89,10.87,14.44,14.44,192.6,28.94,10.59,0,0,0,0,96.3,62.6,0,134.82,24.08,144.45,14.59,48.15,4.82,6.74,43.77,14.59,0.77,37.21,0,0,43.77,96.3,48.15,0,4.82,2022.4899999999998

