Block,Time,NR/25112023/25112023/HPX-TAMCTG-241123-05282,NR/01102023/15082037/GNA_NR_2012_01,NR/01112023/30112023/HP-09,NR/03112023/30112023/IEX-231101-05680,NR/25112023/25112023/IEX_231124_05744,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,NR/30092023/31122025/SH-07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/21112023/30112023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/31052040/LT-31,NR/30092023/26122029/SH-06,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,SR/01112023/30112023/KSEB_BYPL-NOV23,NR/25112023/25112023/HPX-TAMCTG-241123-05283,SR/01102023/07102043/L_NR_2018_61,NR/01102023/25122043/GNA_MEJA_DELHI,NR/03112023/30112023/HPX-TAMDLY-011123-05147,NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,NR/01112023/30112023/HP-10,NR/22102023/11042047/L_NR_2021_17,L_NR_2019_19,NR/26072023/25122043/L_NR_2023_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,NR/01102023/02122045/L_NR_2021_13,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02012046/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/14082046/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15
1,00:00-00:15,0.000000,48.200000,76.640000,48.200000,0.000000,1.630000,31.820000,0.000000,25.470000,24.100000,96.410000,0.000000,26.020000,2.000000,1.690000,0.000000,71.730000,144.62,0.000000,10.15,0.000000,48.200000,271.150000,125.330000,98.350000,0,0,0,18.84,73.22,0,63.81,63.81,24.41,0,0,0,0,0,24.4,0,0,0,0,0

2,00:15-00:30,0.000000,48.200000,76.640000,48.200000,0.000000,1.630000,31.820000,0.000000,25.470000,24.100000,96.410000,0.000000,26.020000,2.000000,1.690000,0.000000,71.730000,144.62,0.000000,9.58,0.000000,48.200000,271.150000,115.690000,98.350000,0,0,0,18.82,72.43,0,63.28,63.28,24.14,0,0,0,0,0,24.14,0,0,0,0,0

3,00:30-00:45,0.000000,48.200000,76.640000,48.200000,0.000000,1.630000,31.820000,0.000000,25.470000,24.100000,96.410000,0.000000,26.020000,2.000000,1.690000,0.000000,71.730000,144.62,0.000000,9.35,0.000000,48.200000,271.150000,115.690000,98.350000,0,0,0,18.79,71.35,0,62.56,62.56,23.78,0,0,0,0,0,23.78,0,0,0,0,0

4,00:45-01:00,0.000000,48.200000,76.640000,48.200000,0.000000,1.630000,31.820000,0.000000,25.470000,24.100000,96.410000,0.000000,26.020000,2.000000,1.690000,0.000000,71.730000,144.62,0.000000,9.1,0.000000,48.200000,271.150000,110.870000,98.350000,0,0,0,14.1,70.35,0,61.9,61.9,23.45,0,0,0,0,0,23.44,0,0,0,0,0

5,01:00-01:15,0.000000,48.200000,76.640000,48.200000,0.000000,1.630000,31.820000,0.000000,25.470000,24.100000,96.410000,0.000000,26.020000,2.000000,1.610000,0.000000,71.730000,144.62,0.000000,8.52,0.000000,48.200000,231.380000,110.870000,98.350000,0,0,0,13.78,69.32,0,61.21,61.21,23.11,0,0,0,0,0,23.1,0,0,0,0,0

