Column1,Time,GNARE/NR/2024/12/20/3668,L_NR_2019_19,WR/01102023/16072048/L_NR_2022_08,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,NR/01102023/13082046/L_NR_2021_12,GNARE/SR/2025/01/13/4532,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,NR/01102023/25072045/L_NR_2021_15,GNA/WR/2025/01/01/9606,NR/01102023/30042040/GNA_LT_35,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/31052040/LT-31,GNA/NR/2025/03/01/1906,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/03/01/3469,NR/01102023/06022042/L_NR_2012_02,GNA/WR/2025/03/01/6406,NR/01102023/06022042/L_NR_2012_07,NR/01102023/05012040/L_NR_2020_02,NR/01102023/22052037/LT-59,GNA/NR/2025/03/01/6891,NR/01102023/30042040/GNA_LT_36,GNA/SR/2025/03/01/7500,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/03/01/8036,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/5143,NR/01102023/19072037/LT-05,GNA/NR/2025/03/01/9482,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/03/01/2563,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/03/01/4651,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07
1,00:00-00:15,0,0,12.66,0,0,0,51.67,51.66,16.83,0,7,0,0,0,0,0,16.83,0,50.51,0,0,0,3.95,0,23.04,1.38,6.72,228.96,42,0,1.44,1.7,63.42,0,200,29.77,23.04,0,190.26,65.86,17.28,230.35,23.04,99.99,5.76,0,32

2,00:15-00:30,0,0,12.66,0,0,0,52.67,52.66,16.83,0,7,0,0,0,0,0,16.83,0,50.51,0,0,0,3.95,0,23.04,1.38,6.72,228.96,42,0,1.44,1.7,63.42,0,200,29.77,23.04,0,190.26,65.86,17.28,191.96,23.04,99.99,5.76,0,32

3,00:30-00:45,0,0,12.66,0,0,0,52.67,52.66,16.83,0,7,0,0,0,0,0,16.83,0,50.51,0,0,0,3.95,0,23.04,1.38,6.72,228.96,42,0,1.44,1.7,63.42,0,200,30.28,23.04,0,190.26,65.86,17.28,149.26,23.04,99.99,5.76,2.5,2.5

4,00:45-01:00,0,0,12.34,0,0,0,52.67,52.66,16.83,0,7,0,0,0,0,0,16.83,0,50.51,0,0,0,3.95,0,23.04,1.38,6.72,228.96,42,0,1.44,1.7,63.42,0,200,30.78,23.04,0,190.26,65.86,17.28,149.26,23.04,99.99,5.76,2.5,2.5

5,01:00-01:15,0,0,11.66,0,0,0,49.67,49.66,22,0,7,0,0,0,0,0,22,0,66,0,0,0,3.95,0,23.04,1.38,6.72,228.96,42,0,1.44,1.7,63.42,0,200,30.78,23.04,0,190.26,65.86,17.28,149.26,23.04,99.99,5.76,3,3

6,01:15-01:30,0,0,10.34,0,0,0,46,46,22.5,0,7,0,0,0,0,0,22.5,0,67.5,0,0,0,3.95,0,23.04,1.38,6.72,228.96,42,0,1.44,1.7,63.42,0,200,30.78,23.04,0,190.26,65.86,17.28,149.26,23.04,99.99,5.76,3,3

7,01:30-01:45,0,0,11.67,0,0,0,40.67,40.66,22.83,0,7,0,0,0,0,0,22.83,0,68.51,0,0,0,3.95,0,23.04,1.38,6.72,228.96,42,0,1.44,1.7,63.42,0,200,30.78,23.04,0,190.26,65.86,17.28,149.26,23.04,99.99,5.76,3,3

8,01:45-02:00,0,0,11.33,0,0,0,36,36,23.17,0,7,0,0,0,0,0,23.17,0,69.49,0,0,0,3.95,0,23.04,1.38,6.72,228.96,42,0,1.44,1.7,63.42,0,200,30.28,23.04,0,190.26,65.86,17.28,149.26,23.04,99.99,5.76,3,3

9,02:00-02:15,0,0,11,0,0,0,23.33,23.34,12.67,0,7,0,0,0,0,0,12.67,0,37.99,0,0,0,3.95,0,23.04,1.38,6.72,228.96,42,0,1.44,1.62,63.42,0,0,30.28,23.04,0,190.26,65.86,17.28,149.26,23.04,99.99,5.76,3,3

10,02:15-02:30,0,0,10.67,0,0,0,22.67,22.66,10.5,0,7,0,0,0,0,0,10.5,0,31.5,0,0,0,3.95,0,23.04,1.38,6.72,228.96,42,0,1.44,1.62,63.42,0,0,30.28,23.04,0,190.26,65.86,17.28,149.26,23.04,99.99,5.76,3,3

