Block,Time,LT-05,LT-59,L_NR_2012_04,L_NR_2019_11,L_NR_2023_04,SH-07,SH-06,L_NR_2012_01,LT-36,L_NR_2012_07,L_NR_2020_02,L_NR_2012_02,LT-35,LT-31,L_NR_2020_05,L_NR_2023_07,L_NR_2021_17,L_NR_2020_06,L_NR_2020_07,L_NR_2021_12,L_NR_2023_10,L_NR_2022_08,L_NR_2021_16,L_NR_2021_13,L_NR_2019_19,L_NR_2019_05,L_NR_2021_15,L_NR_2022_09,L_NR_2019_06,L_NR_2022_10,L_NR_2019_07,L_NR_2021_14,L_NR_2018_61
1,00:00-00:15,116.130000,10.390000,134.320000,10.780000,28.780000,30.950000,30.950000,101.370000,0.000000,74.200000,11.910000,261.860000,0.000000,0.000000,40.39,0,0,13.46,13.47,0,0,21.44,0,0,0,0,0,63.33,0,63.33,0,0,7.2

2,00:15-00:30,116.130000,10.390000,134.320000,10.780000,29.750000,30.970000,30.970000,101.370000,0.000000,74.200000,11.910000,261.860000,0.000000,0.000000,40.62,0,0,13.54,13.55,0,0,21.53,0,0,0,0,0,63.67,0,63.67,0,0,7.2

3,00:30-00:45,116.130000,10.390000,134.320000,10.780000,29.750000,30.970000,30.970000,101.370000,0.000000,74.200000,11.910000,261.860000,0.000000,0.000000,41.08,0,0,13.69,13.7,0,0,28,0,0,0,0,0,64,0,64,0,0,7.2

4,00:45-01:00,116.130000,10.390000,134.320000,10.780000,29.750000,30.970000,30.970000,101.370000,0.000000,74.200000,11.910000,261.860000,0.000000,0.000000,41.91,0,0,13.97,13.97,0,0,28,0,0,0,0,0,64.33,0,64.33,0,0,7.2

5,01:00-01:15,116.130000,10.390000,134.320000,10.780000,29.750000,30.970000,30.970000,101.370000,0.000000,74.200000,11.910000,261.860000,0.000000,0.000000,46.31,0,0,15.44,15.43,0,0,28,0,0,0,0,0,64.67,0,64.67,0,0,7.2

6,01:15-01:30,116.130000,10.390000,134.320000,10.780000,29.800000,30.970000,30.970000,101.370000,0.000000,74.200000,11.910000,261.860000,0.000000,0.000000,51.31,0,0,17.1,17.11,0,0,28,0,0,0,0,0,65,0,65,0,0,7.2

7,01:30-01:45,116.130000,10.390000,134.320000,10.780000,29.800000,30.970000,30.970000,101.370000,0.000000,74.200000,11.910000,261.860000,0.000000,0.000000,53.81,0,0,17.94,17.93,0,0,28,0,0,0,0,0,65.85,0,65.85,0,0,7.2

8,01:45-02:00,116.130000,10.390000,134.320000,10.780000,29.800000,30.970000,30.970000,101.370000,0.000000,74.200000,11.910000,261.860000,0.000000,0.000000,69.5,0,0,23.17,23.16,0,0,28,0,0,0,0,0,66.33,0,66.33,0,0,7.2

9,02:00-02:15,116.130000,10.390000,134.320000,10.780000,29.800000,30.970000,30.970000,101.370000,0.000000,74.200000,11.910000,261.860000,0.000000,0.000000,71,0,0,23.67,23.66,0,0,25,0,0,0,0,0,66.48,0,66.48,0,0,7.2

10,02:15-02:30,116.130000,10.390000,134.320000,10.780000,29.800000,30.970000,30.970000,101.370000,0.000000,74.200000,11.910000,261.860000,0.000000,0.000000,73,0,0,24.33,24.34,0,0,25.33,0,0,0,0,0,66.93,0,66.93,0,0,7.2

11,02:30-02:45,116.130000,10.390000,134.320000,10.780000,29.800000,30.970000,30.970000,101.370000,0.000000,74.200000,11.910000,261.860000,0.000000,0.000000,74.5,0,0,24.83,24.84,0,0,25.5,0,0,0,0,0,67.56,0,67.56,0,0,7.2

12,02:45-03:00,116.130000,10.390000,134.320000,10.780000,29.750000,30.970000,30.970000,101.370000,0.000000,74.200000,11.910000,261.860000,0.000000,0.000000,75.5,0,0,25.17,25.16,0,0,25.87,0,0,0,0,0,67.78,0,67.78,0,0,7.2

13,03:00-03:15,116.130000,10.390000,134.320000,10.780000,29.750000,30.970000,30.970000,101.370000,0.000000,74.200000,11.910000,261.860000,0.000000,0.000000,77.5,0,0,25.83,25.84,0,0,26.28,0,0,0,0,0,67.96,0,67.96,0,0,7.2

14,03:15-03:30,116.130000,10.390000,134.320000,10.780000,29.750000,30.970000,30.970000,101.370000,0.000000,74.200000,11.910000,261.860000,0.000000,0.000000,77.5,0,0,25.83,25.84,0,0,28,0,0,0,0,0,62.69,0,62.69,0,0,7.2

15,03:30-03:45,116.130000,10.390000,134.320000,10.780000,29.750000,30.970000,30.970000,101.370000,0.000000,74.200000,11.910000,261.860000,0.000000,0.000000,93.32,0,0,31.11,31.1,0,0,28,0,0,0,0,0,62.71,0,62.71,0,0,7.2

16,03:45-04:00,116.130000,10.390000,134.320000,10.780000,29.750000,30.970000,30.970000,101.370000,0.000000,74.200000,11.910000,261.860000,0.000000,0.000000,93.39,0,0,31.13,31.13,0,0,28,0,0,0,0,0,62.75,0,62.75,0,0,7.2

17,04:00-04:15,116.130000,10.390000,134.320000,10.780000,29.750000,30.970000,30.970000,101.370000,0.000000,74.200000,11.910000,261.860000,0.000000,0.000000,93.46,0,0,31.15,31.16,0,0,34.33,0,0,0,0,0,73.33,0,73.33,0,0,7.2

18,04:15-04:30,116.130000,10.390000,134.320000,10.780000,29.750000,30.970000,30.970000,101.370000,0.000000,74.200000,11.910000,261.860000,0.000000,0.000000,110,0,0,36.67,36.66,0,0,34.33,0,0,0,0,0,73.33,0,73.33,0,0,7.2

19,04:30-04:45,116.130000,10.390000,134.320000,10.780000,29.750000,30.970000,30.970000,101.370000,0.000000,74.200000,11.910000,261.860000,0.000000,0.000000,110,0,0,36.67,36.66,0,0,34.33,0,0,0,0,0,73.33,0,73.33,0,0,7.2

20,04:45-05:00,116.130000,10.390000,134.320000,10.780000,29.750000,30.970000,30.970000,101.370000,0.000000,74.200000,11.910000,261.860000,0.000000,0.000000,110,0,0,36.67,36.66,0,0,34.33,0,0,0,0,0,73.33,0,73.33,0,0,7.2

21,05:00-05:15,116.130000,10.390000,134.320000,10.780000,29.800000,30.970000,30.970000,101.370000,0.000000,74.200000,11.910000,261.860000,0.000000,0.000000,110,0,0,36.67,36.66,0,0,34.33,0,0,0,0,0,73.33,0,73.33,0,0,7.2

22,05:15-05:30,116.130000,10.390000,134.320000,10.780000,29.800000,30.970000,30.970000,101.370000,0.000000,74.200000,11.910000,261.860000,0.000000,0.000000,110,0,0,36.67,36.66,0,0,34.33,0,0,0,0,0,73.33,0,73.33,0,0,7.2

23,05:30-05:45,116.130000,10.390000,134.320000,10.780000,29.800000,30.970000,30.970000,101.370000,0.000000,74.200000,11.910000,261.860000,0.000000,0.000000,110,0,0,36.67,36.66,0,0,34.33,0,0,0,0,0,73.33,0,73.33,0,0,7.2

24,05:45-06:00,116.130000,10.390000,134.320000,10.780000,29.800000,30.970000,30.970000,101.370000,0.000000,74.200000,11.910000,261.860000,0.000000,0.000000,110,0,0.33,36.67,36.66,0.11,0,34.33,0.67,0.02,0,0,0,73.33,0,73.33,0,0.18,7.2

25,06:00-06:15,116.130000,10.390000,134.320000,10.780000,29.800000,30.970000,30.970000,101.370000,0.000000,74.200000,11.730000,261.860000,0.000000,0.000000,110,0.86,1.33,36.67,36.66,0.38,0.37,36.67,2.67,0.08,4.524,0,0.05,80,7.23,80,1.45,1.66,7.2

26,06:15-06:30,116.130000,10.390000,134.320000,10.780000,29.800000,30.970000,30.970000,101.370000,0.150000,74.200000,11.730000,261.860000,0.150000,0.150000,110,3.75,2.33,36.67,36.66,1.63,1.61,36.67,4.67,0.33,9.165,2.04,0.39,80,8.9,80,3,3.79,7.2

27,06:30-06:45,116.130000,10.390000,134.320000,10.780000,29.800000,30.970000,30.970000,101.370000,0.460000,74.200000,11.350000,261.860000,0.440000,0.440000,110,8.6,2.33,36.67,36.66,5.17,3.69,36.67,4.67,1.03,14.4105,5.85,1.24,80,8.45,80,8,6.53,7.2

28,06:45-07:00,116.130000,10.390000,134.320000,10.780000,29.800000,30.970000,30.970000,101.370000,0.940000,74.200000,11.350000,261.860000,0.920000,0.920000,110,14.93,4,36.67,36.66,10.31,6.4,36.67,8,2.06,20.40675,13.04,2.62,80,16.22,80,15,9.75,7.2

29,07:00-07:15,116.130000,10.390000,134.320000,10.780000,29.800000,30.970000,30.970000,101.370000,1.430000,74.200000,11.350000,261.860000,1.390000,1.390000,110,23.16,5,36.67,36.66,16.72,9.92,36.67,10,3.34,27.09525,22.31,4.7,80,33,80,22,13.28,7.2

30,07:15-07:30,116.130000,10.390000,134.320000,10.780000,29.800000,30.970000,30.970000,101.370000,1.980000,74.200000,11.350000,261.860000,1.930000,1.930000,110,33.16,7.33,36.67,36.66,24.88,14.21,36.67,14.67,4.97,34.40775,29.99,7.35,80,29.98,80,29.98,18.07,7.2

31,07:30-07:45,116.130000,10.390000,134.320000,10.780000,29.800000,30.970000,30.970000,101.370000,2.910000,56.130000,11.350000,201.640000,2.850000,2.850000,110,44.52,9.67,36.67,36.66,36.76,19.08,36.67,19.33,7.35,42.73425,30.66,10.52,80,30.67,80,30.67,19.22,7.2

32,07:45:08:00,116.130000,10.390000,134.320000,10.780000,29.800000,30.970000,30.970000,101.370000,3.730000,56.130000,11.350000,201.640000,3.650000,3.650000,110,49,8.33,36.67,36.66,57.05,21,36.67,16.67,11.41,51.47025,30.84,14.14,80.45,30.83,80.45,30.83,25.57,7.2

