Column1,Block,NR/2025/24837/A/50589,NR/2025/24839/A/50595,NR/2025/24981/C,NR/2025/24838/A/50592,NR/2024/24434/A/50351,NR/2025/24980/C,NER/2024/2820/A/50620,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/20/4168,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/8058,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/20/4698,GNA/NR/2025/01/01/5531,GNA/WR/2025/01/01/9606,NR/30092023/26122029/SH-06,GNA/NR/2025/01/20/2470,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/20/5216,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/20/9046,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/6775,SR/2024/15456/A/50313,NR/2024/24418/A/50354,GNA/NR/2025/01/01/3945,NR/30092023/31122025/SH-07,WR/2024/25501/A/50623,NR/2024/24508/A/50656,NR/2025/24972/C,NR/2024/24507/A/50883,NR/2024/24614/A/50657,NR/2025/24973/C,NR/2025/24974/C,NR/2024/24566/A/50328,NR/2024/24435/A/50350,GNA/NR/2025/01/01/7459,NR/2024/24507/A/50655,GNA/NR/2025/01/01/6528,Total
,,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,SJVNL,OIDLWM2_AEROCITY,IEXL,SJVNL,APPCPL,HPXL,PXIL,HPXL,IEXL,IEXL,TPTCL,HPXL,PXIL,APPCPL,PUNJAB,HPXL,MANIKARAN,IEXL,HPXL,DELHI,HPXL,HPXL,IEXL,NDMC,IEXL,ITCLH,NDMC,BAWANA_GAS,APPCPL,NVVNL,TPDDL,NVVNL,NVVNL,NVVNL,NVVNL,IEXL,IEXL,NDMC,NVVNL,NDMC,
,,NA,NA,NA,NA,NA,NA,DELHI_UT,NA,NA,MSEB_State,NA,NA,DELHI_UT,TAMILNADU_State,NA,DELHI_UT,DELHI_UT,Meghalaya_State,DELHI_UT,ODISHA_STATE,TELANGANA_State,HIMACHAL_STATE,NA,NA,MP_State,NA,DELHI_UT,ANDHRA_PRADESH_STATE,NA,DELHI_UT,DELHI_UT,NA,NA,NA,NA,NA,NA,TELANGANA_State,KARNATAKA_STATE,NA,NA,NA,
,,TCSPL_BKN2,TCSPL_BKN2,RSRPL_BKN,TCSPL_BKN2,TESPL_BKN2,TPSL_BKN2,BYPL,JPNIGRIE_JNSTPP,SINGOLI,GRETAENERGY,SKS_Raigarh,JPNIGRIE_JNSTPP,BYPL,GAYATRIGREENTN,JPNIGRIE_JNSTPP,BYPL,BAWANA_GAS,Meghalaya_Ben,BRPL,NBVLIPP,ZUARICEMCPP,CHANJUII,SKS_Raigarh,SIMHAPURI,JP_BINA,RKM_POWER,BYPL,ITCWIND,JPL2,BAWANA_GAS,BRPL,TRN_ENERGY,JHAJJAR,JIPL,TRN_ENERGY,TRN_ENERGY,JIPL,NSLKSLWPRTY,NSLSUGARALAND,RKM_POWER,JIPL,SKS_Raigarh,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,Manipur_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,MSEB_State,PUNJAB_STATE,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,DELHI_UT,DELHI_UT,HARYANA_STATE,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,NDMC,OIDLWM2_AEROCITY,MES_Delhi,NDMC,Manipur_Ben,BRPL,BRPL,BRPL,BRPL,BRPL,TPC_MSEB,BRPL,BRPL,AEML,PUNJAB,BRPL,AEML,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,NDMC,TANGEDCO,ITCLH,NDMC,HARYANA,GOA_Beneficiary,NDMC,TPDDL,NDMC,NDMC,NDMC,NDMC,MES_Delhi,MES_Delhi,NDMC,NDMC,NDMC,
,,North-North,North-North,North-North,North-North,North-North,North-North,North-East-North East,West-North,North-North,West-North,West-North,West-North,North-West,South-East-North,West-North,North-West,North-North,North East-East-North,North-West,East-North,South-East-North,North-North,West-North,South-East-North,West-North,West-North,North-West-South,South-West-North,West-North,North-North,North-West,West-North,North-North,East-North,West-North,West-North,East-North,South-West-North,South-West-North,West-North,East-North,West-North,
1,00:00-00:15,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,23.06,0,0.38,23.06,0,0,8.73,0,0,0,0,0,5.76,9.61,23.06,14.28,8.65,357.17999999999995

2,00:15-00:30,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,0,0,28.82,0,0,0,0,20.17,0,1.37,19.21,0,48.04,23.06,0,0.38,23.06,0,0,8.73,0,0,0,0,0,5.76,9.61,23.06,14.28,8.65,357.17999999999995

