Time,Block,NR/2023/11204/A,NR/2023/14687/C,NR/2023/13983/F,NR/2023/11315/A,NR/2023/14114/F,NR/2023/13983/F/II,NR/2023/11469/A,NR/2023/13573/A,NR/2023/14668/C,NR/2023/14117/F,NR/2023/11892/A,NR/2023/13859/A,NR/2023/11524/A,NR/2023/14657/D,NR/2023/11203/A,NR/2023/13858/A,NR/2023/14113/F,NR/2023/11205/A,NR/2023/11521/A,NR/2023/13573/A/II,NR/2023/11458/A,NR/2023/13284/A,NR/2023/14136/F,NR/2023/11697/A,NR/2023/11470/A,NR/2023/14120/F,NR/2023/13283/A,NR/2023/14121/F,NR/2023/14119/F,NR/2023/14655/D,NR/2023/14115/F,NR/2023/13283/A/II,NR/2023/14118/F,NR/2023/11328/A,NR/2023/14187/F,NR/2023/11654/A,NR/2023/14661/D,NR/2023/12646/A,NR/2023/11739/A,NR/2023/11325/A,NR/2023/14658/D,NR/2023/11954/A,NR/2023/14659/D,NR/2023/11264/A,NR/2023/14116/F,ER/2023/8939/C,NR/2023/14669/C,NR/2023/14653/D,Total
,,KEIPL,TPDDL,ITCLH,GMRETL,SHPPBPL,ITCLH,NVVNL,NVVNL,IEXL,SHPPBPL,TPTCL,MANIKARAN,PTC,KEIPL,KEIPL,MANIKARAN,SHPPBPL,KEIPL,PTC,NVVNL,STATKRAFT,APPCPL,SJVNL,APPCPL,NVVNL,SHPPBPL,APPCPL,SHPPBPL,SHPPBPL,NVVNL,SHPPBPL,APPCPL,SHPPBPL,APPCPL,GBHHPL,TPTCL,TS1PL_BKN,MANIKARAN,NVVNL,APPCPL,KEIPL,KEIPL,TS1PL_BKN,TPTCL,SHPPBPL,HPXL,PXIL,NVVNL,Total

,,KERALA,HIMACHAL PRADESH,ANDHRA PRADESH,MEGHALAYA,HIMACHAL PRADESH,ANDHRA PRADESH,NA,NA,KARNATAKA,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,NA,UTTAR PRADESH,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,KERALA,NA,NA,TAMIL NADU,HIMACHAL PRADESH,WEST BENGAL,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,GOA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,GOA,HIMACHAL PRADESH,UTTARAKHAND,HIMACHAL PRADESH,NA,NA,TAMIL NADU,MP,MEGHALAYA,MAHARASHTRA,MEGHALAYA,NA,NA,HIMACHAL PRADESH,DELHI,DELHI,NA,
,,KSEB,CHANJUII,ITCWIND,Meghalaya_Ben,SHPPBPL,ITCWIND,JPNIGRIE_JNSTPP,SKS Raigarh,NSLSUGAR,SHPPBPL,TPC MSEB,HP,JPL-2,LAPL-UP,Meghalaya_Ben,HP,SHPPBPL,KSEB,JPNIGRIE_JNSTPP,SKS Raigarh,TANGEDCO,HP,IPCL_WB,HP,KAMENG,SHPPBPL,GOA_Beneficiary,SHPPBPL,SHPPBPL,KAMENG,SHPPBPL,GOA_Beneficiary,SHPPBPL,UTTARAKHAND,GBHHPL,JPL-2,TS1PL_BKN,TANGEDCO,JP BINA,Meghalaya_Ben,LMEL MSEB,Meghalaya_Ben,TS1PL_BKN,KWHEP,SHPPBPL,BYPL,BYPL,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,UTTAR PRADESH,DELHI,
,,BYPL,TPDDL,ITCLH,BYPL,BAL224,ITCLH,BRPL,NDMC,MES (Delhi),BMDRC,BYPL,BRPL,TPDDL,BYPL,BYPL,BRPL,BAL184,BRPL,TPDDL,NDMC,BYPL,BRPL,NDMC,BYPL,BRPL,MHIL,BRPL,UHL,JHPL-DL,TPDDL,BAL234,BRPL,MAX-HPTL,BYPL,DIAPL,BRPL,BRPL,BRPL,BRPL,BYPL,BYPL,BYPL,BYPL,BRPL,AISHER,VLSEZ,ASIL_UP,MES (Delhi),
,,South-East-North,North-North,South-West-North,North East-East-North,North-North,South-East-North,West-North,West-East-North,South-West-North,North-North,West-North,North-North,West-North,North-North,North East-East-North,North-North,North-North,South-East-North,West-North,West-North,South-West-North,North-North,East-North,North-North,North East-East-North,North-North,West-East-North,North-North,North-North,North East-East-North,North-North,West-North,North-North,North-North,North-North,West-North,North-North,South-West-North,West-North,North East-East-North,West-North,North East-East-North,North-North,North-North,North-North,North-East,North-North,West-North,
1,00:00-00:15,82.960000,0.000000,0.000000,22.190000,0.000000,0.870000,84.870000,3.280000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,231.610000,48.230000,59.420000,98.390000,64.820000,0.000000,27.780000,21.220000,0.000000,1.260000,0.000000,0.000000,192.920000,0.000000,22.850000,0.000000,48.230000,3.860000,257.550000,0,23.080000,28.880000,24.120000,0.000000,36.390000,0,0.000000,0.000000,31.000000,0.000000,0,1999.03

2,00:15-00:30,82.960000,0.000000,0.000000,22.190000,0.000000,0.870000,84.870000,3.280000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,231.610000,48.230000,59.420000,98.390000,64.820000,0.000000,27.780000,21.220000,0.000000,1.260000,0.000000,0.000000,192.920000,0.000000,22.850000,0.000000,48.230000,3.860000,257.550000,0,23.080000,28.880000,24.120000,0.000000,36.390000,0,0.000000,0.000000,31.000000,0.000000,0,1999.03
