Block,Time,DADRT2,DULHASTI,CHAMERA3,DHAULIGNGA,CHAMERA2,UNCHAHAR2,SEWA2,JHAJJAR,RIHAND2,KOTESHWR,PARBATI3,RAMPUR,RIHAND1,UNCHAHAR1,KOLDAM,SINGRAULI_HYDRO,NJPC,RAPPC,TEHRI,UNCHAHAR3,RIHAND3,SINGRAULI,TANDA2,KISHANGANGA,NAPP,UNCHAHAR4,URI2,CHAMERA1,BSIUL,TANAKPUR,SALAL,RAPPB,URI,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,RSTPSU1TO6,RSTPSU7,KKNPPU2,KGSU1AND2,KGSU3AND4,KKNP,TALST2,SIMHST1,SIMHST2,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,NLCTS2EXP,NNTPP,NTPL,MAPS,KHSTPP-II,KHSTPP-I,FSTPP I & II,BRBCL,TALA,SASAN
1,00:00-00:15,341.564563,16.478852,0,0,0,42.392196,0,653.1525,56.7,8.874,0,0,92,20.556,0,0.59303,0,25.5069,0,26.39091,123.665625,102.75,0,0,20.0784,0,31.897382,0,0,3.843,12.782,0,49.68,0,0,42.525,0,0,0,0,88.776,0,0,0,66.789,0,0,0,0,0,0,0,0,0,46.87,0,0,0,0,0,0,0,0,0,98.34375,45.2215,20.73185,20.0018,0,418.77

2,00:15-00:30,341.564563,16.478852,0,0,0,42.392196,0,653.1525,56.7,8.874,0,0,92,20.556,0,0.59303,0,25.5069,0,26.39091,123.665625,102.75,0,0,20.0784,0,31.897382,0,0,3.843,70.882,0,49.68,0,0,42.525,0,0,0,0,88.776,0,0,0,66.789,0,0,0,0,0,0,0,0,0,46.87,0,0,0,0,0,0,0,0,0,98.34375,45.2215,20.73185,20.0018,0,418.77

3,00:30-00:45,341.564563,16.478852,0,0,0,42.392196,0,653.1525,56.7,8.874,0,0,92,20.556,0,0.59303,0,25.5069,0,26.39091,123.665625,102.75,0,0,20.0784,0,31.897382,0,0,11.922267,70.882,0,8.832,0,0,42.525,0,0,0,0,88.776,0,0,0,66.789,0,0,0,0,0,0,0,0,0,46.87,0,0,0,0,0,0,0,0,0,98.34375,45.2215,20.73185,20.0018,0,418.77

4,00:45-01:00,341.564563,16.478852,0,0,0,42.392196,0,653.1525,56.7,8.874,0,0,92,20.556,0,0.59303,0,25.5069,0,26.39091,123.665625,102.75,0,0,20.0784,0,31.897382,0,0,11.922267,70.882,0,6.624,0,0,42.525,0,0,0,0,88.776,0,0,0,66.789,0,0,0,0,0,0,0,0,0,46.87,0,0,0,0,0,0,0,0,0,98.34375,45.2215,20.73185,20.0018,0,418.77

5,01:00-01:15,341.564563,16.478852,0,0,0,42.392196,0,653.1525,56.7,8.874,0,0,92,20.556,0,0.59303,0,25.5069,0,26.39091,123.665625,102.75,0,0,20.0784,0,12.1068,0,0,11.922267,70.882,0,6.624,0,0,43.05,0,0,0,0,88.776,0,0,0,66.789,0,0,0,0,0,0,0,0,0,46.87,0,0,0,0,0,0,0,0,0,98.34375,45.2215,20.73185,20.0018,0.588,418.77

