Column1,Time,GNA/NR/2025/05/01/4138,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/8964,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_36,NR/01102023/22052037/LT-59,GNA/NR/2025/04/01/8510,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/8954,NR/01102023/19072037/LT-05,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/9154,GNA/ER/2025/05/15/7367,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/7902,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31102037/L_NR_2019_11,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/6957,GNA/NR/2025/04/01/8456,GNA/NR/2025/05/01/2474,NR/01102023/06022042/L_NR_2012_02,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/2069,NR/01102023/31052040/LT-31,L_NR_2019_19,GNARE/SR/2025/01/13/4532,GNARE/NR/2024/12/20/3668,WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_17,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,NR/01102023/13082046/L_NR_2021_12
1,00:00-00:15,0,0,30,7.23,28.25,272.29,30,0,4.82,15.49,86.86,0,0,5.78,115.16,67.41,192.6,144.45,117,28.89,13.48,28.89,4.11,5.37,10.87,14.44,14.44,192.6,10.43,28.94,260.59,100.33,10.59,0,0,0,22.41,0,38.33,0,16.67,0,49.99,11.71,0,0,0,0,0,0,16.67,0,0,38.33,0

2,00:15-00:30,0,0,30,7.23,28.25,272.29,30,0,4.82,15.49,86.86,0,0,5.78,115.16,67.41,192.6,144.45,149,28.89,13.48,28.89,4.11,5.37,10.87,14.44,14.44,192.6,10.43,28.94,260.59,100.33,10.59,0,0,0,22.41,0,39.33,0,16.67,0,49.99,11.49,0,0,0,0,0,0,16.67,0,0,39.33,0

3,00:30-00:45,0,0,30,7.23,29.27,272.29,30,0,4.82,15.49,86.86,0,0,5.78,115.16,67.41,192.6,144.45,191,28.89,13.48,28.89,4.11,5.37,10.87,14.44,14.44,192.6,10.43,28.94,260.59,100.33,10.59,0,0,0,14.61,0,39.67,0,16.67,0,49.99,11.06,0,0,0,0,0,0,16.67,0,0,39.67,0

4,00:45-01:00,0,0,30,7.23,29.27,272.29,30,0,4.82,15.49,86.86,0,0,5.78,115.16,67.41,192.6,144.45,224,28.89,13.48,28.89,4.11,5.37,10.87,14.44,14.44,192.6,10.43,28.94,260.59,100.33,10.59,0,0,0,14.81,0,40,0,16.67,0,49.99,10.71,0,0,0,0,0,0,16.67,0,0,40,0

5,01:00-01:15,0,0,30,7.23,29.27,272.29,30,0,4.66,15.49,86.86,0,0,5.78,115.16,67.41,192.6,144.45,272,28.89,13.48,28.89,4.11,5.22,10.79,14.44,14.44,192.6,10.43,28.94,260.59,100.33,10.59,0,0,0,14.41,0,40.67,0,16.67,0,49.99,11.11,0,0,0,0,0,0,16.67,0,0,40.67,0

6,01:15-01:30,0,0,30,7.23,29.27,272.29,30,0,4.66,15.49,86.86,0,0,5.78,115.16,67.41,192.6,144.45,302,28.89,13.48,28.89,4.11,5.22,10.79,14.44,14.44,192.6,10.43,28.94,260.59,100.33,10.59,0,0,0,14.21,0,42,0,16.67,0,49.99,11.64,0,0,0,0,0,0,16.67,0,0,42,0

7,01:30-01:45,0,0,30,7.23,29.27,272.29,30,0,4.66,15.49,86.86,0,0,5.78,115.16,67.41,192.6,144.45,323,28.89,13.48,28.89,4.11,5.22,10.79,14.44,14.44,192.6,10.43,28.94,260.59,100.33,10.59,0,0,0,7,0,33.33,0,13.33,0,40.01,13.6,0,0,0,0,0,0,13.33,0,0,33.33,0

8,01:45-02:00,0,0,30,7.23,28.76,272.29,30,0,4.66,15.49,86.86,0,0,5.78,115.16,67.41,192.6,144.45,356,28.89,13.48,28.89,4.11,5.22,10.79,14.44,14.44,192.6,10.43,28.94,260.59,100.33,10.59,0,0,0,7,0,33.33,0,13.33,0,40.01,14.23,0,0,0,0,0,0,13.33,0,0,33.33,0

9,02:00-02:15,0,0,30,7.23,28.76,272.29,0,0,4.66,15.49,86.86,0,0,0,115.16,0,192.6,144.45,267,28.89,13.48,0,4.11,5.22,10.6,14.44,0,192.6,10.43,28.94,260.59,100.33,10.59,96.3,0,0,7,0,32,0,13.33,0,40.01,13.03,0,0,0,0,0,0,13.33,0,0,32,0

10,02:15-02:30,0,0,30,7.23,28.76,272.29,0,0,4.66,15.49,86.86,0,0,0,115.16,0,192.6,144.45,306,28.89,13.48,0,4.11,5.22,10.6,14.44,0,192.6,10.43,28.94,260.59,100.33,10.59,96.3,0,0,7,0,32.03,0,13.33,0,40.01,13.29,0,0,0,0,0,0,13.33,0,0,32.03,0

11,02:30-02:45,0,0,30,7.23,28.76,272.29,0,0,4.66,15.49,86.86,0,0,0,115.16,0,192.6,144.45,335,28.89,13.48,0,4.11,5.14,10.6,14.44,0,192.6,10.43,28.94,260.59,100.33,10.59,96.3,0,0,7,0,41.67,0,13.33,0,40.01,13.53,0,0,0,0,0,0,13.33,0,0,41.67,0

12,02:45-03:00,0,0,30,7.23,28.25,272.29,0,0,4.66,15.49,86.86,0,0,0,115.16,0,192.6,144.45,365,28.89,13.48,0,4.11,5.14,10.6,14.44,0,192.6,10.43,28.94,260.59,100.33,10.59,96.3,0,0,7,0,41,0,13.33,0,40.01,13.77,0,0,0,0,0,0,13.33,0,0,41,0

13,03:00-03:15,0,0,30,7.23,28.25,272.29,15.25,0,4.51,15.49,86.86,0,0,0,115.16,0,192.6,144.45,381,28.89,13.48,0,4.11,4.83,10.51,14.44,0,192.6,10.43,28.94,258.44,100.33,10.59,96.3,0,0,7,0,33.33,0,13.33,0,40.01,13.27,0,0,0,0,0,0,13.33,0,0,33.33,0

14,03:15-03:30,0,0,30,7.23,28.25,272.29,15.25,0,4.51,15.49,86.86,0,0,0,115.16,0,192.6,144.45,381,28.89,13.48,0,4.11,4.83,10.51,14.44,0,192.6,10.43,28.94,258.44,100.33,10.59,96.3,0,0,7,0,32.67,0,13.33,0,40.01,12.76,0,0,0,0,0,0,13.33,0,0,32.67,0

15,03:30-03:45,0,0,30,7.23,28.25,272.29,15.25,0,4.51,15.49,86.86,0,0,0,115.16,0,192.6,144.45,381,28.89,13.48,0,4.11,4.83,10.51,14.44,0,192.6,10.43,28.94,258.44,100.33,10.59,96.3,0,0,7,0,31.67,0,11.5,0,34.5,12.27,0,0,0,0,0,0,11.5,0,0,31.67,0

16,03:45-04:00,0,0,30,7.23,28.25,272.29,15.25,0,4.51,15.49,74.66,0,0,0,66.07,0,192.6,144.45,381,28.89,13.48,0,4.11,4.83,10.51,14.44,0,192.6,10.43,28.94,226.96,100.33,10.59,96.3,0,0,7,0,30.67,0,10.5,0,31.5,11.77,0,0,0,0,0,0,10.5,0,0,30.67,0

17,04:00-04:15,0,0,30,7.23,28.25,272.29,25.4,0,4.51,15.49,74.66,0,0,0,66.07,0,192.6,144.45,0,28.89,13.48,0,4.11,4.83,10.41,14.44,0,192.6,10.43,28.94,226.96,100.33,10.59,96.3,0,0,7,0,30,0,10.5,0,31.5,11.59,0,0,0,0,0,0,10.5,0,0,30,0

18,04:15-04:30,0,0,30,7.23,28.25,272.29,25.4,0,4.51,15.49,86.86,0,0,0,115.16,0,192.6,144.45,0,28.89,13.48,0,4.11,4.83,10.41,14.44,0,192.6,10.43,28.94,258.44,100.33,10.59,96.3,0,0,7,0,28.07,0,10.67,0,31.99,10.42,0,0,0,0,0,0,10.67,0,0,28.07,0

19,04:30-04:45,0,0,30,7.23,28.25,272.29,25.4,0,4.51,15.49,86.86,0,0,0,115.16,0,192.6,144.45,0,28.89,13.48,0,4.11,4.83,10.41,14.44,0,192.6,10.43,28.94,258.44,100.33,10.59,96.3,0,0,7,0,28.04,0,10.83,0,32.51,9.33,0,0,0,0,0,0,10.83,0,0,28.04,0

20,04:45-05:00,0,0,30,7.23,28.25,272.29,25.4,0,4.51,15.49,86.86,0,0,0,115.16,0,192.6,144.45,0,28.89,13.48,0,4.11,4.83,10.41,14.44,0,192.6,10.43,28.94,258.44,100.33,10.59,96.3,0,0,7,0,27.88,0,11,0,33,8.3,0,0,0,0,0,0,11,0,0,27.88,0

21,05:00-05:15,0,0,30,7.23,28.25,272.29,25.4,0,4.35,15.49,86.86,0,0,0,66.07,0,192.6,144.45,0,28.89,13.48,0,3.92,4.68,10.32,14.44,0,192.6,10.43,28.94,258.44,100.33,10.59,96.3,0,0,7,0,24.23,0,10.83,0,32.51,10,0,0,0,0,0,0,10.83,0,0,24.23,0

22,05:15-05:30,0,0,30,7.23,28.25,272.29,25.4,0,4.35,15.49,86.86,0,0,0,115.16,0,192.6,144.45,0,28.89,13.48,0,3.92,4.68,10.32,14.44,0,192.6,10.43,28.94,258.44,100.33,10.59,96.3,0,0,5,0.02,25.42,0,10.17,0,30.49,10,0,0,0,0,0,0,10.17,0,0,25.42,0

23,05:30-05:45,0,0,30,7.23,28.25,272.29,25.4,0,4.35,11.58,63.15,0,0,0,66.07,0,192.6,144.45,0,28.89,13.48,0,3.92,4.68,10.32,14.44,0,192.6,10.43,28.94,200.66,100.33,10.59,96.3,0,0,5,0.12,31.67,0,12.45,0,37.37,8.67,0,0,0,0,0,0,12.45,0,0,31.67,0

24,05:45-06:00,0,0,30,7.23,28.25,272.29,25.4,0,4.35,11.58,63.15,0,0,0,66.07,0,192.6,144.45,0,28.89,13.48,0,3.92,4.68,10.32,14.44,0,192.6,10.43,28.94,200.66,100.33,10.59,96.3,0,1.32,5,0.13,30,0,11.59,0,34.78,8.67,0,0,0,0,0,0,11.59,0,0,30,0

25,06:00-06:15,0,0,26.5,7.23,28.26,272.29,26.5,0,4.35,11.58,63.15,0,0,0,66.07,0,192.6,144.45,0,28.89,13.48,0,3.92,4.68,10.23,14.44,0,192.6,10.43,28.94,200.66,100.33,10.59,96.3,0,3.41,5,0.68,28.33,1,12.02,1,36.05,8.67,0,1,0,0.45,5.15,0,12.02,1,4.39,28.33,2.23

