Block,Time,SASAN,RAMPUR,KISHANGANGA,DADRT2,KUDGI,DADRI_RF,SALAL,CHAMERA3,AURY_RF,KOLDAM,SEWA2,DADRI_CRF,ANTA_CRF,TEHRI,AURY_LF,JHAJJAR,RIHAND1,DULHASTI,KHSTPP-I,TALA,ANTA_GF,DADRI_LF,FSTPP I & II,KHSTPP-II,BRBCL,KOTESHWR,RIHAND3,UNCHAHAR2,SINGRAULI_HYDRO,TANAKPUR,BSIUL,DADRI_GF,TANDA2,NAPP,CHAMERA2,ANTA_LF,DHAULIGNGA,NJPC,AURY_GF,SINGRAULI,AURY_CRF,RIHAND2,RAPPC,RAPPB,ANTA_RF,URI2,PARBATI3,UNCHAHAR1,UNCHAHAR3,CHAMERA1,URI,UNCHAHAR4,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,337.772902,0.000000,0.000000,661.207878,73.56,0.000000,24.743396,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,632.183982,89.046800,47.849643,42.875070,17.073756,0.000000,0.000000,18.835334,142.780373,14.519807,8.589145,119.695958,24.369302,0.759153,9.919039,0.000000,0.000000,0.000000,38.454280,0.000000,0.000000,8.822312,38.497255,0.000000,92.192475,0.000000,56.709261,25.056608,0.000000,0.000000,10.416153,0.000000,19.343482,25.542978,0.000000,36.331094,0.000000,0,0,0,0,0

2,00:15-00:30,337.772902,0.000000,0.000000,661.207878,73.56,0.000000,24.743396,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,632.183982,89.046800,47.849643,42.887649,17.073756,0.000000,0.000000,18.835334,142.780373,14.519807,8.589145,119.695958,24.369302,0.759153,9.919039,0.000000,0.000000,0.000000,38.454280,0.000000,0.000000,8.822312,38.497255,0.000000,92.192475,0.000000,56.709261,25.056608,0.000000,0.000000,23.957151,0.000000,19.343482,25.542978,0.000000,36.331094,0.000000,0,0,0,0,0

3,00:30-00:45,337.772902,0.000000,0.000000,661.207878,73.56,0.000000,24.743396,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,632.183982,89.046800,47.849643,42.887649,17.073756,0.000000,0.000000,18.835334,142.780373,14.519807,8.589145,119.695958,24.369302,0.759153,9.919039,0.000000,0.000000,0.000000,38.454280,0.000000,0.000000,8.822312,38.497255,0.000000,92.192475,0.000000,56.709261,25.056608,0.000000,0.000000,23.957151,0.000000,19.343482,25.542978,0.000000,6.411370,0.000000,0,0,0,0,0

4,00:45-01:00,337.772902,0.000000,0.000000,661.207878,73.56,0.000000,24.743396,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,632.183982,89.046800,47.849643,42.887649,17.073756,0.000000,0.000000,18.835334,142.780373,14.519807,8.589145,119.695958,24.369302,0.759153,9.919039,0.000000,0.000000,0.000000,38.454280,0.000000,0.000000,8.822312,38.497255,0.000000,92.192475,0.000000,56.709261,25.056608,0.000000,0.000000,23.957151,0.000000,19.343482,25.542978,0.000000,6.411370,0.000000,0,0,0,0,0

5,01:00-01:15,337.772902,0.000000,0.000000,661.207878,73.56,0.000000,24.743396,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,632.183982,89.046800,47.849643,42.887649,17.073756,0.000000,0.000000,18.835334,142.780373,14.519807,8.589145,119.695958,24.369302,0.759153,9.919039,0.000000,0.000000,0.000000,38.454280,0.000000,0.000000,8.822312,38.497255,0.000000,92.192475,0.000000,56.709261,25.056608,0.000000,0.000000,23.957151,0.000000,19.343482,25.542978,0.000000,6.411370,0.000000,0,0,0,0,0

6,01:15-01:30,337.772902,0.000000,0.000000,661.207878,73.56,0.000000,24.743396,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,632.183982,89.046800,47.849643,42.887649,17.073756,0.000000,0.000000,18.835334,142.780373,14.519807,8.589145,119.695958,24.369302,0.759153,9.919039,0.000000,0.000000,0.000000,38.454280,0.000000,0.000000,8.822312,38.497255,0.000000,92.192475,0.000000,56.709261,25.056608,0.000000,0.000000,10.416153,0.000000,19.343482,25.542978,0.000000,6.411370,0.000000,0,0,0,0,0

