Block,Time,NAPP,PARBATI3,BSIUL,RAPPB,SINGRAULI_HYDRO,AURY_RF,ANTA_LF,RIHAND2,KOTESHWR,ANTA_RF,RIHAND1,RIHAND3,TANDA2,KISHANGANGA,UNCHAHAR4,ANTA_CRF,AURY_LF,RAMPUR,CHAMERA2,KOLDAM,NJPC,UNCHAHAR2,URI2,UNCHAHAR3,RAPPC,SALAL,SEWA2,DADRI_LF,CHAMERA3,TEHRI,DULHASTI,DADRI_CRF,CHAMERA1,SINGRAULI,DADRI_RF,UNCHAHAR1,TANAKPUR,AURY_CRF,DHAULIGNGA,DADRT2,ANTA_GF,DADRI_GF,URI,AURY_GF,JHAJJAR,BRBCL,KUDGI,KHSTPP-II,KHSTPP-I,TALA,SASAN,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,37.722881,0.000000,12.620356,0.000000,0.925605,11.709170,0.000000,114.309562,27.670414,0.000000,89.028400,119.671225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.233943,0.000000,148.642010,39.569338,31.372176,24.850239,50.348463,83.210588,15.293577,0.000000,28.124079,65.354587,47.839755,0.000000,41.282082,99.431175,14.902580,18.786928,10.784726,0.000000,35.409788,664.596964,0.000000,0.000000,32.050224,0.000000,613.444384,9.677000,0.00,95.167247,31.715926,25.605342,337.703108,13.047499,0,0,0,0,0

2,00:15-00:30,37.722881,0.000000,12.620356,0.000000,0.925605,11.709170,0.000000,114.309562,27.670414,0.000000,89.028400,119.671225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.233943,0.000000,148.642010,40.065683,31.372176,17.702717,50.348463,83.210588,15.293577,0.000000,28.124079,65.354587,47.839755,0.000000,41.282082,99.431175,14.902580,13.409516,10.784726,0.000000,35.409788,664.596964,0.000000,0.000000,32.050224,0.000000,613.444384,9.677000,0.00,95.167247,31.719271,25.605342,337.703108,13.047499,0,0,0,0,0

3,00:30-00:45,37.722881,0.000000,12.620356,0.000000,0.925605,11.709170,0.000000,114.309562,27.670414,0.000000,89.028400,119.671225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.233943,0.000000,148.642010,40.065683,30.591126,17.702717,50.348463,83.210588,15.293577,0.000000,28.124079,65.354587,47.839755,0.000000,41.282082,99.431175,14.902580,13.409516,10.784726,0.000000,35.409788,664.596964,0.000000,0.000000,32.050224,0.000000,556.838772,9.677000,0.00,95.167247,31.719271,25.605342,337.703108,13.047499,0,0,0,0,0

4,00:45-01:00,37.722881,0.000000,12.620356,0.000000,0.925605,11.709170,0.000000,114.309562,27.670414,0.000000,89.028400,119.671225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.233943,0.000000,148.642010,40.065683,30.591126,17.702717,50.348463,83.210588,15.293577,0.000000,28.124079,65.354587,47.839755,0.000000,41.282082,99.431175,14.902580,13.409516,10.784726,0.000000,35.409788,664.596964,0.000000,0.000000,32.050224,0.000000,518.130772,9.677000,0.00,95.167247,31.719271,25.605342,337.703108,13.047499,0,0,0,0,0

5,01:00-01:15,37.722881,0.000000,12.620356,0.000000,0.925605,11.709170,0.000000,114.309562,27.670414,0.000000,89.028400,119.671225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.233943,0.000000,148.642010,40.065683,30.591126,17.702717,50.348463,83.210588,10.216357,0.000000,28.124079,65.354587,47.839755,0.000000,41.282082,99.431175,14.902580,13.409516,10.784726,0.000000,35.409788,664.596964,0.000000,0.000000,32.050224,0.000000,518.130772,9.677000,0.00,95.167247,31.719271,25.605342,337.703108,13.047499,0,0,0,0,0

6,01:15-01:30,37.722881,0.000000,12.620356,0.000000,0.925605,11.709170,0.000000,114.309562,27.670414,0.000000,89.028400,119.671225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.233943,0.000000,148.642010,40.065683,30.591126,17.702717,50.348463,83.210588,10.216357,0.000000,28.124079,65.354587,47.839755,0.000000,41.282082,99.431175,14.902580,13.409516,10.784726,0.000000,35.409788,664.596964,0.000000,0.000000,32.050224,0.000000,518.130772,9.677000,0.00,95.167247,31.719271,25.605342,337.703108,13.047499,0,0,0,0,0

7,01:30-01:45,37.722881,0.000000,12.620356,0.000000,0.925605,11.709170,0.000000,114.309562,27.670414,6.096510,89.028400,119.671225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.233943,0.000000,148.642010,40.065683,30.591126,17.702717,50.348463,83.210588,10.216357,0.000000,28.124079,65.354587,47.839755,0.000000,41.282082,99.431175,14.902580,13.409516,12.768124,0.000000,35.409788,664.596964,0.000000,0.000000,32.050224,0.000000,518.130772,9.677000,0.00,95.167247,31.719271,25.605342,337.703108,13.047499,0,0,0,0,0

