Column1,Block,GNA/NR/2024/10/01/4083,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/06/7115,GNA/NR/2024/10/06/1802,GNA/NR/2024/10/01/8106,NR/30092023/31122025/SH-07,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/6101,NR/2024/23389/A/40005,NR/2024/23532/C,NR/2024/23356/A/40006,GNA/NR/2024/10/01/3642,NR/2024/23215/A/40115,NR/2024/23397/A/40028,NR/2024/23382/A/40137,NR/2024/23446/A/40134,NR/2024/23414/A/39973,NR/2024/23383/A/39980,NR/2024/23384/A/40061,NR/2024/23524/C,Total
,,PTC,PUNJAB,DELHI,PXIL,HPXL,NDMC,BAWANA_GAS,NDMC,NDMC,NDMC,SJVNL,NVVNL,SJVNL,NDMC,PTC,DIAPL,NVVNL,NVVNL,IEXL,ITCLH,IEXL,TPDDL,
,,HIMACHAL_STATE,DELHI_UT,HIMACHAL_STATE,NA,NA,NA,DELHI_UT,NA,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,NA,NA,KARNATAKA_STATE,ANDHRA_PRADESH_STATE,KARNATAKA_STATE,NA,
,,HP,BAWANA_GAS,CHANJUII,IND_BHARAT,JITPL,TRN_ENERGY,BAWANA_GAS,SKS_Raigarh,RKM_POWER,JPL2,RSRPL_BKN,SOLAPUR_SOLAR,TPSL_BKN2,RKM_POWER,HP,GBHHPL,JITPL,JITPL,NSLSUGAR,ITCWIND,NSLSUGAR,JHAJJAR,
,,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,PUNJAB,TPDDL,BRPL,BRPL,NDMC,HARYANA,NDMC,NDMC,NDMC,NDMC,MES_Delhi,NDMC,NDMC,BYPL,DIAPL,NDMC,NDMC,MES_Delhi,ITCLH,MES_Delhi,TPDDL,
,,North-North,North-North,North-North,East-North,East-North,West-North,North-North,West-North,West-North,West-North,North-North,West-North,North-North,West-North,North-North,North-North,East-North,East-North,South-West-North,South-West-North,South-West-North,North-North,
1,00:00-00:15,54.36,0,6.46,0,96.64,8.78,32,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.58,6.76,173.95,505.95

2,00:15-00:30,54.36,0,6.46,0,96.64,8.78,32,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.58,6.76,173.95,505.95

3,00:30-00:45,54.36,0,6.46,0,96.64,8.78,32,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.58,6.76,173.95,505.95

4,00:45-01:00,54.36,0,6.46,0,96.64,8.78,32,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.58,6.76,173.95,505.95

5,01:00-01:15,54.36,0,6.46,30.92,96.64,8.78,32,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.53,6.76,173.95,536.8199999999999

6,01:15-01:30,54.36,0,6.46,37.11,96.64,8.78,32,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.53,6.76,173.95,543.01

7,01:30-01:45,54.36,9.17,6.46,43.29,96.64,8.78,9.17,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.53,6.76,173.95,535.53

8,01:45-02:00,54.36,9.17,6.46,49.48,96.64,8.78,9.17,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.53,6.76,173.95,541.72

9,02:00-02:15,54.36,9.17,6.46,60.32,96.64,8.78,9.17,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.48,6.76,173.95,552.51

10,02:15-02:30,54.36,18.98,6.46,85.04,96.64,8.78,18.98,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.48,6.76,173.95,596.85

11,02:30-02:45,54.36,18.98,6.46,93.55,96.64,8.78,18.98,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.48,6.76,173.95,605.36

12,02:45-03:00,54.36,18.98,6.46,96.64,96.64,8.78,18.98,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.48,6.76,173.95,608.45

13,03:00-03:15,54.36,18.98,6.37,96.64,96.64,8.78,18.98,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.43,6.76,173.95,608.31

14,03:15-03:30,54.36,18.98,6.37,96.64,96.64,8.78,18.98,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.43,6.76,173.95,608.31

15,03:30-03:45,54.36,18.98,6.37,96.64,96.64,8.78,18.98,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.43,6.76,173.95,608.31

16,03:45-04:00,54.36,18.98,6.37,96.64,96.64,8.78,18.98,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.43,6.76,173.95,608.31

17,04:00-04:15,54.36,18.98,6.37,96.64,96.64,8.78,18.98,8.78,26.35,26.35,0,0,0,26.35,18.12,2.9,17.57,0,0,0.43,6.76,173.95,608.31

