Block,Time,ANTA_CRF,DADRT2,DADRI_LF,ANTA_GF,URI,JHAJJAR,DADRI_CRF,UNCHAHAR4,SEWA2,RAPPB,DULHASTI,UNCHAHAR1,DADRI_GF,AURY_LF,RAMPUR,UNCHAHAR3,SALAL,UNCHAHAR2,NAPP,KOLDAM,AURY_GF,ANTA_RF,RIHAND3,DHAULIGNGA,KISHANGANGA,KOTESHWR,FSTPP I & II,KHSTPP-I,CHAMERA2,AURY_RF,CHAMERA1,BSIUL,RIHAND1,KHSTPP-II,SINGRAULI,PARBATI3,TANDA2,BRBCL,CHAMERA3,TANAKPUR,TEHRI,RIHAND2,TALA,ANTA_LF,NJPC,URI2,SINGRAULI_HYDRO,RAPPC,SASAN,AURY_CRF,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,473.002430,0.000000,0.000000,33.576228,399.825681,0.000000,0.000000,15.258808,0.000000,0.000000,9.789108,0.000000,0.000000,0.000000,18.914628,24.682042,40.927642,40.833698,0.000000,0.000000,0.000000,119.399161,0.000000,0.000000,8.567847,20.014815,44.798312,0.000000,0.000000,0.000000,12.591665,88.826000,142.426336,134.503805,0.000000,0.000000,19.310005,0.000000,5.441944,0.000000,114.049688,0.000000,0.000000,0.000000,31.430733,0.646451,52.071829,404.322435,0.000000,0.000000,0,0,0,0,0

2,00:15-00:30,0.000000,470.723911,0.000000,0.000000,33.576228,347.580000,0.000000,0.000000,15.258808,0.000000,0.000000,8.488386,0.000000,0.000000,0.000000,18.914628,24.682042,40.927642,40.833698,0.000000,0.000000,0.000000,119.399161,0.000000,0.000000,8.567847,20.014815,44.798312,0.000000,0.000000,0.000000,12.591665,88.826000,142.426336,134.503805,0.000000,0.000000,18.505144,0.000000,5.441944,0.000000,114.049688,0.000000,0.000000,0.000000,31.430733,0.646451,52.071829,404.322435,0.000000,0.000000,0,0,0,0,0

3,00:30-00:45,0.000000,404.715875,0.000000,0.000000,33.576228,347.580000,0.000000,0.000000,15.258808,0.000000,0.000000,8.488386,0.000000,0.000000,0.000000,18.914628,24.682042,36.325006,40.833698,0.000000,0.000000,0.000000,119.399161,0.000000,0.000000,8.567847,17.827571,44.798312,0.000000,0.000000,0.000000,12.591665,88.826000,142.426336,134.503805,0.000000,0.000000,15.938786,0.000000,5.441944,0.000000,114.049688,0.000000,0.000000,0.000000,31.430733,0.646451,52.071829,404.322435,0.000000,0.000000,0,0,0,0,0

4,00:45-01:00,0.000000,361.097000,0.000000,0.000000,39.438744,347.580000,0.000000,0.000000,15.258808,0.000000,0.000000,6.556225,0.000000,0.000000,0.000000,14.204584,24.682042,36.325006,40.833698,0.000000,0.000000,0.000000,119.399161,0.000000,0.000000,8.567847,17.827571,44.798312,0.000000,0.000000,0.000000,12.591665,88.826000,142.426336,134.503805,0.000000,0.000000,14.731747,0.000000,5.441944,0.000000,114.049688,0.000000,0.000000,0.000000,31.430733,0.646451,52.071829,404.322435,0.000000,0.000000,0,0,0,0,0

5,01:00-01:15,0.000000,361.097000,0.000000,0.000000,39.438744,347.580000,0.000000,0.000000,15.258808,0.000000,0.000000,6.420575,0.000000,0.000000,0.000000,14.019060,24.682042,36.325006,40.833698,0.000000,0.000000,0.000000,119.399161,0.000000,0.000000,8.567847,17.827571,44.798312,0.000000,0.000000,0.000000,12.591665,88.826000,142.426336,134.503805,0.000000,0.000000,13.076644,0.000000,5.441944,0.000000,114.049688,0.000000,0.000000,0.000000,31.430733,0.646451,52.071829,404.322435,0.000000,0.000000,0,0,0,0,0

