Block,Time Block,KGSU3AND4,KHSTPP-II,KKNP,KISHANGANGA,KHSTPP-I,JHAJJAR,KGSU1AND2,KOTESHWR,BSIUL,CHAMERA3,CHAMERA2,DHAULIGNGA,FSTPP I & II,BRBCL,DULHASTI,DADRT2,CHAMERA1,ANTA_LF,ANTA_CRF,ANTA_GF,AURY_RF,ANTA_RF,DADRI_LF,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,AURY_CRF,DADRI_RF,PARBATI3,SIMHST2,RIHAND3,SALAL,SEWA2,RAPPB,RIHAND2,RIHAND1,SASAN,RAMPUR,RSTPSU1TO6,RAPPC,NTPL,RSTPSU7,SIMHST1,TALA,SINGRAULI,TANAKPUR,TALST2,SINGRAULI_HYDRO,URI2,UNCHAHAR3,TelanganaSTPP,TEHRI,UNCHAHAR2,URI,TANDA2,VALLURNTECL,UNCHAHAR1,UNCHAHAR4,MAPS,NLCIIST1,NAPP,NLCIIST2,KUDGI,NLCTS2EXP,NLCEXP,NNTPP,NJPC,KKNPPU2,KOLDAM,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,70.6,0,0,19.65,345.73,0,8.53,0,0,0,0,10.99,18.38,15.83,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,101.17,75.94,402.31,0,0,51.81,0,0,0,0,110.42,5.53,0,0,4.14,13.94,0,0,21.93,2.12,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,59.67,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,16.7,15.83,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,91.84,60.75,402.31,0,0,51.81,0,0,0,0,108.63,5.53,0,0,4.14,13.94,0,0,22.39,2.12,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,59.67,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,15.13,15.83,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,91.84,60.75,402.31,0,0,51.81,0,0,0,0,108.63,5.53,0,0,4.14,13.94,0,0,22.39,2.12,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,59.67,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,12.99,15.83,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,91.84,60.75,402.31,0,0,51.81,0,0,0,0,108.63,5.53,0,0,4.14,13.94,0,0,22.39,2.12,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,59.67,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,14.12,15.83,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,91.84,60.75,402.31,0,0,51.81,0,0,0,0,108.63,5.53,0,0,4.14,13.94,0,0,22.39,2.12,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,52.24,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,12.86,15.83,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,91.84,60.75,402.31,0,0,51.81,0,0,0,0,108.63,5.53,0,0,4.14,13.94,0,0,22.39,2.12,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,52.24,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,12.59,15.83,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,91.84,60.75,402.31,0,0,51.81,0,0,0,0,108.63,0,0,0,4.14,13.94,0,0,22.39,1.07,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,52.24,0,0,18.39,345.73,0,8.53,0,0,0,0,10.99,12.79,15.83,361.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.43,1.34,0,0,91.84,60.75,402.31,0,0,51.81,0,0,0,0,108.63,0,0,0,4.14,13.94,0,0,22.39,1.07,0,0,5.76,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0

