Block,Time,CHAMERA1,DADRT2,KKNP,KOLDAM,KOTESHWR,KUDGI,PARBATI2,RAPPD,RIHAND1,SASAN,TEHRI,UNCHAHAR3,VALLURNTECL,ANTA_LF,ANTA_RF,KHSTPP-II,NJPC,SALAL,URI2,AURY_CRF,CHAMERA3,DHAULIGNGA,KGSU3AND4,NLCTS2EXP,RAMPUR,RSTPSU7,TALA,UNCHAHAR2,DADRI_RF,JHAJJAR,MAPS,NLCEXP,NLCIIST2,NTPL,RAPPC,RIHAND3,RSTPSU1TO6,SEWA2,SIMHST1,TALST2,DADRI_LF,CHAMERA2,KISHANGANGA,NLCIIST1,NNTPP,SINGRAULI_HYDRO,TelanganaSTPP,UNCHAHAR1,ANTA_GF,AURY_GF,AURY_LF,PARBATI3,RAPPB,SIMHST2,SINGRAULI,TANAKPUR,TANDA2,ANTA_CRF,DULHASTI,KHSTPP-I,UNCHAHAR4,URI,DADRI_GF,BRBCL,BSIUL,FSTPP I & II,KGSU1AND2,KKNPPU2,NAPP,RIHAND2,AURY_RF,DADRI_CRF
1,00:00-00:15,42.15,499.48,0,4.79,10.43,0,30.06,22.02,97.23,416.25,34.18,27.68,0,0,51.17,148.3,138.33,79.38,38.1,0,35,10.95,0,0,5.42,0,0,44.5,98.41,528.67,0,0,0,0,68.56,130.79,0,18.9,0,0,0,48.81,8.63,0,0,0.94,0,21.64,0,0,0,36.83,0,0,112.11,6.27,5.7,0,59.5,45.83,2.3,48.57,0,20,19.56,20.8,0,0,25.9,124.58,80.77,0

2,00:15-00:30,42.15,548.92,0,4.79,10.43,0,30.06,22.02,97.23,416.25,34.18,27.68,0,0,51.17,148.3,138.33,0,38.1,0,35,10.95,0,0,5.42,0,0,44.5,98.41,528.67,0,0,0,0,68.56,130.79,0,18.9,0,0,0,48.81,8.63,0,0,0.94,0,21.64,0,0,0,36.83,0,0,112.11,6.27,5.7,0,59.5,45.83,2.3,48.57,0,20,19.56,20.8,0,0,25.9,124.58,80.77,0

3,00:30-00:45,42.15,548.92,0,4.79,10.43,0,30.06,22.02,97.23,416.25,34.18,27.68,0,0,51.17,148.3,138.33,0,38.1,0,35,10.95,0,0,5.42,0,0,44.5,98.41,528.67,0,0,0,0,68.56,130.79,0,18.9,0,0,0,48.81,8.63,0,0,0.94,0,21.64,0,0,0,36.83,0,0,112.11,6.27,5.7,0,59.5,45.83,2.3,48.57,0,20,19.56,20.8,0,0,25.9,124.58,80.77,0

4,00:45-01:00,42.15,548.92,0,4.79,10.43,0,30.06,22.02,97.23,416.25,34.18,27.68,0,0,51.17,148.3,138.33,0,38.1,0,35,10.95,0,0,5.42,0,0,44.5,98.41,528.67,0,0,0,0,68.56,130.79,0,18.9,0,0,0,48.81,8.63,0,0,0.94,0,21.64,0,0,0,36.83,0,0,112.11,6.27,5.7,0,59.5,45.83,2.3,48.57,0,20,19.56,20.8,0,0,25.9,124.58,80.77,0

5,01:00-01:15,42.15,548.92,0,4.79,10.43,0,30.06,22.02,97.23,416.25,34.18,27.68,0,0,51.17,148.3,138.33,0,38.1,0,35,10.95,0,0,5.42,0,0,44.5,98.41,528.67,0,0,0,0,68.56,130.79,0,18.9,0,0,0,48.81,8.63,0,0,0.94,0,21.64,0,0,0,36.83,0,0,112.11,6.27,5.7,0,59.5,45.83,2.3,49.68,0,20,19.56,20.8,0,0,25.9,124.58,80.77,0

