Time,Block,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/2024/21152/A/26940,NR/2024/21500/A/27108,NR/2024/20711/A/27281,NR/2024/20966/A/26941,NR/2024/20573/A/27188,NR/2024/21072/A/27227,NR/2024/21160/A/27005,NR/2024/21062/A/27183,NR/2024/21023/A/26977,NR/2024/21183/A/27253,NR/2024/19779/A/27093,NR/2024/21531/C,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21199/A/26976,NR/2024/21144/A/26975,NR/2024/21173/A/27016,NR/2024/21540/C,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/15072024/15072024/IEX_240714_01531_1,NR/2024/21550/C,NR/2024/21113/A/27225,NR/2024/21096/A/27218,NR/2024/21089/A/27226,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/20574/A/27187,NR/2024/21227/A/27214,NR/2024/21210/A/26961,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/20877/A/27237,NR/2024/21158/A/27009,NR/2024/21150/A/27003,NR/2024/21141/A/26959,NR/30092023/31122025/SH-07,NR/2024/21243/A/26972,NR/2024/21186/A/27236,NR/2024/21108/A/27212,NR/01072024/15072024/NR/01072024/15072024/717759,NR/30092023/26122029/SH-06,NR/2024/21104/A/27213,NR/2024/21103/A/27215,NR/2024/21156/A/27007,NR/2024/21530/C,NR/2024/21099/A/26958,NR/2024/21529/C,NR/01072024/31072024/R2,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/20930/A/27163,NR/2024/21153/A/27008,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21087/A/27019,NR/2024/21148/A/27002,NR/2024/21159/A/27006,NR/2024/21146/A/27004,NR/2024/21142/A/26960,NR/2024/21238/A/27258,NR/2024/20688/A/27021,NR/2024/21075/A/27256,NR/2024/21076/A/27252,NR/2024/21528/C,NR/15072024/15072024/IEX_240714_01529,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21485/A/27280,NR/2024/21339/A/26963,NR/01102023/23072042/L_NR_2012_04,Total
,,SECI_Trader,SECI_Trader,IEXL,DIAPL,TPDDL,IEXL,PTC,NVVNL,BMDRC,PTC,INSTINCT,MANIKARAN,ITCLH,NVVNL,INSTINCT,INSTINCT,DTCP,GMRETL,IEXL,INSTINCT,IEXL,HPXL,NVVNL,APPCPL,NVVNL,TPTCL,PTC,APPCPL,TPTCL,MEJA,NDMC,NVVNL,MSSH,BAL234,TPTCL,BAWANA_GAS,BRPL,NVVNL,APPCPL,AEL,PUNJAB,APPCPL,APPCPL,UHL,NVVNL,TPTCL,NVVNL,PTC,NDMC,AEL,JHPL-DL,APPCPL,TPDDL,GMRETL,BAL224,MHIL,BAL184,TPTCL,MANIKARAN,GMRETL,MANIKARAN,MANIKARAN,NVVNL,IEXL,DELHI,TPDDL,TPTCL,TPTCL,Total

,,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,MAHARASHTRA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,NA,MP,ANDHRA PRADESH,NA,MAHARASHTRA,MAHARASHTRA,HIMACHAL PRADESH,ODISHA,NA,NA,NA,NA,NA,KERALA,NA,NA,HIMACHAL PRADESH,NAGALAND,NA,UTTAR PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,DELHI,NA,MP,MANIPUR,NA,DELHI,TAMIL NADU,UTTARAKHAND,HIMACHAL PRADESH,NA,NA,NA,NA,NA,NA,HIMACHAL PRADESH,ARUNACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,RAJASTHAN,GOA,MAHARASHTRA,NA,NA,MAHARASHTRA,NA,NA,NA,
,,SBSRPC11PL_BKN,SBSRPC11PL_BKN,NHCPL_HP,GBHHPL,JPL-2,A_A_Energy_MH_Bio,HP,RKM_POWER,SHPPBPL,SEILP2,JPL,BLAPOWER_MP,ITCWIND,TRN_ENERGY,JPL_DHULE,JPL_DHULE,SHPPBPL,GMRKEL (STU),RKM_POWER,JPL,RKM_POWER,SORANG_HEP,JPL-2,KSEB,RKM_POWER,JITPL,HP,Nagaland_Ben,SIMHAPURI,MEJA,SKS Raigarh,JPNIGRIE_JNSTPP,SHPPBPL,SHPPBPL,TPC MSEB,BAWANA_GAS,DADRT2,JP BINA,Manipur_Ben,APL_Raigarh TPP,BAWANA_GAS,TANGEDCO,UTTARAKHAND,SHPPBPL,SORANG_HEP,ACBIL,KAMENG,SEILP2,JITPL,APL_Raigarh TPP,SHPPBPL,Arunachal_Ben,CHANJUII,GBHHPL,SHPPBPL,SHPPBPL,SHPPBPL,HP-GOVT,MMS STEEL TN,RUVNL,GOA_Beneficiary,AEML,SOLAPUR_SOLAR,SINGOLI,MSEB_Beneficiary,JHAJJAR,JITPL,MPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,TPDDL,BYPL,MES (Delhi),DIAPL,TPDDL,MES (Delhi),BRPL,NDMC,BMDRC,BRPL,BRPL,BRPL,ITCLH,NDMC,BRPL,BRPL,DTCP,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,BYPL,NDMC,BRPL,BYPL,BYPL,BRPL,DELHI,NDMC,TPDDL,MSSH,BAL234,BYPL,HARYANA,BRPL,TPDDL,BRPL,BRPL,PUNJAB,BYPL,BYPL,UHL,TPDDL,BRPL,TPDDL,BRPL,NDMC,BRPL,JHPL-DL,BRPL,TPDDL,BRPL,BAL224,MHIL,BAL184,BRPL,BRPL,BYPL,BRPL,BYPL,MES (Delhi),BRPL,TPDDL,TPDDL,BRPL,TPDDL,
,,North-North,North-North,North-North,North-North,West-North,West-North,North-North,West-North,North-North,South-East-North,West-North,West-North,South-West-North,West-North,West-North,West-North,North-North,East-North,West-North,West-North,West-North,North-North,West-North,South-West-North,West-North,East-North,North-North,North East-East-North,South-West-North,North-North,West-North,West-North,North-North,North-North,West-North,North-North,North-North,West-North,North East-East-North,West-North,North-North,South-West-North,North-North,North-North,North-North,West-North,North East-East-North,South-West-North,East-North,West-North,North-North,North East-East-North,North-North,North-North,North-North,North-North,North-North,North-North,South-West-North,North-North,West-North,West-North,West-North,North-North,West-North,North-North,East-North,East-North,
1,00:00-00:15,0,0,1.920000,7.680000,96.040000,4.800000,54.020000,37.100000,0.970000,0.000000,0.000000,21.130000,0.620000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,144.060000,0.000000,37.100000,67.230000,37.100000,96.040000,18.010000,12.150000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,47.500000,32.000000,134.460000,48.020000,23.930000,192.080000,32.000000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,38.420000,12.650000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,0,0.000000,0.000000,240.100000,0.000000,0.000000,2439.36

2,00:15-00:30,0,0,1.920000,7.680000,96.040000,4.800000,54.020000,37.100000,0.970000,0.000000,0.000000,21.130000,0.620000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,144.060000,0.000000,37.100000,67.230000,37.100000,96.040000,18.010000,12.150000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,47.500000,32.000000,134.460000,48.020000,23.930000,192.080000,32.000000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,38.420000,12.650000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,0,0.000000,0.000000,240.100000,0.000000,0.000000,2439.36

