Column1,Time,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/01/01/3733,NR/01102023/31052040/LT-31,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/01/01/6528,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_07,NR/01102023/05012040/L_NR_2020_02,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/7459,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/01/01/3925,NR/01102023/30042040/GNA_LT_35,GNA/WR/2025/01/01/8625,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/8738,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/5531,NR/01102023/22052037/LT-59,GNA/NR/2025/01/01/8058,GNARE/SR/2025/01/13/4532,NR/01102023/02122045/L_NR_2021_13,GNARE/NR/2024/12/20/3668,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,L_NR_2019_19
1,00:00-00:15,69.87,0,25.23,20.12,0,189.68,8.62,1.37,99.8,0.99,59.23,1.38,0,0,25.87,25.87,0,0,0,0,0,12.83,50,12.83,50,0,11.33,0,38.51,64.19,47.9,0,0,0,47.9,47.9,0,19.16,25.87,28.74,0,26.82,22.81,0,0,0,0,0,0

2,00:15-00:30,69.87,0,25.23,20.12,0,170.52,8.62,1.37,99.8,0.99,59.23,1.38,0,0,25.87,25.87,0,0,0,0,0,12.83,50,12.83,50,0,11.67,0,38.51,64.19,47.9,0,0,0,47.9,47.9,0,19.16,25.87,28.74,0,26.82,22.61,0,0,0,0,0,0

3,00:30-00:45,69.87,0,25.23,20.12,0,155.73,8.62,1.37,99.8,0.99,59.23,1.38,0,0,25.87,25.87,0,0,0,0,0,12.83,50,12.83,50,0,11.67,0,38.51,64.19,47.9,0,0,0,47.9,47.9,0,19.16,25.87,28.74,0,26.82,25.61,0,0,0,0,0,0

4,00:45-01:00,69.87,0,25.23,20.12,0,155.73,8.62,1.37,99.8,0.99,59.23,1.38,0,0,25.87,25.87,0,0,0,0,0,12.83,49,12.83,49,0,11.67,0,38.51,64.19,47.9,0,0,0,47.9,47.9,0,19.16,25.87,28.74,0,26.82,25.01,0,0,0,0,0,0

5,01:00-01:15,69.87,0,25.23,20.12,0,155.73,8.62,1.37,99.8,0.99,59.23,1.38,0,0,25.87,25.87,0,0,0,0,0,13,48.66,13,48.67,0,10,0,39,64.19,47.9,0,0,0,47.9,47.9,0,19.16,25.87,28.74,0,26.82,27.41,0,0,0,0,0,0

6,01:15-01:30,69.87,0,25.74,20.12,0,155.73,8.62,1.37,99.8,0.99,59.23,1.38,0,0,25.87,25.87,0,0,0,0,0,13,48.66,13,48.67,0,10,0,39,64.19,47.9,0,0,0,47.9,47.9,0,19.16,25.87,28.74,0,26.82,26.61,0,0,0,0,0,0

7,01:30-01:45,69.87,0,25.74,20.12,0,155.73,8.62,1.37,99.8,0.99,59.23,1.38,0,0,25.87,25.87,0,0,0,0,0,11.33,47.66,11.33,47.67,0,10,0,34.01,64.19,47.9,0,0,0,47.9,47.9,0,19.16,25.87,28.74,0,26.82,26.41,0,0,0,0,0,0

8,01:45-02:00,69.87,0,25.74,20.12,0,155.73,8.62,1.37,99.8,0.99,59.23,1.38,0,0,25.87,25.87,0,0,0,0,0,11.5,47,11.5,47,0,10,0,34.5,64.19,47.9,0,0,0,47.9,47.9,0,19.16,25.87,28.74,0,26.82,26.01,0,0,0,0,0,0

9,02:00-02:15,69.87,0,25.23,20.12,0,163.59,8.62,1.37,52.69,0.99,59.23,1.38,0,0,23.95,23.95,0,0,0,0,0,11.83,46.34,11.83,46.33,0,8,0,35.51,64.19,47.9,0,0,0,47.9,47.9,0,19.16,23.95,28.74,0,26.82,32.02,0,0,0,0,0,0

10,02:15-02:30,69.87,0,24.73,20.12,0,163.59,8.62,1.37,52.69,0.99,59.23,1.38,0,0,23.95,23.95,0,0,0,0,0,12.17,46.66,12.17,46.67,0,8.33,0,36.49,64.19,47.9,0,0,0,47.9,47.9,0,19.16,23.95,28.74,0,26.82,31.62,0,0,0,0,0,0

11,02:30-02:45,69.87,0,24.73,20.12,0,163.59,8.62,1.37,52.69,0.99,59.23,1.38,0,0,23.95,23.95,0,0,0,0,0,9.83,38.34,9.83,38.33,0,8.67,0,29.51,64.19,47.9,0,0,0,47.9,47.9,0,19.16,23.95,28.74,0,26.82,22.41,0,0,0,0,0,0

12,02:45-03:00,69.87,0,24.73,20.12,0,163.59,8.62,1.37,52.69,0.99,59.23,1.38,0,0,23.95,23.95,0,0,0,0,0,10,38.34,10,38.33,0,8.67,0,30,64.19,47.9,0,0,0,47.9,47.9,0,19.16,23.95,28.74,0,26.82,22.21,0,0,0,0,0,0

13,03:00-03:15,69.87,0,24.73,20.12,0,163.59,8.62,1.37,52.69,0.99,59.23,1.38,0,0,23.95,23.95,0,0,0,0,0,10.17,38.34,10.17,38.33,0,9,0,30.49,64.19,47.9,0,0,0,47.9,47.9,0,19.16,23.95,28.74,0,26.82,22.01,0,0,0,0,0,0

14,03:15-03:30,69.87,0,24.73,20.12,0,163.59,8.62,1.37,52.69,0.99,59.23,1.38,0,0,23.95,23.95,0,0,0,0,0,10.33,38.34,10.33,38.33,0,9,0,31.01,64.19,47.9,0,0,0,47.9,47.9,0,19.16,23.95,28.74,0,26.82,21.61,0,0,0,0,0,0

15,03:30-03:45,69.87,0,25.23,20.12,0,163.59,8.62,1.37,52.69,0.99,59.23,1.38,0,0,23.95,23.95,0,0,0,0,0,10.5,48.34,10.5,48.33,0,9,0,31.5,64.19,47.9,0,0,0,47.9,47.9,0,19.16,23.95,28.74,0,26.82,21.01,0,0,0,0,0,0

16,03:45-04:00,69.87,0,25.23,20.12,0,163.59,8.62,1.37,52.69,0.99,59.23,1.38,0,0,23.95,23.95,0,0,0,0,0,10.67,48.34,10.67,48.33,0,9.33,0,31.99,64.19,47.9,0,0,0,47.9,47.9,0,19.16,23.95,28.74,0,26.82,20.8,0,0,0,0,0,0

17,04:00-04:15,69.87,0,25.23,20.12,0,163.59,8.62,1.28,52.69,0.99,59.23,1.38,0,0,23.95,23.95,0,0,0,0,0,11.33,48.34,11.33,48.33,0,9.33,0,34.01,64.19,47.9,0,0,0,47.9,47.9,0,19.16,23.95,28.74,0,26.82,23.81,0,0,0,0,0,0

18,04:15-04:30,69.87,0,25.23,20.12,0,163.59,8.62,1.28,52.69,0.99,59.23,1.38,0,0,23.95,23.95,0,0,0,0,0,11.33,48.34,11.33,48.33,0,9.33,0,34.01,64.19,47.9,0,0,0,47.9,47.9,0,19.16,23.95,28.74,0,26.82,23.81,0,0,0,0,0,0

19,04:30-04:45,69.87,0,0,20.12,0,163.59,8.62,1.28,52.69,0.99,59.23,1.38,0,0,23.95,23.95,0,0,0,0,0,17.5,61.34,17.5,61.33,0,9,0,52.5,64.19,47.9,0,0,0,47.9,47.9,0,19.16,23.95,28.74,0,26.82,23.61,0,0,0,0,0,0

20,04:45-05:00,69.87,0,0,20.12,0,163.59,8.62,1.28,52.69,0.99,59.23,1.38,0,0,23.95,23.95,0,0,0,0,0,18,61.34,18,61.33,0,9,0,54,64.19,47.9,0,0,0,47.9,47.9,0,19.16,23.95,28.74,0,26.82,23.41,0,0,0,0,0,0

21,05:00-05:15,69.87,0,0,20.12,0,163.59,8.62,1.37,66.1,0.99,59.23,1.38,0,0,23.95,23.95,0,0,0,0,0,18.5,62,18.5,62,0,12.33,0,55.5,64.19,47.9,0,0,0,47.9,47.9,0,19.16,23.95,28.74,0,26.82,23.01,0,0,0,0,0,0

22,05:15-05:30,69.87,0,0,20.12,0,163.59,8.62,1.37,66.1,0.99,59.23,1.38,0,0,23.95,23.95,0,0,0,0,0,18.83,62.66,18.83,62.67,0,12.67,0,56.51,64.19,47.9,0,0,0,47.9,47.9,0,19.16,23.95,28.74,0,26.82,22.81,0,0,0,0,0,0

