Time,Block,NR/2023/17851/C,WR/2023/17681/A,WR/2023/17681/A/II,WR/2023/19090/A,NR/2023/17404/F,NR/2023/14875/A,NR/2023/17344/F,NR/2023/17263/F,NR/2023/17402/F,NR/2023/17165/A,NR/2023/17496/F,NR/2023/17852/C,Total
,,NVVNL,MANIKARAN,MANIKARAN,TPTCL,MANIKARAN,APPCPL,ITCLH,APPCPL,MANIKARAN,NVVNL,IEXL,TPDDL,Total

,,NA,DELHI,DELHI,DELHI,DELHI,DELHI,ANDHRA PRADESH,DELHI,DELHI,NA,KARNATAKA,HIMACHAL PRADESH,
,,SOLAPUR_SOLAR,BYPL,BYPL,BYPL,BRPL,BYPL,ITCWIND,BRPL,BRPL,SKS Raigarh,NSLSUGAR,CHANJUII,
,,DELHI,MAHARASHTRA,MAHARASHTRA,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,DELHI,DELHI,
,,MES (Delhi),AEML,AEML,TPC MSEB,HP,HP,ITCLH,HP,HP,NDMC,MES (Delhi),TPDDL,
,,West-North,North-West,North-East-West,North-West,North-North,North-North,South-West-North,North-North,North-North,West-North,South-East-North,North-North,
1,00:00-00:15,0,100.000000,0.000000,0.000000,20.400000,42.710000,0.580000,99.420000,0.000000,33.830000,6.770000,5.070000,308.78

2,00:15-00:30,0,100.000000,0.000000,0.000000,20.400000,42.710000,0.580000,99.420000,0.000000,33.830000,6.770000,5.070000,308.78

3,00:30-00:45,0,100.000000,0.000000,0.000000,20.400000,42.710000,0.580000,99.420000,0.000000,33.830000,6.770000,5.070000,308.78

4,00:45-01:00,0,100.000000,0.000000,0.000000,20.400000,42.710000,0.580000,99.420000,0.000000,33.830000,6.770000,5.070000,308.78

5,01:00-01:15,0,100.000000,0.000000,0.000000,20.400000,42.710000,0.530000,99.420000,0.000000,33.830000,6.770000,4.990000,308.65

6,01:15-01:30,0,100.000000,0.000000,0.000000,20.400000,42.710000,0.530000,99.420000,0.000000,33.830000,6.770000,4.990000,308.65

7,01:30-01:45,0,100.000000,0.000000,0.000000,20.400000,42.710000,0.530000,99.420000,0.000000,33.830000,6.770000,4.990000,308.65

8,01:45-02:00,0,100.000000,0.000000,0.000000,20.400000,42.710000,0.530000,99.420000,0.000000,33.830000,6.770000,4.990000,308.65

9,02:00-02:15,0,100.000000,0.000000,0.000000,20.400000,42.710000,0.530000,99.420000,0.000000,33.830000,6.770000,4.890000,308.55

10,02:15-02:30,0,100.000000,0.000000,0.000000,20.400000,42.710000,0.530000,99.420000,0.000000,33.830000,6.770000,4.890000,308.55

11,02:30-02:45,0,100.000000,0.000000,0.000000,20.400000,42.710000,0.530000,99.420000,0.000000,33.830000,6.770000,4.890000,308.55

12,02:45-03:00,0,100.000000,0.000000,0.000000,20.400000,42.710000,0.530000,99.420000,0.000000,33.830000,6.770000,4.890000,308.55

13,03:00-03:15,0,100.000000,0.000000,0.000000,20.400000,42.710000,0.530000,99.420000,0.000000,33.830000,6.770000,4.790000,308.45

14,03:15-03:30,0,100.000000,0.000000,0.000000,20.400000,42.710000,0.530000,99.420000,0.000000,33.830000,6.770000,4.790000,308.45

15,03:30-03:45,0,100.000000,0.000000,0.000000,20.400000,42.710000,0.530000,99.420000,0.000000,33.830000,6.770000,4.790000,308.45

