Block,Time,RAMPUR,CHAMERA1,RIHAND1,DULHASTI,RAPPC,RAPPB,BSIUL,CHAMERA3,SINGRAULI,TANAKPUR,DADRI_LF,UNCHAHAR3,URI,DADRT2,JHAJJAR,KOLDAM,ANTA_LF,SINGRAULI_HYDRO,AURY_GF,DADRI_RF,UNCHAHAR2,RIHAND3,DADRI_GF,SEWA2,UNCHAHAR1,UNCHAHAR4,PARBATI3,URI2,CHAMERA2,TEHRI,TANDA2,ANTA_CRF,KOTESHWR,RIHAND2,AURY_CRF,ANTA_RF,AURY_RF,NJPC,SALAL,KISHANGANGA,DADRI_CRF,NAPP,ANTA_GF,DHAULIGNGA,AURY_LF,KHSTPP-II,FSTPP I & II,TALA,BRBCL,KHSTPP-I,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,93.406640,18.983470,66.242257,0.000000,12.551236,0.000000,144.349365,0.000000,0.000000,26.599755,33.999667,487.333568,645.554356,0.000000,0.000000,0.729511,0.000000,0.000000,43.218136,125.670288,0.000000,18.093714,21.779112,2.973816,0.000000,37.216313,3.936929,0.000000,5.156625,0.000000,19.970412,59.851752,0.000000,0.000000,0.000000,0.000000,25.721102,5.287146,0.000000,47.392114,0.000000,0.000000,0.000000,142.723920,20.017920,0.000000,19.247937,44.654475,403.024248,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,93.406640,18.983470,66.242257,0.000000,12.551236,0.000000,143.866385,0.000000,0.000000,26.599755,33.999667,487.333568,649.444679,0.000000,0.000000,0.729511,0.000000,0.000000,43.218136,125.670288,0.000000,18.093714,21.779112,2.973816,0.000000,37.216313,3.936929,0.000000,5.156625,0.000000,19.970412,59.851752,0.000000,0.000000,0.000000,0.000000,25.721102,5.287146,0.000000,47.392114,0.000000,0.000000,0.000000,142.723920,20.017920,0.000000,18.970957,44.654475,403.024248,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,93.406640,18.983470,66.242257,0.000000,12.551236,0.000000,143.866385,0.000000,0.000000,26.599755,33.999667,474.852269,649.444679,0.000000,0.000000,0.729511,0.000000,0.000000,43.218136,125.670288,0.000000,18.093714,21.779112,2.973816,0.000000,37.216313,3.936929,0.000000,5.156625,0.000000,19.970412,59.851752,0.000000,0.000000,0.000000,0.000000,25.721102,5.287146,0.000000,47.392114,0.000000,0.000000,0.000000,142.723920,20.017920,0.000000,16.277632,44.654475,403.024248,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,93.406640,18.983470,66.242257,0.000000,12.551236,0.000000,143.866385,0.000000,0.000000,26.599755,33.999667,419.585452,649.444679,0.000000,0.000000,0.729511,0.000000,0.000000,43.218136,125.670288,0.000000,18.093714,21.779112,2.973816,0.000000,37.216313,3.936929,0.000000,5.156625,0.000000,19.970412,59.851752,0.000000,0.000000,0.000000,0.000000,25.721102,5.287146,0.000000,47.392114,0.000000,0.000000,0.000000,142.723920,20.017920,0.000000,14.988403,44.654475,403.024248,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,93.406640,18.983470,66.242257,0.000000,12.551236,0.000000,143.866385,0.000000,0.000000,21.609345,33.999667,387.134254,641.600706,0.000000,0.000000,0.729511,0.000000,0.000000,43.218136,125.670288,0.000000,18.093714,15.072628,2.520044,0.000000,37.216313,3.936929,0.000000,5.156625,0.000000,19.970412,59.851752,0.000000,0.000000,0.000000,0.000000,25.721102,5.287146,0.000000,47.392114,0.000000,0.000000,0.000000,142.723920,20.017920,0.000000,14.955325,44.654475,403.024248,0,0,0,0,0

