Column1,Block,GNA/NR/2024/09/23/7704,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/23/4543,NR/2024/23248/C,GNARE/SR/2024/09/23/7579,NR/2024/23118/A/38598,NR/2024/21658/A/38351,NR/2024/22754/A/38558,NR/2024/22803/A/38604,NR/2024/22820/A/38332,NR/2024/23254/C,NR/2024/23119/A/38600,NR/2024/23121/A/38601,NR/2024/23217/A/38545,NR/2024/23122/A/38599,NR/2024/23271/C,NR/2024/23257/C,NR/2024/23258/C,NR/2024/22874/A/38603,NR/2024/22848/A/38575,NR/2024/23038/A/38328,NR/2024/22835/A/38630,GNA/NR/2024/09/01/7908,NR/2024/23213/A/38543,NR/2024/23214/A/38541,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/16/2535,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,Total
,,IEXL,DELHI,INSTINCT,HPXL,TPDDL,HPXL,NVVNL,ITCLH,PTC,NVVNL,IEXL,NVVNL,NVVNL,NVVNL,DIAPL,NVVNL,DIAPL,HPXL,HPXL,NVVNL,APPCPL,IEXL,MANIKARAN,MANIKARAN,SJVNL,SJVNL,APPCPL,TPTCL,JITPL,MANIKARAN,PTC,DELHI,BAWANA_GAS,PUNJAB,
,,NA,NA,NA,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,HIMACHAL_STATE,NA,KARNATAKA_STATE,NA,NA,NA,HIMACHAL_STATE,NA,HIMACHAL_STATE,GEB_State,GEB_State,MP_State,UTTARAKHAND_STATE,MSEB_State,MSEB_State,MP_State,NA,NA,Arunachal_State,NA,NA,ODISHA_STATE,HIMACHAL_STATE,HIMACHAL_STATE,DELHI_UT,DELHI_UT,
,,SINGOLI,SKS_Raigarh,JPL2,JHABUA_IPP,JHAJJAR,HIRIYUR_OSTROKANNADA,TRN_ENERGY,ITCWIND,HP,JPNIGRIE_JNSTPP,NSLSUGAR,SORANG_HEP,RKM_POWER,RKM_POWER,GBHHPL,JPL2,GBHHPL,UNOSUGEN,SUGEN_GUVNL,JP_BINA,UTTARAKHAND,A_A_Energy_MH_Bio,AEML,BLAPOWER_MP,TPSL_BKN2,RSRPL_BKN,Arunachal_Ben,JITPL,JITPL,MAADURGA_THERMAL,HP,CHANJUII,BAWANA_GAS,BAWANA_GAS,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,PUNJAB_STATE,
,,BRPL,NDMC,BRPL,BRPL,TPDDL,BRPL,NDMC,ITCLH,BYPL,TPDDL,MES_Delhi,TPDDL,NDMC,NDMC,DIAPL,NDMC,DIAPL,BRPL,BRPL,TPDDL,BYPL,MES_Delhi,BYPL,BRPL,NDMC,NDMC,BRPL,BRPL,NDMC,BRPL,BRPL,TPDDL,HARYANA,PUNJAB,
,,North-North,West-North,West-North,West-North,North-North,South-East-North,West-North,South-West-North,North-North,West-North,South-West-North,North-North,West-North,West-North,North-North,West-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,North-North,North-North,North East-East-North,East-North,East-North,East-North,North-North,North-North,North-North,North-North,
1,00:00-00:15,0,8.8,96.77,0,176.12,0,8.8,0.87,54.43,96.77,4.84,30,26.39,26.39,6.77,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,32.9,24.19,17.5,2.42,145.16,10.71,31.5,31.5,1108.56

2,00:15-00:30,0,8.8,96.77,0,176.12,0,8.8,0.87,54.43,96.77,4.84,30,26.39,26.39,6.77,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,32.9,24.19,17.5,2.42,145.16,10.71,31.5,31.5,1108.56

3,00:30-00:45,0,8.8,96.77,0,176.12,0,8.8,0.87,54.43,96.77,4.84,30,26.39,26.39,6.77,26.39,0,0,0,48.38,84.36,3.87,90.96,21.77,0,0,32.9,24.19,17.5,2.42,145.16,10.71,31.5,31.5,1108.56

