Time,Block,NR/01102023/02012046/L_NR_2021_17,NR/2024/21441/C,NR/01102023/14082046/L_NR_2021_16,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/30092023/26122029/SH-06,NR/2024/21023/A/26306,NR/2024/20688/A/26391,NR/2024/21159/A/26182,NR/2024/21312/A/25994,NR/2024/21199/A/26304,NR/2024/21144/A/26302,NR/2024/21148/A/26183,NR/2024/21062/A/26210,NR/2024/21339/A/26123,NR/2024/21238/A/26438,NR/2024/21076/A/26432,NR/2024/21160/A/26190,NR/01102023/23072042/L_NR_2012_04,NR/2024/21376/A/26462,NR/2024/21186/A/26407,NR/10072024/10072024/IEX_240709_01453,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/20877/A/26408,NR/2024/20574/A/26366,NR/2024/21087/A/26389,NR/2024/21440/C,NR/2024/19779/A/26088,NR/2024/21141/A/26130,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/20711/A/26464,NR/2024/21183/A/26434,NR/2024/21096/A/26420,NR/2024/21150/A/26184,NR/2024/20966/A/26080,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21158/A/26193,NR/2024/21103/A/26417,NR/2024/21104/A/26415,NR/2024/21173/A/26387,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/15072024/NR/01072024/15072024/717759,NR/2024/21152/A/26079,NR/2024/21439/C,NR/2024/21108/A/26414,NR/2024/21210/A/26128,NR/30092023/31122025/SH-07,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21153/A/26187,NR/2024/21099/A/26131,NR/2024/21146/A/26185,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/R2,NR/2024/21243/A/26148,NR/2024/21113/A/26396,NR/2024/21469/C,NR/2024/20573/A/26367,NR/2024/21089/A/26397,NR/2024/21072/A/26398,NR/2024/21156/A/26186,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21142/A/26129,NR/2024/21227/A/26416,NR/2024/21075/A/26433,NR/2024/20930/A/26344,Total
,,SECI_Trader,NVVNL,SECI_Trader,TPDDL,PUNJAB,INSTINCT,GMRETL,MHIL,DIAPL,INSTINCT,DTCP,BAL224,PTC,TPTCL,MANIKARAN,MANIKARAN,BMDRC,TPTCL,TPDDL,NVVNL,IEXL,NDMC,NVVNL,PTC,GMRETL,NVVNL,ITCLH,TPTCL,TPTCL,NDMC,TPDDL,MANIKARAN,APPCPL,BAL234,IEXL,INSTINCT,MSSH,APPCPL,APPCPL,GMRETL,DELHI,AEL,IEXL,NVVNL,APPCPL,TPTCL,BAWANA_GAS,APPCPL,JHPL-DL,TPTCL,BAL184,MEJA,PTC,BRPL,NVVNL,PXIL,PTC,NVVNL,NVVNL,UHL,INSTINCT,TPTCL,APPCPL,MANIKARAN,AEL,Total

,,NA,NA,NA,HIMACHAL PRADESH,DELHI,NA,RAJASTHAN,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,TAMIL NADU,MAHARASHTRA,HIMACHAL PRADESH,NA,NA,MP,NA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,ANDHRA PRADESH,MAHARASHTRA,NA,NA,NA,MP,KERALA,HIMACHAL PRADESH,MAHARASHTRA,MAHARASHTRA,HIMACHAL PRADESH,UTTARAKHAND,TAMIL NADU,ODISHA,MAHARASHTRA,NA,HIMACHAL PRADESH,NA,MANIPUR,NA,DELHI,ARUNACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,UTTAR PRADESH,NA,NA,NA,NA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NAGALAND,GOA,NA,
,,SBSRPC11PL_BKN,SOLAPUR_SOLAR,SBSRPC11PL_BKN,CHANJUII,BAWANA_GAS,JPL,RUVNL,SHPPBPL,GBHHPL,JPL_DHULE,SHPPBPL,SHPPBPL,SEILP2,JITPL,MMS STEEL TN,AEML,SHPPBPL,MPL,JHAJJAR,JP BINA,RKM_POWER,SKS Raigarh,JPNIGRIE_JNSTPP,HP,GBHHPL,SORANG_HEP,ITCWIND,TPC MSEB,JITPL,JITPL,JPL-2,BLAPOWER_MP,KSEB,SHPPBPL,A_A_Energy_MH_Bio,JPL_DHULE,SHPPBPL,UTTARAKHAND,TANGEDCO,GMRKEL (STU),MSEB_Beneficiary,APL_Raigarh TPP,NHCPL_HP,KAMENG,Manipur_Ben,SIMHAPURI,BAWANA_GAS,Arunachal_Ben,SHPPBPL,ACBIL,SHPPBPL,MEJA,SEILP2,DADRT2,JPL-2,RGPPL-RLNG,HP,RKM_POWER,RKM_POWER,SHPPBPL,JPL,HP-GOVT,Nagaland_Ben,GOA_Beneficiary,APL_Raigarh TPP,
,,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,MES (Delhi),TPDDL,TPDDL,PUNJAB,BRPL,BYPL,MHIL,DIAPL,BRPL,DTCP,BAL224,BRPL,BRPL,BRPL,BYPL,BMDRC,TPDDL,TPDDL,TPDDL,BRPL,NDMC,TPDDL,BYPL,BRPL,TPDDL,ITCLH,BYPL,BRPL,NDMC,TPDDL,BRPL,BYPL,BAL234,MES (Delhi),BRPL,MSSH,BYPL,BYPL,BRPL,TPDDL,BRPL,MES (Delhi),TPDDL,BRPL,BRPL,HARYANA,BRPL,JHPL-DL,BRPL,BAL184,DELHI,BRPL,BRPL,NDMC,TPDDL,BRPL,NDMC,NDMC,UHL,BRPL,BRPL,BYPL,BRPL,BRPL,
,,North-North,West-North,North-North,North-North,North-North,West-North,North-North,North-North,North-North,West-North,North-North,North-North,South-East-North,East-North,South-West-North,West-North,North-North,East-North,North-North,West-North,West-North,West-North,West-North,North-North,North-North,North-North,South-West-North,West-North,East-North,East-North,West-North,West-North,South-West-North,North-North,West-North,West-North,North-North,North-North,South-West-North,East-North,West-North,West-North,North-North,North East-East-North,North East-East-North,South-West-North,North-North,North East-East-North,North-North,West-North,North-North,North-North,South-West-North,North-North,West-North,West-North,North-North,West-North,West-North,North-North,West-North,North-North,North East-East-North,West-North,West-North,
1,00:00-00:15,0,0,0,14.530000,31.030000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,18.060000,20.710000,27.940000,0.630000,47.640000,81.880000,15.320000,96.330000,18.010000,308.260000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,31.030000,32.750000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,12.190000,11.700000,0.000000,2435.11

2,00:15-00:30,0,0,0,14.530000,31.030000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,18.060000,20.710000,27.940000,0.630000,47.640000,81.880000,15.320000,96.330000,18.010000,308.260000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,31.030000,32.750000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,12.190000,11.700000,0.000000,2435.11
