Block,Time,BRBCL,CHAMERA1,MAPS,NAPP,PARBATI3,RIHAND1,SALAL,SIMHST2,TANAKPUR,DULHASTI,KKNPPU2,RAMPUR,RAPPB,RSTPSU7,TANDA2,ANTA_GF,KKNP,NLCEXP,NLCIIST2,NTPL,TEHRI,TelanganaSTPP,ANTA_LF,AURY_LF,CHAMERA2,CHAMERA3,DADRT2,FSTPP I & II,KOLDAM,NLCIIST1,RAPPC,SASAN,TALA,ANTA_CRF,DADRI_LF,KHSTPP-I,NLCTS2EXP,SINGRAULI,UNCHAHAR1,UNCHAHAR2,URI2,AURY_RF,DADRI_RF,BSIUL,DHAULIGNGA,KGSU1AND2,KGSU3AND4,KISHANGANGA,SEWA2,TALST2,UNCHAHAR3,UNCHAHAR4,URI,DADRI_CRF,DADRI_GF,JHAJJAR,KHSTPP-II,KOTESHWR,NJPC,NNTPP,RIHAND2,ANTA_RF,AURY_GF,KUDGI,RIHAND3,RSTPSU1TO6,SIMHST1,SINGRAULI_HYDRO,VALLURNTECL,AURY_CRF
1,00:00-00:15,15,42.15,0,45.23,33.73,66.87,76.69,0,10.76,36.23,0,3.54,0,0,0.33,0,0,0,0,0,67.72,0,0,0,44.22,32.08,686.07,14.3,5.35,0,60.23,382.5,9.7,0,0,32.17,0,116.85,20.96,43.71,36.05,77.94,76.64,13.04,40.4,0,0,2.88,11.58,0,27.05,1.62,42.5,0,0,413.81,98.87,38.64,167.1,0,121.71,31.1,0,0,127.6,0,0,0.82,0,0

2,00:15-00:30,15,42.15,0,45.23,33.73,66.87,76.69,0,10.76,36.23,0,3.54,0,0,2.61,0,0,0,0,0,67.72,0,0,0,44.22,32.08,686.07,14.3,5.35,0,60.23,382.5,9.7,0,0,32.17,0,116.85,20.96,43.71,36.05,77.94,76.64,13.04,40.4,0,0,2.88,11.58,0,27.05,1.62,42.5,0,0,413.81,98.87,38.64,167.1,0,121.71,31.1,0,0,127.6,0,0,0.82,0,0

3,00:30-00:45,15,42.15,0,45.23,33.73,66.87,76.69,0,10.76,36.23,0,3.54,0,0,2.61,0,0,0,0,0,67.72,0,0,0,44.22,32.08,686.07,14.3,5.35,0,60.23,382.5,9.7,0,0,32.17,0,116.85,20.96,43.71,36.05,77.94,76.64,13.04,40.4,0,0,2.88,11.58,0,27.05,1.62,36.43,0,0,413.81,98.87,38.64,167.1,0,121.71,31.1,0,0,127.6,0,0,0.82,0,0

4,00:45-01:00,15,42.15,0,45.23,33.73,66.87,76.69,0,10.76,36.23,0,3.54,0,0,2.61,0,0,0,0,0,67.72,0,0,0,44.22,32.08,686.07,14.3,5.35,0,60.23,382.5,9.7,0,0,32.17,0,116.85,20.96,43.71,36.05,77.94,76.64,13.04,40.4,0,0,2.88,11.58,0,27.05,1.62,36.43,0,0,413.81,98.87,38.64,167.1,0,121.71,31.1,0,0,127.6,0,0,0.82,0,0

5,01:00-01:15,15,42.15,0,45.23,33.73,66.87,76.69,0,10.76,36.23,0,3.54,0,0,2.61,0,0,0,0,0,67.72,0,0,0,44.22,32.08,686.07,14.3,5.35,0,60.23,382.5,9.85,0,0,32.17,0,116.85,20.96,43.71,36.05,77.94,76.64,13.04,40.4,0,0,2.88,11.58,0,27.05,1.62,36.43,0,0,413.81,98.87,38.64,167.1,0,121.71,31.1,0,0,127.6,0,0,0.82,0,0

6,01:15-01:30,15,42.15,0,45.23,33.73,66.87,76.69,0,10.76,36.23,0,3.54,0,0,2.61,0,0,0,0,0,67.72,0,0,0,44.22,32.08,686.07,14.3,5.35,0,60.23,382.5,9.85,0,0,32.17,0,116.85,20.96,43.71,36.05,77.94,76.64,13.04,40.4,0,0,2.88,11.58,0,27.05,1.62,36.43,0,0,413.81,98.87,38.64,167.1,0,121.71,31.1,0,0,127.6,0,0,0.82,0,0

7,01:30-01:45,15,42.15,0,45.23,30.92,66.87,76.69,0,9.48,36.23,0,3.54,0,0,2.61,0,0,0,0,0,67.72,0,0,0,44.22,32.08,686.07,14.3,5.35,0,60.23,382.5,9.85,0,0,32.17,0,116.85,20.96,43.71,22.16,77.94,76.64,13.04,40.4,0,0,2.88,11.58,0,27.05,1.62,42.5,0,0,413.81,98.87,38.64,167.1,0,121.71,31.1,0,0,127.6,0,0,0.82,0,0

8,01:45-02:00,15,42.15,0,45.23,30.92,66.87,76.69,0,9.48,36.23,0,3.54,0,0,2.61,0,0,0,0,0,67.72,0,0,0,44.22,32.08,686.07,14.3,5.35,0,60.23,382.5,9.85,0,0,32.17,0,116.85,20.96,43.71,22.16,77.94,76.64,13.04,40.4,0,0,2.88,11.58,0,27.05,1.62,42.5,0,0,413.81,98.87,38.64,167.1,0,121.71,31.1,0,0,127.6,0,0,0.82,0,0

9,02:00-02:15,15,42.15,0,45.23,30.92,66.87,76.69,0,9.48,36.23,0,3.54,0,0,2.61,0,0,0,0,0,67.72,0,0,0,44.22,32.08,686.07,14.3,5.35,0,60.23,382.5,9.85,0,0,32.17,0,116.85,20.96,43.71,36.05,77.94,76.64,13.04,40.4,0,0,2.88,11.58,0,27.05,1.62,36.43,0,0,413.81,98.87,38.64,167.1,0,121.71,31.1,0,0,127.6,0,0,0.82,0,0

10,02:15-02:30,15,42.15,0,45.23,30.92,66.87,76.69,0,7.55,36.23,0,3.54,0,0,2.61,0,0,0,0,0,67.72,0,0,0,44.22,32.08,686.07,14.3,5.35,0,60.23,382.5,9.85,0,0,32.17,0,116.85,20.96,43.71,36.05,77.94,76.64,13.04,40.4,0,0,2.88,11.58,0,27.05,1.62,36.43,0,0,413.81,98.87,38.64,167.1,0,121.71,31.1,0,0,127.6,0,0,0.82,0,0

11,02:30-02:45,15,42.15,0,45.23,30.92,66.87,76.69,0,7.55,36.23,0,3.54,0,0,2.61,0,0,0,0,0,67.72,0,0,0,44.22,32.08,686.07,14.3,5.35,0,60.23,382.5,9.85,0,0,32.17,0,116.85,20.96,43.71,36.05,77.94,76.64,13.04,40.4,0,0,2.88,11.58,0,27.05,1.62,36.43,0,0,413.81,98.87,38.64,167.1,0,121.71,31.1,0,0,127.6,0,0,0.82,0,0

