Block,Time,LT-35,L_NR_2012_07,L_NR_2012_04,SH-07,LT-31,L_NR_2023_04,LT-36,L_NR_2019_11,L_NR_2020_02,LT-05,SH-06,L_NR_2012_01,LT-59,L_NR_2012_02,L_NR_2018_61,L_NR_2021_13,L_NR_2019_19,L_NR_2019_06,L_NR_2020_05,L_NR_2021_16,L_NR_2021_12,L_NR_2021_17,L_NR_2022_09,L_NR_2019_05,L_NR_2020_06,L_NR_2022_10,L_NR_2020_07,L_NR_2021_15,L_NR_2022_08,L_NR_2019_07,L_NR_2021_14
1,00:00-00:15,0.000000,74.030000,271.520000,26.070000,0.000000,31.860000,0.000000,0.000000,8.350000,115.890000,30.890000,101.130000,10.330000,261.240000,44.47,0,0,0,60.24,0,0,0,43.77,0,20.08,43.77,20.07,0,11.63,0,0

2,00:15-00:30,0.000000,74.030000,271.520000,26.070000,0.000000,31.860000,0.000000,0.000000,8.350000,115.890000,30.890000,101.130000,10.330000,261.240000,44.4,0,0,0,59.44,0,0,0,42.56,0,19.81,42.56,19.81,0,11.21,0,0

3,00:30-00:45,0.000000,74.030000,271.520000,26.070000,0.000000,31.860000,0.000000,0.000000,8.350000,115.890000,30.890000,101.130000,10.330000,261.240000,44.46,0,0,0,58.31,0,0,0,41.68,0,19.44,41.68,19.44,0,11,0,0

4,00:45-01:00,0.000000,74.030000,271.520000,26.070000,0.000000,31.860000,0.000000,0.000000,8.350000,115.890000,30.890000,101.130000,10.330000,261.240000,44.43,0,0,0,57.63,0,0,0,40.66,0,19.21,40.66,19.22,0,10.7,0,0

5,01:00-01:15,0.000000,74.030000,271.520000,26.070000,0.000000,31.860000,0.000000,0.000000,8.350000,115.890000,30.890000,101.130000,10.330000,261.240000,44.42,0,0,0,57.67,0,0,0,40.04,0,19.22,40.04,19.22,0,10.51,0,0

6,01:15-01:30,0.000000,74.030000,271.520000,26.070000,0.000000,31.860000,0.000000,0.000000,8.350000,115.890000,30.890000,101.130000,10.330000,261.240000,44.42,0,0,0,42.45,0,0,0,39.4,0,14.15,39.4,14.15,0,10.26,0,0

7,01:30-01:45,0.000000,74.030000,271.520000,26.070000,0.000000,31.860000,0.000000,0.000000,8.350000,115.890000,30.890000,101.130000,10.330000,261.240000,44.39,0,0,0,42.15,0,0,0,28.32,0,14.05,28.32,14.04,0,10.16,0,0

