Column1,Block,NR/30092023/31122025/SH-07,GNA/WR/2024/11/01/4200,GNA/NR/2024/11/01/5428,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/1868,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/3646,NR/2024/23908/C,GNA/NR/2024/11/01/9061,GNA/NR/2024/11/01/9042,WR/2024/24788/A/43001,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/5444,NR/30092023/26122029/SH-06,NR/2024/23769/A/42880,NR/2024/23809/A/42879,NR/2024/23420/A/42877,NR/2024/23919/C,NR/2024/23920/C,NR/2024/23926/C,Total
,,BAWANA_GAS,MANIKARAN,NDMC,APPCPL,PTC,NDMC,NDMC,PTC,DIAPL,NDMC,NDMC,APPCPL,DELHI,NDMC,PUNJAB,IEXL,IEXL,ITCLH,NVVNL,SJVNL,SJVNL,
,,DELHI_UT,DELHI_UT,NA,DELHI_UT,DELHI_UT,NA,NA,DELHI_UT,HIMACHAL_STATE,NA,NA,DELHI_UT,HIMACHAL_STATE,NA,DELHI_UT,KARNATAKA_STATE,KARNATAKA_STATE,ANDHRA_PRADESH_STATE,NA,NA,NA,
,,BAWANA_GAS,BRPL,RKM_POWER,BYPL,BRPL,SKS_Raigarh,TRN_ENERGY,BYPL,GBHHPL,JPL2,JITPL,BRPL,CHANJUII,RKM_POWER,BAWANA_GAS,NSLSUGAR,NSLSTUNGBHDRA,ITCWIND,SOLAPUR_SOLAR,TPSL_BKN2,RSRPL_BKN,
,,HARYANA_STATE,MSEB_State,DELHI_UT,MSEB_State,HIMACHAL_STATE,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,HARYANA,AEML,NDMC,AEML,HP,NDMC,NDMC,HP,DIAPL,NDMC,NDMC,GOA_Beneficiary,TPDDL,NDMC,PUNJAB,MES_Delhi,MES_Delhi,ITCLH,MES_Delhi,NDMC,NDMC,
,,North-North,North-West,West-North,North-West,North-North,West-North,West-North,North-North,North-North,West-North,East-North,North-West,North-North,West-North,North-North,South-West-North,South-West-North,South-West-North,West-North,North-North,North-North,
1,00:00-00:15,24.08,0,26.03,0,261.61,8.68,8.68,87.2,0,26.03,17.35,0,3.22,26.03,24.08,5.78,4.82,0.48,0,0,0,524.0700000000002

2,00:15-00:30,24.08,0,26.03,0,261.61,8.68,8.68,87.2,0,26.03,17.35,0,3.22,26.03,24.08,5.78,4.82,0.48,0,0,0,524.0700000000002

3,00:30-00:45,24.08,0,26.03,0,261.61,8.68,8.68,87.2,0,26.03,17.35,0,3.22,26.03,24.08,5.78,4.82,0.48,0,0,0,524.0700000000002

4,00:45-01:00,26.91,0,26.03,0,261.61,8.68,8.68,87.2,0,26.03,17.35,0,3.22,26.03,26.91,5.78,4.82,0.48,0,0,0,529.73

5,01:00-01:15,26.91,0,26.03,0,261.61,8.68,8.68,87.2,0,26.03,17.35,0,3.22,26.03,26.91,5.78,4.82,0.48,0,0,0,529.73

6,01:15-01:30,26.91,0,26.03,0,261.61,8.68,8.68,87.2,0,26.03,17.35,0,3.22,26.03,26.91,5.78,4.82,0.48,0,0,0,529.73

7,01:30-01:45,26.91,0,26.03,0,261.61,8.68,8.68,87.2,0,26.03,17.35,0,3.22,26.03,26.91,5.78,4.82,0.48,0,0,0,529.73

8,01:45-02:00,26.91,0,26.03,0,261.61,8.68,8.68,87.2,0,26.03,17.35,0,3.22,26.03,26.91,5.78,4.82,0.48,0,0,0,529.73

9,02:00-02:15,26.91,0,26.03,0,261.61,8.68,8.68,87.2,0,26.03,17.35,0,3.22,26.03,26.91,5.78,4.82,0.48,0,0,0,529.73

10,02:15-02:30,26.91,0,26.03,0,261.61,8.68,8.68,87.2,0,26.03,17.35,0,3.22,26.03,26.91,5.78,4.82,0.48,0,0,0,529.73

11,02:30-02:45,26.91,0,26.03,0,261.61,8.68,8.68,87.2,0,26.03,17.35,0,3.22,26.03,26.91,5.78,4.82,0.48,0,0,0,529.73

12,02:45-03:00,26.91,0,26.03,0,261.61,8.68,8.68,87.2,0,26.03,17.35,0,3.22,26.03,26.91,5.78,4.82,0.48,0,0,0,529.73

13,03:00-03:15,26.91,0,26.03,0,261.61,8.68,8.68,87.2,0,26.03,17.35,0,3.13,26.03,26.91,5.78,4.82,0.43,0,0,0,529.5899999999999

14,03:15-03:30,26.91,0,26.03,0,261.61,8.68,8.68,87.2,0,26.03,17.35,0,3.13,26.03,26.91,5.78,4.82,0.43,0,0,0,529.5899999999999

15,03:30-03:45,26.91,0,26.03,0,261.61,8.68,8.68,87.2,0,26.03,17.35,0,3.13,26.03,26.91,5.78,4.82,0.43,0,0,0,529.5899999999999

16,03:45-04:00,26.91,0,26.03,0,261.61,8.68,8.68,87.2,0,26.03,17.35,0,3.13,26.03,26.91,5.78,4.82,0.43,0,0,0,529.5899999999999

17,04:00-04:15,26.91,0,26.03,0,261.61,8.68,8.68,87.2,0,26.03,17.35,0,3.13,26.03,26.91,5.78,4.82,0.43,0,0,0,529.5899999999999

18,04:15-04:30,26.91,0,26.03,0,261.61,8.68,8.68,87.2,0,26.03,17.35,0,3.13,26.03,26.91,5.78,4.82,0.43,0,0,0,529.5899999999999

19,04:30-04:45,26.87,0,26.03,0,261.61,8.68,8.68,87.2,0,26.03,17.35,0,3.13,26.03,26.87,5.78,4.82,0.43,0,0,0,529.51

20,04:45-05:00,26.87,0,26.03,0,261.61,8.68,8.68,87.2,0,26.03,17.35,0,3.13,26.03,26.87,5.78,4.82,0.43,0,0,0,529.51

21,05:00-05:15,3,0,26.03,0,261.61,8.68,8.68,87.2,0,26.03,17.35,0,3.13,26.03,3,5.78,4.82,0.43,0,0,0,481.77

22,05:15-05:30,3,0,26.03,0,261.61,8.68,8.68,87.2,0,26.03,17.35,0,3.13,26.03,3,5.78,4.82,0.43,0,0,0,481.77

23,05:30-05:45,3,0,26.03,0,261.61,8.68,8.68,87.2,0,26.03,17.35,0,3.13,26.03,3,5.78,4.82,0.43,0,0,0,481.77

24,05:45-06:00,3,0,26.03,0,261.61,8.68,8.68,87.2,0,26.03,17.35,0,3.13,26.03,3,5.78,4.82,0.43,0,0,0,481.77

25,06:00-06:15,3,0,26.03,0,0,8.68,8.68,0,0,26.03,17.35,0,3.13,26.03,3,5.78,4.82,0.43,0,0,0,132.96

26,06:15-06:30,3,0,26.03,0,0,8.68,8.68,0,0,26.03,17.35,0,3.13,26.03,3,5.78,4.82,0.43,0,0,0,132.96

27,06:30-06:45,3,0,26.03,0,0,8.68,8.68,0,0,26.03,17.35,0,3.13,26.03,3,5.78,4.82,0.43,0,0,0,132.96

28,06:45-07:00,3,0,26.03,0,0,8.68,8.68,0,0,26.03,17.35,0,3.13,26.03,3,5.78,4.82,0.43,0.13,0,0,133.09

29,07:00-07:15,3,0,26.03,0,0,8.68,8.68,0,0,26.03,17.35,0,3.13,26.03,3,5.78,4.82,0.58,0.43,0,0,133.54000000000002

30,07:15-07:30,3,0,26.03,0,0,8.68,8.68,0,0,26.03,17.35,0,3.13,26.03,3,5.78,4.82,0.58,0.78,0,0,133.89000000000001

31,07:30-07:45,3,0,34.71,0,0,8.68,8.68,0,0,34.71,17.35,0,3.13,34.71,3,5.78,4.82,0.58,1.2,0,0,160.35

32,07:45-08:00,3,0,34.71,0,0,8.68,8.68,0,0,34.71,17.35,0,3.13,34.71,3,5.78,4.82,0.58,1.68,0,0,160.83

33,08:00-08:15,3,0,34.71,0,0,8.68,8.68,0,0,34.71,17.35,0,3.13,34.71,3,5.78,4.82,0.96,2.18,0,0,161.71

34,08:15-08:30,3,0,34.71,0,0,8.68,8.68,0,0,34.71,17.35,0,3.13,34.71,3,5.78,4.82,0.96,2.74,0,0,162.27

35,08:30-08:45,3,0,36.64,0,0,8.68,8.68,0,0,36.64,17.35,0,3.13,36.64,3,5.78,4.82,0.96,3.33,0,0,168.65

36,08:45-09:00,3,0,36.64,0,0,8.68,8.68,0,0,36.64,17.35,0,3.13,36.64,3,5.78,4.82,0.96,3.89,0,0,169.20999999999998

