Block,Time,JHAJJAR,KUDGI,NAPP,NJPC,RAPPD,RSTPSU7,SEWA2,TALA,AURY_GF,SIMHST1,TANAKPUR,URI,ANTA_CRF,CHAMERA3,KGSU3AND4,KKNP,PARBATI3,RSTPSU1TO6,SASAN,TALST2,URI2,ANTA_RF,DADRT2,DHAULIGNGA,FSTPP I & II,KKNPPU2,KOLDAM,RAMPUR,RIHAND2,UNCHAHAR2,VALLURNTECL,ANTA_GF,DADRI_LF,CHAMERA1,NLCIIST2,SALAL,SIMHST2,TEHRI,ANTA_LF,AURY_CRF,AURY_LF,DADRI_RF,BRBCL,BSIUL,KHSTPP-I,KISHANGANGA,NLCTS2EXP,RAPPC,TEHRIPSP,UNCHAHAR4,AURY_RF,DADRI_CRF,DADRI_GF,KGSU1AND2,MAPS,NNTPP,RIHAND3,SINGRAULI,TelanganaSTPP,UNCHAHAR1,CHAMERA2,DULHASTI,KHSTPP-II,KOTESHWR,NLCEXP,NLCIIST1,NTPL,PARBATI2,RAPPB,RIHAND1,SINGRAULI_HYDRO,TANDA2,UNCHAHAR3
1,00:00-00:15,447.13,0,24.76,181.16,25.64,0,12.62,1.76,0,0,3.07,51.34,0,35.09,0,0,73.77,0,413.44,0,38.16,49.95,550.85,43.85,15.6,0,10.65,7.04,96.8,45.12,0,0,0,42.15,0,85.41,0,18.82,0,0,0,76.68,20,13.04,45.83,8.71,0,68.22,49.91,2.48,78.22,0,0,0,0,0,92.37,155.58,0,21.83,48.9,58.79,148.3,7.54,0,0,0,52.78,0,64.81,1.16,3.48,27.99

2,00:15-00:30,447.13,0,24.76,181.16,25.64,0,6.31,1.76,0,0,3.07,51.34,0,35.09,0,0,73.77,0,413.44,0,38.16,49.95,550.85,43.85,15.6,0,10.65,7.04,96.8,45.12,0,0,0,42.15,0,85.41,0,18.82,0,0,0,76.68,20,13.04,45.83,8.71,0,68.22,49.91,2.48,78.22,0,0,0,0,0,92.37,155.58,0,21.83,48.9,58.79,148.3,7.54,0,0,0,52.78,0,64.81,1.16,3.48,27.99

3,00:30-00:45,447.13,0,24.76,181.16,25.64,0,6.31,2.35,0,0,3.07,51.34,0,35.09,0,0,78.39,0,413.44,0,38.16,49.95,550.85,43.85,15.6,0,10.65,7.04,96.8,45.12,0,0,0,42.15,0,85.41,0,18.82,0,0,0,76.68,20,13.04,45.83,8.71,0,68.22,49.91,2.48,78.22,0,0,0,0,0,92.37,155.58,0,21.83,48.9,58.79,148.3,7.54,0,0,0,52.78,0,64.81,1.16,3.48,27.99

4,00:45-01:00,447.13,0,24.76,181.16,25.64,0,6.31,2.35,0,0,3.07,51.34,0,35.09,0,0,78.39,0,413.44,0,38.16,49.95,550.85,43.85,15.6,0,10.65,7.04,96.8,45.12,0,0,0,42.15,0,85.41,0,18.82,0,0,0,76.68,20,13.04,45.83,8.71,0,68.22,49.91,2.48,78.22,0,0,0,0,0,92.37,155.58,0,21.83,48.9,58.79,148.3,7.54,0,0,0,52.78,0,64.81,1.16,3.48,27.99

5,01:00-01:15,447.13,0,24.76,181.16,25.64,0,6.31,2.35,0,0,2.44,51.34,0,35.09,0,0,78.39,0,413.44,0,38.16,51.27,550.85,43.85,15.6,0,10.65,7.04,96.8,45.12,0,0,0,42.15,0,85.41,0,18.82,0,0,0,76.68,20,13.04,45.83,8.71,0,68.22,49.91,2.48,78.22,0,0,0,0,0,92.37,155.58,0,21.83,48.9,58.79,148.3,7.54,0,0,0,52.78,0,64.81,1.16,3.48,27.99

6,01:15-01:30,447.13,0,24.76,181.16,25.64,0,6.31,2.35,0,0,2.44,51.34,0,35.09,0,0,78.39,0,413.44,0,38.16,51.27,550.85,43.85,15.6,0,10.65,7.04,96.8,45.12,0,0,0,42.15,0,85.41,0,18.82,0,0,0,76.68,20,13.04,45.83,8.71,0,68.22,49.91,2.48,78.22,0,0,0,0,0,92.37,155.58,0,21.83,48.9,58.79,148.3,7.54,0,0,0,52.78,0,64.81,1.16,3.48,27.99

7,01:30-01:45,447.13,0,24.76,181.16,25.64,0,6.31,2.35,0,0,2.44,51.34,0,35.09,0,0,76.85,0,413.44,0,38.16,51.27,550.85,43.85,15.6,0,10.65,7.04,96.8,45.12,0,0,0,42.15,0,85.41,0,18.82,0,0,0,76.68,20,13.04,45.83,8.71,0,68.22,49.91,2.48,78.22,0,0,0,0,0,92.37,155.58,0,21.83,48.9,58.79,148.3,7.54,0,0,0,52.78,0,64.81,1.16,3.48,27.99

