Column1,Block,NR/2025/25020/C,NR/2025/25021/C,NR/2025/24839/A/50881,NR/2025/24837/A/50877,NR/2025/24838/A/50879,NR/2024/24434/A/50816,NR/2024/24508/A/51135,NR/2024/24614/A/51134,NR/2024/24435/A/50815,NR/2024/24566/A/50807,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/7459,NR/2025/25015/C,GNA/NR/2025/01/01/3945,NR/2024/24507/A/51136,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/20/4168,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/20/4698,NR/2025/25016/C,SR/2024/15456/A/50819,GNA/NR/2025/01/01/8058,NR/2025/25017/C,GNA/NR/2025/01/20/9046,GNA/NR/2025/01/01/5531,WR/2024/25501/A/51113,GNA/NR/2025/01/20/5216,GNA/NR/2025/01/20/9333,NER/2024/2820/A/51110,NR/2024/24418/A/50849,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/01/6528,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/8738,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,Total
,,SJVNL,SJVNL,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,IEXL,NVVNL,NVVNL,IEXL,IEXL,HPXL,NDMC,NDMC,TPDDL,NDMC,NVVNL,IEXL,HPXL,HPXL,HPXL,NVVNL,IEXL,IEXL,NVVNL,HPXL,PXIL,APPCPL,HPXL,PXIL,APPCPL,ITCLH,TPTCL,NDMC,BAWANA_GAS,DELHI,IEXL,HPXL,IEXL,PUNJAB,APPCPL,MANIKARAN,
,,NA,NA,NA,NA,NA,NA,NA,NA,KARNATAKA_STATE,TELANGANA_State,NA,NA,NA,NA,NA,NA,ODISHA_STATE,MSEB_State,Meghalaya_State,TAMILNADU_State,NA,DELHI_UT,NA,NA,NA,NA,DELHI_UT,TELANGANA_State,NA,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,NA,DELHI_UT,HIMACHAL_STATE,NA,NA,MP_State,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPSL_BKN2,RSRPL_BKN,TCSPL_BKN2,TCSPL_BKN2,TCSPL_BKN2,TESPL_BKN2,TRN_ENERGY,TRN_ENERGY,NSLSUGARALAND,NSLKSLWPRTY,SKS_Raigarh,RKM_POWER,RKM_POWER,JHAJJAR,JPL2,JIPL,NBVLIPP,GRETAENERGY,Meghalaya_Ben,GAYATRIGREENTN,JIPL,BYPL,JPNIGRIE_JNSTPP,TRN_ENERGY,SIMHAPURI,JPNIGRIE_JNSTPP,BRPL,ZUARICEMCPP,SINGOLI,BYPL,ITCWIND,BYPL,SKS_Raigarh,BAWANA_GAS,CHANJUII,SKS_Raigarh,JPNIGRIE_JNSTPP,JP_BINA,BAWANA_GAS,BYPL,BRPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,Manipur_State,DELHI_UT,MSEB_State,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,MSEB_State,MSEB_State,
,,NDMC,NDMC,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,MES_Delhi,NDMC,NDMC,MES_Delhi,MES_Delhi,BRPL,NDMC,NDMC,TPDDL,NDMC,NDMC,BRPL,BRPL,BRPL,BRPL,NDMC,TANGEDCO,BRPL,NDMC,BRPL,BRPL,GOA_Beneficiary,BRPL,BRPL,Manipur_Ben,ITCLH,TPC_MSEB,NDMC,HARYANA,TPDDL,BRPL,BRPL,BRPL,PUNJAB,AEML,AEML,
,,North-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,South-West-North,South-West-North,West-North,West-North,West-North,North-North,West-North,East-North,East-North,West-North,North East-East-North,South-East-North,East-North,North-West-South,West-North,West-North,South-East-North,West-North,North-West,South-East-North,North-North,North-East-North East,South-West-North,North-West,West-North,North-North,North-North,West-North,West-North,West-North,North-North,North-West,North-West,
1,00:00-00:15,0,0,0,0,0,0,8.74,0,9.62,5.77,19.23,25,25,0,25,17.31,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.38,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,366.18999999999994

2,00:15-00:30,0,0,0,0,0,0,8.74,0,9.62,5.77,19.23,25,25,0,25,17.31,20.19,0,0,0,0,0,26.92,0,0,28.85,0,0,0,0,0.38,0,8.65,0,1.29,48.08,48.08,48.08,0,0,0,366.18999999999994

