Time,Block,NR/2024/19739/A/17826,NR/2024/20098/C,NR/2024/19172/A/18332,NR/2024/20088/C,NR/2024/19656/A/17827,NR/2024/19485/A/18303,NR/2024/19764/A/17815,NR/2024/20066/C,NR/2024/18935/A/17686,NR/2024/18996/A/18274,NR/2024/18919/A/18252,NR/2024/19075/A/17794,NR/2024/20089/C,NR/2024/19043/A/17752,NR/2024/20027/C,NR/2024/19726/A/17778,NR/2024/18978/A/17666,NR/2024/18855/A/17834,NR/2024/19290/A/18331,NR/2024/20065/C,NR/2024/19115/A/17792,NR/2024/19024/A/17831,NR/2024/18976/A/17670,NR/2024/20061/C,NR/2024/20070/C,NR/2024/20053/C,NR/2024/18977/A/17668,NR/2024/19121/A/17833,NR/2024/18936/A/17683,NR/2024/19727/A/17780,NR/2024/19484/A/18302,NR/2024/19469/A/17828,NR/2024/19337/A/17829,NR/2024/19143/A/17787,NR/2024/18934/A/17687,NR/2024/19245/A/17830,NR/2024/19787/A/17797,NR/2024/20029/C,NR/2024/18986/A/17820,NR/2024/19483/A/18301,NR/2024/19030/A/17758,NR/2024/20072/C,NR/2024/20026/C,Total
,,DIAPL,PXIL,TPDDL,HPXL,DIAPL,NVVNL,BRPL,IEXL,PXIL,PTC,APPCPL,IEXL,PXIL,IEXL,NVVNL,IEXL,PXIL,GMRETL,TPDDL,IEXL,IEXL,DIAPL,PXIL,IEXL,IEXL,PXIL,PXIL,GMRETL,PXIL,IEXL,NVVNL,DIAPL,DIAPL,IEXL,PXIL,DIAPL,IEXL,NVVNL,ITCLH,NVVNL,IEXL,IEXL,NVVNL,Total

,,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,NA,KARNATAKA,TAMIL NADU,MAHARASHTRA,NAGALAND,ODISHA,KERALA,NA,NA,HIMACHAL PRADESH,TAMIL NADU,RAJASTHAN,NA,KERALA,MAHARASHTRA,HIMACHAL PRADESH,ODISHA,NA,HIMACHAL PRADESH,KARNATAKA,NA,RAJASTHAN,TAMIL NADU,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,TAMIL NADU,HIMACHAL PRADESH,TELANGANA,NA,ANDHRA PRADESH,NA,NA,NA,NA,
,,GBHHPL,HP,JHAJJAR,SINGOLI,GBHHPL,RKM_POWER,DADRT2,PCKL,SAKTHISUGARS_ELMTN,JPL_DHULE,Nagaland_Ben,VSL,KSEB,MBMP,KAMENG,HP-GOVT,BIRLACARBONTN,RUVNL,JHAJJAR,KSEB,SWPL,GBHHPL,FACORPOWER,KWHEP,HP,PCKL,MEENAKSHI,RUVNL,SAKTHISUGARSLTD,SEIL,RKM_POWER,GBHHPL,GBHHPL,EDWPCL12,SAKTHISUGRAR_TN,GBHHPL,NAVABHARATVL,SORANG_HEP,ITCWIND,SKS Raigarh,JHABUA_IPP,CPTTNPL,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,DIAPL,BRPL,TPDDL,BYPL,DIAPL,NDMC,BRPL,BRPL,BRPL,BRPL,BYPL,BRPL,BRPL,BRPL,TPDDL,TPDDL,BRPL,BYPL,TPDDL,BRPL,BRPL,DIAPL,BRPL,BRPL,BRPL,BRPL,BRPL,BYPL,BRPL,TPDDL,NDMC,DIAPL,DIAPL,UPPCL,BRPL,DIAPL,BRPL,TPDDL,ITCLH,NDMC,BRPL,BYPL,MES (Delhi),
,,North-North,North-North,North-North,North-North,North-North,West-North,North-North,South-West-North,South-West-North,West-North,North East-East-North,East-North,South-West-North,West-East-North,North East-East-North,North-North,South-West-North,North-North,North-North,South-West-North,West-East-North,North-North,East-West-North,North-North,North-North,South-West-North,South-West-North,North-North,South-West-North,South-East-West-North,West-North,North-North,North-North,North-North,South-West-North,North-North,South-East-West-North,North-North,South-West-North,West-North,West-East-North,West-North,West-North,
1,00:00-00:15,0.970000,96.640000,115.970000,0.000000,0.000000,37.330000,0.000000,193.280000,0.000000,0.000000,9.660000,0.000000,289.920000,0.000000,111.430000,144.960000,0.000000,66.870000,67.650000,193.280000,0.000000,4.830000,0.000000,31.310000,96.640000,144.960000,0.000000,0.000000,0.000000,193.280000,37.330000,0.000000,1.930000,2.000000,0.000000,0.000000,0.000000,57.980000,0.530000,12.450000,0.000000,53.15,0,1964.35

2,00:15-00:30,0.970000,96.640000,115.970000,0.000000,0.000000,37.330000,0.000000,193.280000,0.000000,0.000000,9.660000,0.000000,289.920000,0.000000,111.430000,144.960000,0.000000,66.870000,67.650000,193.280000,0.000000,4.830000,0.000000,31.310000,96.640000,144.960000,0.000000,0.000000,0.000000,193.280000,37.330000,0.000000,1.930000,2.000000,0.000000,0.000000,0.000000,57.980000,0.530000,12.450000,0.000000,53.15,0,1964.35
