Block,Time,SASAN,FSTPP I & II,KHSTPP-II,TALA,BRBCL,KHSTPP-I,TANDA2,URI2,DADRI_CRF,KOTESHWR,CHAMERA2,ANTA_RF,RAPPB,KOLDAM,DADRI_RF,SEWA2,AURY_GF,AURY_LF,SALAL,SINGRAULI,RAPPC,RAMPUR,SINGRAULI_HYDRO,RIHAND2,DADRT2,PARBATI3,DULHASTI,ANTA_LF,UNCHAHAR1,ANTA_CRF,RIHAND1,KISHANGANGA,UNCHAHAR2,TANAKPUR,NAPP,JHAJJAR,ANTA_GF,DADRI_GF,TEHRI,BSIUL,CHAMERA3,UNCHAHAR3,CHAMERA1,URI,RIHAND3,AURY_CRF,AURY_RF,DADRI_LF,UNCHAHAR4,DHAULIGNGA,NJPC,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,403.108002,11.358680,78.163120,0.000000,19.252017,24.565552,0.000000,4.402624,0.000000,8.542112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.342249,120.890528,52.037578,0.000000,0.791825,113.707125,360.118286,0.000000,1.852524,0.000000,8.182100,0.000000,59.898363,0.000000,22.447832,1.726327,41.944717,231.986600,0.000000,0.000000,0.000000,0.000000,0.000000,14.872170,0.000000,2.125421,59.517558,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

2,00:15-00:30,403.108002,14.111716,78.163120,0.000000,19.187878,30.269438,0.000000,4.402624,0.000000,8.542112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.342249,120.890528,52.037578,0.000000,0.791825,113.707125,360.118286,0.000000,1.852524,0.000000,8.997615,0.000000,59.898363,0.000000,23.827838,1.726327,41.944717,231.986600,0.000000,0.000000,0.000000,0.000000,0.000000,18.382291,0.000000,2.125421,59.517558,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

3,00:30-00:45,403.108002,11.893425,78.163120,0.000000,16.632513,24.565552,0.000000,4.402624,0.000000,8.542112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.342249,120.890528,52.037578,0.000000,0.791825,113.707125,360.118286,0.000000,1.852524,0.000000,8.182100,0.000000,88.559200,0.000000,22.447832,1.726327,41.944717,231.986600,0.000000,0.000000,0.000000,0.000000,0.000000,14.872170,0.000000,2.550505,59.517558,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

4,00:45-01:00,403.108002,11.358680,78.163120,0.000000,14.202905,24.565552,0.000000,4.402624,0.000000,8.542112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.342249,120.890528,52.037578,0.000000,0.791825,113.707125,360.118286,0.000000,1.852524,0.000000,8.182100,0.000000,88.559200,0.000000,22.447832,1.726327,41.944717,231.986600,0.000000,0.000000,0.000000,0.000000,0.000000,14.872170,0.000000,2.550505,59.517558,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

5,01:00-01:15,403.108002,11.358680,78.163120,0.000000,14.460368,24.565552,0.000000,4.402624,0.000000,8.542112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.342249,120.890528,52.037578,0.000000,0.791825,113.707125,360.118286,0.000000,1.852524,0.000000,8.182100,0.000000,88.559200,0.000000,22.447832,1.726327,41.944717,231.986600,0.000000,0.000000,0.000000,0.000000,0.000000,14.872170,0.000000,2.550505,59.517558,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

6,01:15-01:30,403.108002,11.358680,78.163120,0.000000,14.135538,24.565552,0.000000,4.402624,0.000000,8.542112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.342249,120.890528,52.037578,0.000000,0.791825,113.707125,360.118286,0.000000,1.852524,0.000000,8.182100,0.000000,88.559200,0.000000,22.447832,1.726327,41.944717,231.986600,0.000000,0.000000,0.000000,0.000000,0.000000,14.872170,0.000000,2.550505,59.517558,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

7,01:30-01:45,403.108002,11.358680,78.163120,0.000000,15.044473,24.565552,0.000000,4.402624,0.000000,8.542112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.342249,120.890528,52.037578,0.000000,0.791825,113.707125,360.118286,0.000000,1.852524,0.000000,8.182100,0.000000,88.559200,0.000000,22.447832,0.000000,41.944717,231.986600,0.000000,0.000000,0.000000,0.000000,0.000000,14.872170,0.000000,2.550505,59.517558,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

8,01:45-02:00,403.108002,11.358680,78.163120,0.000000,14.925777,24.565552,0.000000,4.402624,0.000000,8.542112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.342249,120.890528,52.037578,0.000000,0.791825,113.707125,360.118286,0.000000,1.852524,0.000000,8.182100,0.000000,88.559200,0.000000,22.447832,0.000000,41.944717,231.986600,0.000000,0.000000,0.000000,0.000000,0.000000,14.872170,0.000000,2.550505,59.517558,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

9,02:00-02:15,403.108002,11.358680,78.163120,0.000000,13.762405,24.565552,0.000000,4.402624,0.000000,8.542112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.342249,120.890528,52.037578,0.000000,0.791825,113.707125,360.118286,0.000000,1.852524,0.000000,8.182100,0.000000,88.559200,0.000000,22.447832,0.000000,41.944717,231.986600,0.000000,0.000000,0.000000,0.000000,0.000000,14.872170,0.000000,2.550505,59.517558,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

