Time,Block,NR/2023/18171/C,NR/2023/17270/A,WR/2023/20256/A/1959,WR/2023/19446/A,WR/2023/20577/A/1953,NR/2023/18062/A/1901,NER/2023/1753/C,NR/2023/18172/C,NR/2023/17525/A,NR/2023/18105/A/1899,NR/2023/18074/A/1856,Total
,,NVVNL,GMRETL,MANIKARAN,MANIKARAN,APPCPL,IEXL,PXIL,TPDDL,APPCPL,IEXL,ITCLH,Total

,,NA,DELHI,DELHI,DELHI,DELHI,ANDHRA PRADESH,DELHI,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,ANDHRA PRADESH,
,,SOLAPUR_SOLAR,BYPL,BRPL,BYPL,BRPL,SNJSUGARLTDAP,BYPL,CHANJUII,BYPL,BSHP,ITCWIND,
,,DELHI,RAJASTHAN,GOA,MAHARASHTRA,GOA,DELHI,ARUNACHAL PRADESH,DELHI,HIMACHAL PRADESH,DELHI,DELHI,
,,MES (Delhi),RUVNL,GOA_Beneficiary,AEML,GOA_Beneficiary,MES (Delhi),Arunachal_Ben,TPDDL,HP,MES (Delhi),ITCLH,
,,West-North,North-North,North-West,North-West,North-West,South-East-North,North-East-North East,North-North,North-North,North-North,South-West-North,
1,00:00-00:15,0,0.000000,0.000000,75.000000,0.000000,4.800000,40.000000,1.920000,59.650000,0.960000,0.430000,182.76

2,00:15-00:30,0,0.000000,0.000000,75.000000,0.000000,4.800000,40.000000,1.920000,59.650000,0.960000,0.430000,182.76

3,00:30-00:45,0,0.000000,0.000000,75.000000,0.000000,4.800000,40.000000,1.920000,59.650000,0.960000,0.430000,182.76

4,00:45-01:00,0,0.000000,0.000000,75.000000,0.000000,4.800000,40.000000,1.920000,59.650000,0.960000,0.430000,182.76

5,01:00-01:15,0,0.000000,0.000000,75.000000,0.000000,4.800000,40.000000,1.920000,59.650000,0.960000,0.380000,182.71

6,01:15-01:30,0,0.000000,0.000000,75.000000,0.000000,4.800000,40.000000,1.920000,59.650000,0.960000,0.380000,182.71

7,01:30-01:45,0,0.000000,0.000000,75.000000,0.000000,4.800000,40.000000,1.920000,59.650000,0.960000,0.380000,182.71

8,01:45-02:00,0,0.000000,0.000000,75.000000,0.000000,4.800000,40.000000,1.920000,59.650000,0.960000,0.380000,182.71

9,02:00-02:15,0,0.000000,0.000000,75.000000,0.000000,4.800000,40.000000,1.920000,59.650000,0.960000,0.340000,182.67

10,02:15-02:30,0,0.000000,0.000000,75.000000,0.000000,4.800000,40.000000,1.920000,59.650000,0.960000,0.340000,182.67

11,02:30-02:45,0,0.000000,0.000000,75.000000,0.000000,4.800000,40.000000,1.920000,59.650000,0.960000,0.340000,182.67

12,02:45-03:00,0,0.000000,0.000000,75.000000,0.000000,4.800000,40.000000,1.920000,59.650000,0.960000,0.340000,182.67

13,03:00-03:15,0,0.000000,0.000000,75.000000,0.000000,4.800000,40.000000,1.920000,59.650000,0.960000,0.340000,182.67

14,03:15-03:30,0,0.000000,0.000000,75.000000,0.000000,4.800000,40.000000,1.920000,59.650000,0.960000,0.340000,182.67

15,03:30-03:45,0,0.000000,0.000000,75.000000,0.000000,4.800000,40.000000,1.920000,59.650000,0.960000,0.340000,182.67

16,03:45-04:00,0,0.000000,0.000000,75.000000,0.000000,4.800000,40.000000,1.920000,59.650000,0.960000,0.340000,182.67

17,04:00-04:15,0,0.000000,0.000000,75.000000,0.000000,4.800000,40.000000,1.920000,59.650000,0.960000,0.380000,182.71

18,04:15-04:30,0,0.000000,0.000000,75.000000,0.000000,4.800000,40.000000,1.920000,59.650000,0.960000,0.380000,182.71

19,04:30-04:45,0,0.000000,0.000000,75.000000,0.000000,4.800000,40.000000,1.920000,59.650000,0.960000,0.380000,182.71

20,04:45-05:00,0,0.000000,0.000000,75.000000,0.000000,4.800000,40.000000,1.920000,59.650000,0.960000,0.380000,182.71

21,05:00-05:15,0,0.000000,0.000000,75.000000,0.000000,4.800000,0.000000,1.920000,59.650000,0.960000,0.380000,142.71

22,05:15-05:30,0,0.000000,0.000000,75.000000,0.000000,4.800000,0.000000,1.920000,59.650000,0.960000,0.380000,142.71

23,05:30-05:45,0,0.000000,0.000000,75.000000,0.000000,4.800000,0.000000,1.920000,59.650000,0.960000,0.380000,142.71

24,05:45-06:00,0,0.000000,0.000000,75.000000,0.000000,4.800000,0.000000,1.920000,59.650000,0.960000,0.380000,142.71

25,06:00-06:15,0,100.000000,0.000000,75.000000,0.000000,4.800000,0.000000,1.920000,0.000000,0.960000,0.380000,183.06

26,06:15-06:30,0,100.000000,0.000000,75.000000,0.000000,4.800000,0.000000,1.920000,0.000000,0.960000,0.380000,183.06

27,06:30-06:45,0,100.000000,0.000000,75.000000,0.000000,4.800000,0.000000,1.920000,0.000000,0.960000,0.380000,183.06

28,06:45-07:00,0,100.000000,0.000000,75.000000,0.000000,4.800000,0.000000,1.920000,0.000000,0.960000,0.380000,183.06

29,07:00-07:15,0,100.000000,0.000000,75.000000,0.000000,4.800000,0.000000,1.920000,0.000000,0.960000,0.530000,183.21

30,07:15-07:30,0,100.000000,0.000000,75.000000,0.000000,4.800000,0.000000,1.920000,0.000000,0.960000,0.530000,183.21

31,07:30-07:45,0.35,100.000000,0.000000,75.000000,0.000000,4.800000,0.000000,1.920000,0.000000,0.960000,0.530000,183.56

32,07:45:08:00,0.56,100.000000,0.000000,75.000000,0.000000,4.800000,0.000000,1.920000,0.000000,0.960000,0.530000,183.77

33,08:00-08:15,0.62,50.000000,0.000000,75.000000,0.000000,4.800000,0.000000,1.920000,0.000000,0.960000,0.770000,134.07

34,08:15-08:30,0.61,50.000000,0.000000,75.000000,0.000000,4.800000,0.000000,1.920000,0.000000,0.960000,0.770000,134.06

35,08:30-08:45,0.84,50.000000,0.000000,75.000000,0.000000,4.800000,0.000000,1.920000,0.000000,0.960000,0.770000,134.29

36,08:45:09:00,1.02,50.000000,0.000000,75.000000,0.000000,4.800000,0.000000,1.920000,0.000000,0.960000,0.770000,134.47

37,09:00:09:15,1.17,50.000000,0.000000,75.000000,0.000000,4.800000,0.000000,1.920000,0.000000,0.960000,0.770000,134.62

38,09:15-09:30,1.94,50.000000,0.000000,75.000000,0.000000,4.800000,0.000000,1.920000,0.000000,0.960000,0.770000,135.39

39,09:30-09:45,1.47,50.000000,0.000000,75.000000,0.000000,4.800000,0.000000,1.920000,0.000000,0.960000,0.770000,134.92

40,09:45-10:00,1.74,50.000000,0.000000,75.000000,0.000000,4.800000,0.000000,1.920000,0.000000,0.960000,0.770000,135.19

41,10:00-10:15,2.31,50.000000,0.000000,75.000000,0.000000,4.800000,0.000000,1.920000,0.000000,0.960000,0.770000,135.76

42,10:15-10:30,1.67,50.000000,0.000000,75.000000,0.000000,4.800000,0.000000,1.920000,0.000000,0.960000,0.770000,135.12

43,10:30-10:45,1.57,50.000000,0.000000,75.000000,0.000000,4.800000,0.000000,1.920000,0.000000,0.960000,0.770000,135.02

44,10:45-11:00,0.95,50.000000,0.000000,75.000000,0.000000,4.800000,0.000000,1.920000,0.000000,0.960000,0.770000,134.4

45,11:00-11:15,0.65,100.000000,0.000000,75.000000,0.000000,4.800000,0.000000,1.920000,0.000000,0.960000,0.770000,184.1

46,11:15-11:30,0.82,100.000000,0.000000,75.000000,0.000000,4.800000,0.000000,1.920000,0.000000,0.960000,0.770000,184.27

