Block,Time,CHAMERA3,KOTESHWR,NTPL,RAPPC,TALA,TEHRI,AURY_CRF,DADRI_RF,BRBCL,JHAJJAR,KGSU1AND2,KGSU3AND4,NLCTS2EXP,SIMHST1,SINGRAULI_HYDRO,UNCHAHAR3,URI,DADRI_LF,DADRT2,KKNPPU2,RIHAND3,SIMHST2,TelanganaSTPP,ANTA_CRF,CHAMERA1,DHAULIGNGA,KHSTPP-II,KUDGI,NAPP,NLCEXP,PARBATI2,RIHAND1,RSTPSU1TO6,UNCHAHAR4,ANTA_GF,AURY_GF,AURY_RF,KHSTPP-I,KOLDAM,PARBATI3,RAMPUR,SASAN,SINGRAULI,UNCHAHAR2,VALLURNTECL,DADRI_CRF,CHAMERA2,FSTPP I & II,NJPC,NLCIIST2,RAPPD,RIHAND2,RSTPSU7,TANAKPUR,BSIUL,DULHASTI,KKNP,MAPS,NLCIIST1,SALAL,TALST2,TANDA2,UNCHAHAR1,URI2,ANTA_LF,ANTA_RF,AURY_LF,KISHANGANGA,NNTPP,RAPPB,SEWA2,DADRI_GF
1,00:00-00:15,11.69,10.44,0,68.9,7.2,28.23,0,76.68,20,670.85,0,0,0,0,1.13,27.99,51.89,0,272.03,0,92.37,0,0,0,42.15,0,148.3,0,25.29,0,11.31,64.81,0,2.48,0,0,80.92,45.83,9.69,16.9,5.8,418.77,155.58,45.12,0,0,32.6,20.8,144.71,0,25.84,96.8,0,2.44,6.52,58.79,0,0,0,51.13,0,6.87,21.83,38.16,0,49.95,0,8.76,0,0,12.62,0

2,00:15-00:30,11.69,10.44,0,68.9,7.2,28.23,0,76.68,20,670.85,0,0,0,0,1.13,27.99,51.89,0,287.92,0,92.37,0,0,0,42.15,0,148.3,0,25.29,0,11.31,64.81,0,2.48,0,0,80.92,45.83,9.69,16.9,4.04,418.77,155.58,45.12,0,0,32.6,20.8,100.96,0,25.84,96.8,0,2.44,6.52,58.79,0,0,0,51.13,0,6.87,21.83,38.16,0,49.95,0,8.76,0,0,6.31,0

3,00:30-00:45,11.69,10.44,0,68.9,7.79,28.23,0,76.68,20,670.85,0,0,0,0,1.13,27.99,51.89,0,287.92,0,92.37,0,0,0,28.1,0,148.3,0,25.29,0,11.31,64.81,0,2.48,0,0,80.92,45.83,7.26,16.9,3.14,418.77,155.58,45.12,0,0,32.6,18.2,78.53,0,25.84,96.8,0,2.44,6.52,58.79,0,0,0,51.13,0,6.87,21.83,38.16,0,49.95,0,8.76,0,0,6.31,0

4,00:45-01:00,11.69,10.44,0,68.9,7.79,28.23,0,76.68,20,670.85,0,0,0,0,1.13,27.99,51.89,0,287.92,0,92.37,0,0,0,28.1,0,148.3,0,25.29,0,11.31,64.81,0,2.48,0,0,80.92,45.83,7.26,16.9,3.14,418.77,155.58,45.12,0,0,32.6,18.2,78.53,0,25.84,96.8,0,2.44,6.52,58.79,0,0,0,51.13,0,6.87,21.83,38.16,0,49.95,0,8.76,0,0,6.31,0

5,01:00-01:15,11.69,10.44,0,68.9,7.79,28.23,0,76.68,20,670.85,0,0,0,0,1.13,27.99,52.44,0,287.92,0,62.53,0,0,0,28.1,0,148.3,0,25.29,0,11.31,64.81,0,2.48,0,0,80.92,45.83,7.26,16.9,3.14,418.77,155.58,45.12,0,0,32.6,18.2,78.53,0,25.84,96.8,0,1.41,6.52,58.79,0,0,0,51.13,0,6.87,21.83,38.16,0,51.27,0,8.76,0,0,6.31,0

