Block,Time Block,KKNPPU2,KOLDAM,KISHANGANGA,KHSTPP-I,KOTESHWR,KHSTPP-II,KKNP,CHAMERA2,KUDGI,MAPS,FSTPP I & II,DADRT2,DULHASTI,JHAJJAR,KGSU1AND2,CHAMERA3,DHAULIGNGA,CHAMERA1,BRBCL,BSIUL,SALAL,SASAN,RAPPC,RIHAND2,RSTPSU1TO6,RIHAND3,RSTPSU7,RAPPB,RIHAND1,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,NAPP,NTPL,PARBATI3,NNTPP,RAMPUR,KGSU3AND4,TALST2,SIMHST1,SINGRAULI_HYDRO,TANAKPUR,TelanganaSTPP,UNCHAHAR2,UNCHAHAR3,SIMHST2,TALA,SEWA2,SINGRAULI,TEHRI,UNCHAHAR1,TANDA2,URI2,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,URI,AURY_CRF,AURY_RF,DADRI_LF,VALLURNTECL,ANTA_CRF,UNCHAHAR4,ANTA_RF,AURY_LF,DADRI_GF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,37.67,8.52,122.71,0,0,0,0,12.54,312.14,0,228.48,0,0,0,0,19.05,6.26,12.83,388.8,24.85,114.01,0,59.67,0,0,88.32,0,0,0,0,0,19.68,0,0,0,0,0,0,0,0.72,2.46,0,22.38,13.94,0,0,15.18,134.1,0,13.14,0,31.9,0,0,0,0,0,34.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,0,37.67,8.52,122.71,0,0,0,0,12.54,312.14,0,228.48,0,0,0,0,19.2,6.26,12.83,388.8,24.85,114.01,0,59.67,0,0,88.32,0,0,0,0,0,19.68,0,0,0,0,0,0,0,0.72,2.46,0,22.38,13.94,0,0,15.18,134.1,0,13.28,0,31.9,0,0,0,0,0,34.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,0,37.67,8.52,122.71,0,0,0,0,12.54,312.14,0,228.48,0,0,0,0,16.39,6.26,12.83,388.8,24.85,114.01,0,59.67,0,0,88.32,0,0,0,0,0,19.68,0,0,0,0,0,0,0,0.72,7.5,0,22.38,13.94,0,0,15.18,134.1,0,13.28,0,31.9,0,0,0,0,0,34.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,0,37.67,8.52,122.71,0,0,0,0,12.54,312.14,0,228.48,0,0,0,0,14.97,6.26,12.83,388.8,24.85,114.01,0,59.67,0,0,88.32,0,0,0,0,0,19.68,0,0,0,0,0,0,0,0.72,7.5,0,22.38,13.94,0,0,15.18,134.1,0,13.28,0,31.9,0,0,0,0,0,34.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,0,37.67,8.52,122.71,0,0,0,0,12.54,312.14,0,228.48,0,0,0,0,14.53,6.26,12.83,388.8,24.85,114.01,0,59.67,0,0,88.32,0,0,0,0,0,19.68,0,0,0,0,0,0,0,0.72,7.5,0,22.38,13.94,0,0,15.18,134.1,0,13.28,0,31.9,0,0,0,0,0,34.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,0,0,37.67,8.52,122.71,0,0,0,0,12.54,312.14,0,228.48,0,0,0,0,12.37,6.26,12.83,388.8,24.85,114.01,0,59.67,0,0,88.32,0,0,0,0,0,19.68,0,0,0,0,0,0,0,0.72,7.5,0,22.38,13.94,0,0,15.18,134.1,0,13.28,0,31.9,0,0,0,0,0,34.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,0,0,37.67,8.52,122.71,0,0,0,0,12.54,312.14,0,228,0,0,0,0,14.14,6.26,15.62,388.8,24.85,114.01,0,59.67,0,0,88.32,0,0,0,0,0,19.68,0,0,0,0,0,0,0,0.72,7.5,0,22.38,13.94,0,0,15.18,134.1,0,13.28,0,29.06,0,0,0,0,0,34.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,0,0,37.67,8.52,122.71,0,0,0,0,12.54,312.14,0,228.48,0,0,0,0,12.78,6.26,68.04,388.8,24.85,114.01,0,59.67,0,0,88.32,0,0,0,0,0,19.68,0,0,0,0,0,0,0,0.72,7.5,0,22.38,13.94,0,0,15.18,134.1,0,13.28,0,29.06,0,0,0,0,0,34.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,0,0,37.67,8.52,122.71,0,0,0,0,12.54,312.14,0,228.48,0,0,0,0,12.41,6.26,68.04,388.8,24.85,98.27,0,59.67,0,0,76.12,0,0,0,0,0,19.68,0,0,0,0,0,0,0,0.72,1.97,0,22.38,13.94,0,0,15.18,134.1,0,13.28,0,29.06,0,0,0,0,0,34.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0,0,0,37.67,8.52,122.71,0,0,0,0,12.54,312.14,0,228.48,0,0,0,0,11.09,6.26,68.04,388.8,24.85,98.27,0,59.67,0,0,76.12,0,0,0,0,0,19.68,0,0,0,0,0,0,0,0.72,1.97,0,22.38,13.94,0,0,15.18,134.1,0,13.28,0,29.06,0,0,0,0,0,34.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,0,0,0,37.67,8.52,122.71,0,0,0,0,12.54,312.14,0,228,0,0,0,0,11.88,12.52,68.04,388.8,24.85,98.27,0,59.67,0,0,76.12,0,0,0,0,0,19.68,0,0,0,0,0,0,0,0.72,1.97,0,22.38,13.94,0,0,15.18,134.1,0,13.28,0,29.06,0,0,0,0,0,34.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,0,0,0,37.67,8.52,122.71,0,0,0,0,12.54,312.14,0,228,0,0,0,0,14.35,12.52,68.04,388.8,24.85,98.27,0,59.67,0,0,76.12,0,0,0,0,0,19.68,0,0,0,0,0,0,0,0.72,1.97,0,22.38,13.94,0,0,15.18,134.1,0,13.28,0,29.06,0,0,0,0,0,34.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,0,0,0,34.63,8.52,122.71,0,0,0,0,12.54,312.14,0,228,0,0,0,0,13.48,12.52,68.04,388.8,24.85,98.27,0,59.67,0,0,76.12,0,0,0,0,0,19.68,0,0,0,0,0,0,0,0.72,2.22,0,22.38,13.94,0,0,15.18,134.1,0,13.28,0,29.06,0,0,0,0,0,34.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,0,0,0,34.63,8.52,122.71,0,0,0,0,12.54,312.14,0,228,0,0,0,0,13.57,12.52,14.51,388.8,24.85,98.27,0,59.67,0,0,76.12,0,0,0,0,0,19.68,0,0,0,0,0,0,0,0.72,2.22,0,22.38,13.94,0,0,15.18,134.1,0,13.28,0,29.06,0,0,0,0,0,34.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,0,0,0,34.63,8.52,122.71,0,0,0,0,12.54,312.14,0,228,0,0,0,0,14.65,12.52,12.83,388.8,24.85,98.27,0,59.67,0,0,76.12,0,0,0,0,0,19.68,0,0,0,0,0,0,0,0.72,2.22,0,22.38,13.94,0,0,15.18,134.1,0,11.4,0,29.06,0,0,0,0,0,34.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,0,0,0,34.63,8.52,122.71,0,0,0,0,12.54,312.14,0,228,0,0,0,0,17.16,12.52,12.83,388.8,24.85,98.27,0,59.67,0,0,76.12,0,0,0,0,0,19.68,0,0,0,0,0,0,0,0.72,2.22,0,22.38,13.94,0,0,15.18,134.1,0,11.4,0,29.06,0,0,0,0,0,34.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,0,0,0,34.63,8.52,122.71,0,0,0,0,12.54,312.14,0,228,0,0,0,0,17.59,12.52,12.83,388.8,24.85,98.27,0,59.67,0,0,76.12,0,0,0,0,0,19.68,0,0,0,0,0,0,0,0.72,2.22,0,22.38,13.94,0,0,15.18,134.1,0,11.4,0,29.06,0,0,0,0,0,34.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,0,0,0,34.63,8.52,122.71,0,0,0,0,12.54,312.14,0,228,0,0,0,0,19.18,12.52,12.83,388.8,24.85,98.27,0,59.67,0,0,76.12,0,0,0,0,0,19.68,0,0,0,0,0,0,0,0.72,2.22,0,22.38,13.94,0,0,15.18,134.1,0,11.4,0,29.06,0,0,0,0,0,34.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,0,0,0,34.63,8.52,122.71,0,0,0,0,12.54,312.14,15.82,228,0,0,0,0,19.2,12.52,12.83,388.8,24.85,98.27,0,59.67,0,0,76.12,0,0,0,0,0,19.68,0,0,0,0,0,0,0,0.72,2.22,0,22.38,13.94,0,0,15.18,134.1,11.25,11.4,0,29.06,0,0,0,0,0,34.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,0,0,0,34.63,8.52,122.71,0,0,0,0,12.54,312.14,15.82,228,0,0,0,0,19.2,12.52,12.83,388.8,24.85,98.27,0,59.67,0,0,76.12,0,0,0,0,0,19.68,0,0,0,0,0,0,0,0.72,2.22,0,22.38,13.94,0,0,15.18,134.1,11.25,11.4,0,29.06,0,0,0,0,0,34.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0

21,05:00-05:15,0,0,0,37.67,8.52,122.71,0,0,0,0,12.54,312.14,15.82,228,0,0,0,0,19.2,12.52,12.83,388.8,24.85,113.02,0,59.67,0,0,86.44,0,0,0,0,0,19.68,0,0,0,0,0,0,0,0.72,2.22,0,22.38,13.94,0,0,15.18,134.1,22.5,11.4,0,29.06,0,0,0,0,0,34.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0

22,05:15-05:30,0,0,0,37.67,8.52,122.71,0,0,0,0,12.54,312.14,15.82,228,0,0,0,0,19.2,12.52,12.83,388.8,24.85,114.01,0,59.67,0,0,88.32,0,0,19.08,0,0,19.68,0,0,0,0,0,0,0,0.72,2.22,0,22.38,13.94,0,0,15.18,134.1,33.74,11.4,0,29.06,0,0,0,0,0,34.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0

23,05:30-05:45,0,0,0,37.67,8.52,122.71,0,0,0,0,12.54,312.14,15.82,228,0,0,8.77,0,19.2,12.52,12.83,388.8,24.85,114.01,0,59.67,0,0,88.32,0,0,41.82,0,0,19.68,0,0,0,0,0,0,0,0.72,2.22,0,22.38,13.94,0,0,15.18,134.1,33.74,11.4,0,29.06,0,0,0,0,0,34.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0

24,05:45-06:00,0,0,0,37.67,8.52,122.71,0,2.55,0,0,12.54,361.1,15.82,229.5,0,0,8.77,12.51,19.2,12.52,12.83,388.8,24.85,114.01,0,59.67,0,0,88.32,0,0,67.36,0,0,19.68,0,0,0,0,0,0,0,0.72,2.22,0,22.38,13.94,0,0,15.18,134.1,33.74,11.4,0,29.06,0,0,0,0,0,34.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0

25,06:00-06:15,0,0,0,39.97,8.52,127.17,0,12.64,0,0,14.21,361.1,31.64,229.5,0,9.29,8.77,12.89,19.2,12.52,12.83,388.8,24.85,114.01,0,59.67,0,0,88.32,0,0,67.36,0,0,19.68,0,3.67,0,0,0,0,0,0.72,2.22,0,22.38,13.94,0,0,15.18,134.1,33.74,11.4,0,29.06,0,0,0,0,0,38.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0

26,06:15-06:30,0,0,0,39.97,17.04,127.17,0,25.29,0,0,14.21,361.1,31.64,229.5,0,18.58,17.54,26.93,19.2,12.52,16.74,388.8,24.85,114.01,0,59.67,0,0,88.32,0,0,89.82,0,0,19.68,0,15.88,0,0,0,0,0,0.72,2.22,0,22.38,13.94,0,0,15.18,134.1,45,11.4,0,29.06,0,0,0,0,0,38.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0

27,06:30-06:45,0,0,0,39.97,37.49,127.17,0,37.93,0,0,14.21,361.1,47.45,229.5,0,27.9,26.31,40.46,19.2,18.78,68.04,388.8,24.85,114.01,0,59.67,0,0,88.32,0,0,112.27,0,0,19.68,0,15.88,0,0,0,0,0,0.72,2.22,0,22.38,13.94,0,0,15.18,134.1,45,11.4,0,31.9,0,0,0,0,0,38.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0

28,06:45-07:00,0,0,0,39.97,37.49,127.17,0,37.93,0,0,14.21,361.1,47.45,229.5,0,27.9,26.31,40.46,19.2,18.78,68.04,388.8,24.85,114.01,0,59.67,0,0,88.32,0,0,134.74,0,0,19.68,0,15.88,0,0,0,0,0,0.72,2.22,0,22.38,13.94,0,0,15.18,134.1,45,11.4,0,31.9,0,0,0,0,0,38.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0

29,07:00-07:15,0,0,0,39.97,37.49,127.17,0,37.93,0,0,14.21,361.1,47.45,229.5,0,27.9,26.31,40.46,19.2,18.78,68.04,388.8,24.85,114.01,0,59.67,0,0,88.32,0,0,134.74,0,0,19.68,0,15.88,0,0,0,0,0,0.72,2.22,0,22.38,13.94,0,0,15.18,134.1,45,11.4,0,31.9,0,0,0,0,0,34.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0

30,07:15-07:30,0,0,0,39.97,37.49,127.17,0,37.93,0,0,14.21,361.1,47.45,229.5,0,27.9,26.31,40.46,19.2,18.78,68.04,388.8,24.85,114.01,0,59.67,0,0,88.32,0,0,134.74,0,0,19.68,0,15.88,0,0,0,0,0,0.72,2.22,0,22.38,13.94,0,0,15.18,134.1,45,11.4,0,31.9,0,0,0,0,0,34.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0

31,07:30-07:45,0,0,0,35.8,37.49,122.71,0,37.93,0,0,12.84,361.1,47.45,228,0,27.9,26.31,40.46,19.2,18.78,25.66,388.8,24.85,114.01,0,59.67,0,0,88.32,0,0,134.74,0,0,19.68,0,15.88,0,0,0,0,0,0.72,2.22,0,22.38,13.94,0,0,15.18,134.1,45,11.4,0,31.9,0,0,0,0,0,34.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0

32,07:45-08:00,0,0,0,33.52,37.49,122.71,0,37.93,0,0,12.54,361.1,47.45,228,0,27.9,26.31,40.46,19.2,18.78,25.66,388.8,24.85,114.01,0,59.67,0,0,88.32,0,0,134.74,0,0,19.68,0,3.43,0,0,0,0,0,0.72,2.22,0,22.38,13.94,0,0,15.18,134.1,45,11.4,0,31.9,0,0,0,0,0,34.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0

33,08:00-08:15,0,0,0,33.41,17.04,122.71,0,37.93,0,0,12.54,361.1,31.64,228,0,18.58,17.54,40.46,19.2,6.26,25.66,388.8,24.85,114.01,0,59.67,0,0,88.32,0,0,112.27,0,0,19.68,0,0,0,0,0,0,0,0.72,2.22,0,27.62,17.32,0,0,15.18,134.1,45,13.13,0,29.06,0,0,0,0,0,34.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0

34,08:15-08:30,0,0,0,33.41,8.52,122.71,0,25.29,0,0,12.54,361.1,31.64,228,0,9.29,17.54,40.46,19.2,6.26,25.66,388.8,24.85,114.01,0,59.67,0,0,88.32,0,0,89.82,0,0,19.68,0,0,0,0,0,0,0,0.72,2.22,0,27.62,17.32,0,0,15.18,134.1,45,13.13,0,29.06,0,0,0,0,0,38.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0

35,08:30-08:45,0,0,0,32.1,8.52,122.71,0,12.64,0,0,12.54,361.1,31.64,228,0,0,8.77,40.46,19.2,6.26,25.66,388.8,24.85,114.01,0,59.67,0,0,88.32,0,0,67.36,0,0,19.68,0,0,0,0,0,0,0,0.72,2.22,0,27.62,17.32,0,0,15.18,134.1,45,13.13,0,29.06,0,0,0,0,0,38.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0

36,08:45-09:00,0,0,0,32.1,8.52,122.71,0,12.64,0,0,12.54,361.1,31.64,228,0,0,8.77,40.46,19.2,6.26,25.66,388.8,24.85,114.01,0,59.67,0,0,88.32,0,0,41.82,0,0,19.68,0,0,0,0,0,0,0,0.72,2.22,0,27.62,17.32,0,0,10.11,134.1,33.74,13.13,0,29.06,0,0,0,0,0,38.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0

37,09:00-09:15,0,0,0,32.1,8.52,122.71,0,12.64,0,0,12.54,312.14,15.82,228,0,0,0,23.51,19.2,6.26,25.66,388.8,24.85,114.01,0,59.67,0,0,88.32,0,0,19.01,0,0,19.68,0,0,0,0,0,0,0,0.72,2.22,0,27.62,17.32,0,0,10.11,134.1,33.74,13.13,0,29.06,0,0,0,0,0,38.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0

38,09:15-09:30,0,0,0,32.1,8.52,122.71,0,12.64,0,0,12.54,312.14,15.82,228,0,0,0,23.51,19.2,6.26,25.66,388.8,24.85,114.01,0,59.67,0,0,88.32,0,0,0,0,0,19.68,0,0,0,0,0,0,0,0.72,2.22,0,27.62,17.32,0,0,10.11,134.1,22.5,13.13,0,29.06,0,0,0,0,0,34.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0

39,09:30-09:45,0,0,0,32.1,8.52,109.69,0,12.64,0,0,12.54,312.14,15.82,228,0,0,0,11.76,19.2,6.26,12.83,388.8,24.85,114.01,0,59.67,0,0,88.32,0,0,0,0,0,19.68,0,0,0,0,0,0,0,0.72,2.22,0,27.62,17.32,0,0,10.11,134.1,11.25,13.13,0,29.06,0,0,0,0,0,34.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0

40,09:45-10:00,0,0,0,32.1,8.52,109.69,0,12.64,0,0,12.54,312.14,15.82,228,0,0,0,0,19.2,6.26,12.83,388.8,24.85,114.01,0,59.67,0,0,88.32,0,0,0,0,0,19.68,0,0,0,0,0,0,0,0.72,2.22,0,27.62,17.32,0,0,10.11,134.1,11.25,13.13,0,29.06,0,0,0,0,0,34.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0

41,10:00-10:15,0,0,0,32.1,8.52,106.7,0,0,0,0,12.54,312.14,15.82,228,0,0,0,0,19.2,6.26,25.66,388.8,24.85,114.01,0,59.67,0,0,88.32,0,0,0,0,0,19.68,0,0,0,0,0,0,0,0.72,7.5,0,27.62,17.32,0,0,0,134.1,0,13.13,0,29.06,0,0,0,0,0,34.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0

42,10:15-10:30,0,0,0,32.1,8.52,106.7,0,0,0,0,12.54,312.14,15.82,228,0,0,0,0,19.2,6.26,25.66,388.8,24.85,114.01,0,59.67,0,0,88.32,0,0,0,0,0,19.68,0,0,0,0,0,0,0,0.72,7.5,0,27.62,17.32,0,0,0,134.1,0,13.13,0,29.06,0,0,0,0,0,34.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0

