Column1,Block,GNA/WR/2024/10/15/7089,GNA/NR/2024/10/16/2350,GNA/NR/2024/10/16/4393,NR/2024/23802/C,NR/2024/23787/C,NR/2024/23384/A/41947,NR/2024/23383/A/41948,NR/2024/23639/A/41991,NR/2024/23382/A/42102,NR/2024/23640/A/41990,GNA/NR/2024/10/01/9072,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/01/8106,GNA/NR/2024/10/01/6101,GNA/NR/2024/10/01/9582,Total
,,APPCPL,PTC,PTC,NVVNL,DIAPL,IEXL,ITCLH,SJVNL,NVVNL,SJVNL,NDMC,DELHI,BAWANA_GAS,PUNJAB,NDMC,NDMC,NDMC,NDMC,
,,DELHI_UT,DELHI_UT,DELHI_UT,NA,HIMACHAL_STATE,KARNATAKA_STATE,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,HIMACHAL_STATE,DELHI_UT,DELHI_UT,NA,NA,NA,NA,
,,BYPL,BYPL,BRPL,SOLAPUR_SOLAR,GBHHPL,NSLSUGAR,ITCWIND,RSRPL_BKN,JITPL,TPSL_BKN2,RKM_POWER,CHANJUII,BAWANA_GAS,BAWANA_GAS,RKM_POWER,TRN_ENERGY,JPL2,SKS_Raigarh,
,,MSEB_State,HIMACHAL_STATE,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,AEML,HP,HP,MES_Delhi,DIAPL,MES_Delhi,ITCLH,NDMC,NDMC,NDMC,NDMC,TPDDL,HARYANA,PUNJAB,NDMC,NDMC,NDMC,NDMC,
,,North-West,North-North,North-North,West-North,North-North,South-West-North,South-West-North,North-North,East-North,North-North,West-North,North-North,North-North,North-North,West-North,West-North,West-North,West-North,
1,00:00-00:15,200,47.56,142.69,0,2.9,6.76,0.58,0,17.55,0,26.33,3.97,0,0,26.33,8.78,26.33,8.78,518.56

2,00:15-00:30,200,47.56,142.69,0,2.9,6.76,0.58,0,17.55,0,26.33,3.97,0,0,26.33,8.78,26.33,8.78,518.56

3,00:30-00:45,200,47.56,142.69,0,2.9,6.76,0.58,0,17.55,0,26.33,3.97,0,0,26.33,8.78,26.33,8.78,518.56

4,00:45-01:00,200,47.56,142.69,0,2.9,6.76,0.58,0,17.55,0,26.33,3.97,0,0,26.33,8.78,26.33,8.78,518.56

5,01:00-01:15,200,47.56,142.69,0,2.9,6.76,0.53,0,17.55,0,26.33,3.97,0,0,26.33,8.78,26.33,8.78,518.5099999999999

6,01:15-01:30,200,47.56,142.69,0,2.9,6.76,0.53,0,17.55,0,26.33,3.97,0,0,26.33,8.78,26.33,8.78,518.5099999999999

7,01:30-01:45,200,47.56,142.69,0,2.9,6.76,0.53,0,17.55,0,26.33,3.97,0,0,26.33,8.78,26.33,8.78,518.5099999999999

8,01:45-02:00,200,47.56,142.69,0,2.9,6.76,0.53,0,17.55,0,26.33,3.97,0,0,26.33,8.78,26.33,8.78,518.5099999999999

9,02:00-02:15,0,47.56,142.69,0,2.9,6.76,0.48,0,17.55,0,26.33,3.97,23.36,23.36,26.33,8.78,26.33,8.78,365.1799999999999

10,02:15-02:30,0,47.56,142.69,0,2.9,6.76,0.48,0,17.55,0,26.33,3.97,23.36,23.36,26.33,8.78,26.33,8.78,365.1799999999999

11,02:30-02:45,0,47.56,142.69,0,2.9,6.76,0.48,0,17.55,0,26.33,3.97,23.36,23.36,26.33,8.78,26.33,8.78,365.1799999999999

12,02:45-03:00,0,47.56,142.69,0,2.9,6.76,0.48,0,17.55,0,26.33,3.97,23.36,23.36,26.33,8.78,26.33,8.78,365.1799999999999

13,03:00-03:15,0,47.56,142.69,0,2.9,6.76,0.43,0,17.55,0,26.33,3.87,23.36,23.36,26.33,8.78,26.33,8.78,365.03

14,03:15-03:30,0,47.56,142.69,0,2.9,6.76,0.43,0,17.55,0,26.33,3.87,23.36,23.36,26.33,8.78,26.33,8.78,365.03

15,03:30-03:45,0,47.56,142.69,0,2.9,6.76,0.43,0,17.55,0,26.33,3.87,23.36,23.36,26.33,8.78,26.33,8.78,365.03

16,03:45-04:00,0,47.56,142.69,0,2.9,6.76,0.43,0,17.55,0,26.33,3.87,23.36,23.36,26.33,8.78,26.33,8.78,365.03

17,04:00-04:15,0,47.56,142.69,0,2.9,6.76,0.43,0,17.55,0,26.33,3.87,23.36,23.36,26.33,8.78,26.33,8.78,365.03

18,04:15-04:30,0,47.56,142.69,0,2.9,6.76,0.43,0,17.55,0,26.33,3.87,23.36,23.36,26.33,8.78,26.33,8.78,365.03

19,04:30-04:45,0,47.56,142.69,0,2.9,6.76,0.43,0,17.55,0,26.33,3.87,23.36,23.36,26.33,8.78,26.33,8.78,365.03

20,04:45-05:00,0,47.56,142.69,0,2.9,6.76,0.43,0,17.55,0,26.33,3.87,23.36,23.36,26.33,8.78,26.33,8.78,365.03

21,05:00-05:15,0,47.56,142.69,0,2.9,6.76,0.48,0,17.55,0,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,372.17999999999995

22,05:15-05:30,0,47.56,142.69,0.03,2.9,6.76,0.48,0,17.55,0,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,372.21

23,05:30-05:45,0,47.56,142.69,0.03,2.9,6.76,0.48,0,17.55,0,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,372.21

24,05:45-06:00,0,47.56,142.69,0.03,2.9,6.76,0.48,0,17.55,0,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,372.21

25,06:00-06:15,0,0,0,0.04,2.9,6.76,0.53,0,17.55,0,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,182.02

26,06:15-06:30,0,0,0,0.04,2.9,6.76,0.53,0,17.55,0,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,182.02

27,06:30-06:45,0,0,0,0.04,2.9,6.76,0.53,0,17.55,0,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,182.02

28,06:45-07:00,0,0,0,0.37,2.9,6.76,0.53,0,17.55,0,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,182.35

29,07:00-07:15,0,0,0,0.74,1.93,6.76,0.58,0,17.55,0,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,181.79999999999998

30,07:15-07:30,0,0,0,1.11,1.93,6.76,0.58,0,17.55,0,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,182.17

31,07:30-07:45,0,0,0,1.58,1.93,6.76,0.58,0,17.55,0,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,182.64000000000001

32,07:45-08:00,0,0,0,2.14,1.93,6.76,0.58,0,17.55,0,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,183.20000000000002

33,08:00-08:15,0,0,0,2.72,1.93,6.76,0.97,0,17.55,0,26.33,3.87,23.36,23.36,26.33,8.78,26.33,8.78,177.07000000000002

34,08:15-08:30,0,0,0,3.35,1.93,6.76,0.97,0,17.55,0,26.33,3.87,23.36,23.36,26.33,8.78,26.33,8.78,177.70000000000002

35,08:30-08:45,0,0,0,3.98,1.93,6.76,0.97,0,17.55,0,26.33,3.87,23.36,23.36,26.33,8.78,26.33,8.78,178.33

36,08:45-09:00,0,0,0,4.53,1.93,6.76,0.97,0,17.55,0,26.33,3.87,23.36,23.36,26.33,8.78,26.33,8.78,178.88000000000002

37,09:00-09:15,0,0,0,5.08,1.93,6.76,0.87,42.48,17.55,10.62,26.33,3.87,23.36,23.36,26.33,8.78,26.33,8.78,232.43000000000004

38,09:15-09:30,0,0,0,5.61,1.93,6.76,0.87,42.48,17.55,10.62,26.33,3.87,23.36,23.36,26.33,8.78,26.33,8.78,232.96

39,09:30-09:45,0,0,0,6.09,1.93,6.76,0.87,42.48,17.55,10.62,26.33,3.87,23.36,23.36,26.33,8.78,26.33,8.78,233.44000000000003

40,09:45-10:00,0,0,0,6.48,1.93,6.76,0.87,42.48,17.55,10.62,26.33,3.87,23.36,23.36,26.33,8.78,26.33,8.78,233.83

41,10:00-10:15,0,0,0,6.78,1.93,6.76,0.87,42.48,17.55,8.5,26.33,3.87,23.36,23.36,26.33,8.78,26.33,8.78,232.01000000000002

42,10:15-10:30,0,0,0,6.98,1.93,6.76,0.87,42.48,17.55,8.59,26.33,3.87,23.36,23.36,26.33,8.78,26.33,8.78,232.29999999999998

43,10:30-10:45,0,0,0,7.23,1.93,6.76,0.87,42.48,17.55,8.69,26.33,3.87,23.36,23.36,26.33,8.78,26.33,8.78,232.65

44,10:45-11:00,0,0,0,7.47,1.93,6.76,0.87,42.48,17.55,8.79,26.33,3.87,23.36,23.36,26.33,8.78,26.33,8.78,232.98999999999998

45,11:00-11:15,0,0,0,7.66,1.93,6.76,0.87,42.48,17.55,8.79,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,240.28

46,11:15-11:30,0,0,0,7.75,1.93,6.76,0.87,42.48,17.55,8.79,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,240.37000000000003

47,11:30-11:45,0,0,0,7.98,1.93,6.76,0.87,42.48,17.55,8.79,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,240.6

48,11:45-12:00,0,0,0,8.07,1.93,6.76,0.87,42.48,17.55,8.88,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,240.78

49,12:00-12:15,0,0,0,8.19,1.93,6.76,0.87,42.48,17.55,8.88,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,240.9

50,12:15-12:30,0,0,0,7.87,1.93,6.76,0.87,42.48,17.55,8.88,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,240.58

51,12:30-12:45,0,0,0,5.74,1.93,6.76,0.87,42.48,17.55,6.28,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,235.85

52,12:45-13:00,0,0,0,2.85,1.93,6.76,0.87,42.48,17.55,6.28,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,232.96

53,13:00-13:15,0,0,0,6.82,1.93,6.76,0.77,42.48,17.55,6.18,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,236.73000000000005

54,13:15-13:30,0,0,0,7.77,1.93,6.76,0.77,42.48,17.55,6.37,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,237.87000000000003

55,13:30-13:45,0,0,0,4.39,1.93,6.76,0.77,42.48,17.55,6.37,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,234.49000000000004

56,13:45-14:00,0,0,0,2.55,1.93,6.76,0.77,42.48,17.55,6.28,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,232.56000000000003

57,14:00-14:15,0,0,0,2.46,1.93,6.76,0.92,42.48,17.55,6.28,26.33,3.87,26.91,26.91,26.33,8.78,26.33,8.78,232.62000000000003

