Column1,Block,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/08/2627,GNA/NR/2024/10/08/5028,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/08/6977,GNA/NR/2024/10/08/8234,NR/2024/23356/A/40177,NR/2024/23389/A/40176,NR/2024/23597/C,GNA/NR/2024/10/01/6101,NR/2024/23397/A/40148,GNA/NR/2024/10/01/9582,NR/2024/23582/C,NR/2024/23382/A/40288,NR/2024/23583/C,NR/2024/23446/A/40286,NR/2024/23603/C,GNA/NR/2024/10/01/8106,NR/2024/23594/C,NR/2024/23600/C,NR/2024/23601/C,NR/2024/23414/A/40132,NR/2024/23384/A/40133,NR/2024/23383/A/40350,NR/2024/23591/C,GNA/NR/2024/10/01/3642,Total
,,DELHI,PXIL,IEXL,PUNJAB,BAWANA_GAS,NDMC,HPXL,HPXL,SJVNL,SJVNL,PXIL,NDMC,DIAPL,NDMC,TPDDL,NVVNL,NVVNL,NVVNL,HPXL,NDMC,IEXL,HPXL,IEXL,IEXL,IEXL,ITCLH,PXIL,NDMC,
,,HIMACHAL_STATE,NA,NA,DELHI_UT,DELHI_UT,NA,NA,NA,NA,NA,KARNATAKA_STATE,NA,HIMACHAL_STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KARNATAKA_STATE,KARNATAKA_STATE,ANDHRA_PRADESH_STATE,NA,NA,
,,CHANJUII,JITPL,JPL2,BAWANA_GAS,BAWANA_GAS,RKM_POWER,JITPL,JPNIGRIE_JNSTPP,TPSL_BKN2,RSRPL_BKN,JSWEL,JPL2,GBHHPL,SKS_Raigarh,JHAJJAR,JITPL,SOLAPUR_SOLAR,JITPL,SIMHAPURI,TRN_ENERGY,SEILP2,JPNIGRIE_JNSTPP,SINGOLI,NSLSUGAR,NSLSUGAR,ITCWIND,IND_BHARAT,RKM_POWER,
,,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,BRPL,TPDDL,PUNJAB,HARYANA,NDMC,BRPL,BRPL,NDMC,NDMC,TPDDL,NDMC,DIAPL,NDMC,TPDDL,NDMC,MES_Delhi,NDMC,BYPL,NDMC,TPDDL,BYPL,BYPL,MES_Delhi,MES_Delhi,ITCLH,TPDDL,NDMC,
,,North-North,East-North,West-North,North-North,North-North,West-North,East-North,West-North,North-North,North-North,South-West-North,West-North,North-North,West-North,North-North,East-North,West-North,East-North,South-West-North,West-North,South-West-North,West-North,North-North,South-West-North,South-West-North,South-West-North,East-North,West-North,
1,00:00-00:15,6.63,48.5,0,32,9.35,39.77,242.52,97.01,0,0,48.5,39.77,2.91,12.49,189.17,24.99,0,0,33.95,12.49,75.09,0,80.52,0,6.79,0.58,48.5,39.77,1091.3

2,00:15-00:30,6.63,48.5,0,32,9.35,39.77,242.52,97.01,0,0,48.5,39.77,2.91,12.49,189.17,24.99,0,0,33.95,12.49,75.09,0,80.52,0,6.79,0.58,48.5,39.77,1091.3

3,00:30-00:45,6.63,48.5,0,32,9.35,39.77,242.52,97.01,0,0,48.5,39.77,2.91,12.49,189.17,24.99,0,0,33.95,12.49,75.09,0,80.52,0,6.79,0.58,48.5,39.77,1091.3

4,00:45-01:00,6.63,48.5,0,32,9.35,39.77,242.52,97.01,0,0,48.5,39.77,2.91,12.49,189.17,24.99,0,0,33.95,12.49,75.09,0,63.06,0,6.79,0.58,48.5,39.77,1073.8400000000001

5,01:00-01:15,6.63,48.5,0,20.17,9.35,37.47,242.52,97.01,0,0,0,37.47,2.91,12.49,189.17,24.99,0,0,0,12.49,0,0,0,0,6.79,0.53,0,37.47,785.9599999999999

