Column1,Time,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,SR/01102023/07102043/L_NR_2018_61,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/9061,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_36,WR/01102023/31032046/L_NR_2020_05,NR/01102023/30042040/GNA_LT_35,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/26122029/SH-06,GNA/NR/2024/11/01/5444,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/11/01/9042,NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/11/01/4503,GNA/WR/2024/11/01/4200,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/3646,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/1868,NR/01102023/31052040/LT-31
1,00:00-00:15,0,0,10,0,0,0,13.66,7.17,6.67,13.67,0,0,0,0,0,25.94,0,0,7.17,0,1.81,0,21.49,0,26.24,0,25.94,205.16,17.29,1.99,1.39,57.35,210.39,8.65,0,2.57,70.04,100.09,0,63.42,190.26,25.94,8.65,0

2,00:15-00:30,0,0,10,0,0,0,13.66,7.17,6.67,13.67,0,0,0,0,0,25.94,0,0,7.17,0,1.81,0,21.49,0,26.24,0,25.94,194.68,17.29,1.99,1.39,57.35,210.39,8.65,0,2.57,70.04,100.09,0,63.42,190.26,25.94,8.65,0

3,00:30-00:45,0,0,10,0,0,0,13.66,7.17,6.67,13.67,0,0,0,0,0,25.94,0,0,7.17,0,1.81,0,21.49,0,26.24,0,25.94,194.68,17.29,1.99,1.39,57.35,210.39,8.65,0,2.57,70.04,100.09,0,63.42,190.26,25.94,8.65,0

4,00:45-01:00,0,0,10.2,0,0,0,13.66,7.17,6.67,13.67,0,0,0,0,0,25.94,0,0,7.17,0,1.81,0,21.49,0,26.24,0,25.94,194.68,17.29,1.99,1.39,57.35,210.39,8.65,0,2.57,70.04,100.09,0,63.42,190.26,25.94,8.65,0

5,01:00-01:15,0,0,10.4,0,0,0,13.66,7.17,6.67,13.67,0,0,0,0,0,25.94,0,0,7.17,0,1.81,0,21.49,0,26.24,0,25.94,179.31,17.29,1.91,1.39,57.35,210.39,8.65,0,2.48,70.04,100.09,0,63.42,190.26,25.94,8.65,0

6,01:15-01:30,0,0,10.6,0,0,0,13.66,7.17,6.67,13.67,0,0,0,0,0,25.94,0,0,7.17,0,1.81,0,21.49,0,26.24,0,25.94,179.31,17.29,1.91,1.39,57.35,210.39,8.65,0,2.48,70.04,100.09,0,63.42,190.26,25.94,8.65,0

7,01:30-01:45,0,0,10.8,0,0,0,13.66,7.17,6.67,13.67,0,0,0,0,0,25.94,0,0,7.17,0,1.81,0,21.49,0,26.24,0,25.94,169.7,17.29,1.91,1.39,57.35,210.39,8.65,0,2.48,70.04,100.09,0,63.42,190.26,25.94,8.65,0

8,01:45-02:00,0,0,11,0,0,0,13.66,7.17,6.67,13.67,0,0,0,0,0,25.94,0,0,7.17,0,1.81,0,21.49,0,26.24,0,25.94,147.95,17.29,1.91,1.39,57.35,210.39,8.65,0,2.48,70.04,100.09,0,63.42,190.26,25.94,8.65,0

9,02:00-02:15,0,0,11.21,0,0,0,13.66,7.17,6.67,13.67,0,0,0,0,0,25.94,0,0,7.17,0,1.81,0,21.49,0,26.24,0,25.94,109.52,17.29,1.83,1.39,57.35,210.39,8.65,0,2.48,70.04,100.09,0,63.42,190.26,25.94,8.65,0

10,02:15-02:30,0,0,11.41,0,0,0,13.66,7.17,6.67,13.67,0,0,0,0,0,25.94,0,0,7.17,0,1.81,0,21.49,0,26.24,0,25.94,109.52,17.29,1.83,1.39,57.35,210.39,8.65,0,2.48,70.04,100.09,0,63.42,190.26,25.94,8.65,0

11,02:30-02:45,0,0,11.61,0,0,0,13.66,7.17,6.67,13.67,0,0,0,0,0,25.94,0,0,7.17,0,1.81,0,21.49,0,26.24,0,25.94,109.52,17.29,1.83,1.39,57.35,210.39,8.65,0,2.48,70.04,100.09,0,63.42,190.26,25.94,8.65,0

12,02:45-03:00,0,0,11.81,0,0,0,13.66,7.17,6.67,13.67,0,0,0,0,0,25.94,0,0,7.17,0,1.81,0,21.49,0,26.24,0,25.94,147.95,17.29,1.83,1.39,57.35,210.39,8.65,0,2.48,70.04,100.09,0,63.42,190.26,25.94,8.65,0

13,03:00-03:15,0,0,12.01,0,0,0,13.66,7.17,6.67,13.67,0,0,0,0,0,25.94,0,0,7.17,0,1.81,0,21.49,0,26.24,0,25.94,147.95,17.29,1.83,1.39,57.35,210.39,8.65,0,2.48,70.04,100.09,0,63.42,190.26,25.94,8.65,0

14,03:15-03:30,0,0,12.61,0,0,0,13.66,7.17,6.67,13.67,0,0,0,0,0,25.94,0,0,7.17,0,1.81,0,21.49,0,26.24,0,25.94,147.95,17.29,1.83,1.39,57.35,210.39,8.65,0,2.48,70.04,100.09,0,63.42,190.26,25.94,8.65,0

15,03:30-03:45,0,0,13.01,0,0,0,13.66,7.17,6.67,13.67,0,0,0,0,0,25.94,0,0,7.17,0,1.81,0,21.49,0,26.24,0,25.94,147.95,17.29,1.83,1.39,57.35,210.39,8.65,0,2.48,70.04,100.09,0,63.42,190.26,25.94,8.65,0

16,03:45-04:00,0,0,14.21,0,0,0,13.66,7.17,6.67,13.67,0,0,0,0,0,25.94,0,0,7.17,0,1.81,0,21.49,0,26.24,0,25.94,147.95,17.29,1.83,1.39,57.35,210.39,8.65,0,2.48,70.04,100.09,0,63.42,190.26,25.94,8.65,0

17,04:00-04:15,0,0,19.01,0,0,0,13.66,7.17,6.67,13.67,0,0,0,0,0,25.94,0,0,7.17,0,1.81,0,21.49,0,26.24,0,25.94,169.7,17.29,1.76,1.39,57.35,210.39,8.65,0,2.48,70.04,100.09,0,63.42,190.26,25.94,8.65,0

18,04:15-04:30,0,0,19.01,0,0,0,13.66,7.17,6.67,13.67,0,0,0,0,0,25.94,0,0,7.17,0,1.81,0,21.49,0,26.24,0,25.94,169.7,17.29,1.76,1.39,57.35,210.39,8.65,0,2.48,70.04,100.09,0,63.42,190.26,25.94,8.65,0

19,04:30-04:45,0,0,19.01,0,0,0,13.66,7.17,6.67,13.67,0,0,0,0,0,25.94,0,0,7.17,0,1.81,0,21.49,0,26.24,0,25.94,169.7,17.29,1.76,1.39,57.35,210.39,8.65,0,2.48,70.04,100.09,0,63.42,190.26,25.94,8.65,0

20,04:45-05:00,0,0,19.01,0,0,0,13.66,7.17,6.67,13.67,0,0,0,0,0,25.94,0,0,7.17,0,1.81,0,21.49,0,26.24,0,25.94,169.7,17.29,1.76,1.39,57.35,210.39,8.65,0,2.48,70.04,100.09,0,63.42,190.26,25.94,8.65,0

21,05:00-05:15,0,0,19.01,0,0,0,13.66,7.17,6.67,13.67,0,0,0,0,0,25.94,0,0,7.17,0,1.81,0,21.49,0,26.24,0,25.94,169.7,17.29,1.76,1.32,57.35,210.39,8.65,0,2.48,70.04,100.09,0,63.42,190.26,25.94,8.65,0

22,05:15-05:30,0,0,19.01,0,0,0,13.66,7.17,6.67,13.67,0,0,0,0,0,25.94,0,0,7.17,0,1.81,0,21.49,0,26.24,0,25.94,169.7,17.29,1.76,1.32,57.35,210.39,8.65,0,2.48,70.04,100.09,0,63.42,190.26,25.94,8.65,0

23,05:30-05:45,0,0,16.01,0,0,0,13.66,7.17,6.67,13.67,0,0,0,0,0,25.94,0,0,7.17,0,1.81,0,21.49,0,26.24,0,25.94,200.44,17.29,1.76,1.32,57.35,210.39,8.65,0,2.48,70.04,100.09,0,63.42,190.26,25.94,8.65,0

24,05:45-06:00,0,0,16.01,0,0,0,13.66,7.17,6.67,13.67,0,0,0,0,0,25.94,0,0,7.17,0,1.81,0,21.49,0,26.24,0,25.94,200.44,17.29,1.76,1.32,57.35,210.39,8.65,0,2.48,70.04,100.09,0,63.42,190.26,25.94,8.65,0

25,06:00-06:15,0,0,15.01,0,0,0,13.66,7.17,6.67,13.67,0,0,0,0,0,25.94,0.91,2,7.17,2.28,1.76,0,21.49,0,0,0,25.94,169.7,17.29,1.68,1.24,57.35,210.39,8.65,0,2.48,70.04,81.66,0,0,0,25.94,8.65,0

26,06:15-06:30,0,0,14.41,0,0,0,13.66,7.17,6.67,13.67,0,0,0,0,0,25.94,1.47,6,7.17,8.01,1.76,0,21.49,0,0,0,25.94,169.7,17.29,1.68,1.24,57.35,230.57,8.65,0,2.48,70.04,83.58,0,0,0,25.94,8.65,0

27,06:30-06:45,0,0,11,0,0,0,13.66,7.17,6.67,13.67,0,0.01,0,0,0,25.94,3,10,7.17,18.31,1.76,0.11,21.49,0.11,0,0,25.94,205.16,17.29,1.68,1.24,57.35,271.64,8.65,0,2.48,65.9,100.09,0,0,0,25.94,8.65,0.11

