Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/25517/A/58351,WR/2025/26427/A/58031,WR/2025/26582/A/58277,WR/2025/26499/A/58279,NR/2025/25159/A/57927,WR/2025/26426/A/58030,NR/2025/25617/C,NR/2025/25518/A/58353,NR/2025/25516/A/58349,NR/2025/25616/C,GNA/WR/2025/01/01/9606,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/3469,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/6891,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/8036,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/4651,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,Total
,,SECI_Trader,OIDLWM2_AEROCITY,KEIPL,APPCPL,APPCPL,ITCLH,KEIPL,SJVNL,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,SJVNL,APPCPL,DELHI,NDMC,NDMC,APPCPL,PTC,APPCPL,NDMC,TPTCL,PTC,NDMC,NDMC,NDMC,PUNJAB,BAWANA_GAS,
,,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,NA,NA,NA,NA,DELHI_UT,HIMACHAL_STATE,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,NA,DELHI_UT,DELHI_UT,NA,NA,NA,DELHI_UT,DELHI_UT,
,,APSEPL_FTG,TCSPL_BKN2,BRPL,BRPL,BRPL,ITCWIND,BYPL,RSRPL_BKN,TCSPL_BKN2,TCSPL_BKN2,TPSL_BKN2,BYPL,CHANJUII,JPL2,TRN_ENERGY,BRPL,BYPL,BYPL,RKM_POWER,BYPL,BRPL,JIPL,RKM_POWER,SKS_Raigarh,BAWANA_GAS,BAWANA_GAS,
,,DELHI_UT,DELHI_UT,CSEB_State,CSEB_State,MSEB_State,DELHI_UT,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,HIMACHAL_STATE,KERALA_State,DELHI_UT,MSEB_State,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,HARYANA_STATE,
,,TPDDL,OIDLWM2_AEROCITY,CSEB_Beneficiary,CSEB_Beneficiary,AEML,ITCLH,CSEB_Beneficiary,NDMC,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,NDMC,AEML,TPDDL,NDMC,NDMC,AEML,HP,KSEB,NDMC,TPC_MSEB,HP,NDMC,NDMC,NDMC,PUNJAB,HARYANA,
,,North-North,North-North,North-West,North-West,North-West,South-West-North,North-West,North-North,North-North,North-North,North-North,North-West,North-North,West-North,West-North,North-West,North-North,North-West-South,West-North,North-West,North-North,East-North,West-North,West-North,North-North,North-North,
1,00:00-00:15,0,0,24,24,0,0.43,167.53,0,0,0,0,0,3.95,23.04,6.72,42,63.42,200,23.04,0,190.26,17.28,23.04,5.76,0,32,846.4699999999998

2,00:15-00:30,0,0,24,24,0,0.43,167.53,0,0,0,0,0,3.95,23.04,6.72,42,63.42,200,23.04,0,190.26,17.28,23.04,5.76,0,32,846.4699999999998

